,Concept_ID,lv,la
0,Auge::N,син,oculus
1,Auge::N,acs,oculus
2,Ohr::N,пель,auris
3,Ohr::N,auss,auris
4,Nase::N,ныр,nasus
5,Nase::N,deguns,nasus
6,Mund::N,вом,os
7,Mund::N,mute,os
8,Zahn::N,пинь,dens
9,Zahn::N,zobs,dens
10,Zunge::N,кыв,lingua
11,Zunge::N,mēle,lingua
12,Lippe::N,вом дор,labrum
13,Lippe::N,lūpa,labrum
14,Wange::N,бан,gena
15,Wange::N,vaigs,gena
16,Gesicht::N,чужӧм,vultus
17,Gesicht::N,seja,vultus
18,Gesicht::N,ģīmis,vultus
19,Stirn::N,плеш,frons
20,Stirn::N,кымӧс,frons
21,Stirn::N,piere,frons
22,Haar::N,си,capillus
23,Haar::N,юрси,capillus
24,Haar::N,mats,capillus
25,Schnurrbart::N,ус,barba labri superioris
26,Schnurrbart::N,пыртсим,barba labri superioris
27,Schnurrbart::N,ūsas,barba labri superioris
28,Bart::N,тош,barba
29,Bart::N,bārda,barba
30,Kinn::N,тшӧка,mentum
31,Kinn::N,zods,mentum
32,Kinn::N,smakrs,mentum
33,Kiefer[Anatomie]::N,черлы,mala
34,Kiefer[Anatomie]::N,алака лы,mala
35,Kiefer[Anatomie]::N,вомкӧтш лы,mala
36,Kiefer[Anatomie]::N,žoklis,mala
37,Kehle::N,голя,iugulums
38,Kehle::N,rīkle,iugulums
39,Hals::N,сьылі,collum
40,Hals::N,kakls,collum
41,Genick::N,юрбӧр,cervices
42,Genick::N,балябӧж,cervices
43,Genick::N,sprands,cervices
44,Kopf::N,юр,caput
45,Kopf::N,galva,caput
46,Rücken::N,мыш,tergum
47,Rücken::N,mugura,tergum
48,Bauch::N,рушку,venter
49,Bauch::N,vēders,venter
50,Nabel::N,гӧг,umbilicus
51,Nabel::N,naba,umbilicus
52,Busen::N,морӧс,sinus
53,Busen::N,krūts,sinus
54,Brust::N,морӧс,pectus
55,Brust::N,krūts,pectus
56,Schulter::N,пельпом,umerus
57,Schulter::N,plecs,umerus
58,Arm::N,ки,bracchium
59,Arm::N,roka,bracchium
60,Arm::N,delms,bracchium
61,Ellenbogen::N,гырддза,cubitum
62,Ellenbogen::N,elkonis,cubitum
63,Hand::N,ки,manus
64,Hand::N,roka,manus
65,Hand::N,plauksta,manus
66,Handfläche::N,ки пыдӧс,palma
67,Handfläche::N,delna,palma
68,Handfläche::N,plauksta,palma
69,Finger::N,чунь,digitus
70,Finger::N,pirksts,digitus
71,Fingernagel::N,гыж,unguiculus
72,Fingernagel::N,nags,unguiculus
73,Nagel[Anatomie]::N,гыж,unguis
74,Nagel[Anatomie]::N,nags,unguis
75,Zeh::N,кок чунь,digitus
76,Zeh::N,pirksts,digitus
77,Fuß::N,кок,pes
78,Fuß::N,kāja,pes
79,Ferse::N,кокбӧр,calx
80,Ferse::N,papēdis,calx
81,Knie::N,пидзӧс,genu
82,Knie::N,celis,genu
83,Oberschenkel::N,лядьвей,femur
84,Oberschenkel::N,бек,femur
85,Oberschenkel::N,ciska,femur
86,Oberschenkel::N,augšstilbs,femur
87,Bein::N,кок,crus
88,Bein::N,kāja,crus
89,Körper::N,туша,corpus
90,Körper::N,вывтыр,corpus
91,Körper::N,miesa,corpus
92,Körper::N,ķermenis,corpus
93,Haut::N,ку,cutis
94,Haut::N,ку,pellis
95,Haut::N,āda,cutis
96,Haut::N,āda,pellis
97,Blut::N,вир,sanguis
98,Blut::N,asins,sanguis
99,Ader::N,сӧн,vena
100,Ader::N,asinsvads,vena
101,Sehne::N,вез,nervus
102,Sehne::N,dzīsla,nervus
103,Knochen::N,лы,os
104,Knochen::N,kauls,os
105,Gehirn::N,вем,cerebrum
106,Gehirn::N,smadzenes,cerebrum
107,Herz::N,сьӧлӧм,cor
108,Herz::N,сьӧлӧм,animus
109,Herz::N,sirds,cor
110,Herz::N,sirds,animus
111,Magen::N,кынӧм,stomachus
112,Magen::N,kuņģis,stomachus
113,Leber::N,мус,iecur
114,Leber::N,aknas,iecur
115,Atem::N,лов,spiritus
116,Atem::N,elpa,spiritus
117,Hunger::N,тшыг,fames
118,Hunger::N,bads,fames
119,Hunger::N,izsalkums,fames
120,Träne::N,синва,lacrima
121,Träne::N,asara,lacrima
122,Geschmack::N,кӧр,sapor
123,Geschmack::N,кӧр,gustus
124,Geschmack::N,чӧсмӧс,sapor
125,Geschmack::N,чӧсмӧс,gustus
