,Concept_ID,sv,ka
0,Auge::N,öga,თვალი
1,Ohr::N,öra,ყური
2,Nase::N,näsa,ცხვირი
3,Mund::N,mun,პირი
4,Zahn::N,tand,კბილი
5,Zunge::N,tunga,ენა
6,Lippe::N,läpp,ბაგე
7,Wange::N,kind,ლოყა
8,Gesicht::N,syn,სახე
9,Gesicht::N,ansikte,სახე
10,Stirn::N,panna,შუბლი
11,Haar::N,hår,თმა
12,Schnurrbart::N,mustasch,ულვაში
13,Bart::N,skägg,წვერი
14,Kinn::N,haka,ნიკაპი
15,Kiefer[Anatomie]::N,käke,ყბა
16,Kehle::N,strupe,ყელი
17,Hals::N,hals,ყელი
18,Hals::N,hals,კისერი
19,Genick::N,nacke,კეფა
20,Kopf::N,huvud,თავი
21,Rücken::N,rygg,ზურგი
22,Bauch::N,buk,მუცელი
23,Bauch::N,mage,მუცელი
24,Nabel::N,navel,ჭიპი
25,Busen::N,barm,ძუძუ
26,Brust::N,bröst,მკერდი
27,Schulter::N,skuldra,მხარი
28,Schulter::N,skuldra,მკლავი
29,Arm::N,arm,ხელი
30,Ellenbogen::N,armbåge,იდაყვი
31,Hand::N,hand,ხელი
32,Handfläche::N,handflata,ნები
33,Handfläche::N,handflata,ხელისგული
34,Finger::N,finger,თითი
35,Fingernagel::N,fingernagel,ფრჩხილი
36,Nagel[Anatomie]::N,nagel,ფრჩხილი
37,Zeh::N,tå,ფეხის თითი
38,Fuß::N,fot,ტერფი
39,Fuß::N,fot,ფეხისგული
40,Ferse::N,häl,ქუსლი
41,Knie::N,knä,მუხლი
42,Oberschenkel::N,lår,ბარძაყი
43,Bein::N,ben,ფეხი
44,Körper::N,kropp,ტანი
45,Körper::N,kropp,სხეული
46,Haut::N,hud,კანი
47,Haut::N,skinn,კანი
48,Blut::N,blod,სისხლი
49,Ader::N,åder,ძარღვი
50,Sehne::N,sena,მყესი
51,Knochen::N,ben,ძვალი
52,Gehirn::N,hjärna,ტვინი
53,Herz::N,hjärta,გული
54,Magen::N,mage,კუჭი
55,Leber::N,lever,ღვიძლი
56,Atem::N,anda,სუნთქვა
57,Atem::N,andedräkt,სუნთქვა
58,Hunger::N,svält,შიმშილი
59,Hunger::N,hunger,შიმშილი
60,Träne::N,tår,ცრემლი
61,Geschmack::N,smak,გემო
62,Geruch::N,lukt,სუნი
63,Schlaf::N,sömn,ძილი
64,Traum::N,dröm,სიზმარი
65,Himmel::N,himmel,ცა
66,Sonne::N,sol,მზე
67,Mond::N,måne,მთვარე
68,Stern::N,stjärna,ვარსკვლავი
69,Luft::N,luft,ჰაერი
70,Wind::N,vind,ქარი
71,Welle::N,våg,ტალღა
72,Welle::N,bölja,ტალღა
73,Wasser::N,vatten,წყალი
74,Stein::N,sten,ქვა
75,Boden::N,mark,მიწა
76,Erde::N,jord,ნიადაგი
77,Staub::N,damm,მტვერი
78,Rauch::N,rök,ბოლი
79,Rauch::N,rök,კვამლი
80,Funke::N,gnista,ნაკვესი
81,Feuer::N,eld,ცეცხლი
82,Licht::N,ljus,შუქი
83,Licht::N,ljus,სინათლე
84,Schatten::N,skugga,ლანდი
85,Schatten::N,skugga,ჩრდილი
86,Wetter::N,väder,ამინდი
87,Nebel::N,dimma,ნისლი
88,Nebel::N,töcken,ნისლი
89,Wolke::N,sky,ღრუბელი
90,Wolke::N,moln,ღრუბელი
91,Regen::N,regn,წვიმა
92,Schnee::N,snö,თოვლი
93,Eis::N,is,თოში
94,Eis::N,is,ყინული
95,Frost::N,frost,ყინვა
96,Kälte::N,köld,სიცივე
97,Hitze::N,hetta,სიცხე
98,Raureif::N,rimfrost,ჭირხლი
99,Raureif::N,rimfrost,თრთვილი
100,Regenbogen::N,regnbåge,ცისარტყელა
101,Donner::N,åska,ქუხილი
102,Donner::N,dunder,ქუხილი
103,Strömung::N,strömning,დინება
104,Tropfen::N,dropper,წვეთი
105,Schaum::N,skum,ქაფი
106,Schaum::N,skum,დორბლი
107,Schmutz::N,lort,ჭუჭყი
108,Schmutz::N,lort,ტალახი
109,Schmutz::N,smuts,ჭუჭყი
110,Schmutz::N,smuts,ტალახი
111,See::N,sjö,ტბა
112,Sumpf::N,träsk,ჭაობი
113,Moor::N,myr,ტორფნარი
114,Moor::N,mosse,ტორფნარი
115,Wiese::N,äng,ველი
116,Wiese::N,äng,მდელო
117,Wald::N,skog,ტყე
118,Hügel::N,höjd,ბორცვი
119,Hügel::N,kulle,ბორცვი
120,Anhöhe::N,höjd,მაღლობი
121,Anhöhe::N,backe,მაღლობი
122,Berg::N,berg,მთა
123,Berg::N,fjäll,მთა
124,Gipfel::N,topp,მწვერვალი
125,Höhle::N,håla,მღვიმე
126,Höhle::N,håla,გამოქვებული
127,Höhle::N,grotta,მღვიმე
128,Höhle::N,grotta,გამოქვებული
129,Abhang::N,slänt,ფერდობი
130,Abhang::N,sluttning,ფერდობი
131,Quelle::N,källa,წყარო
132,Quelle::N,källa,სათავე
133,Bach::N,bäck,რუ
134,Bach::N,bäck,ნაკადული
135,Fluss::N,älv,მდინარე
136,Fluss::N,flod,მდინარე
137,Ufer::N,strand,კიდე
138,Ufer::N,strand,ნაპირი
139,Küste::N,kust,ნაპირი
140,Festland::N,fastland,ხმელეთი
141,Meer::N,hav,ზღვა
142,Bucht::N,vik,ყურე
143,Bucht::N,bukt,ყურე
144,Insel::N,ö,კუნძული
145,Blume::N,blomma,ყვავილი
146,Blume::N,blomster,ყვავილი
147,Gras::N,gräs,ბალახი
148,Wurzel::N,rot,ძირი
149,Wurzel::N,rot,ფესვი
150,Baum::N,träd,ხე
151,Stamm::N,stam,ტანი
152,Rinde::N,bark,ქერქი
153,Ast::N,gren,ტოტი
154,Zweig::N,kvist,შტო
155,Blatt::N,löv,ფოთოლი
156,Blatt::N,blad,ფოთოლი
157,Birke::N,björk,არყი
158,Kiefer[Baum]::N,tall,ფიჭვი
159,Weide[Baum]::N,pil,ტირიფი
160,Weide[Baum]::N,vide,ტირიფი
161,Tanne::N,gran,ნაძვი
162,Horn::N,horn,რქა
163,Feder::N,fjäder,ფრთა
164,Fell::N,fäll,ტყავი
165,Fell::N,skinn,ტყავი
166,Flügel::N,vinge,ფრთა
167,Klaue::N,klöv,კლანჭი
168,Kralle::N,klo,ტორი
169,Schwanz::N,svans,კუდი
170,Schwanz::N,stjärt,კუდი
171,Ei::N,ägg,კვერცხი
172,Nest::N,rede,ბუდე
173,Nest::N,näste,ბუდე
174,Bau::N,bo,სორო
175,Tier::N,djur,ნადირი
176,Tier::N,djur,ცხოველი
177,Herde::N,flock,ფარა
178,Kuh::N,ko,ფური
179,Kuh::N,ko,ძროხა
180,Bulle::N,tjur,ხარი
181,Pferd::N,häst,რაში
182,Pferd::N,häst,ცხენი
183,Schaf::N,får,ცხვარი
184,Schwein::N,svin,ღორი
185,Hund::N,hund,ძაღლი
186,Katze::N,katt,კატა
187,Bär::N,björn,დათვი
188,Eichhörnchen::N,ekorre,ციყვი
189,Elch::N,älg,ცხენ-ირემი
190,Fuchs::N,räv,მელა
191,Hase::N,hare,კურდღელი
192,Maus::N,mus,თაგვი
193,Wolf::N,varg,მგელი
194,Vogel::N,fågel,ჩიტი
195,Vogel::N,fågel,ფრინველი
196,Schwarm::N,svärm,გუნდი
197,Huhn::N,höns,დედალი
198,Hahn::N,tupp,მამალი
199,Gans::N,gås,ბატი
200,Adler::N,örn,არწივი
201,Ente::N,anka,იხვი
202,Eule::N,uggla,ბუ
203,Kranich::N,trana,წერო
204,Krähe::N,kråka,ყვავი
205,Kuckuck::N,gök,გუგული
206,Schwan::N,svan,გედი
207,Fisch::N,fisk,თევზი
208,Barsch::N,abborre,ქორჭილა
209,Hecht::N,gädda,ქარიყლაპია
210,Schlange[Tier]::N,orm,გველი
211,Wurm::N,mask,ჭია
212,Spinne::N,spindel,ობობა
213,Ameise::N,myra,ჭიანჭველა
214,Laus::N,lus,ტილი
215,Laus::N,lus,მკბენარი
216,Mücke::N,mygga,კოღო
217,Fliege::N,fluga,ბუზი
218,Schmetterling::N,fjäril,პეპელა
219,Beere::N,bär,კენკრა
220,Apfel::N,äpple,ვაშლი
221,Pilz::N,svamp,სოკო
222,Zwiebel::N,lök,ხახვი
223,Saat::N,sådd,თესლი
224,Korn::N,korn,მარცვალი
225,Heu::N,hö,თივა
226,Schale::N,skal,ჩენჩო
227,Grube::N,grop,ორმო
228,Falle::N,fälla,ხაფანგი
229,Schlinge::N,snara,მახე
230,Spur::N,spår,კვალი
231,Asche::N,aska,ფერფლი
232,Dreck::N,lort,ტალახი
233,Dreck::N,lort,სიბინძურე
234,Eisen::N,järn,რკინა
235,Gold::N,guld,ოქრო
236,Silber::N,silver,ვერცხლი
237,Kohle::N,kol,ნახშირი
238,Glas::N,glas,მინა
239,Lehm::N,lera,თიხა
240,Sand::N,sand,ქვიშა
241,Mensch::N,människa,ადამიანი
242,Mann::N,man,კაცი
243,Frau::N,kvinna,ქალი
244,Kind::N,barn,ბავშვი
245,Junge::N,pojke,ვაჟი
246,Mädchen::N,flicka,გოგო
247,Familie::N,familj,ოჯახი
248,Großvater::N,morfar,პაპა
249,Großvater::N,morfar,ბაბუა
250,Großmutter::N,farmor,ბებია
251,Großmutter::N,farmor,დიდედა
252,Eltern::N,föräldrar,მშობლები
253,Vater::N,far,მამა
254,Mutter::N,mor,დედა
255,Sohn::N,son,ვაჟიშვილი
256,Tochter::N,dotter,ქალიშვილი
257,Bruder::N,bror,ძმა
258,Schwester::N,syster,და
259,Onkel::N,morbror,ბიძა
260,Tante::N,tant,დეიდა
261,Tante::N,tant,მამიდა
262,Ehemann::N,äkta man,ქმარი
263,Ehefrau::N,hustru,ცოლი
264,Freude::N,fröjd,სიხარული
265,Freude::N,glädje,სიხარული
266,Gelächter::N,åtlöje,სიცილი
267,Glück::N,lycka,ბედნიერება
268,Kummer::N,sorg,მწუხარება
269,Wunsch::N,önskan,წადილი
270,Wunsch::N,önskan,სურვილი
271,Lust::N,lust,წადილი
272,Geist::N,ande,სული
273,Gedanke::N,tanke,ფიქრი
274,Gedächtnis::N,minne,მეხსიერება
275,Verstand::N,förstånd,ჭკუა
276,Verstand::N,förstånd,გონება
277,Sinn::N,mening,მნიშვნელობა
278,Sinn::N,betydelse,მნიშვნელობა
279,Grund::N,skäl,მიზეზი
280,Grund::N,grund,მიზეზი
281,Wahrheit::N,sanning,სიმართლე
282,Wahrheit::N,sanning,ჭეშმარიტება
283,Gespräch::N,samtal,ბაასი
284,Gespräch::N,samtal,საუბარი
285,Märchen::N,saga,არაკი
286,Märchen::N,saga,ზღაპარი
287,Erzählung::N,berättelse,თქმულება
288,Nachricht::N,meddelande,ცნობა
289,Nachricht::N,meddelande,ამბავი
290,Neuigkeit::N,nyhet,სიახლე
291,Name::N,namn,სახელი
292,Rätsel::N,gåta,გამოცანა
293,Rede::N,tal,სიტყვა
294,Sprache::N,språk,ენა
295,Stimme::N,stämma,ხმა
296,Wort::N,ord,სიტყვა
297,Zeichen::N,tecken,ნიშანი
298,Ruf::N,rop,ძახილი
299,Lärm::N,bråk,ხმაური
300,Lärm::N,oväsen,ხმაური
301,Laut::N,ljud,ხმა
302,Laut::N,ljud,ბგერა
303,Ton::N,ton,ტონი
304,Lied::N,sång,სიმღერა
305,Ruhe::N,ro,სიწყნარე
306,Ruhe::N,lugn,სიწყნარე
307,Leute::N,folk,ადამიანები
308,Volk::N,folk,ერი
309,Volk::N,folk,ხალხი
310,Arbeit::N,arbete,მუშაობა
311,Gast::N,gäst,სტუმარი
312,Geschenk::N,gåva,საჩუქარი
313,Geschenk::N,present,საჩუქარი
