,Concept_ID,fr,no
0,Auge::N,œil,øye
1,Ohr::N,oreille,øre
2,Nase::N,nez,nese
3,Mund::N,bouche,munn
4,Zahn::N,dent,tann
5,Zunge::N,langue,tunge
6,Lippe::N,lèvre,leppe
7,Wange::N,joue,kinn
8,Gesicht::N,face,fjes
9,Gesicht::N,face,ansikt
10,Gesicht::N,visage,fjes
11,Gesicht::N,visage,ansikt
12,Stirn::N,front,panne
13,Haar::N,cheveu,hår
14,Schnurrbart::N,moustache,bart
15,Bart::N,barbe,skjegg
16,Kinn::N,menton,hake
17,Kiefer[Anatomie]::N,mâchoire,kjeve
18,Kehle::N,gorge,strupe
19,Hals::N,cou,hals
20,Genick::N,nuque,nakke
21,Kopf::N,tête,hode
22,Rücken::N,dos,rygg
23,Bauch::N,ventre,buk
24,Bauch::N,ventre,mage
25,Nabel::N,nombril,navle
26,Busen::N,sein,barm
27,Brust::N,poitrine,bryst
28,Schulter::N,épaule,skulder
29,Arm::N,bras,arm
30,Ellenbogen::N,coude,albue
31,Hand::N,main,hånd
32,Handfläche::N,paume,håndflate
33,Finger::N,doigt,finger
34,Fingernagel::N,ongle,fingernegl
35,Nagel[Anatomie]::N,ongle,negl
36,Zeh::N,orteil,tå
37,Zeh::N,doigt de pied,tå
38,Fuß::N,pied,fot
39,Ferse::N,talon,hæl
40,Knie::N,genou,kne
41,Oberschenkel::N,cuisse,lår
42,Bein::N,jambe,bein
43,Körper::N,corps,kropp
44,Körper::N,corps,legeme
45,Haut::N,peau,hud
46,Haut::N,peau,skinn
47,Blut::N,sang,blod
48,Ader::N,veine,åre
49,Sehne::N,tendon,sene
50,Knochen::N,os,bein
51,Knochen::N,os,knokkel
52,Gehirn::N,cerveau,hjerne
53,Herz::N,cœur,hjerte
54,Magen::N,estomac,mage
55,Leber::N,foie,lever
56,Atem::N,haleine,pust
57,Hunger::N,faim,sult
58,Träne::N,larme,tåre
59,Geschmack::N,goût,smak
60,Geschmack::N,saveur,smak
61,Geruch::N,odeur,lukt
62,Schlaf::N,sommeil,søvn
63,Traum::N,songe,drøm
64,Himmel::N,ciel,himmel
65,Sonne::N,soleil,sol
66,Mond::N,lune,måne
67,Stern::N,étoile,stjerne
68,Luft::N,air,luft
69,Wind::N,vent,vind
70,Welle::N,vague,bølge
71,Wasser::N,eau,vann
72,Stein::N,pierre,stein
73,Boden::N,sol,bakke
74,Boden::N,terrain,bakke
75,Erde::N,terre,jord
76,Staub::N,poussière,støv
77,Rauch::N,fumée,røyk
78,Funke::N,étincelle,gnist
79,Feuer::N,feu,ild
80,Licht::N,lumière,lys
