,Concept_ID,no,fi
0,Auge::N,øye,silmä
1,Ohr::N,øre,korva
2,Nase::N,nese,nenä
3,Mund::N,munn,suu
4,Zahn::N,tann,hammas
5,Zunge::N,tunge,kieli
6,Lippe::N,leppe,huuli
7,Wange::N,kinn,poski
8,Gesicht::N,fjes,naama
9,Gesicht::N,fjes,kasvot
10,Gesicht::N,ansikt,naama
11,Gesicht::N,ansikt,kasvot
12,Stirn::N,panne,otsa
13,Haar::N,hår,hius
14,Haar::N,hår,tukka
15,Schnurrbart::N,bart,viikset
16,Bart::N,skjegg,parta
17,Kinn::N,hake,leuka
18,Kiefer[Anatomie]::N,kjeve,leukaluu
19,Kehle::N,strupe,kurkku
20,Hals::N,hals,kaula
21,Genick::N,nakke,niska
22,Kopf::N,hode,pää
23,Rücken::N,rygg,selkä
24,Bauch::N,buk,maha
25,Bauch::N,buk,vatsa
26,Bauch::N,mage,maha
27,Bauch::N,mage,vatsa
28,Nabel::N,navle,napa
29,Busen::N,barm,rinta
30,Brust::N,bryst,rinta
31,Schulter::N,skulder,olka
32,Schulter::N,skulder,hartia
33,Schulter::N,skulder,olkapää
34,Arm::N,arm,käsivarsi
35,Ellenbogen::N,albue,kyynärpää
36,Hand::N,hånd,käsi
37,Handfläche::N,håndflate,kämmen
38,Finger::N,finger,sormi
39,Fingernagel::N,fingernegl,kynsi
40,Nagel[Anatomie]::N,negl,kynsi
41,Zeh::N,tå,varvas
42,Fuß::N,fot,jalka
43,Ferse::N,hæl,kantapää
44,Knie::N,kne,polvi
45,Oberschenkel::N,lår,reisi
46,Bein::N,bein,jalka
47,Körper::N,kropp,keho
48,Körper::N,kropp,ruumis
49,Körper::N,legeme,keho
50,Körper::N,legeme,ruumis
51,Haut::N,hud,iho
52,Haut::N,skinn,iho
53,Blut::N,blod,veri
54,Ader::N,åre,suoni
55,Sehne::N,sene,jänne
56,Knochen::N,bein,luu
57,Knochen::N,knokkel,luu
58,Gehirn::N,hjerne,aivot
59,Herz::N,hjerte,sydän
60,Magen::N,mage,maha
61,Magen::N,mage,vatsa
62,Leber::N,lever,maksa
63,Atem::N,pust,henki
64,Atem::N,pust,hengitys
65,Hunger::N,sult,nälkä
66,Träne::N,tåre,kyynel
67,Geschmack::N,smak,maku
68,Geruch::N,lukt,haju
69,Schlaf::N,søvn,uni
70,Traum::N,drøm,uni
71,Himmel::N,himmel,taivas
72,Sonne::N,sol,aurinko
73,Mond::N,måne,kuu
74,Stern::N,stjerne,tähti
75,Luft::N,luft,ilma
76,Wind::N,vind,tuuli
77,Welle::N,bølge,aalto
78,Wasser::N,vann,vesi
79,Stein::N,stein,kivi
80,Boden::N,bakke,maa
81,Boden::N,bakke,maaperä
82,Erde::N,jord,maa
83,Staub::N,støv,pöly
84,Rauch::N,røyk,savu
85,Funke::N,gnist,kipinä
86,Feuer::N,ild,tuli
87,Licht::N,lys,valo
88,Schatten::N,skygge,varjo
89,Wetter::N,vær,sää
90,Nebel::N,tåke,sumu
91,Wolke::N,sky,pilvi
92,Regen::N,regn,sade
93,Schnee::N,snø,lumi
94,Eis::N,is,jää
95,Frost::N,frost,halla
96,Frost::N,frost,pakkanen
97,Kälte::N,kulde,vilu
98,Kälte::N,kulde,kylmyys
99,Hitze::N,hete,helle
100,Hitze::N,hete,kuumuus
101,Raureif::N,rimfrost,huurre
102,Regenbogen::N,regnbue,sateenkaari
103,Donner::N,torden,jyrinä
104,Strömung::N,strømning,virtaus
105,Tropfen::N,dråpe,tippa
106,Tropfen::N,dråpe,pisara
107,Schaum::N,skum,vaahto
108,Schmutz::N,søl,loka
109,Schmutz::N,skitt,loka
110,See::N,sjø,järvi
111,Sumpf::N,sump,suo
112,Sumpf::N,myrlende,suo
113,Moor::N,myr,räme
114,Moor::N,myrhei,räme
115,Wiese::N,eng,niitty
116,Wald::N,skog,metsä
117,Hügel::N,haug,mäki
118,Hügel::N,haug,kumpu
119,Hügel::N,haug,kukkula
120,Hügel::N,bakke,mäki
121,Hügel::N,bakke,kumpu
122,Hügel::N,bakke,kukkula
123,Anhöhe::N,haug,mäki
124,Anhöhe::N,haug,kumpare
125,Anhöhe::N,bakke,mäki
126,Anhöhe::N,bakke,kumpare
127,Berg::N,berg,mäki
128,Berg::N,berg,vuori
129,Berg::N,fjell,mäki
130,Berg::N,fjell,vuori
131,Gipfel::N,topp,laki
132,Gipfel::N,topp,huippu
133,Höhle::N,hule,luola
134,Abhang::N,li,rinne
135,Abhang::N,skråning,rinne
136,Quelle::N,kilde,lähde
137,Bach::N,bekk,puro
138,Fluss::N,elv,joki
139,Ufer::N,bredd,ranta
140,Küste::N,kyst,rannikko
141,Festland::N,fastland,manner
142,Meer::N,hav,meri
143,Bucht::N,bukt,lahti
144,Insel::N,øy,saari
145,Blume::N,blomst,kukka
146,Gras::N,gress,ruoho
147,Wurzel::N,rot,juuri
148,Baum::N,tre,puu
149,Stamm::N,stamme,runko
150,Rinde::N,bark,kuori
151,Rinde::N,bark,parkki
152,Ast::N,gren,oksa
153,Zweig::N,kvist,haara
154,Blatt::N,blad,lehti
155,Birke::N,bjørk,koivu
156,Kiefer[Baum]::N,furu,mänty
157,Kiefer[Baum]::N,furu,petäjä
158,Weide[Baum]::N,selje,paju
159,Weide[Baum]::N,piletre,paju
160,Tanne::N,gran,kuusi
161,Horn::N,horn,sarvi
162,Feder::N,fjær,sulka
