,Concept_ID,hr,az
0,Auge::N,oko,göz
1,Ohr::N,uho,qulaq
2,Nase::N,nos,burun
3,Mund::N,usta,ağız
4,Zahn::N,zub,diş
5,Zunge::N,jezik,dil
6,Lippe::N,usna,dodaq
7,Wange::N,obraz,yanaq
8,Gesicht::N,lice,üz
9,Stirn::N,čelo,alın
10,Haar::N,kosa,saç
11,Schnurrbart::N,brkovi,bığ
12,Bart::N,brada,saqqal
13,Kinn::N,brada,çənə
14,Kinn::N,podbradak,çənə
15,Kiefer[Anatomie]::N,čeljust,çənə
16,Kehle::N,grlo,boğaz
17,Hals::N,vrat,boyun
18,Genick::N,zatiljak,ənsə
19,Kopf::N,glava,baş
20,Rücken::N,leđa,bel
21,Rücken::N,hrbat,bel
22,Bauch::N,trbuh,qarın
23,Nabel::N,pupak,göbək
24,Busen::N,sisa,məmə
25,Busen::N,njedra,məmə
26,Brust::N,prsa,döş
27,Schulter::N,rame,çiyin
28,Schulter::N,pleći,çiyin
29,Arm::N,ruka,qol
30,Ellenbogen::N,lakat,dirsək
31,Hand::N,ruka,əl
32,Handfläche::N,dlan,ovuc
33,Finger::N,prst,barmaq
34,Fingernagel::N,nokat,barmaq dırnağı
35,Nagel[Anatomie]::N,nokat,dırnak
36,Zeh::N,nozni prst,ayaq barmağı
37,Fuß::N,noga,ayaq
38,Fuß::N,stopalo,ayaq
39,Ferse::N,peta,daban
40,Knie::N,koljeno,diz
41,Oberschenkel::N,bedro,bud
42,Bein::N,noga,qıç
43,Körper::N,tijelo,əndam
44,Haut::N,put,dəri
45,Haut::N,koža,dəri
46,Blut::N,krv,qan
47,Ader::N,žila,damar
48,Sehne::N,tetiva,vətər
49,Knochen::N,kost,sümük
50,Herz::N,srce,ürək
51,Magen::N,stomak,mədə
52,Magen::N,želudac,mədə
53,Leber::N,jetra,qara ciyər
54,Atem::N,dah,nəfəs
55,Hunger::N,glad,aclıq
56,Träne::N,suza,göz yaşı
57,Geschmack::N,ukus,tam
58,Geschmack::N,ukus,ləzzət
59,Geruch::N,njuh,qoxu
60,Geruch::N,miris,qoxu
61,Schlaf::N,san,yuxu
62,Traum::N,san,röya
63,Himmel::N,nebo,göy
64,Himmel::N,nebo,səma
65,Sonne::N,sunce,günəş
66,Mond::N,mjesec,ay
67,Stern::N,zvijezda,ulduz
68,Luft::N,zrak,hava
69,Wind::N,vjetar,yel
70,Wind::N,vjetar,külək
71,Welle::N,val,dalğa
72,Welle::N,talas,dalğa
73,Wasser::N,voda,su
74,Stein::N,kamen,daş
75,Boden::N,tlo,yer
76,Boden::N,tlo,zəmin
77,Boden::N,zemlja,yer
78,Boden::N,zemlja,zəmin
79,Erde::N,zemlja,yer torpaq
80,Staub::N,prah,toz
81,Staub::N,prašina,toz
82,Rauch::N,dim,tüstü
83,Funke::N,iskra,qığılcım
84,Funke::N,varnica,qığılcım
85,Feuer::N,vatra,od
