,Concept_ID,fr,nl
0,Auge::N,œil,oog
1,Ohr::N,oreille,oor
2,Nase::N,nez,neus
3,Mund::N,bouche,mond
4,Zahn::N,dent,tand
5,Zunge::N,langue,tong
6,Lippe::N,lèvre,lip
7,Wange::N,joue,wang
8,Gesicht::N,face,gelaat
9,Gesicht::N,face,gezicht
10,Gesicht::N,visage,gelaat
11,Gesicht::N,visage,gezicht
12,Stirn::N,front,voorhoofd
13,Haar::N,cheveu,haar
14,Schnurrbart::N,moustache,snor
15,Bart::N,barbe,baard
16,Kinn::N,menton,kin
17,Kiefer[Anatomie]::N,mâchoire,kaak
18,Kehle::N,gorge,keel
19,Kehle::N,gorge,strot
20,Hals::N,cou,hals
21,Genick::N,nuque,nek
22,Kopf::N,tête,hoofd
23,Rücken::N,dos,rug
24,Bauch::N,ventre,buik
25,Nabel::N,nombril,navel
26,Busen::N,sein,boezem
27,Brust::N,poitrine,borst
28,Schulter::N,épaule,schouder
29,Arm::N,bras,arm
30,Ellenbogen::N,coude,elleboog
31,Hand::N,main,hand
32,Handfläche::N,paume,handpalm
33,Finger::N,doigt,vinger
34,Fingernagel::N,ongle,nagel
35,Nagel[Anatomie]::N,ongle,nagel
36,Zeh::N,orteil,teen
37,Zeh::N,doigt de pied,teen
38,Fuß::N,pied,voet
39,Ferse::N,talon,hak
40,Ferse::N,talon,hiel
41,Knie::N,genou,knie
42,Oberschenkel::N,cuisse,dij
43,Bein::N,jambe,been
44,Körper::N,corps,lichaam
45,Haut::N,peau,huid
46,Blut::N,sang,bloed
47,Ader::N,veine,ader
48,Sehne::N,tendon,pees
49,Knochen::N,os,bot
50,Knochen::N,os,been
51,Knochen::N,os,knook
52,Gehirn::N,cerveau,hersenen
53,Herz::N,cœur,hart
54,Magen::N,estomac,maag
55,Leber::N,foie,lever
56,Atem::N,haleine,adem
57,Hunger::N,faim,honger
58,Träne::N,larme,traan
59,Geschmack::N,goût,smaak
60,Geschmack::N,saveur,smaak
61,Geruch::N,odeur,geur
62,Schlaf::N,sommeil,slaap
63,Traum::N,songe,droom
64,Himmel::N,ciel,hemel
65,Sonne::N,soleil,zon
66,Mond::N,lune,maan
67,Stern::N,étoile,ster
68,Luft::N,air,lucht
69,Wind::N,vent,wind
70,Welle::N,vague,golf
71,Wasser::N,eau,water
72,Stein::N,pierre,steen
73,Boden::N,sol,grond
74,Boden::N,terrain,grond
75,Erde::N,terre,aarde
76,Staub::N,poussière,stof
77,Rauch::N,fumée,rook
78,Funke::N,étincelle,vonk
79,Feuer::N,feu,vuur
80,Licht::N,lumière,licht
81,Schatten::N,ombre,schaduw
82,Wetter::N,temps,weer
83,Nebel::N,brume,mist
84,Nebel::N,brume,nevel
85,Nebel::N,brouillard,mist
86,Nebel::N,brouillard,nevel
87,Wolke::N,nuage,wolk
88,Regen::N,pluie,regen
89,Schnee::N,neige,sneeuw
90,Eis::N,glace,ijs
91,Frost::N,gel,vorst
92,Frost::N,gelée,vorst
93,Kälte::N,froid,kou
94,Kälte::N,froid,koude
95,Hitze::N,chaleur,hitte
96,Raureif::N,givre,rijp
97,Regenbogen::N,arc-en-ciel,regenboog
98,Donner::N,tonnerre,donder
99,Strömung::N,courant,stroming
100,Tropfen::N,goutte,druppel
101,Schaum::N,écume,schuim
102,Schaum::N,mousse,schuim
103,Schmutz::N,boue,vuil
104,Schmutz::N,saleté,vuil
105,See::N,lac,meer
106,Sumpf::N,marais,moeras
107,Sumpf::N,marécage,moeras
108,Moor::N,tourbière,veen
109,Wiese::N,pré,wei
110,Wiese::N,pré,weide
111,Wald::N,bois,bos
112,Wald::N,forêt,bos
113,Hügel::N,coteau,heuvel
114,Hügel::N,colline,heuvel
115,Anhöhe::N,éminence,hoogte
116,Anhöhe::N,élévation,hoogte
117,Berg::N,mont,berg
118,Berg::N,montagne,berg
119,Gipfel::N,cime,top
120,Gipfel::N,sommet,top
121,Höhle::N,caverne,hol
122,Abhang::N,pente,helling
123,Abhang::N,versant,helling
124,Quelle::N,source,bron
125,Quelle::N,fontaine,bron
126,Bach::N,ruisseau,beek
127,Fluss::N,fleuve,stroom
128,Fluss::N,rivière,stroom
129,Ufer::N,bord,wal
130,Ufer::N,bord,oever
131,Ufer::N,rivage,wal
132,Ufer::N,rivage,oever
133,Küste::N,côte,kust
134,Festland::N,terre ferme,vasteland
135,Meer::N,mer,zee
136,Bucht::N,baie,baai
137,Bucht::N,baie,inham
138,Insel::N,île,eiland
139,Blume::N,fleur,bloem
140,Gras::N,herbe,gras
141,Wurzel::N,racine,wortel
142,Baum::N,arbre,boom
143,Stamm::N,tronc,stam
144,Rinde::N,écorce,schors
145,Ast::N,branche,tak
146,Zweig::N,rameau,twijg
147,Blatt::N,feuille,blad
148,Birke::N,bouleau,berk
149,Kiefer[Baum]::N,pin,den
150,Weide[Baum]::N,saule,wilg
151,Tanne::N,sapin,spar
152,Horn::N,corne,hoorn
153,Feder::N,plume,veer
154,Feder::N,plume,pluim
155,Fell::N,peau,vel
156,Flügel::N,aile,vleugel
157,Klaue::N,serre,klauw
158,Kralle::N,ongle,klauw
159,Kralle::N,griffe,klauw
160,Schwanz::N,queue,staart
161,Ei::N,œuf,ei
162,Nest::N,nid,nest
163,Bau::N,terrier,hol
164,Tier::N,animal,dier
165,Herde::N,troupeau,kudde
166,Kuh::N,vache,koe
167,Bulle::N,taureau,stier
168,Pferd::N,cheval,paard
169,Schaf::N,mouton,schaap
170,Schwein::N,porc,varken
171,Schwein::N,cochon,varken
172,Hund::N,chien,hond
173,Katze::N,chat,kat
174,Bär::N,ours,beer
175,Eichhörnchen::N,écureuil,eekhoorntje
176,Elch::N,élan,eland
177,Fuchs::N,renard,vos
178,Hase::N,lièvre,haas
179,Maus::N,souris,muis
180,Wolf::N,loup,wolf
181,Vogel::N,oiseau,vogel
182,Schwarm::N,nuée,zwerm
183,Schwarm::N,volée,zwerm
184,Huhn::N,poule,kip
185,Huhn::N,poule,hoen
186,Hahn::N,coq,haan
187,Gans::N,oie,gans
188,Adler::N,aigle,arend
189,Ente::N,canard,eend
190,Eule::N,hibou,uil
191,Kranich::N,grue,kraanvogel
192,Krähe::N,corneille,kraai
193,Kuckuck::N,coucou,koekoek
194,Schwan::N,cygne,zwaan
195,Fisch::N,poisson,vis
196,Barsch::N,perche,baars
197,Hecht::N,brochet,snoek
198,Schlange[Tier]::N,serpent,slang
199,Wurm::N,ver,worm
200,Spinne::N,araignée,spin
201,Ameise::N,fourmi,mier
202,Laus::N,pou,luis
203,Mücke::N,moucheron,mug
204,Fliege::N,mouche,vlieg
205,Schmetterling::N,papillon,vlinder
206,Beere::N,baie,bes
207,Apfel::N,pomme,appel
208,Pilz::N,champignon,paddestoel
209,Zwiebel::N,oignon,ui
210,Saat::N,semence,zaad
211,Korn::N,grain,graan
212,Korn::N,grain,korrel
213,Heu::N,foin,hooi
214,Schale::N,pelure,schil
215,Grube::N,fosse,kuil
216,Falle::N,piège,val
217,Schlinge::N,lacs,strop
218,Spur::N,trace,spoor
219,Asche::N,cendre,as
220,Dreck::N,crotte,drek
221,Eisen::N,fer,ijzer
222,Gold::N,or,goud
223,Silber::N,argent,zilver
224,Kohle::N,charbon,kool
225,Glas::N,verre,glas
226,Lehm::N,glaise,klei
227,Sand::N,sable,zand
228,Mensch::N,homme,mens
229,Mann::N,homme,man
230,Frau::N,femme,vrouw
231,Kind::N,enfant,kind
232,Junge::N,garçon,jongen
233,Mädchen::N,fille,meisje
234,Mädchen::N,jeune fille,meisje
235,Familie::N,famille,gezin
236,Familie::N,famille,familie
237,Großvater::N,grand-père,grootvader
238,Großmutter::N,grand-mère,grootmoeder
239,Eltern::N,parents,ouders
240,Vater::N,père,vader
241,Mutter::N,mère,moeder
242,Sohn::N,fils,zoon
243,Tochter::N,fille,dochter
244,Bruder::N,frère,broer
245,Bruder::N,frère,broeder
246,Schwester::N,sœur,zus
247,Schwester::N,sœur,zuster
248,Onkel::N,oncle,oom
249,Tante::N,tante,tante
250,Ehemann::N,mari,echtgenoot
251,Ehemann::N,époux,echtgenoot
252,Ehefrau::N,femme,echtgenote
253,Ehefrau::N,épouse,echtgenote
254,Freude::N,joie,vreugde
255,Freude::N,plaisir,vreugde
256,Gelächter::N,rires,gelach
257,Glück::N,bonheur,geluk
258,Kummer::N,peine,verdriet
259,Kummer::N,chagrin,verdriet
260,Wunsch::N,désir,wens
261,Wunsch::N,désir,verlangen
262,Lust::N,envie,zin
263,Lust::N,envie,lust
264,Geist::N,esprit,geest
265,Gedanke::N,idée,gedachte
266,Gedanke::N,pensée,gedachte
267,Gedächtnis::N,mémoire,geheugen
268,Verstand::N,raison,verstand
269,Sinn::N,sens,betekenis
270,Grund::N,cause,reden
271,Grund::N,raison,reden
272,Wahrheit::N,vérité,waarheid
273,Gespräch::N,conversation,gesprek
274,Märchen::N,conte,sprookje
275,Märchen::N,conte de fées,sprookje
276,Erzählung::N,conte,verhaal
277,Erzählung::N,narration,verhaal
278,Nachricht::N,message,tijding
279,Neuigkeit::N,nouvelle,nieuws
280,Neuigkeit::N,nouvelle,nieuwtje
281,Name::N,nom,naam
282,Rätsel::N,énigme,raadsel
283,Rätsel::N,devinette,raadsel
284,Rede::N,parole,rede
285,Rede::N,discours,rede
286,Sprache::N,langue,taal
287,Sprache::N,langage,taal
288,Stimme::N,voix,stem
289,Wort::N,mot,woord
290,Zeichen::N,signe,teken
291,Ruf::N,cri,roep
292,Ruf::N,appel,roep
293,Lärm::N,bruit,lawaai
294,Laut::N,son,klank
295,Laut::N,son,geluid
296,Ton::N,ton,toon
297,Ton::N,ton,klank
298,Lied::N,chant,lied
299,Lied::N,chanson,lied
300,Ruhe::N,calme,rust
301,Ruhe::N,calme,stilte
302,Ruhe::N,tranquillité,rust
303,Ruhe::N,tranquillité,stilte
304,Leute::N,gens,lui
305,Leute::N,gens,mensen
306,Volk::N,peuple,volk
307,Arbeit::N,travail,werk
308,Arbeit::N,travail,arbeid
309,Gast::N,hôte,gast
310,Gast::N,invité,gast
311,Geschenk::N,cadeau,cadeau
312,Geschenk::N,cadeau,geschenk
313,Geschenk::N,présent,cadeau
314,Geschenk::N,présent,geschenk
315,Spiel::N,jeu,spel
316,Gesellschaft::N,compagnie,gezelschap
317,Hilfe::N,aide,hulp
318,Hilfe::N,secours,hulp
319,Freund::N,ami,vriend
320,Kamerad::N,copain,maat
321,Kamerad::N,copain,metgezel
322,Kamerad::N,camarade,maat
323,Kamerad::N,camarade,metgezel
324,Angelegenheit::N,affaire,zaak
325,Angelegenheit::N,affaire,aangelegenheid
326,Anzahl::N,nombre,tal
327,Anzahl::N,nombre,aantal
328,Art::N,sorte,slag
329,Art::N,sorte,soort
330,Art::N,espèce,slag
331,Art::N,espèce,soort
332,Stück::N,morceau,stuk
333,Teil::N,part,deel
334,Teil::N,partie,deel
335,Hälfte::N,moitié,helft
