,Concept_ID,hi,udm
0,Auge::N,आँख,син
1,Auge::N,चक्षु,син
2,Ohr::N,कान,пель
3,Ohr::N,कर्ण,пель
4,Nase::N,नाक,ныр
5,Nase::N,नासा,ныр
6,Mund::N,मुख,ым
7,Mund::N,मुँह,ым
8,Zahn::N,दंत,пинь
9,Zahn::N,दाँत,пинь
10,Zunge::N,जीभ,кыл
11,Zunge::N,ज़बान,кыл
12,Zunge::N,जिह्वा,кыл
13,Lippe::N,ओंठ,ымдур
14,Lippe::N,होंठ,ымдур
15,Wange::N,गाल,бам
16,Wange::N,कपोल,бам
17,Gesicht::N,मुँह,ымныр
18,Gesicht::N,चेहरा,ымныр
19,Stirn::N,माथा,кымес
20,Stirn::N,मस्तक,кымес
21,Haar::N,बाल,йырси
22,Schnurrbart::N,मूँछें,мыйык
23,Bart::N,दाढ़ी,туш
24,Kinn::N,चिबुक,ангес
25,Kiefer[Anatomie]::N,जबड़ा,ан
26,Kiefer[Anatomie]::N,जबड़ा,анлы
27,Kehle::N,गला,гульым
28,Hals::N,गला,чырты
29,Hals::N,गरदन,чырты
30,Genick::N,गरदन,йырбер
31,Genick::N,ग्रीवा,йырбер
32,Kopf::N,सिर,йыр
33,Kopf::N,शीर्ष,йыр
34,Rücken::N,पीठ,мыш
35,Bauch::N,उदर,кӧт
36,Nabel::N,नाभि,гогы
37,Nabel::N,ढोंढी,гогы
38,Busen::N,कुच,ноны
39,Busen::N,स्तन,ноны
40,Brust::N,वक्ष,мӧля
41,Schulter::N,कंधा,пельпум
42,Schulter::N,स्कंध,пельпум
43,Arm::N,बाँह,суй
44,Arm::N,बाज़ू,суй
45,Ellenbogen::N,कुहनी,гырпум
46,Hand::N,हाथ,ки
47,Hand::N,हस्त,ки
48,Handfläche::N,हथेली,ки пыдэс
49,Handfläche::N,हथेली,кырым пыдэс
50,Finger::N,उँगली,чиньы
51,Finger::N,अँगुली,чиньы
52,Fingernagel::N,नख,гижы
53,Fingernagel::N,नख,гиждӥнь
54,Fingernagel::N,नाख़ून,гижы
55,Fingernagel::N,नाख़ून,гиждӥнь
56,Nagel[Anatomie]::N,नख,гижы
57,Nagel[Anatomie]::N,नाख़ून,гижы
58,Zeh::N,उँगली,пыдчиньы
59,Zeh::N,पाँव की उँगली,пыдчиньы
60,Fuß::N,चरण,пыд
61,Fuß::N,पाँव,пыд
62,Ferse::N,एड़ी,пыдбер
