,Concept_ID,myv,sv
0,Auge::N,сельме,öga
1,Ohr::N,пиле,öra
2,Nase::N,судо,näsa
3,Mund::N,курго,mun
4,Zahn::N,пей,tand
5,Zunge::N,кель,tunga
6,Lippe::N,турва,läpp
7,Wange::N,чамабока,kind
8,Wange::N,чамаумарь,kind
9,Gesicht::N,чама,syn
10,Gesicht::N,чама,ansikte
11,Stirn::N,коня,panna
12,Haar::N,черь,hår
13,Schnurrbart::N,ус,mustasch
14,Schnurrbart::N,муюк,mustasch
15,Bart::N,сакал,skägg
16,Kinn::N,уло,haka
17,Kiefer[Anatomie]::N,пейпакар,käke
18,Kiefer[Anatomie]::N,пейловажа,käke
19,Kehle::N,кирьгапарь,strupe
20,Hals::N,кирьга,hals
21,Genick::N,човонь,nacke
22,Kopf::N,пря,huvud
23,Rücken::N,копорь,rygg
24,Bauch::N,пеке,buk
25,Bauch::N,пеке,mage
26,Nabel::N,почо,navel
27,Busen::N,поте,barm
28,Brust::N,меште,bröst
29,Schulter::N,лавтов,skuldra
30,Arm::N,кедь,arm
31,Ellenbogen::N,кенерепакарь,armbåge
32,Hand::N,кедь,hand
33,Handfläche::N,кедькуншка,handflata
34,Handfläche::N,кедьлапушка,handflata
35,Finger::N,сур,finger
36,Fingernagel::N,кенже,fingernagel
37,Nagel[Anatomie]::N,кенже,nagel
38,Zeh::N,пильге сур,tå
39,Fuß::N,пильге,fot
40,Ferse::N,кочкаря,häl
41,Knie::N,эле,knä
42,Knie::N,эзне,knä
43,Knie::N,кумажа,knä
44,Oberschenkel::N,качо,lår
45,Bein::N,пильге,ben
46,Körper::N,рунго,kropp
47,Haut::N,киське,hud
48,Haut::N,киське,skinn
49,Blut::N,верь,blod
50,Ader::N,сан,åder
51,Sehne::N,коське сан,sena
52,Knochen::N,пакарь,ben
53,Gehirn::N,удем,hjärna
54,Herz::N,седей,hjärta
55,Magen::N,пеке,mage
56,Leber::N,максо,lever
57,Atem::N,лексема,anda
58,Atem::N,лексема,andedräkt
59,Atem::N,оймень таргсема,anda
60,Atem::N,оймень таргсема,andedräkt
61,Hunger::N,вачочи,svält
62,Hunger::N,вачочи,hunger
63,Träne::N,селведь,tår
64,Geschmack::N,тансть,smak
65,Geruch::N,чине,lukt
66,Schlaf::N,удома,sömn
67,Traum::N,он,dröm
68,Himmel::N,менель,himmel
69,Sonne::N,чи,sol
70,Mond::N,ков,måne
71,Stern::N,теште,stjärna
72,Luft::N,кошт,luft
73,Wind::N,варма,vind
74,Welle::N,толкун,våg
75,Welle::N,толкун,bölja
76,Wasser::N,ведь,vatten
77,Stein::N,кев,sten
78,Boden::N,мода,mark
79,Erde::N,мастор,jord
80,Staub::N,пуль,damm
81,Rauch::N,качамо,rök
82,Funke::N,сятко,gnista
83,Feuer::N,тол,eld
84,Licht::N,валдо,ljus
85,Schatten::N,сулей,skugga
86,Schatten::N,сулейкс,skugga
87,Wetter::N,ушо,väder
88,Nebel::N,сув,dimma
89,Nebel::N,сув,töcken
90,Wolke::N,пель,sky
91,Wolke::N,пель,moln
92,Regen::N,пиземс,regn
93,Schnee::N,лов,snö
94,Eis::N,эй,is
95,Frost::N,кельме,frost
96,Kälte::N,якшамо,köld
97,Hitze::N,пси,hetta
98,Raureif::N,лекш,rimfrost
99,Regenbogen::N,пурьгинечирьке,regnbåge
100,Regenbogen::N,пурьгинеёнкс,regnbåge
101,Donner::N,пурьгине,åska
102,Donner::N,пурьгине,dunder
103,Strömung::N,чудема,strömning
104,Strömung::N,чудевкс,strömning
105,Tropfen::N,петнявкс,dropper
106,Schaum::N,чов,skum
107,Schmutz::N,рудаз,lort
108,Schmutz::N,рудаз,smuts
109,See::N,эрьке,sjö
110,Sumpf::N,чей,träsk
111,Moor::N,чей,myr
112,Moor::N,чей,mosse
113,Wiese::N,луга,äng
114,Wald::N,вирь,skog
115,Hügel::N,губорь,höjd
116,Hügel::N,губорь,kulle
117,Hügel::N,пандыне,höjd
118,Hügel::N,пандыне,kulle
119,Anhöhe::N,губорь,höjd
120,Anhöhe::N,губорь,backe
121,Anhöhe::N,пандыне,höjd
122,Anhöhe::N,пандыне,backe
123,Berg::N,пандо,berg
124,Berg::N,пандо,fjäll
125,Gipfel::N,пря,topp
126,Höhle::N,пещера,håla
127,Höhle::N,пещера,grotta
128,Abhang::N,пандочама,slänt
129,Abhang::N,пандочама,sluttning
130,Quelle::N,ушодкс,källa
131,Bach::N,чудикерькс,bäck
132,Fluss::N,лей,älv
133,Fluss::N,лей,flod
134,Ufer::N,чире,strand
135,Küste::N,лейчире,kust
136,Festland::N,мода,fastland
137,Meer::N,моря,hav
138,Bucht::N,усия,vik
139,Bucht::N,усия,bukt
140,Insel::N,усия,ö
141,Blume::N,цеця,blomma
142,Blume::N,цеця,blomster
143,Gras::N,тикше,gräs
144,Wurzel::N,юр,rot
145,Wurzel::N,ундокс,rot
146,Baum::N,чувто,träd
147,Stamm::N,рунго,stam
148,Rinde::N,суд,bark
149,Rinde::N,керь,bark
150,Ast::N,морго,gren
151,Zweig::N,тарад,kvist
152,Blatt::N,лопа,löv
153,Blatt::N,лопа,blad
154,Birke::N,килей,björk
155,Kiefer[Baum]::N,пиче,tall
156,Weide[Baum]::N,каль,pil
157,Weide[Baum]::N,каль,vide
158,Tanne::N,куз,gran
159,Horn::N,сюро,horn
160,Feder::N,толга,fjäder
161,Fell::N,пона,fäll
162,Fell::N,пона,skinn
163,Flügel::N,сёлмо,vinge
164,Klaue::N,кенже,klöv
165,Kralle::N,кенже,klo
166,Schwanz::N,пуло,svans
167,Schwanz::N,пуло,stjärt
168,Ei::N,ал,ägg
169,Nest::N,пизэ,rede
170,Nest::N,пизэ,näste
171,Bau::N,варя,bo
172,Bau::N,пизе,bo
173,Tier::N,ракша,djur
174,Herde::N,стада,flock
175,Kuh::N,скал,ko
176,Bulle::N,бука,tjur
177,Pferd::N,лишме,häst
178,Schaf::N,реве,får
179,Schwein::N,туво,svin
180,Hund::N,пине,hund
181,Hund::N,киска,hund
182,Katze::N,псака,katt
183,Bär::N,овто,björn
184,Eichhörnchen::N,ур,ekorre
185,Elch::N,сярдо,älg
186,Fuchs::N,ривезь,räv
187,Hase::N,нумоло,hare
188,Maus::N,чеерь,mus
189,Wolf::N,верьгиз,varg
190,Vogel::N,нармунь,fågel
191,Schwarm::N,полк,svärm
192,Schwarm::N,стада,svärm
193,Huhn::N,сараз,höns
194,Hahn::N,атякш,tupp
195,Gans::N,гала,gås
196,Gans::N,мацей,gås
197,Adler::N,куцькан,örn
198,Adler::N,тумоатякш,örn
199,Ente::N,яксярго,anka
200,Eule::N,корж,uggla
201,Kranich::N,карго,trana
202,Krähe::N,варака,kråka
203,Kuckuck::N,куко,gök
204,Schwan::N,локсей,svan
205,Fisch::N,кал,fisk
206,Barsch::N,окунь,abborre
207,Hecht::N,щука,gädda
208,Schlange[Tier]::N,гуй,orm
209,Wurm::N,сукс,mask
210,Spinne::N,шанжав,spindel
211,Ameise::N,коткудав,myra
212,Laus::N,сий,lus
213,Mücke::N,сеське,mygga
214,Fliege::N,карво,fluga
