,Concept_ID,la,lt
0,Auge::N,oculus,akis
1,Ohr::N,auris,ausis
2,Nase::N,nasus,nosis
3,Mund::N,os,burna
4,Zahn::N,dens,dantis
5,Zunge::N,lingua,liežuvis
6,Lippe::N,labrum,lūpa
7,Wange::N,gena,žandas
8,Wange::N,gena,skruostas
9,Gesicht::N,vultus,veidas
10,Stirn::N,frons,kakta
11,Haar::N,capillus,plaukai
12,Schnurrbart::N,barba labri superioris,ūsai
13,Bart::N,barba,barzda
14,Kinn::N,mentum,smakras
15,Kiefer[Anatomie]::N,mala,žandikaulis
16,Kehle::N,iugulums,gerklė
17,Hals::N,collum,kaklas
18,Genick::N,cervices,sprandas
19,Kopf::N,caput,galva
20,Rücken::N,tergum,nugara
21,Bauch::N,venter,pilvas
22,Nabel::N,umbilicus,bamba
23,Busen::N,sinus,krūtinė
24,Brust::N,pectus,krūtis
25,Schulter::N,umerus,petys
26,Arm::N,bracchium,ranka
27,Ellenbogen::N,cubitum,alkūnė
28,Hand::N,manus,ranka
29,Hand::N,manus,plaštaka
30,Handfläche::N,palma,delnas
31,Handfläche::N,palma,plaštaka
32,Finger::N,digitus,pirštas
33,Fingernagel::N,unguiculus,nagas
34,Nagel[Anatomie]::N,unguis,nagas
35,Zeh::N,digitus,pirštas
36,Fuß::N,pes,pėda
37,Ferse::N,calx,kulnas
38,Knie::N,genu,kelis
39,Oberschenkel::N,femur,kulšis
40,Oberschenkel::N,femur,šlaunis
41,Bein::N,crus,koja
42,Körper::N,corpus,kūnas
43,Haut::N,cutis,oda
44,Haut::N,pellis,oda
45,Blut::N,sanguis,kraujas
46,Ader::N,vena,kraujagyslė
47,Sehne::N,nervus,sausgyslė
48,Knochen::N,os,kaulas
49,Gehirn::N,cerebrum,smegenys
50,Herz::N,cor,širdis
51,Herz::N,animus,širdis
52,Magen::N,stomachus,skrandis
53,Leber::N,iecur,kepenys
54,Atem::N,spiritus,kvapas
55,Hunger::N,fames,badas
56,Hunger::N,fames,alkis
57,Träne::N,lacrima,ašara
58,Geschmack::N,sapor,skonis
59,Geschmack::N,gustus,skonis
60,Geruch::N,odor,kvapas
61,Schlaf::N,somnus,miegas
62,Traum::N,somnium,sapnas
63,Himmel::N,caelum,dangus
64,Sonne::N,sol,saulė
