,Concept_ID,hi,en
0,Auge::N,आँख,eye
1,Auge::N,चक्षु,eye
2,Ohr::N,कान,ear
3,Ohr::N,कर्ण,ear
4,Nase::N,नाक,nose
5,Nase::N,नासा,nose
6,Mund::N,मुख,mouth
7,Mund::N,मुँह,mouth
8,Zahn::N,दंत,tooth
9,Zahn::N,दाँत,tooth
10,Zunge::N,जीभ,tongue
11,Zunge::N,ज़बान,tongue
12,Zunge::N,जिह्वा,tongue
13,Lippe::N,ओंठ,lip
14,Lippe::N,होंठ,lip
15,Wange::N,गाल,cheek
16,Wange::N,कपोल,cheek
17,Gesicht::N,मुँह,face
18,Gesicht::N,चेहरा,face
19,Stirn::N,माथा,forehead
20,Stirn::N,मस्तक,forehead
21,Haar::N,बाल,hair
22,Schnurrbart::N,मूँछें,moustache
23,Bart::N,दाढ़ी,beard
24,Kinn::N,चिबुक,chin
25,Kiefer[Anatomie]::N,जबड़ा,jaw
26,Kehle::N,गला,throat
27,Hals::N,गला,neck
28,Hals::N,गरदन,neck
29,Genick::N,गरदन,nape
30,Genick::N,ग्रीवा,nape
31,Kopf::N,सिर,head
32,Kopf::N,शीर्ष,head
33,Rücken::N,पीठ,back
34,Rücken::N,पीठ,spine
35,Bauch::N,उदर,belly
36,Nabel::N,नाभि,navel
37,Nabel::N,ढोंढी,navel
38,Busen::N,कुच,bosom
39,Busen::N,स्तन,bosom
40,Brust::N,वक्ष,chest
41,Brust::N,वक्ष,breast
42,Schulter::N,कंधा,shoulder
43,Schulter::N,स्कंध,shoulder
44,Arm::N,बाँह,arm
45,Arm::N,बाज़ू,arm
46,Ellenbogen::N,कुहनी,elbow
47,Hand::N,हाथ,hand
48,Hand::N,हस्त,hand
49,Handfläche::N,हथेली,palm
50,Finger::N,उँगली,finger
51,Finger::N,अँगुली,finger
52,Fingernagel::N,नख,fingernail
53,Fingernagel::N,नाख़ून,fingernail
54,Nagel[Anatomie]::N,नख,nail
55,Nagel[Anatomie]::N,नाख़ून,nail
56,Zeh::N,उँगली,toe
57,Zeh::N,पाँव की उँगली,toe
58,Fuß::N,चरण,foot
59,Fuß::N,पाँव,foot
60,Ferse::N,एड़ी,heel
61,Knie::N,जानु,knee
62,Knie::N,घुटना,knee
63,Oberschenkel::N,उरु,thigh
64,Bein::N,टाँग,leg
65,Körper::N,तन,body
66,Körper::N,देह,body
67,Körper::N,शरीर,body
68,Haut::N,चर्म,skin
