,Concept_ID,ca,lv
0,Auge::N,ull,син
1,Auge::N,ull,acs
2,Ohr::N,orella,пель
3,Ohr::N,orella,auss
4,Nase::N,nas,ныр
5,Nase::N,nas,deguns
6,Mund::N,boca,вом
7,Mund::N,boca,mute
8,Zahn::N,dent,пинь
9,Zahn::N,dent,zobs
10,Zunge::N,llēngua,кыв
11,Zunge::N,llēngua,mēle
12,Lippe::N,llavi,вом дор
13,Lippe::N,llavi,lūpa
14,Wange::N,galta,бан
15,Wange::N,galta,vaigs
16,Gesicht::N,cara,чужӧм
17,Gesicht::N,cara,seja
18,Gesicht::N,cara,ģīmis
19,Stirn::N,front,плеш
20,Stirn::N,front,кымӧс
21,Stirn::N,front,piere
22,Haar::N,cabēll,си
23,Haar::N,cabēll,юрси
24,Haar::N,cabēll,mats
25,Schnurrbart::N,bigoti,ус
26,Schnurrbart::N,bigoti,пыртсим
27,Schnurrbart::N,bigoti,ūsas
28,Bart::N,barba,тош
29,Bart::N,barba,bārda
30,Kinn::N,mentó,тшӧка
31,Kinn::N,mentó,zods
32,Kinn::N,mentó,smakrs
33,Kinn::N,barbeta,тшӧка
34,Kinn::N,barbeta,zods
35,Kinn::N,barbeta,smakrs
36,Kiefer[Anatomie]::N,queix,черлы
37,Kiefer[Anatomie]::N,queix,алака лы
38,Kiefer[Anatomie]::N,queix,вомкӧтш лы
39,Kiefer[Anatomie]::N,queix,žoklis
40,Kiefer[Anatomie]::N,mandíbula,черлы
41,Kiefer[Anatomie]::N,mandíbula,алака лы
42,Kiefer[Anatomie]::N,mandíbula,вомкӧтш лы
43,Kiefer[Anatomie]::N,mandíbula,žoklis
44,Kehle::N,gola,голя
45,Kehle::N,gola,rīkle
46,Kehle::N,gorja,голя
47,Kehle::N,gorja,rīkle
48,Hals::N,coll,сьылі
49,Hals::N,coll,kakls
50,Genick::N,nuca,юрбӧр
51,Genick::N,nuca,балябӧж
52,Genick::N,nuca,sprands
53,Kopf::N,cap,юр
54,Kopf::N,cap,galva
55,Rücken::N,esquena,мыш
56,Rücken::N,esquena,mugura
57,Bauch::N,panxa,рушку
58,Bauch::N,panxa,vēders
59,Nabel::N,llombrígol,гӧг
60,Nabel::N,llombrígol,naba
61,Busen::N,pit,морӧс
62,Busen::N,pit,krūts
63,Busen::N,mama,морӧс
64,Busen::N,mama,krūts
65,Brust::N,pit,морӧс
66,Brust::N,pit,krūts
67,Schulter::N,espatlla,пельпом
68,Schulter::N,espatlla,plecs
69,Arm::N,braç,ки
70,Arm::N,braç,roka
71,Arm::N,braç,delms
72,Ellenbogen::N,colze,гырддза
73,Ellenbogen::N,colze,elkonis
74,Hand::N,mà,ки
75,Hand::N,mà,roka
76,Hand::N,mà,plauksta
77,Handfläche::N,palma,ки пыдӧс
78,Handfläche::N,palma,delna
79,Handfläche::N,palma,plauksta
80,Finger::N,dit,чунь
81,Finger::N,dit,pirksts
82,Fingernagel::N,ungla,гыж
83,Fingernagel::N,ungla,nags
84,Nagel[Anatomie]::N,ungla,гыж
85,Nagel[Anatomie]::N,ungla,nags
86,Zeh::N,dit del peu,кок чунь
87,Zeh::N,dit del peu,pirksts
88,Fuß::N,peu,кок
89,Fuß::N,peu,kāja
90,Ferse::N,taló,кокбӧр
91,Ferse::N,taló,papēdis
92,Knie::N,genoll,пидзӧс
93,Knie::N,genoll,celis
94,Oberschenkel::N,cuixa,лядьвей
95,Oberschenkel::N,cuixa,бек
96,Oberschenkel::N,cuixa,ciska
97,Oberschenkel::N,cuixa,augšstilbs
98,Bein::N,cama,кок
99,Bein::N,cama,kāja
100,Körper::N,cos,туша
101,Körper::N,cos,вывтыр
102,Körper::N,cos,miesa
103,Körper::N,cos,ķermenis
104,Haut::N,pell,ку
105,Haut::N,pell,āda
106,Blut::N,sang,вир
107,Blut::N,sang,asins
108,Ader::N,vena,сӧн
109,Ader::N,vena,asinsvads
110,Sehne::N,tendó,вез
111,Sehne::N,tendó,dzīsla
112,Knochen::N,os,лы
113,Knochen::N,os,kauls
114,Gehirn::N,cervell,вем
115,Gehirn::N,cervell,smadzenes
116,Herz::N,cor,сьӧлӧм
117,Herz::N,cor,sirds
118,Magen::N,estómac,кынӧм
119,Magen::N,estómac,kuņģis
120,Leber::N,fetge,мус
121,Leber::N,fetge,aknas
122,Atem::N,alè,лов
123,Atem::N,alè,elpa
124,Atem::N,hàlit,лов
125,Atem::N,hàlit,elpa
126,Hunger::N,fam,тшыг
127,Hunger::N,fam,bads
128,Hunger::N,fam,izsalkums
129,Hunger::N,gana,тшыг
130,Hunger::N,gana,bads
131,Hunger::N,gana,izsalkums
132,Träne::N,llàgrima,синва
133,Träne::N,llàgrima,asara
134,Geschmack::N,gust,кӧр
135,Geschmack::N,gust,чӧсмӧс
136,Geschmack::N,gust,garša
137,Geschmack::N,sabor,кӧр
138,Geschmack::N,sabor,чӧсмӧс
139,Geschmack::N,sabor,garša
140,Geruch::N,olor,зын
141,Geruch::N,olor,дук
142,Geruch::N,olor,smaka
143,Schlaf::N,son,узьӧм
144,Schlaf::N,son,miegs
145,Traum::N,somni,вӧт
146,Traum::N,somni,вӧтасьӧм
147,Traum::N,somni,sapnis
148,Himmel::N,celm,енэж
149,Himmel::N,celm,debess
