,Concept_ID,myv,hi
0,Auge::N,сельме,आँख
1,Auge::N,сельме,चक्षु
2,Ohr::N,пиле,कान
3,Ohr::N,пиле,कर्ण
4,Nase::N,судо,नाक
5,Nase::N,судо,नासा
6,Mund::N,курго,मुख
7,Mund::N,курго,मुँह
8,Zahn::N,пей,दंत
9,Zahn::N,пей,दाँत
10,Zunge::N,кель,जीभ
11,Zunge::N,кель,ज़बान
12,Zunge::N,кель,जिह्वा
13,Lippe::N,турва,ओंठ
14,Lippe::N,турва,होंठ
15,Wange::N,чамабока,गाल
16,Wange::N,чамабока,कपोल
17,Wange::N,чамаумарь,गाल
18,Wange::N,чамаумарь,कपोल
19,Gesicht::N,чама,मुँह
20,Gesicht::N,чама,चेहरा
21,Stirn::N,коня,माथा
22,Stirn::N,коня,मस्तक
23,Haar::N,черь,बाल
24,Schnurrbart::N,ус,मूँछें
25,Schnurrbart::N,муюк,मूँछें
26,Bart::N,сакал,दाढ़ी
27,Kinn::N,уло,चिबुक
28,Kiefer[Anatomie]::N,пейпакар,जबड़ा
29,Kiefer[Anatomie]::N,пейловажа,जबड़ा
30,Kehle::N,кирьгапарь,गला
31,Hals::N,кирьга,गला
32,Hals::N,кирьга,गरदन
33,Genick::N,човонь,गरदन
34,Genick::N,човонь,ग्रीवा
35,Kopf::N,пря,सिर
36,Kopf::N,пря,शीर्ष
37,Rücken::N,копорь,पीठ
38,Bauch::N,пеке,उदर
39,Nabel::N,почо,नाभि
40,Nabel::N,почо,ढोंढी
41,Busen::N,поте,कुच
42,Busen::N,поте,स्तन
43,Brust::N,меште,वक्ष
44,Schulter::N,лавтов,कंधा
45,Schulter::N,лавтов,स्कंध
46,Arm::N,кедь,बाँह
47,Arm::N,кедь,बाज़ू
48,Ellenbogen::N,кенерепакарь,कुहनी
49,Hand::N,кедь,हाथ
50,Hand::N,кедь,हस्त
51,Handfläche::N,кедькуншка,हथेली
52,Handfläche::N,кедьлапушка,हथेली
53,Finger::N,сур,उँगली
54,Finger::N,сур,अँगुली
55,Fingernagel::N,кенже,नख
56,Fingernagel::N,кенже,नाख़ून
57,Nagel[Anatomie]::N,кенже,नख
58,Nagel[Anatomie]::N,кенже,नाख़ून
59,Zeh::N,пильге сур,उँगली
60,Zeh::N,пильге сур,पाँव की उँगली
61,Fuß::N,пильге,चरण
62,Fuß::N,пильге,पाँव
63,Ferse::N,кочкаря,एड़ी
64,Knie::N,эле,जानु
65,Knie::N,эле,घुटना
66,Knie::N,эзне,जानु
67,Knie::N,эзне,घुटना
68,Knie::N,кумажа,जानु
69,Knie::N,кумажа,घुटना
70,Oberschenkel::N,качо,उरु
71,Bein::N,пильге,टाँग
72,Körper::N,рунго,तन
73,Körper::N,рунго,देह
74,Körper::N,рунго,शरीर
75,Haut::N,киське,चर्म
76,Haut::N,киське,त्वचा
77,Blut::N,верь,लहू
78,Blut::N,верь,ख़ून
79,Ader::N,сан,रग
80,Ader::N,сан,शिरा
81,Sehne::N,коське сан,कंडरा
82,Sehne::N,коське сан,स्नायु
83,Knochen::N,пакарь,अस्थि
84,Gehirn::N,удем,दिमाग़
85,Gehirn::N,удем,मस्तिष्क
86,Herz::N,седей,दिल
87,Herz::N,седей,हृदय
88,Magen::N,пеке,मेदा
89,Magen::N,пеке,अमाशय
90,Leber::N,максо,जिगर
91,Leber::N,максо,यकृत्
