,Concept_ID,mdf,lv
0,Auge::N,сельме,син
1,Auge::N,сельме,acs
2,Ohr::N,пиле,пель
3,Ohr::N,пиле,auss
4,Nase::N,шалхка,ныр
5,Nase::N,шалхка,deguns
6,Mund::N,курга,вом
7,Mund::N,курга,mute
8,Zahn::N,пей,пинь
9,Zahn::N,пей,zobs
10,Zunge::N,кяль,кыв
11,Zunge::N,кяль,mēle
12,Lippe::N,търва́,вом дор
13,Lippe::N,търва́,lūpa
14,Wange::N,щёка,бан
15,Wange::N,щёка,vaigs
16,Gesicht::N,шама,чужӧм
17,Gesicht::N,шама,seja
18,Gesicht::N,шама,ģīmis
19,Stirn::N,коня,плеш
20,Stirn::N,коня,кымӧс
21,Stirn::N,коня,piere
22,Haar::N,шя́ярь,си
23,Haar::N,шя́ярь,юрси
24,Haar::N,шя́ярь,mats
25,Schnurrbart::N,уса́,ус
26,Schnurrbart::N,уса́,пыртсим
27,Schnurrbart::N,уса́,ūsas
28,Bart::N,сакал,тош
29,Bart::N,сакал,bārda
30,Kinn::N,ула,тшӧка
31,Kinn::N,ула,zods
32,Kinn::N,ула,smakrs
33,Kiefer[Anatomie]::N,саласка,черлы
34,Kiefer[Anatomie]::N,саласка,алака лы
35,Kiefer[Anatomie]::N,саласка,вомкӧтш лы
36,Kiefer[Anatomie]::N,саласка,žoklis
37,Kehle::N,кълдома,голя
38,Kehle::N,кълдома,rīkle
39,Kehle::N,кърга́парь,голя
40,Kehle::N,кърга́парь,rīkle
41,Hals::N,сялдаз,сьылі
42,Hals::N,сялдаз,kakls
43,Genick::N,шовонь,юрбӧр
44,Genick::N,шовонь,балябӧж
45,Genick::N,шовонь,sprands
46,Kopf::N,пря,юр
47,Kopf::N,пря,galva
48,Rücken::N,копорь,мыш
49,Rücken::N,копорь,mugura
50,Bauch::N,пеке,рушку
51,Bauch::N,пеке,vēders
52,Nabel::N,по́кон,гӧг
53,Nabel::N,по́кон,naba
54,Busen::N,потя,морӧс
55,Busen::N,потя,krūts
56,Brust::N,мяште,морӧс
57,Brust::N,мяште,krūts
58,Schulter::N,лафту,пельпом
59,Schulter::N,лафту,plecs
60,Arm::N,кядь,ки
61,Arm::N,кядь,roka
62,Arm::N,кядь,delms
63,Ellenbogen::N,кенерьба́карь,гырддза
64,Ellenbogen::N,кенерьба́карь,elkonis
65,Hand::N,кядь,ки
66,Hand::N,кядь,roka
67,Hand::N,кядь,plauksta
68,Handfläche::N,кядьлапш,ки пыдӧс
69,Handfläche::N,кядьлапш,delna
70,Handfläche::N,кядьлапш,plauksta
71,Finger::N,сур,чунь
72,Finger::N,сур,pirksts
73,Fingernagel::N,кенже,гыж
74,Fingernagel::N,кенже,nags
75,Nagel[Anatomie]::N,кенже,гыж
76,Nagel[Anatomie]::N,кенже,nags
77,Zeh::N,пильгосу́р,кок чунь
78,Zeh::N,пильгосу́р,pirksts
79,Fuß::N,пильге,кок
80,Fuß::N,пильге,kāja
81,Fuß::N,пильгелапа,кок
82,Fuß::N,пильгелапа,kāja
83,Ferse::N,кочкяря,кокбӧр
84,Ferse::N,кочкяря,papēdis
85,Knie::N,эль,пидзӧс
86,Knie::N,эль,celis
87,Knie::N,пълма́нжа,пидзӧс
88,Knie::N,пълма́нжа,celis
89,Oberschenkel::N,пильгепукша,лядьвей
90,Oberschenkel::N,пильгепукша,бек
91,Oberschenkel::N,пильгепукша,ciska
92,Oberschenkel::N,пильгепукша,augšstilbs
93,Bein::N,пильге,кок
94,Bein::N,пильге,kāja
95,Körper::N,ро́нга,туша
96,Körper::N,ро́нга,вывтыр
97,Körper::N,ро́нга,miesa
98,Körper::N,ро́нга,ķermenis
99,Körper::N,по́нда,туша
100,Körper::N,по́нда,вывтыр
101,Körper::N,по́нда,miesa
102,Körper::N,по́нда,ķermenis
103,Haut::N,киське,ку
104,Haut::N,киське,āda
105,Blut::N,вер,вир
106,Blut::N,вер,asins
107,Ader::N,сан,сӧн
108,Ader::N,сан,asinsvads
109,Ader::N,верза́н,сӧн
110,Ader::N,верза́н,asinsvads
111,Sehne::N,коське сан,вез
112,Sehne::N,коське сан,dzīsla
113,Knochen::N,пакарь,лы
114,Knochen::N,пакарь,kauls
115,Gehirn::N,уй,вем
116,Gehirn::N,уй,smadzenes
117,Herz::N,седи,сьӧлӧм
118,Herz::N,седи,sirds
119,Magen::N,коткърдазь,кынӧм
120,Magen::N,коткърдазь,kuņģis
121,Leber::N,макса,мус
122,Leber::N,макса,aknas
123,Atem::N,лекома,лов
124,Atem::N,лекома,elpa
125,Atem::N,ваймонь тарксема,лов
126,Atem::N,ваймонь тарксема,elpa
127,Hunger::N,вачеши,тшыг
128,Hunger::N,вачеши,bads
129,Hunger::N,вачеши,izsalkums
130,Träne::N,сельмове́дь,синва
131,Träne::N,сельмове́дь,asara
132,Geschmack::N,таньф,кӧр
133,Geschmack::N,таньф,чӧсмӧс
134,Geschmack::N,таньф,garša
135,Geruch::N,шине,зын
136,Geruch::N,шине,дук
137,Geruch::N,шине,smaka
138,Schlaf::N,удома́,узьӧм
139,Schlaf::N,удома́,miegs
140,Traum::N,он,вӧт
141,Traum::N,он,вӧтасьӧм
142,Traum::N,он,sapnis
143,Himmel::N,менель,енэж
144,Himmel::N,менель,debess
145,Sonne::N,ши,шонді
146,Sonne::N,ши,saule
147,Mond::N,ков,тӧлысь
148,Mond::N,ков,mēness
149,Stern::N,тяште,кодзув
150,Stern::N,тяште,zvaigzne
151,Luft::N,кожф,сынӧд
152,Luft::N,кожф,gaiss
153,Wind::N,варма,тӧв
154,Wind::N,варма,vējš
155,Welle::N,тавла,гы
156,Welle::N,тавла,vilnis
157,Wasser::N,ведь,ва
