,Concept_ID,ba,lv
0,Auge::N,күҙ,син
1,Auge::N,күҙ,acs
2,Ohr::N,ҡолаҡ,пель
3,Ohr::N,ҡолаҡ,auss
4,Nase::N,танау,ныр
5,Nase::N,танау,deguns
6,Mund::N,ауыҙ,вом
7,Mund::N,ауыҙ,mute
8,Zahn::N,теш,пинь
9,Zahn::N,теш,zobs
10,Zunge::N,тел,кыв
11,Zunge::N,тел,mēle
12,Lippe::N,ирен,вом дор
13,Lippe::N,ирен,lūpa
14,Wange::N,яцаҡтар,бан
15,Wange::N,яцаҡтар,vaigs
16,Gesicht::N,бит,чужӧм
17,Gesicht::N,бит,seja
18,Gesicht::N,бит,ģīmis
19,Stirn::N,маңлай,плеш
20,Stirn::N,маңлай,кымӧс
21,Stirn::N,маңлай,piere
22,Haar::N,сәс,си
23,Haar::N,сәс,юрси
24,Haar::N,сәс,mats
25,Schnurrbart::N,мылтыҡ,ус
26,Schnurrbart::N,мылтыҡ,пыртсим
27,Schnurrbart::N,мылтыҡ,ūsas
28,Bart::N,һаҡал,тош
29,Bart::N,һаҡал,bārda
30,Kinn::N,эйэк,тшӧка
31,Kinn::N,эйэк,zods
32,Kinn::N,эйэк,smakrs
33,Kiefer[Anatomie]::N,яңаҡ һөйәге,черлы
34,Kiefer[Anatomie]::N,яңаҡ һөйәге,алака лы
35,Kiefer[Anatomie]::N,яңаҡ һөйәге,вомкӧтш лы
36,Kiefer[Anatomie]::N,яңаҡ һөйәге,žoklis
37,Kehle::N,тамаҡ,голя
38,Kehle::N,тамаҡ,rīkle
39,Hals::N,муйын,сьылі
40,Hals::N,муйын,kakls
41,Genick::N,соңҡа,юрбӧр
42,Genick::N,соңҡа,балябӧж
43,Genick::N,соңҡа,sprands
44,Kopf::N,баш,юр
45,Kopf::N,баш,galva
46,Rücken::N,арҡа,мыш
47,Rücken::N,арҡа,mugura
48,Bauch::N,ҡорһаҡ,рушку
49,Bauch::N,ҡорһаҡ,vēders
50,Nabel::N,кендек,гӧг
51,Nabel::N,кендек,naba
52,Busen::N,күкрәк,морӧс
53,Busen::N,күкрәк,krūts
54,Brust::N,түш,морӧс
55,Brust::N,түш,krūts
56,Schulter::N,яурын,пельпом
57,Schulter::N,яурын,plecs
58,Arm::N,ҡул,ки
59,Arm::N,ҡул,roka
60,Arm::N,ҡул,delms
61,Ellenbogen::N,терһәк,гырддза
62,Ellenbogen::N,терһәк,elkonis
63,Hand::N,ҡул,ки
64,Hand::N,ҡул,roka
65,Hand::N,ҡул,plauksta
66,Hand::N,ҡул суғы,ки
67,Hand::N,ҡул суғы,roka
68,Hand::N,ҡул суғы,plauksta
69,Handfläche::N,ус төбө,ки пыдӧс
70,Handfläche::N,ус төбө,delna
71,Handfläche::N,ус төбө,plauksta
72,Finger::N,бармаҡ,чунь
73,Finger::N,бармаҡ,pirksts
74,Fingernagel::N,тырнаҡ,гыж
75,Fingernagel::N,тырнаҡ,nags
76,Nagel[Anatomie]::N,тырнаҡ,гыж
77,Nagel[Anatomie]::N,тырнаҡ,nags
78,Zeh::N,бармаҡ,кок чунь
79,Zeh::N,бармаҡ,pirksts
80,Fuß::N,табан,кок
81,Fuß::N,табан,kāja
82,Ferse::N,үксә,кокбӧр
83,Ferse::N,үксә,papēdis
84,Knie::N,тубыҡ,пидзӧс
85,Knie::N,тубыҡ,celis
86,Oberschenkel::N,сандыр,лядьвей
87,Oberschenkel::N,сандыр,бек
88,Oberschenkel::N,сандыр,ciska
89,Oberschenkel::N,сандыр,augšstilbs
90,Bein::N,аяҡ,кок
91,Bein::N,аяҡ,kāja
92,Körper::N,тән,туша
93,Körper::N,тән,вывтыр
94,Körper::N,тән,miesa
95,Körper::N,тән,ķermenis
96,Haut::N,тире,ку
97,Haut::N,тире,āda
98,Blut::N,ҡан,вир
99,Blut::N,ҡан,asins
100,Ader::N,тамыр,сӧн
101,Ader::N,тамыр,asinsvads
102,Sehne::N,һеңер,вез
103,Sehne::N,һеңер,dzīsla
104,Sehne::N,тарамыш,вез
105,Sehne::N,тарамыш,dzīsla
106,Knochen::N,һойәк,лы
107,Knochen::N,һойәк,kauls
108,Gehirn::N,мейе,вем
109,Gehirn::N,мейе,smadzenes
110,Herz::N,йорәк,сьӧлӧм
111,Herz::N,йорәк,sirds
112,Magen::N,ашҡаҙан,кынӧм
113,Magen::N,ашҡаҙан,kuņģis
114,Leber::N,бауыр,мус
115,Leber::N,бауыр,aknas
116,Atem::N,һулыш,лов
117,Atem::N,һулыш,elpa
118,Hunger::N,аслыҡ,тшыг
119,Hunger::N,аслыҡ,bads
120,Hunger::N,аслыҡ,izsalkums
121,Träne::N,күҙ иәше,синва
122,Träne::N,күҙ иәше,asara
123,Geschmack::N,тәм,кӧр
124,Geschmack::N,тәм,чӧсмӧс
125,Geschmack::N,тәм,garša
126,Geruch::N,еҫ,зын
127,Geruch::N,еҫ,дук
128,Geruch::N,еҫ,smaka
129,Schlaf::N,йоҡлау,узьӧм
130,Schlaf::N,йоҡлау,miegs
131,Traum::N,төш,вӧт
132,Traum::N,төш,вӧтасьӧм
133,Traum::N,төш,sapnis
134,Himmel::N,күк,енэж
135,Himmel::N,күк,debess
136,Sonne::N,ҡояш,шонді
137,Sonne::N,ҡояш,saule
138,Mond::N,ай,тӧлысь
139,Mond::N,ай,mēness
140,Stern::N,йондоҙ,кодзув
141,Stern::N,йондоҙ,zvaigzne
142,Luft::N,һауа,сынӧд
143,Luft::N,һауа,gaiss
144,Wind::N,ел,тӧв
145,Wind::N,ел,vējš
146,Welle::N,тулҡын,гы
147,Welle::N,тулҡын,vilnis
148,Wasser::N,һыу,ва
149,Wasser::N,һыу,ūdens
150,Stein::N,таш,из
151,Stein::N,таш,akmens
152,Boden::N,тупраҡ,му
153,Boden::N,тупраҡ,augsne
154,Erde::N,балсҡ,му
155,Erde::N,балсҡ,му-ва
156,Erde::N,балсҡ,zeme
157,Staub::N,туҙан,бус
158,Staub::N,туҙан,putekļi
159,Rauch::N,төтөн,тшын
160,Rauch::N,төтөн,dūmi
161,Funke::N,осҡон,кинь
162,Funke::N,осҡон,би кинь
163,Funke::N,осҡон,dzirkstele
164,Feuer::N,ут,би
165,Feuer::N,ут,uguns
166,Licht::N,яҡтылыҡ,югӧр
167,Licht::N,яҡтылыҡ,gaisma
168,Schatten::N,күләгә,вуджӧр
169,Schatten::N,күләгә,ēna
170,Wetter::N,һауа торошо,поводдя
171,Wetter::N,һауа торошо,laiks
172,Nebel::N,төман,ру
173,Nebel::N,төман,онь
174,Nebel::N,төман,migla
175,Wolke::N,болот,кымӧр
176,Wolke::N,болот,mākonis
177,Regen::N,ямғыр,зэр
178,Regen::N,ямғыр,lietus
179,Schnee::N,ҡар,лым
180,Schnee::N,ҡар,sniegs
181,Eis::N,боҙ,йи
182,Eis::N,боҙ,ledus
183,Frost::N,һалҡын,кӧдзыд
184,Frost::N,һалҡын,sals
185,Kälte::N,һыуыҡ,кӧдзыд
186,Kälte::N,һыуыҡ,saltums
187,Kälte::N,һыуыҡ,aukstums
188,Hitze::N,томра,пӧсь
189,Hitze::N,томра,гожӧд
190,Hitze::N,томра,karstums
191,Hitze::N,эҫелек,пӧсь
192,Hitze::N,эҫелек,гожӧд
193,Hitze::N,эҫелек,karstums
194,Raureif::N,ҡырау,пуж
195,Raureif::N,ҡырау,гыӧр
196,Raureif::N,ҡырау,sarma
197,Regenbogen::N,йәйғор,ӧшкамӧшка
198,Regenbogen::N,йәйғор,varavīksne
199,Donner::N,күк күкрәү,гым
200,Donner::N,күк күкрәү,pērkons
201,Strömung::N,ағым,ва ныр
202,Strömung::N,ағым,визувтӧм
203,Strömung::N,ағым,straume
204,Strömung::N,ағым,strāvojums
205,Tropfen::N,тамсы,войт
206,Tropfen::N,тамсы,lāse
207,Schaum::N,күбек,быг
208,Schaum::N,күбек,быгзьӧм
209,Schaum::N,күбек,putas
210,Schmutz::N,батҡаҡ,няйт
211,Schmutz::N,батҡаҡ,dubļi
212,See::N,күл,ты
213,See::N,күл,ezers
214,Sumpf::N,һаҙлык,гыбад
215,Sumpf::N,һаҙлык,кад
216,Sumpf::N,һаҙлык,dumbrājs
217,Sumpf::N,һаҙлык,staignājs
218,Moor::N,һаҙ,нюр
219,Moor::N,һаҙ,purvs
220,Moor::N,һаҙ,muklājs
221,Wiese::N,болон,видз
222,Wiese::N,болон,pļava
223,Wald::N,урман,вӧр
224,Wald::N,урман,mežs
225,Hügel::N,түбә,дзиб
226,Hügel::N,түбә,мыльк
227,Hügel::N,түбә,нӧрыс
228,Hügel::N,түбә,paugurs
229,Anhöhe::N,түбә,мыльк
230,Anhöhe::N,түбә,нӧрыс
231,Anhöhe::N,түбә,paugurs
232,Anhöhe::N,ҡалҡыулыҡ,мыльк
233,Anhöhe::N,ҡалҡыулыҡ,нӧрыс
234,Anhöhe::N,ҡалҡыулыҡ,paugurs
235,Berg::N,тау,чой
236,Berg::N,тау,керӧс
237,Berg::N,тау,kalns
238,Gipfel::N,түбә,чук
239,Gipfel::N,түбә,virsotne
240,Höhle::N,мәмерйә,рудӧг
241,Höhle::N,мәмерйә,ala
242,Abhang::N,ипкен,ньывк
243,Abhang::N,ипкен,бокша
