,Concept_ID,nl,be
0,Auge::N,oog,вока
1,Ohr::N,oor,вуха
2,Nase::N,neus,нос
3,Mund::N,mond,рот
4,Zahn::N,tand,зуб
5,Zunge::N,tong,язык
6,Lippe::N,lip,губа
7,Wange::N,wang,шчака
8,Gesicht::N,gelaat,твар
9,Gesicht::N,gezicht,твар
10,Stirn::N,voorhoofd,лоб
11,Haar::N,haar,волас
12,Haar::N,haar,валасы
13,Schnurrbart::N,snor,вус
14,Schnurrbart::N,snor,вусы
15,Bart::N,baard,барада
16,Kinn::N,kin,падбародак
17,Kiefer[Anatomie]::N,kaak,сківіца
18,Kehle::N,keel,горла
19,Kehle::N,strot,горла
20,Hals::N,hals,шыя
21,Genick::N,nek,патыліца
22,Kopf::N,hoofd,галава
23,Rücken::N,rug,спіна
24,Bauch::N,buik,жывот
25,Nabel::N,navel,пупок
26,Busen::N,boezem,грудзі
27,Brust::N,borst,грудзі
28,Schulter::N,schouder,плячо
29,Arm::N,arm,рука
30,Ellenbogen::N,elleboog,локаць
31,Hand::N,hand,кісць
32,Handfläche::N,handpalm,далонь
33,Finger::N,vinger,палец
34,Fingernagel::N,nagel,ногаць
35,Nagel[Anatomie]::N,nagel,ногаць
36,Zeh::N,teen,палец
37,Fuß::N,voet,нага
38,Ferse::N,hak,пята
39,Ferse::N,hak,пятка
40,Ferse::N,hiel,пята
41,Ferse::N,hiel,пятка
42,Knie::N,knie,калена
43,Oberschenkel::N,dij,бядро
44,Oberschenkel::N,dij,сцягно
45,Bein::N,been,нага
46,Körper::N,lichaam,цела
47,Haut::N,huid,скура
48,Blut::N,bloed,кроў
49,Ader::N,ader,вена
50,Ader::N,ader,сасуд
51,Sehne::N,pees,жыла
52,Sehne::N,pees,цеціва
53,Sehne::N,pees,сухажылле
54,Knochen::N,bot,косць
55,Knochen::N,been,косць
56,Knochen::N,knook,косць
57,Gehirn::N,hersenen,мозг
58,Herz::N,hart,сэрца
59,Magen::N,maag,страўнік
60,Leber::N,lever,печань
61,Atem::N,adem,дыханне
62,Hunger::N,honger,голад
63,Träne::N,traan,сляза
64,Geschmack::N,smaak,смак
65,Geruch::N,geur,пах
66,Schlaf::N,slaap,сон
67,Traum::N,droom,сон
68,Himmel::N,hemel,неба
69,Sonne::N,zon,сонца
70,Mond::N,maan,месяц
71,Stern::N,ster,зорка
72,Luft::N,lucht,паветра
73,Wind::N,wind,вецер
74,Welle::N,golf,хваля
75,Wasser::N,water,вада
76,Stein::N,steen,камень
77,Boden::N,grond,глеба
78,Erde::N,aarde,зямля
79,Staub::N,stof,пыл
80,Rauch::N,rook,дым
81,Funke::N,vonk,іскра
82,Feuer::N,vuur,агонь
83,Licht::N,licht,святло
84,Schatten::N,schaduw,цень
85,Wetter::N,weer,пагода
86,Wetter::N,weer,надворʼе
87,Nebel::N,mist,туман
88,Nebel::N,nevel,туман
89,Wolke::N,wolk,воблака
90,Regen::N,regen,дождж
91,Schnee::N,sneeuw,снег
92,Eis::N,ijs,лёд
93,Frost::N,vorst,мароз
94,Kälte::N,kou,холад
95,Kälte::N,koude,холад
96,Hitze::N,hitte,спёка
97,Raureif::N,rijp,іней
98,Regenbogen::N,regenboog,вясёлка
99,Donner::N,donder,гром
100,Strömung::N,stroming,цячэнне
101,Tropfen::N,druppel,кропля
102,Schaum::N,schuim,пена
103,Schmutz::N,vuil,гразь
104,See::N,meer,возера
105,Sumpf::N,moeras,багна
106,Moor::N,veen,балота
107,Wiese::N,wei,луг
108,Wiese::N,weide,луг
109,Wald::N,bos,лес
110,Hügel::N,heuvel,узгорак
111,Anhöhe::N,hoogte,узвышша
112,Berg::N,berg,гара
113,Gipfel::N,top,вяршыня
114,Höhle::N,hol,пячора
115,Abhang::N,helling,схіл
116,Quelle::N,bron,крыніца
117,Bach::N,beek,ручай
118,Fluss::N,stroom,рака
119,Ufer::N,wal,бераг
120,Ufer::N,oever,бераг
121,Küste::N,kust,узбярэжжа
122,Festland::N,vasteland,суша
123,Meer::N,zee,мора
124,Bucht::N,baai,бухта
125,Bucht::N,inham,бухта
126,Insel::N,eiland,востраў
127,Blume::N,bloem,кветка
128,Gras::N,gras,трава
129,Wurzel::N,wortel,корань
130,Baum::N,boom,дрэва
131,Stamm::N,stam,ствол
132,Rinde::N,schors,кара
133,Ast::N,tak,сук
134,Zweig::N,twijg,галіна
135,Blatt::N,blad,ліст
136,Birke::N,berk,бяроза
137,Kiefer[Baum]::N,den,хвоя
138,Kiefer[Baum]::N,den,сасна
139,Weide[Baum]::N,wilg,вярба
140,Tanne::N,spar,яліна
141,Horn::N,hoorn,рог
142,Feder::N,veer,пяро
143,Feder::N,pluim,пяро
144,Fell::N,vel,шкура
145,Flügel::N,vleugel,крыло
146,Klaue::N,klauw,кіпцюр
147,Kralle::N,klauw,лапа
148,Schwanz::N,staart,хвост
149,Ei::N,ei,яйка
150,Nest::N,nest,гняздо
151,Bau::N,hol,нара
152,Tier::N,dier,жывёла
153,Herde::N,kudde,статак
154,Kuh::N,koe,карова
155,Bulle::N,stier,бык
156,Pferd::N,paard,конь
157,Schaf::N,schaap,авечка
158,Schwein::N,varken,свіння
159,Hund::N,hond,сабака
160,Katze::N,kat,кошка
161,Bär::N,beer,мядзведзь
162,Eichhörnchen::N,eekhoorntje,вавёрка
163,Elch::N,eland,лось
164,Fuchs::N,vos,ліса
165,Hase::N,haas,заяц
166,Maus::N,muis,мыш
167,Wolf::N,wolf,воўк
168,Vogel::N,vogel,птах
169,Vogel::N,vogel,птушка
170,Schwarm::N,zwerm,чарада
171,Huhn::N,kip,курыца
172,Huhn::N,hoen,курыца
173,Hahn::N,haan,певень
174,Gans::N,gans,гусь
175,Adler::N,arend,арол
176,Ente::N,eend,качка
177,Eule::N,uil,сава
178,Kranich::N,kraanvogel,жораў
179,Kranich::N,kraanvogel,журавель
180,Krähe::N,kraai,варона
181,Kuckuck::N,koekoek,зязюля
182,Schwan::N,zwaan,лебедзь
183,Fisch::N,vis,рыба
184,Barsch::N,baars,акунь
185,Hecht::N,snoek,шчупак
186,Schlange[Tier]::N,slang,змяя
187,Wurm::N,worm,чарвяк
188,Spinne::N,spin,павук
189,Ameise::N,mier,мурашка
190,Laus::N,luis,вош
191,Mücke::N,mug,камар
192,Fliege::N,vlieg,муха
193,Schmetterling::N,vlinder,матыль
194,Beere::N,bes,ягада
195,Apfel::N,appel,яблык
196,Pilz::N,paddestoel,грыб
197,Zwiebel::N,ui,цыбуля
198,Saat::N,zaad,семя
199,Korn::N,graan,зерне
200,Korn::N,korrel,зерне
201,Heu::N,hooi,сена
202,Schale::N,schil,шалупінне
203,Grube::N,kuil,яма
204,Falle::N,val,пастка
205,Schlinge::N,strop,сіло
206,Spur::N,spoor,след
207,Asche::N,as,попел
208,Dreck::N,drek,бруд
209,Eisen::N,ijzer,жалеза
210,Gold::N,goud,золата
211,Silber::N,zilver,сребра
212,Kohle::N,kool,вугаль
213,Glas::N,glas,шкло
214,Lehm::N,klei,гліна
215,Sand::N,zand,пясок
216,Mensch::N,mens,чалавек
217,Mann::N,man,мужчына
218,Frau::N,vrouw,жанчына
219,Kind::N,kind,дзіця
220,Junge::N,jongen,хлопчык
221,Mädchen::N,meisje,дзяўчынка
222,Familie::N,gezin,сямʼя
223,Familie::N,familie,сямʼя
224,Großvater::N,grootvader,дзядуля
225,Großmutter::N,grootmoeder,бабуля
226,Eltern::N,ouders,бацькі
227,Vater::N,vader,бацька
228,Mutter::N,moeder,маці
229,Sohn::N,zoon,сын
230,Tochter::N,dochter,дачка
231,Bruder::N,broer,брат
232,Bruder::N,broeder,брат
233,Schwester::N,zus,сястра
234,Schwester::N,zuster,сястра
235,Onkel::N,oom,дзядзька
236,Tante::N,tante,цётка
237,Ehemann::N,echtgenoot,муж
238,Ehefrau::N,echtgenote,жонка
239,Freude::N,vreugde,радасць
240,Gelächter::N,gelach,смех
241,Glück::N,geluk,шчасце
242,Kummer::N,verdriet,гора
243,Wunsch::N,wens,жаданне
244,Wunsch::N,verlangen,жаданне
245,Lust::N,zin,цяга
246,Lust::N,lust,цяга
247,Geist::N,geest,дух
248,Gedanke::N,gedachte,думка
249,Gedächtnis::N,geheugen,памяць
250,Verstand::N,verstand,розум
251,Sinn::N,betekenis,сэнс
252,Grund::N,reden,зачэпка
253,Wahrheit::N,waarheid,праўда
254,Gespräch::N,gesprek,размова
255,Märchen::N,sprookje,казка
256,Erzählung::N,verhaal,расказ
257,Erzählung::N,verhaal,апавяданне
258,Nachricht::N,tijding,вестка
259,Nachricht::N,tijding,паведамленне
260,Neuigkeit::N,nieuws,навіна
261,Neuigkeit::N,nieuwtje,навіна
262,Name::N,naam,імя
263,Rätsel::N,raadsel,загадка
264,Rede::N,rede,прамова
265,Sprache::N,taal,мова
266,Stimme::N,stem,голас
267,Wort::N,woord,слова
268,Zeichen::N,teken,знак
269,Ruf::N,roep,кліч
270,Lärm::N,lawaai,шум
271,Laut::N,klank,гук
272,Laut::N,geluid,гук
273,Ton::N,toon,гучанне
274,Ton::N,klank,гучанне
275,Lied::N,lied,песня
276,Ruhe::N,rust,спакой
277,Ruhe::N,stilte,спакой
278,Leute::N,lui,людзі
