,Concept_ID,no,ka
0,Auge::N,øye,თვალი
1,Ohr::N,øre,ყური
2,Nase::N,nese,ცხვირი
3,Mund::N,munn,პირი
4,Zahn::N,tann,კბილი
5,Zunge::N,tunge,ენა
6,Lippe::N,leppe,ბაგე
7,Wange::N,kinn,ლოყა
8,Gesicht::N,fjes,სახე
9,Gesicht::N,ansikt,სახე
10,Stirn::N,panne,შუბლი
11,Haar::N,hår,თმა
12,Schnurrbart::N,bart,ულვაში
13,Bart::N,skjegg,წვერი
14,Kinn::N,hake,ნიკაპი
15,Kiefer[Anatomie]::N,kjeve,ყბა
16,Kehle::N,strupe,ყელი
17,Hals::N,hals,ყელი
18,Hals::N,hals,კისერი
19,Genick::N,nakke,კეფა
20,Kopf::N,hode,თავი
21,Rücken::N,rygg,ზურგი
22,Bauch::N,buk,მუცელი
23,Bauch::N,mage,მუცელი
24,Nabel::N,navle,ჭიპი
25,Busen::N,barm,ძუძუ
26,Brust::N,bryst,მკერდი
27,Schulter::N,skulder,მხარი
28,Schulter::N,skulder,მკლავი
29,Arm::N,arm,ხელი
30,Ellenbogen::N,albue,იდაყვი
31,Hand::N,hånd,ხელი
32,Handfläche::N,håndflate,ნები
33,Handfläche::N,håndflate,ხელისგული
34,Finger::N,finger,თითი
35,Fingernagel::N,fingernegl,ფრჩხილი
36,Nagel[Anatomie]::N,negl,ფრჩხილი
37,Zeh::N,tå,ფეხის თითი
38,Fuß::N,fot,ტერფი
39,Fuß::N,fot,ფეხისგული
40,Ferse::N,hæl,ქუსლი
41,Knie::N,kne,მუხლი
42,Oberschenkel::N,lår,ბარძაყი
43,Bein::N,bein,ფეხი
44,Körper::N,kropp,ტანი
45,Körper::N,kropp,სხეული
46,Körper::N,legeme,ტანი
47,Körper::N,legeme,სხეული
48,Haut::N,hud,კანი
49,Haut::N,skinn,კანი
50,Blut::N,blod,სისხლი
51,Ader::N,åre,ძარღვი
52,Sehne::N,sene,მყესი
53,Knochen::N,bein,ძვალი
54,Knochen::N,knokkel,ძვალი
55,Gehirn::N,hjerne,ტვინი
56,Herz::N,hjerte,გული
57,Magen::N,mage,კუჭი
58,Leber::N,lever,ღვიძლი
59,Atem::N,pust,სუნთქვა
60,Hunger::N,sult,შიმშილი
61,Träne::N,tåre,ცრემლი
62,Geschmack::N,smak,გემო
63,Geruch::N,lukt,სუნი
64,Schlaf::N,søvn,ძილი
65,Traum::N,drøm,სიზმარი
66,Himmel::N,himmel,ცა
67,Sonne::N,sol,მზე
68,Mond::N,måne,მთვარე
69,Stern::N,stjerne,ვარსკვლავი
70,Luft::N,luft,ჰაერი
71,Wind::N,vind,ქარი
72,Welle::N,bølge,ტალღა
73,Wasser::N,vann,წყალი
74,Stein::N,stein,ქვა
75,Boden::N,bakke,მიწა
76,Erde::N,jord,ნიადაგი
77,Staub::N,støv,მტვერი
78,Rauch::N,røyk,ბოლი
79,Rauch::N,røyk,კვამლი
80,Funke::N,gnist,ნაკვესი
81,Feuer::N,ild,ცეცხლი
82,Licht::N,lys,შუქი
83,Licht::N,lys,სინათლე
