,Concept_ID,de,lez
0,Auge::N,Auge,вил
1,Ohr::N,Ohr,яб
2,Nase::N,Nase,нер
3,Mund::N,Mund,сив
4,Zahn::N,Zahn,сас
5,Zahn::N,Zahn,свах
6,Zunge::N,Zunge,мез
7,Lippe::N,Lippe,пӏуз
8,Wange::N,Wange,хъвехъ
9,Gesicht::N,Gesicht,ччин
10,Stirn::N,Stirn,пел
11,Haar::N,Haar,чӏар
12,Schnurrbart::N,Schnurrbart,спел
13,Schnurrbart::N,Schnurrbart,спелар
14,Bart::N,Bart,ччуру
15,Kinn::N,Kinn,чене
16,Kiefer[Anatomie]::N,Kiefer,чене
17,Kehle::N,Kehle,туьд
18,Hals::N,Hals,гардан
19,Genick::N,Genick,кьам
20,Kopf::N,Kopf,кьил
21,Rücken::N,Rücken,далу
22,Bauch::N,Bauch,руфун
23,Nabel::N,Nabel,пицӏ
24,Busen::N,Busen,мам
25,Brust::N,Brust,хур
26,Schulter::N,Schulter,къуьн
27,Arm::N,Arm,гъил
28,Ellenbogen::N,Ellenbogen,кьуьнт
29,Hand::N,Hand,капаш
30,Handfläche::N,Handfläche,капан юкь
31,Finger::N,Finger,тӏуб
32,Fingernagel::N,Fingernagel,кек
33,Nagel[Anatomie]::N,Nagel,кек
34,Zeh::N,Zeh,кул
35,Fuß::N,Fuß,кӏвач
36,Ferse::N,Ferse,дабан
37,Knie::N,Knie,мет
38,Oberschenkel::N,Oberschenkel,
39,Bein::N,Bein,кӏвач
40,Körper::N,Körper,беден
41,Haut::N,Haut,хам
42,Blut::N,Blut,иви
43,Ader::N,Ader,дамар
44,Sehne::N,Sehne,кьуру дамар
45,Knochen::N,Knochen,кӏараб
46,Gehirn::N,Gehirn,мефт
47,Herz::N,Herz,рикӏ
48,Magen::N,Magen,хук
49,Leber::N,Leber,лекь
50,Atem::N,Atem,ял
51,Atem::N,Atem,нефес
52,Hunger::N,Hunger,каш
53,Träne::N,Träne,вилин нагъв
54,Geschmack::N,Geschmack,дад
55,Geschmack::N,Geschmack,тӏям
56,Geruch::N,Geruch,ни
57,Schlaf::N,Schlaf,ахвар
58,Traum::N,Traum,ахвар
59,Himmel::N,Himmel,цав
60,Sonne::N,Sonne,рагъ
61,Mond::N,Mond,варз
62,Stern::N,Stern,гъед
63,Luft::N,Luft,гьава
64,Wind::N,Wind,гар
65,Welle::N,Welle,лепе
66,Wasser::N,Wasser,яд
67,Stein::N,Stein,къван
68,Boden::N,Boden,накьв
69,Erde::N,Erde,ччил
70,Staub::N,Staub,руг
71,Rauch::N,Rauch,гум
72,Funke::N,Funke,цӏелхем
73,Feuer::N,Feuer,цӏай
74,Licht::N,Licht,экв
75,Schatten::N,Schatten,серин
76,Wetter::N,Wetter,гьава
77,Nebel::N,Nebel,ччилин циф
78,Wolke::N,Wolke,циф
79,Regen::N,Regen,марф
80,Schnee::N,Schnee,жив
81,Eis::N,Eis,мурк
82,Frost::N,Frost,аяз
83,Kälte::N,Kälte,мекь
84,Kälte::N,Kälte,мекьивал
85,Hitze::N,Hitze,зегьем
86,Raureif::N,Raureif,къирав
87,Regenbogen::N,Regenbogen,яргъируш
88,Donner::N,Donner,цавун ван
89,Strömung::N,Strömung,
90,Tropfen::N,Tropfen,стӏал
91,Schaum::N,Schaum,каф
92,Schmutz::N,Schmutz,чирк
93,Schmutz::N,Schmutz,кьуруш
94,See::N,See,вир
95,Sumpf::N,Sumpf,уьлен
96,Moor::N,Moor,
97,Wiese::N,Wiese,векь
98,Wald::N,Wald,там
99,Hügel::N,Hügel,кӏунтӏ
100,Anhöhe::N,Anhöhe,тепе
101,Anhöhe::N,Anhöhe,гьуьндуьрвал
102,Berg::N,Berg,дагъ
103,Gipfel::N,Gipfel,кӏукӏ
104,Höhle::N,Höhle,кьветӏ
105,Abhang::N,Abhang,гуьне
106,Quelle::N,Quelle,чешме
107,Bach::N,Bach,булах
108,Fluss::N,Fluss,вацӏ
109,Ufer::N,Ufer,къерех
110,Küste::N,Küste,къерех
111,Festland::N,Festland,кьурамат
112,Meer::N,Meer,гьуьл
113,Bucht::N,Bucht,бухта
114,Insel::N,Insel,остров
115,Blume::N,Blume,цуьк
116,Gras::N,Gras,хъач
117,Wurzel::N,Wurzel,дувул
118,Baum::N,Baum,ттар
119,Stamm::N,Stamm,тан
120,Rinde::N,Rinde,чкал
121,Ast::N,Ast,тӏур
122,Zweig::N,Zweig,хел
123,Blatt::N,Blatt,пеш
124,Birke::N,Birke,верх
125,Kiefer[Baum]::N,Kiefer,шамагъаж
126,Weide[Baum]::N,Weide,цӏвелин ттар
127,Tanne::N,Tanne,ель
128,Horn::N,Horn,карч
129,Feder::N,Feder,цӏакул
130,Fell::N,Fell,хам
131,Flügel::N,Flügel,лув
132,Klaue::N,Klaue,къармах
133,Kralle::N,Kralle,пац
134,Kralle::N,Kralle,тапас
135,Schwanz::N,Schwanz,ттум
136,Ei::N,Ei,кака
137,Nest::N,Nest,муг
138,Bau::N,Bau,тӏеквен
139,Tier::N,Tier,гьайван
140,Herde::N,Herde,суьруь
141,Kuh::N,Kuh,ккал
142,Bulle::N,Bulle,яц
143,Bulle::N,Bulle,бугъа
144,Pferd::N,Pferd,балкӏан
145,Schaf::N,Schaf,хеб
146,Schwein::N,Schwein,вак
147,Hund::N,Hund,кицӏ
148,Katze::N,Katze,кац
149,Bär::N,Bär,сев
150,Eichhörnchen::N,Eichhörnchen,белка
151,Elch::N,Elch,лось
152,Fuchs::N,Fuchs,сикӏ
153,Hase::N,Hase,къуьр
154,Maus::N,Maus,кьиф
155,Wolf::N,Wolf,жанавур
156,Vogel::N,Vogel,луван ничхир
157,Schwarm::N,Schwarm,луж
158,Huhn::N,Huhn,верч
159,Hahn::N,Hahn,кӏек
160,Gans::N,Gans,къаз
161,Adler::N,Adler,лекь
162,Ente::N,Ente,пӏатӏ
163,Eule::N,Eule,тӏиб
164,Kranich::N,Kranich,дурна
165,Krähe::N,Krähe,къаргъа
166,Kuckuck::N,Kuckuck,кукупӏ
167,Schwan::N,Schwan,къугь
168,Fisch::N,Fisch,гъед
169,Barsch::N,Barsch,окунь
170,Hecht::N,Hecht,щука
171,Schlange[Tier]::N,Schlange,илан
172,Schlange[Tier]::N,Schlange,гъуьлягъ
173,Wurm::N,Wurm,квак
174,Spinne::N,Spinne,хуьшрекан
175,Ameise::N,Ameise,цегв
176,Laus::N,Laus,нет
177,Mücke::N,Mücke,ветӏ
178,Fliege::N,Fliege,тӏветӏ
179,Schmetterling::N,Schmetterling,чепелукь
180,Beere::N,Beere,куьлуь емиш
181,Apfel::N,Apfel,ич
182,Pilz::N,Pilz,къарникъуз
183,Zwiebel::N,Zwiebel,чичӏек
184,Saat::N,Saat,тумар
185,Korn::N,Korn,твар
186,Heu::N,Heu,векь
187,Heu::N,Heu,векьер
188,Schale::N,Schale,пириш
189,Schale::N,Schale,хъуьруьш
190,Grube::N,Grube,фур
191,Falle::N,Falle,ракьар
192,Schlinge::N,Schlinge,гьалкъа
193,Spur::N,Spur,гел
194,Asche::N,Asche,руьхъ
195,Dreck::N,Dreck,чирк
196,Dreck::N,Dreck,кьуруш
197,Eisen::N,Eisen,ракь
198,Gold::N,Gold,алтун
199,Silber::N,Silber,гимиш
200,Kohle::N,Kohle,цӏивин
201,Glas::N,Glas,шуьше
202,Lehm::N,Lehm,ччеб
203,Sand::N,Sand,къум
204,Mensch::N,Mensch,инсан
205,Mann::N,Mann,итим
206,Frau::N,Frau,паб
207,Frau::N,Frau,дишегьли
208,Kind::N,Kind,аял
209,Junge::N,Junge,гада
210,Mädchen::N,Mädchen,руш
211,Familie::N,Familie,хзан
212,Familie::N,Familie,килфет
213,Großvater::N,Großvater,чӏехи буба
214,Großmutter::N,Großmutter,чӏехи диде
215,Eltern::N,Eltern,диде-буба
216,Vater::N,Vater,буба
217,Mutter::N,Mutter,диде
218,Sohn::N,Sohn,хва
219,Tochter::N,Tochter,руш
220,Bruder::N,Bruder,стха
221,Schwester::N,Schwester,вах
222,Onkel::N,Onkel,ими
223,Onkel::N,Onkel,халу
224,Tante::N,Tante,эме
225,Tante::N,Tante,хала
226,Ehemann::N,Ehemann,гъуьл
227,Ehefrau::N,Ehefrau,паб
228,Freude::N,Freude,шадвал
229,Gelächter::N,Gelächter,хъвер
230,Glück::N,Glück,бахт
231,Kummer::N,Kummer,дерт
232,Kummer::N,Kummer,хажалат
233,Wunsch::N,Wunsch,мурад
234,Lust::N,Lust,гьевес
235,Geist::N,Geist,руьгь
236,Gedanke::N,Gedanke,фикир
237,Gedächtnis::N,Gedächtnis,
238,Verstand::N,Verstand,акьул
239,Sinn::N,Sinn,мана
240,Grund::N,Grund,себеб
241,Wahrheit::N,Wahrheit,керчек
242,Wahrheit::N,Wahrheit,гьакъикъат
243,Gespräch::N,Gespräch,ихтилат
244,Märchen::N,Märchen,мах
245,Erzählung::N,Erzählung,кьиса
246,Nachricht::N,Nachricht,хабар
247,Neuigkeit::N,Neuigkeit,цӏийи хабар
248,Name::N,Name,тӏвар
249,Rätsel::N,Rätsel,мискӏал
250,Rede::N,Rede,рахун
251,Sprache::N,Sprache,чӏал
252,Stimme::N,Stimme,ван
253,Wort::N,Wort,гаф
254,Zeichen::N,Zeichen,ишара
255,Ruf::N,Ruf,эвер
256,Lärm::N,Lärm,ван-сес
257,Laut::N,Laut,ван
258,Laut::N,Laut,сес
259,Ton::N,Ton,ван-сес
260,Lied::N,Lied,мани
261,Ruhe::N,Ruhe,ласвал
262,Ruhe::N,Ruhe,фаракъат
263,Ruhe::N,Ruhe,асайиш
264,Leute::N,Leute,инсанар
265,Volk::N,Volk,халкь
266,Arbeit::N,Arbeit,кӏвалах
267,Gast::N,Gast,мугьман
268,Geschenk::N,Geschenk,савкьат
269,Spiel::N,Spiel,къугъун
270,Gesellschaft::N,Gesellschaft,жемят
271,Gesellschaft::N,Gesellschaft,общество
272,Hilfe::N,Hilfe,куьмек
273,Freund::N,Freund,дуст
274,Kamerad::N,Kamerad,яр-дуст
275,Angelegenheit::N,Angelegenheit,кар
276,Anzahl::N,Anzahl,сан
277,Anzahl::N,Anzahl,кьадар
278,Art::N,Art,жуьре
279,Stück::N,Stück,кӏус
280,Teil::N,Teil,пай
281,Hälfte::N,Hälfte,зур
282,Hälfte::N,Hälfte,зур пай
283,Kreis::N,Kreis,круг
284,Kreis::N,Kreis,чкаяр
285,Kreis::N,Kreis,элкъвей цӏар
286,Kreuz::N,Kreuz,хаш
287,Linie::N,Linie,цӏар
288,Strich::N,Strich,цӏар
289,Abstand::N,Abstand,ара
290,Entfernung::N,Entfernung,мензил
291,Gegend::N,Gegend,чка
292,Platz::N,Platz,ара
293,Ort::N,Ort,чка
294,Seite::N,Seite,пад
295,Mitte::N,Mitte,юкь
296,Gegenstand::N,Gegenstand,затӏ
297,Sache::N,Sache,шей
298,Sache::N,Sache,затӏ
299,Rand::N,Rand,къерех
300,Kante::N,Kante,син
301,Ecke::N,Ecke,пӏипӏ
302,Spitze::N,Spitze,кӏвенкӏв
303,Ende::N,Ende,кьил
304,Loch::N,Loch,тӏеквен
305,Winkel::N,Winkel,пӏипӏ
306,Muster::N,Muster,гишир
307,Größe::N,Größe,кьадар
308,Länge::N,Länge,яргъивал
309,Höhe::N,Höhe,кьакьанвал
310,Gewicht::N,Gewicht,заланвал
311,Menge::N,Menge,кьадар
312,Haufen::N,Haufen,хара
313,Reihe::N,Reihe,жерге
314,Boot::N,Boot,луьткве
315,Ruder::N,Ruder,кьусу
316,Schlitten::N,Schlitten,гъелерар
317,Ski::N,Ski,
318,Lagerfeuer::N,Lagerfeuer,цӏай
319,Last::N,Last,заланвал
320,Gang::N,Gang,ериш
321,Schritt::N,Schritt,къадам
