,Concept_ID,lv,hu
0,Auge::N,син,szem
1,Auge::N,acs,szem
2,Ohr::N,пель,fül
3,Ohr::N,auss,fül
4,Nase::N,ныр,orr
5,Nase::N,deguns,orr
6,Mund::N,вом,száj
7,Mund::N,mute,száj
8,Zahn::N,пинь,fog
9,Zahn::N,zobs,fog
10,Zunge::N,кыв,nyelv
11,Zunge::N,mēle,nyelv
12,Lippe::N,вом дор,ajak
13,Lippe::N,lūpa,ajak
14,Wange::N,бан,orca
15,Wange::N,vaigs,orca
16,Gesicht::N,чужӧм,arc
17,Gesicht::N,seja,arc
18,Gesicht::N,ģīmis,arc
19,Stirn::N,плеш,homlok
20,Stirn::N,кымӧс,homlok
21,Stirn::N,piere,homlok
22,Haar::N,си,haj
23,Haar::N,юрси,haj
24,Haar::N,mats,haj
25,Schnurrbart::N,ус,bajusz
26,Schnurrbart::N,пыртсим,bajusz
27,Schnurrbart::N,ūsas,bajusz
28,Bart::N,тош,szakáll
29,Bart::N,bārda,szakáll
30,Kinn::N,тшӧка,áll
31,Kinn::N,zods,áll
32,Kinn::N,smakrs,áll
33,Kiefer[Anatomie]::N,черлы,állkapocs
34,Kiefer[Anatomie]::N,алака лы,állkapocs
35,Kiefer[Anatomie]::N,вомкӧтш лы,állkapocs
36,Kiefer[Anatomie]::N,žoklis,állkapocs
37,Kehle::N,голя,gége
38,Kehle::N,голя,torok
39,Kehle::N,rīkle,gége
40,Kehle::N,rīkle,torok
41,Hals::N,сьылі,nyak
42,Hals::N,kakls,nyak
43,Genick::N,юрбӧр,tarkó
44,Genick::N,балябӧж,tarkó
45,Genick::N,sprands,tarkó
46,Kopf::N,юр,fő
47,Kopf::N,юр,fej
48,Kopf::N,galva,fő
49,Kopf::N,galva,fej
50,Rücken::N,мыш,hát
51,Rücken::N,mugura,hát
52,Bauch::N,рушку,has
53,Bauch::N,vēders,has
54,Nabel::N,гӧг,köldök
55,Nabel::N,naba,köldök
56,Busen::N,морӧс,mell
57,Busen::N,морӧс,kebel
58,Busen::N,krūts,mell
59,Busen::N,krūts,kebel
60,Brust::N,морӧс,mell
61,Brust::N,krūts,mell
62,Schulter::N,пельпом,váll
63,Schulter::N,plecs,váll
64,Arm::N,ки,kar
65,Arm::N,roka,kar
66,Arm::N,delms,kar
67,Ellenbogen::N,гырддза,könyök
68,Ellenbogen::N,elkonis,könyök
69,Hand::N,ки,kéz
70,Hand::N,roka,kéz
71,Hand::N,plauksta,kéz
72,Handfläche::N,ки пыдӧс,tenyér
73,Handfläche::N,delna,tenyér
74,Handfläche::N,plauksta,tenyér
75,Finger::N,чунь,ujj
76,Finger::N,pirksts,ujj
77,Fingernagel::N,гыж,köröm
78,Fingernagel::N,nags,köröm
79,Nagel[Anatomie]::N,гыж,köröm
80,Nagel[Anatomie]::N,nags,köröm
81,Zeh::N,кок чунь,lábujj
82,Zeh::N,pirksts,lábujj
83,Fuß::N,кок,láb
84,Fuß::N,kāja,láb
85,Ferse::N,кокбӧр,sarok
86,Ferse::N,papēdis,sarok
87,Knie::N,пидзӧс,térd
88,Knie::N,celis,térd
89,Oberschenkel::N,лядьвей,comb
90,Oberschenkel::N,бек,comb
91,Oberschenkel::N,ciska,comb
92,Oberschenkel::N,augšstilbs,comb
93,Bein::N,кок,láb
94,Bein::N,кок,lábszár
95,Bein::N,kāja,láb
96,Bein::N,kāja,lábszár
97,Körper::N,туша,test
98,Körper::N,вывтыр,test
99,Körper::N,miesa,test
100,Körper::N,ķermenis,test
101,Haut::N,ку,bőr
102,Haut::N,āda,bőr
103,Blut::N,вир,vér
104,Blut::N,asins,vér
105,Ader::N,сӧн,ér
106,Ader::N,asinsvads,ér
107,Sehne::N,вез,ín
108,Sehne::N,dzīsla,ín
109,Knochen::N,лы,csont
110,Knochen::N,kauls,csont
111,Gehirn::N,вем,agy
112,Gehirn::N,вем,agyvelő
113,Gehirn::N,smadzenes,agy
114,Gehirn::N,smadzenes,agyvelő
115,Herz::N,сьӧлӧм,szív
116,Herz::N,sirds,szív
117,Magen::N,кынӧм,gyomor
118,Magen::N,kuņģis,gyomor
119,Leber::N,мус,máj
120,Leber::N,aknas,máj
121,Atem::N,лов,lehelet
122,Atem::N,лов,lélegzet
123,Atem::N,elpa,lehelet
124,Atem::N,elpa,lélegzet
125,Hunger::N,тшыг,éhség
126,Hunger::N,bads,éhség
127,Hunger::N,izsalkums,éhség
128,Träne::N,синва,könny
129,Träne::N,asara,könny
130,Geschmack::N,кӧр,íz
131,Geschmack::N,чӧсмӧс,íz
132,Geschmack::N,garša,íz
133,Geruch::N,зын,szag
134,Geruch::N,дук,szag
135,Geruch::N,smaka,szag
136,Schlaf::N,узьӧм,álom
137,Schlaf::N,узьӧм,alvás
138,Schlaf::N,miegs,álom
139,Schlaf::N,miegs,alvás
140,Traum::N,вӧт,álom
141,Traum::N,вӧтасьӧм,álom
142,Traum::N,sapnis,álom
143,Himmel::N,енэж,ég
144,Himmel::N,енэж,menny
145,Himmel::N,debess,ég
146,Himmel::N,debess,menny
147,Sonne::N,шонді,nap
148,Sonne::N,saule,nap
149,Mond::N,тӧлысь,hold
150,Mond::N,mēness,hold
151,Stern::N,кодзув,csillag
152,Stern::N,zvaigzne,csillag
153,Luft::N,сынӧд,levegő
154,Luft::N,gaiss,levegő
155,Wind::N,тӧв,szél
156,Wind::N,vējš,szél
157,Welle::N,гы,hullám
158,Welle::N,vilnis,hullám
159,Wasser::N,ва,víz
160,Wasser::N,ūdens,víz
161,Stein::N,из,kő
162,Stein::N,akmens,kő
163,Boden::N,му,föld
164,Boden::N,му,talaj
165,Boden::N,augsne,föld
166,Boden::N,augsne,talaj
167,Erde::N,му,föld
168,Erde::N,му-ва,föld
169,Erde::N,zeme,föld
170,Staub::N,бус,por
171,Staub::N,putekļi,por
172,Rauch::N,тшын,füst
173,Rauch::N,dūmi,füst
174,Funke::N,кинь,szikra
175,Funke::N,би кинь,szikra
176,Funke::N,dzirkstele,szikra
177,Feuer::N,би,tűz
178,Feuer::N,uguns,tűz
179,Licht::N,югӧр,fény
180,Licht::N,gaisma,fény
181,Schatten::N,вуджӧр,árnyék
182,Schatten::N,ēna,árnyék
183,Wetter::N,поводдя,idő
184,Wetter::N,поводдя,időjárás
185,Wetter::N,laiks,idő
186,Wetter::N,laiks,időjárás
187,Nebel::N,ру,köd
188,Nebel::N,онь,köd
189,Nebel::N,migla,köd
190,Wolke::N,кымӧр,felhő
191,Wolke::N,mākonis,felhő
192,Regen::N,зэр,eső
193,Regen::N,lietus,eső
194,Schnee::N,лым,hó
195,Schnee::N,sniegs,hó
196,Eis::N,йи,jég
197,Eis::N,ledus,jég
198,Frost::N,кӧдзыд,fagy
199,Frost::N,sals,fagy
200,Kälte::N,кӧдзыд,hideg
201,Kälte::N,saltums,hideg
202,Kälte::N,aukstums,hideg
203,Hitze::N,пӧсь,hő
204,Hitze::N,пӧсь,hőség
205,Hitze::N,гожӧд,hő
206,Hitze::N,гожӧд,hőség
207,Hitze::N,karstums,hő
208,Hitze::N,karstums,hőség
209,Raureif::N,пуж,zúzmara
210,Raureif::N,гыӧр,zúzmara
211,Raureif::N,sarma,zúzmara
212,Regenbogen::N,ӧшкамӧшка,szivárvány
213,Regenbogen::N,varavīksne,szivárvány
214,Donner::N,гым,dörgés
215,Donner::N,гым,mennydörgés
216,Donner::N,pērkons,dörgés
217,Donner::N,pērkons,mennydörgés
218,Strömung::N,ва ныр,áramlat
219,Strömung::N,визувтӧм,áramlat
220,Strömung::N,straume,áramlat
221,Strömung::N,strāvojums,áramlat
