,Concept_ID,hi,nl
0,Auge::N,आँख,oog
1,Auge::N,चक्षु,oog
2,Ohr::N,कान,oor
3,Ohr::N,कर्ण,oor
4,Nase::N,नाक,neus
5,Nase::N,नासा,neus
6,Mund::N,मुख,mond
7,Mund::N,मुँह,mond
8,Zahn::N,दंत,tand
9,Zahn::N,दाँत,tand
10,Zunge::N,जीभ,tong
11,Zunge::N,ज़बान,tong
12,Zunge::N,जिह्वा,tong
13,Lippe::N,ओंठ,lip
14,Lippe::N,होंठ,lip
15,Wange::N,गाल,wang
16,Wange::N,कपोल,wang
17,Gesicht::N,मुँह,gelaat
18,Gesicht::N,मुँह,gezicht
19,Gesicht::N,चेहरा,gelaat
20,Gesicht::N,चेहरा,gezicht
21,Stirn::N,माथा,voorhoofd
22,Stirn::N,मस्तक,voorhoofd
23,Haar::N,बाल,haar
24,Schnurrbart::N,मूँछें,snor
25,Bart::N,दाढ़ी,baard
26,Kinn::N,चिबुक,kin
27,Kiefer[Anatomie]::N,जबड़ा,kaak
28,Kehle::N,गला,keel
29,Kehle::N,गला,strot
30,Hals::N,गला,hals
31,Hals::N,गरदन,hals
32,Genick::N,गरदन,nek
33,Genick::N,ग्रीवा,nek
34,Kopf::N,सिर,hoofd
35,Kopf::N,शीर्ष,hoofd
36,Rücken::N,पीठ,rug
37,Bauch::N,उदर,buik
38,Nabel::N,नाभि,navel
39,Nabel::N,ढोंढी,navel
40,Busen::N,कुच,boezem
41,Busen::N,स्तन,boezem
42,Brust::N,वक्ष,borst
43,Schulter::N,कंधा,schouder
44,Schulter::N,स्कंध,schouder
45,Arm::N,बाँह,arm
46,Arm::N,बाज़ू,arm
47,Ellenbogen::N,कुहनी,elleboog
48,Hand::N,हाथ,hand
49,Hand::N,हस्त,hand
50,Handfläche::N,हथेली,handpalm
51,Finger::N,उँगली,vinger
52,Finger::N,अँगुली,vinger
53,Fingernagel::N,नख,nagel
54,Fingernagel::N,नाख़ून,nagel
55,Nagel[Anatomie]::N,नख,nagel
56,Nagel[Anatomie]::N,नाख़ून,nagel
57,Zeh::N,उँगली,teen
58,Zeh::N,पाँव की उँगली,teen
59,Fuß::N,चरण,voet
60,Fuß::N,पाँव,voet
61,Ferse::N,एड़ी,hak
62,Ferse::N,एड़ी,hiel
63,Knie::N,जानु,knie
64,Knie::N,घुटना,knie
65,Oberschenkel::N,उरु,dij
66,Bein::N,टाँग,been
67,Körper::N,तन,lichaam
68,Körper::N,देह,lichaam
69,Körper::N,शरीर,lichaam
70,Haut::N,चर्म,huid
71,Haut::N,त्वचा,huid
72,Blut::N,लहू,bloed
73,Blut::N,ख़ून,bloed
74,Ader::N,रग,ader
75,Ader::N,शिरा,ader
76,Sehne::N,कंडरा,pees
77,Sehne::N,स्नायु,pees
78,Knochen::N,अस्थि,bot
79,Knochen::N,अस्थि,been
80,Knochen::N,अस्थि,knook
81,Gehirn::N,दिमाग़,hersenen
82,Gehirn::N,मस्तिष्क,hersenen
83,Herz::N,दिल,hart
84,Herz::N,हृदय,hart
85,Magen::N,मेदा,maag
86,Magen::N,अमाशय,maag
87,Leber::N,जिगर,lever
88,Leber::N,यकृत्,lever
89,Atem::N,दम,adem
90,Atem::N,साँस,adem
91,Atem::N,श्वास,adem
92,Hunger::N,भूख,honger
93,Hunger::N,क्षुधा,honger
94,Träne::N,आँसू,traan
95,Träne::N,अश्रु,traan
96,Geschmack::N,स्वाद,smaak
97,Geschmack::N,ज़ायक़ा,smaak
98,Geruch::N,बू,geur
99,Geruch::N,गंध,geur
100,Schlaf::N,नींद,slaap
101,Schlaf::N,निद्रा,slaap
102,Traum::N,सपना,droom
103,Traum::N,स्वप्न,droom
104,Himmel::N,आकाश,hemel
105,Himmel::N,आसमान,hemel
106,Sonne::N,रवि,zon
107,Sonne::N,सूरज,zon
108,Sonne::N,सूर्य,zon
109,Mond::N,चाँद,maan
110,Mond::N,चंद्र,maan
111,Stern::N,तारा,ster
112,Stern::N,सितारा,ster
113,Luft::N,हवा,lucht
114,Luft::N,वायु,lucht
115,Wind::N,पाद,wind
116,Welle::N,लहर,golf
117,Welle::N,तरंग,golf
118,Wasser::N,जल,water
119,Wasser::N,पानी,water
120,Stein::N,पत्थर,steen
121,Boden::N,मिट्टी,grond
122,Erde::N,भूमि,aarde
123,Erde::N,ज़मीन,aarde
