,Concept_ID,lv,hi
0,Auge::N,син,आँख
1,Auge::N,син,चक्षु
2,Auge::N,acs,आँख
3,Auge::N,acs,चक्षु
4,Ohr::N,пель,कान
5,Ohr::N,пель,कर्ण
6,Ohr::N,auss,कान
7,Ohr::N,auss,कर्ण
8,Nase::N,ныр,नाक
9,Nase::N,ныр,नासा
10,Nase::N,deguns,नाक
11,Nase::N,deguns,नासा
12,Mund::N,вом,मुख
13,Mund::N,вом,मुँह
14,Mund::N,mute,मुख
15,Mund::N,mute,मुँह
16,Zahn::N,пинь,दंत
17,Zahn::N,пинь,दाँत
18,Zahn::N,zobs,दंत
19,Zahn::N,zobs,दाँत
20,Zunge::N,кыв,जीभ
21,Zunge::N,кыв,ज़बान
22,Zunge::N,кыв,जिह्वा
23,Zunge::N,mēle,जीभ
24,Zunge::N,mēle,ज़बान
25,Zunge::N,mēle,जिह्वा
26,Lippe::N,вом дор,ओंठ
27,Lippe::N,вом дор,होंठ
28,Lippe::N,lūpa,ओंठ
29,Lippe::N,lūpa,होंठ
30,Wange::N,бан,गाल
31,Wange::N,бан,कपोल
32,Wange::N,vaigs,गाल
33,Wange::N,vaigs,कपोल
34,Gesicht::N,чужӧм,मुँह
35,Gesicht::N,чужӧм,चेहरा
36,Gesicht::N,seja,मुँह
37,Gesicht::N,seja,चेहरा
38,Gesicht::N,ģīmis,मुँह
39,Gesicht::N,ģīmis,चेहरा
40,Stirn::N,плеш,माथा
41,Stirn::N,плеш,मस्तक
42,Stirn::N,кымӧс,माथा
43,Stirn::N,кымӧс,मस्तक
44,Stirn::N,piere,माथा
45,Stirn::N,piere,मस्तक
46,Haar::N,си,बाल
47,Haar::N,юрси,बाल
48,Haar::N,mats,बाल
49,Schnurrbart::N,ус,मूँछें
50,Schnurrbart::N,пыртсим,मूँछें
51,Schnurrbart::N,ūsas,मूँछें
52,Bart::N,тош,दाढ़ी
53,Bart::N,bārda,दाढ़ी
54,Kinn::N,тшӧка,चिबुक
55,Kinn::N,zods,चिबुक
56,Kinn::N,smakrs,चिबुक
57,Kiefer[Anatomie]::N,черлы,जबड़ा
58,Kiefer[Anatomie]::N,алака лы,जबड़ा
59,Kiefer[Anatomie]::N,вомкӧтш лы,जबड़ा
60,Kiefer[Anatomie]::N,žoklis,जबड़ा
61,Kehle::N,голя,गला
62,Kehle::N,rīkle,गला
63,Hals::N,сьылі,गला
64,Hals::N,сьылі,गरदन
65,Hals::N,kakls,गला
66,Hals::N,kakls,गरदन
67,Genick::N,юрбӧр,गरदन
68,Genick::N,юрбӧр,ग्रीवा
69,Genick::N,балябӧж,गरदन
70,Genick::N,балябӧж,ग्रीवा
71,Genick::N,sprands,गरदन
72,Genick::N,sprands,ग्रीवा
73,Kopf::N,юр,सिर
74,Kopf::N,юр,शीर्ष
75,Kopf::N,galva,सिर
76,Kopf::N,galva,शीर्ष
77,Rücken::N,мыш,पीठ
78,Rücken::N,mugura,पीठ
79,Bauch::N,рушку,उदर
80,Bauch::N,vēders,उदर
81,Nabel::N,гӧг,नाभि
82,Nabel::N,гӧг,ढोंढी
83,Nabel::N,naba,नाभि
84,Nabel::N,naba,ढोंढी
85,Busen::N,морӧс,कुच
86,Busen::N,морӧс,स्तन
87,Busen::N,krūts,कुच
88,Busen::N,krūts,स्तन
89,Brust::N,морӧс,वक्ष
