,Concept_ID,en,myv
0,Auge::N,eye,сельме
1,Ohr::N,ear,пиле
2,Nase::N,nose,судо
3,Mund::N,mouth,курго
4,Zahn::N,tooth,пей
5,Zunge::N,tongue,кель
6,Lippe::N,lip,турва
7,Wange::N,cheek,чамабока
8,Wange::N,cheek,чамаумарь
9,Gesicht::N,face,чама
10,Stirn::N,forehead,коня
11,Haar::N,hair,черь
12,Schnurrbart::N,moustache,ус
13,Schnurrbart::N,moustache,муюк
14,Bart::N,beard,сакал
15,Kinn::N,chin,уло
16,Kiefer[Anatomie]::N,jaw,пейпакар
17,Kiefer[Anatomie]::N,jaw,пейловажа
18,Kehle::N,throat,кирьгапарь
19,Hals::N,neck,кирьга
20,Genick::N,nape,човонь
21,Kopf::N,head,пря
22,Rücken::N,back,копорь
23,Rücken::N,spine,копорь
24,Bauch::N,belly,пеке
25,Nabel::N,navel,почо
26,Busen::N,bosom,поте
27,Brust::N,chest,меште
28,Brust::N,breast,меште
29,Schulter::N,shoulder,лавтов
30,Arm::N,arm,кедь
31,Ellenbogen::N,elbow,кенерепакарь
32,Hand::N,hand,кедь
33,Handfläche::N,palm,кедькуншка
34,Handfläche::N,palm,кедьлапушка
35,Finger::N,finger,сур
36,Fingernagel::N,fingernail,кенже
37,Nagel[Anatomie]::N,nail,кенже
38,Zeh::N,toe,пильге сур
39,Fuß::N,foot,пильге
40,Ferse::N,heel,кочкаря
41,Knie::N,knee,эле
42,Knie::N,knee,эзне
43,Knie::N,knee,кумажа
44,Oberschenkel::N,thigh,качо
45,Bein::N,leg,пильге
46,Körper::N,body,рунго
47,Haut::N,skin,киське
48,Blut::N,blood,верь
49,Ader::N,vein,сан
50,Sehne::N,sinew,коське сан
51,Knochen::N,bone,пакарь
52,Gehirn::N,brain,удем
53,Herz::N,heart,седей
54,Magen::N,stomach,пеке
55,Leber::N,liver,максо
56,Atem::N,breath,лексема
57,Atem::N,breath,оймень таргсема
58,Hunger::N,hunger,вачочи
59,Träne::N,tear,селведь
60,Geschmack::N,flavour,тансть
61,Geschmack::N,flavor,тансть
62,Geruch::N,odour,чине
63,Geruch::N,odor,чине
64,Schlaf::N,sleep,удома
65,Traum::N,dream,он
66,Himmel::N,sky,менель
67,Sonne::N,sun,чи
68,Mond::N,moon,ков
69,Stern::N,star,теште
70,Luft::N,air,кошт
71,Wind::N,wind,варма
72,Welle::N,wave,толкун
73,Wasser::N,water,ведь
74,Stein::N,stone,кев
75,Boden::N,soil,мода
76,Boden::N,ground,мода
77,Erde::N,earth,мастор
78,Staub::N,dust,пуль
79,Rauch::N,smoke,качамо
80,Funke::N,spark,сятко
81,Feuer::N,fire,тол
82,Licht::N,light,валдо
83,Schatten::N,shadow,сулей
84,Schatten::N,shadow,сулейкс
85,Wetter::N,weather,ушо
86,Nebel::N,fog,сув
87,Wolke::N,cloud,пель
88,Regen::N,rain,пиземс
89,Schnee::N,snow,лов
90,Eis::N,ice,эй
91,Frost::N,frost,кельме
92,Kälte::N,chill,якшамо
