,Concept_ID,sv,fr
0,Auge::N,öga,œil
1,Ohr::N,öra,oreille
2,Nase::N,näsa,nez
3,Mund::N,mun,bouche
4,Zahn::N,tand,dent
5,Zunge::N,tunga,langue
6,Lippe::N,läpp,lèvre
7,Wange::N,kind,joue
8,Gesicht::N,syn,face
9,Gesicht::N,syn,visage
10,Gesicht::N,ansikte,face
11,Gesicht::N,ansikte,visage
12,Stirn::N,panna,front
13,Haar::N,hår,cheveu
14,Schnurrbart::N,mustasch,moustache
15,Bart::N,skägg,barbe
16,Kinn::N,haka,menton
17,Kiefer[Anatomie]::N,käke,mâchoire
18,Kehle::N,strupe,gorge
19,Hals::N,hals,cou
20,Genick::N,nacke,nuque
21,Kopf::N,huvud,tête
22,Rücken::N,rygg,dos
23,Bauch::N,buk,ventre
24,Bauch::N,mage,ventre
25,Nabel::N,navel,nombril
26,Busen::N,barm,sein
27,Brust::N,bröst,poitrine
28,Schulter::N,skuldra,épaule
29,Arm::N,arm,bras
30,Ellenbogen::N,armbåge,coude
31,Hand::N,hand,main
32,Handfläche::N,handflata,paume
33,Finger::N,finger,doigt
34,Fingernagel::N,fingernagel,ongle
35,Nagel[Anatomie]::N,nagel,ongle
36,Zeh::N,tå,orteil
37,Zeh::N,tå,doigt de pied
38,Fuß::N,fot,pied
39,Ferse::N,häl,talon
40,Knie::N,knä,genou
41,Oberschenkel::N,lår,cuisse
42,Bein::N,ben,jambe
43,Körper::N,kropp,corps
44,Haut::N,hud,peau
45,Haut::N,skinn,peau
46,Blut::N,blod,sang
47,Ader::N,åder,veine
48,Sehne::N,sena,tendon
49,Knochen::N,ben,os
50,Gehirn::N,hjärna,cerveau
51,Herz::N,hjärta,cœur
52,Magen::N,mage,estomac
53,Leber::N,lever,foie
54,Atem::N,anda,haleine
55,Atem::N,andedräkt,haleine
56,Hunger::N,svält,faim
57,Hunger::N,hunger,faim
58,Träne::N,tår,larme
59,Geschmack::N,smak,goût
60,Geschmack::N,smak,saveur
61,Geruch::N,lukt,odeur
62,Schlaf::N,sömn,sommeil
63,Traum::N,dröm,songe
64,Himmel::N,himmel,ciel
65,Sonne::N,sol,soleil
66,Mond::N,måne,lune
67,Stern::N,stjärna,étoile
68,Luft::N,luft,air
69,Wind::N,vind,vent
70,Welle::N,våg,vague
71,Welle::N,bölja,vague
72,Wasser::N,vatten,eau
73,Stein::N,sten,pierre
74,Boden::N,mark,sol
75,Boden::N,mark,terrain
76,Erde::N,jord,terre
