,Concept_ID,sv,en
0,Auge::N,öga,eye
1,Ohr::N,öra,ear
2,Nase::N,näsa,nose
3,Mund::N,mun,mouth
4,Zahn::N,tand,tooth
5,Zunge::N,tunga,tongue
6,Lippe::N,läpp,lip
7,Wange::N,kind,cheek
8,Gesicht::N,syn,face
9,Gesicht::N,ansikte,face
10,Stirn::N,panna,forehead
11,Haar::N,hår,hair
12,Schnurrbart::N,mustasch,moustache
13,Bart::N,skägg,beard
14,Kinn::N,haka,chin
15,Kiefer[Anatomie]::N,käke,jaw
16,Kehle::N,strupe,throat
17,Hals::N,hals,neck
18,Genick::N,nacke,nape
19,Kopf::N,huvud,head
20,Rücken::N,rygg,back
21,Rücken::N,rygg,spine
22,Bauch::N,buk,belly
23,Bauch::N,mage,belly
24,Nabel::N,navel,navel
25,Busen::N,barm,bosom
26,Brust::N,bröst,chest
27,Brust::N,bröst,breast
28,Schulter::N,skuldra,shoulder
29,Arm::N,arm,arm
30,Ellenbogen::N,armbåge,elbow
31,Hand::N,hand,hand
32,Handfläche::N,handflata,palm
33,Finger::N,finger,finger
34,Fingernagel::N,fingernagel,fingernail
35,Nagel[Anatomie]::N,nagel,nail
36,Zeh::N,tå,toe
37,Fuß::N,fot,foot
38,Ferse::N,häl,heel
39,Knie::N,knä,knee
40,Oberschenkel::N,lår,thigh
41,Bein::N,ben,leg
42,Körper::N,kropp,body
43,Haut::N,hud,skin
44,Haut::N,skinn,skin
45,Blut::N,blod,blood
46,Ader::N,åder,vein
47,Sehne::N,sena,sinew
48,Knochen::N,ben,bone
49,Gehirn::N,hjärna,brain
50,Herz::N,hjärta,heart
51,Magen::N,mage,stomach
52,Leber::N,lever,liver
53,Atem::N,anda,breath
54,Atem::N,andedräkt,breath
55,Hunger::N,svält,hunger
56,Hunger::N,hunger,hunger
57,Träne::N,tår,tear
58,Geschmack::N,smak,flavour
59,Geschmack::N,smak,flavor
60,Geruch::N,lukt,odour
61,Geruch::N,lukt,odor
62,Schlaf::N,sömn,sleep
63,Traum::N,dröm,dream
64,Himmel::N,himmel,sky
65,Sonne::N,sol,sun
66,Mond::N,måne,moon
67,Stern::N,stjärna,star
68,Luft::N,luft,air
69,Wind::N,vind,wind
70,Welle::N,våg,wave
71,Welle::N,bölja,wave
72,Wasser::N,vatten,water
73,Stein::N,sten,stone
74,Boden::N,mark,soil
75,Boden::N,mark,ground
76,Erde::N,jord,earth
77,Staub::N,damm,dust
78,Rauch::N,rök,smoke
79,Funke::N,gnista,spark
80,Feuer::N,eld,fire
81,Licht::N,ljus,light
82,Schatten::N,skugga,shadow
83,Wetter::N,väder,weather
84,Nebel::N,dimma,fog
85,Nebel::N,töcken,fog
86,Wolke::N,sky,cloud
87,Wolke::N,moln,cloud
88,Regen::N,regn,rain
89,Schnee::N,snö,snow
90,Eis::N,is,ice
91,Frost::N,frost,frost
92,Kälte::N,köld,chill
93,Hitze::N,hetta,heat
94,Raureif::N,rimfrost,hoarfrost
95,Regenbogen::N,regnbåge,rainbow
96,Donner::N,åska,thunder
97,Donner::N,dunder,thunder
98,Strömung::N,strömning,current
99,Tropfen::N,dropper,drop
100,Schaum::N,skum,foam
101,Schmutz::N,lort,dirt
102,Schmutz::N,smuts,dirt
