,Concept_ID,es,cs
0,Auge::N,ojo,oko
1,Ohr::N,oreja,ucho
2,Nase::N,nariz,nos
3,Mund::N,boca,pusa
4,Zahn::N,diente,zub
5,Zunge::N,lengua,jazyk
6,Lippe::N,labio,ret
7,Wange::N,mejilla,tvář
8,Gesicht::N,cara,obličej
9,Stirn::N,frente,čelo
10,Haar::N,cabello,vlas
11,Haar::N,cabello,vlasy
12,Schnurrbart::N,bigote,kníry
13,Bart::N,barba,vousy
14,Kinn::N,barbilla,brada
15,Kiefer[Anatomie]::N,mandíbula,čelist
16,Kehle::N,garganta,hrdlo
17,Hals::N,cuello,krk
18,Genick::N,nuca,týl
19,Genick::N,cerviz,týl
20,Kopf::N,cabeza,hlava
21,Rücken::N,espalda,záda
22,Rücken::N,espalda,hřbet
23,Bauch::N,vientre,břicho
24,Nabel::N,ombligo,pupek
25,Busen::N,pecho,ňadra
26,Brust::N,pecho,prsa
27,Schulter::N,hombro,plece
28,Schulter::N,hombro,rameno
29,Arm::N,brazo,ruka
30,Ellenbogen::N,codo,loket
31,Hand::N,mano,ruka
32,Handfläche::N,palma,dlaň
33,Finger::N,dedo,prst
34,Fingernagel::N,uña,nehet
35,Nagel[Anatomie]::N,uña,nehet
36,Zeh::N,dedo del pie,prst u nohy
37,Fuß::N,pie,noha
38,Ferse::N,talón,pata
39,Knie::N,rodilla,koleno
40,Oberschenkel::N,muslo,stehno
41,Bein::N,pierna,noha
42,Körper::N,cuerpo,tělo
43,Haut::N,piel,kůže
44,Blut::N,sangre,krev
45,Ader::N,vena,céva
46,Sehne::N,tendón,šlacha
47,Knochen::N,hueso,kost
48,Gehirn::N,cerebro,mozek
49,Gehirn::N,encéfalo,mozek
50,Herz::N,corazón,srdce
51,Magen::N,estómago,žaludek
52,Leber::N,hígado,játra
53,Atem::N,aliento,dech
54,Hunger::N,hambre,hlad
55,Träne::N,lágrima,slza
56,Geschmack::N,gusto,vkus
57,Geruch::N,olor,vůně
58,Geruch::N,olor,zápach
59,Schlaf::N,sueño,spánek
60,Traum::N,sueño,sen
61,Traum::N,ensueño,sen
62,Himmel::N,cielo,nebe
63,Sonne::N,sol,slunce
64,Mond::N,luna,měsíc
65,Stern::N,estrella,hvězda
66,Luft::N,aire,vzduch
67,Wind::N,viento,vítr
68,Welle::N,ola,vlna
69,Welle::N,onda,vlna
70,Wasser::N,agua,voda
71,Stein::N,piedra,kámen
72,Boden::N,suelo,půda
73,Erde::N,tierra,země
74,Staub::N,polvo,prach
75,Rauch::N,humo,dým
76,Rauch::N,humo,kouř
77,Funke::N,chispa,jiskra
78,Feuer::N,fuego,oheň
79,Licht::N,luz,světlo
80,Schatten::N,sombra,stín
81,Wetter::N,tiempo,počasí
82,Nebel::N,niebla,mlha
83,Wolke::N,nube,mrak
84,Wolke::N,nube,oblak
85,Regen::N,lluvia,déšť
86,Schnee::N,nieve,sníh
87,Eis::N,hielo,led
88,Frost::N,helada,mráz
89,Kälte::N,frío,chlad
90,Hitze::N,calor,horko
91,Raureif::N,escarcha,jinovatka
92,Regenbogen::N,arco iris,duha
93,Donner::N,trueno,hrom
94,Strömung::N,corriente,proudění
95,Tropfen::N,gota,kapka
96,Schaum::N,espuma,pěna
97,Schmutz::N,suciedad,špína
98,See::N,lago,jezero
99,Sumpf::N,pantano,močál
100,Sumpf::N,pantano,bažina
101,Moor::N,turbera,bažina
102,Moor::N,turbera,slatina
103,Wiese::N,prado,louka
104,Wiese::N,pradera,louka
105,Wald::N,bosque,les
106,Hügel::N,colina,kopec
107,Anhöhe::N,cerro,pahorek
108,Berg::N,monte,hora
109,Berg::N,montaña,hora
110,Gipfel::N,cima,vrchol
111,Gipfel::N,cumbre,vrchol
