,Concept_ID,da,da
0,Auge::N,øje,øje
1,Ohr::N,øre,øre
2,Nase::N,næse,næse
3,Mund::N,mund,mund
4,Zahn::N,tand,tand
5,Zunge::N,tunge,tunge
6,Lippe::N,læbe,læbe
7,Wange::N,kind,kind
8,Gesicht::N,ansigt,ansigt
9,Stirn::N,pande,pande
10,Haar::N,hår,hår
11,Schnurrbart::N,overskæg,overskæg
12,Bart::N,skæg,skæg
13,Kinn::N,hage,hage
14,Kiefer[Anatomie]::N,kæbe,kæbe
15,Kehle::N,strube,strube
16,Hals::N,hals,hals
17,Genick::N,nakke,nakke
18,Kopf::N,hoved,hoved
19,Rücken::N,ryg,ryg
20,Bauch::N,mave,mave
21,Nabel::N,navle,navle
22,Busen::N,barm,barm
23,Brust::N,bryst,bryst
24,Schulter::N,skulder,skulder
25,Arm::N,arm,arm
26,Ellenbogen::N,albue,albue
27,Hand::N,hånd,hånd
28,Handfläche::N,håndflade,håndflade
29,Finger::N,finger,finger
30,Fingernagel::N,fingernegl,fingernegl
31,Nagel[Anatomie]::N,negl,negl
32,Zeh::N,tå,tå
33,Fuß::N,fod,fod
34,Ferse::N,hæl,hæl
35,Knie::N,knæ,knæ
36,Oberschenkel::N,lår,lår
37,Bein::N,ben,ben
38,Körper::N,krop,krop
39,Körper::N,krop,legeme
40,Körper::N,legeme,krop
41,Körper::N,legeme,legeme
42,Haut::N,hud,hud
43,Blut::N,blod,blod
44,Ader::N,åre,åre
45,Sehne::N,sene,sene
46,Knochen::N,ben,ben
47,Gehirn::N,hjerne,hjerne
48,Herz::N,hjerte,hjerte
49,Magen::N,mave,mave
50,Leber::N,lever,lever
51,Atem::N,ånde,ånde
52,Hunger::N,sult,sult
53,Träne::N,tåre,tåre
54,Geschmack::N,smag,smag
55,Geruch::N,lugt,lugt
56,Schlaf::N,søvn,søvn
57,Traum::N,drøm,drøm
58,Himmel::N,himmel,himmel
59,Sonne::N,sol,sol
60,Mond::N,måne,måne
61,Stern::N,stjerne,stjerne
62,Luft::N,luft,luft
63,Wind::N,vind,vind
64,Welle::N,bølge,bølge
65,Wasser::N,vand,vand
66,Stein::N,sten,sten
67,Boden::N,jord,jord
68,Erde::N,jord,jord
