,Concept_ID,lv,os
0,Auge::N,син,цӕст
1,Auge::N,acs,цӕст
2,Ohr::N,пель,хъус
3,Ohr::N,auss,хъус
4,Nase::N,ныр,фындз
5,Nase::N,deguns,фындз
6,Mund::N,вом,дзых
7,Mund::N,mute,дзых
8,Zahn::N,пинь,дӕндаг
9,Zahn::N,zobs,дӕндаг
10,Zunge::N,кыв,ӕвзаг
11,Zunge::N,mēle,ӕвзаг
12,Lippe::N,вом дор,был
13,Lippe::N,lūpa,был
14,Wange::N,бан,рус
15,Wange::N,бан,уадул
16,Wange::N,бан,ӕхсӕрфарс
17,Wange::N,vaigs,рус
18,Wange::N,vaigs,уадул
19,Wange::N,vaigs,ӕхсӕрфарс
20,Gesicht::N,чужӧм,цӕсгом
21,Gesicht::N,seja,цӕсгом
22,Gesicht::N,ģīmis,цӕсгом
23,Stirn::N,плеш,ных
24,Stirn::N,кымӧс,ных
25,Stirn::N,piere,ных
26,Haar::N,си,хил
27,Haar::N,юрси,хил
28,Haar::N,mats,хил
29,Schnurrbart::N,ус,рихи
30,Schnurrbart::N,пыртсим,рихи
31,Schnurrbart::N,ūsas,рихи
32,Bart::N,тош,зачъе
33,Bart::N,bārda,зачъе
34,Kinn::N,тшӧка,роцъо
35,Kinn::N,zods,роцъо
36,Kinn::N,smakrs,роцъо
37,Kiefer[Anatomie]::N,черлы,ӕфсӕр
38,Kiefer[Anatomie]::N,алака лы,ӕфсӕр
39,Kiefer[Anatomie]::N,вомкӧтш лы,ӕфсӕр
40,Kiefer[Anatomie]::N,žoklis,ӕфсӕр
41,Kehle::N,голя,хъуыр
42,Kehle::N,rīkle,хъуыр
43,Hals::N,сьылі,къубал
44,Hals::N,kakls,къубал
45,Genick::N,юрбӧр,къӕбут
46,Genick::N,балябӧж,къӕбут
47,Genick::N,sprands,къӕбут
48,Kopf::N,юр,сӕр
49,Kopf::N,galva,сӕр
50,Rücken::N,мыш,фӕсонтӕ
51,Rücken::N,mugura,фӕсонтӕ
52,Bauch::N,рушку,гуыбын
53,Bauch::N,vēders,гуыбын
54,Nabel::N,гӧг,бикъ
55,Nabel::N,naba,бикъ
56,Busen::N,морӧс,дзидзи
57,Busen::N,krūts,дзидзи
58,Brust::N,морӧс,риу
