,Concept_ID,hu,tr
0,Auge::N,szem,göz
1,Ohr::N,fül,kulak
2,Nase::N,orr,burun
3,Mund::N,száj,ağız
4,Zahn::N,fog,diş
5,Zunge::N,nyelv,dil
6,Lippe::N,ajak,dudak
7,Wange::N,orca,yanak
8,Gesicht::N,arc,yüz
9,Stirn::N,homlok,alın
10,Haar::N,haj,saç
11,Schnurrbart::N,bajusz,bıyık
12,Bart::N,szakáll,sakal
13,Kinn::N,áll,çene
14,Kiefer[Anatomie]::N,állkapocs,çene
15,Kehle::N,gége,boğaz
16,Kehle::N,torok,boğaz
17,Hals::N,nyak,boyun
18,Hals::N,nyak,gerdan
19,Genick::N,tarkó,ense
20,Kopf::N,fő,baş
21,Kopf::N,fő,kafa
22,Kopf::N,fej,baş
23,Kopf::N,fej,kafa
24,Rücken::N,hát,arka
25,Bauch::N,has,karın
26,Nabel::N,köldök,göbek
27,Busen::N,mell,koyun
28,Busen::N,kebel,koyun
29,Brust::N,mell,göğüs
30,Schulter::N,váll,omuz
31,Arm::N,kar,kol
32,Ellenbogen::N,könyök,dirsek
33,Hand::N,kéz,el
34,Handfläche::N,tenyér,avuç
35,Handfläche::N,tenyér,el ayası
36,Finger::N,ujj,parmak
37,Fingernagel::N,köröm,el tırnağı
38,Nagel[Anatomie]::N,köröm,tırnak
39,Zeh::N,lábujj,ayak parmağı
40,Fuß::N,láb,ayak
41,Ferse::N,sarok,topuk
42,Knie::N,térd,diz
43,Oberschenkel::N,comb,uyluk
44,Bein::N,láb,bacak
45,Bein::N,lábszár,bacak
46,Körper::N,test,vücut
47,Haut::N,bőr,cilt
48,Blut::N,vér,kan
49,Ader::N,ér,damar
50,Sehne::N,ín,kiriş
51,Knochen::N,csont,kemik
52,Gehirn::N,agy,beyin
53,Gehirn::N,agyvelő,beyin
54,Herz::N,szív,kalp
55,Herz::N,szív,yürek
56,Magen::N,gyomor,mide
57,Leber::N,máj,karaciğer
58,Atem::N,lehelet,nefes
59,Atem::N,lélegzet,nefes
60,Hunger::N,éhség,açlık
61,Träne::N,könny,gözyaşı
62,Geschmack::N,íz,tat
63,Geschmack::N,íz,lezzet
64,Geruch::N,szag,koku
65,Schlaf::N,álom,uyku
66,Schlaf::N,alvás,uyku
67,Traum::N,álom,düş
68,Traum::N,álom,rüya
69,Himmel::N,ég,gök
70,Himmel::N,menny,gök
71,Sonne::N,nap,güneş
72,Mond::N,hold,ay
73,Stern::N,csillag,yıldız
74,Luft::N,levegő,hava
75,Wind::N,szél,yel
76,Wind::N,szél,rüzgâr
77,Welle::N,hullám,dalga
78,Wasser::N,víz,su
79,Stein::N,kő,taş
80,Boden::N,föld,yer
81,Boden::N,föld,zemin
82,Boden::N,talaj,yer
83,Boden::N,talaj,zemin
84,Erde::N,föld,toprak
85,Staub::N,por,toz
86,Rauch::N,füst,duman
87,Funke::N,szikra,kıvılcım
88,Feuer::N,tűz,ateş
89,Licht::N,fény,ışık
90,Schatten::N,árnyék,gölge
91,Wetter::N,idő,hava
92,Wetter::N,időjárás,hava
93,Nebel::N,köd,pus
94,Wolke::N,felhő,bulut
95,Regen::N,eső,yağmur
96,Schnee::N,hó,kar
97,Eis::N,jég,buz
98,Frost::N,fagy,don
99,Kälte::N,hideg,soğukluk
100,Hitze::N,hő,sıcaklık
101,Hitze::N,hőség,sıcaklık
102,Raureif::N,zúzmara,kırç
103,Regenbogen::N,szivárvány,gökkuşağı
104,Donner::N,dörgés,gök gürlemesi
105,Donner::N,mennydörgés,gök gürlemesi
106,Strömung::N,áramlat,akıntı
107,Strömung::N,áramlat,cereyan
108,Tropfen::N,csepp,damla
109,Schaum::N,hab,köpük
110,Schaum::N,tajték,köpük
111,Schmutz::N,piszok,çamur
112,Schmutz::N,piszok,pislik
113,See::N,tó,göl
114,Sumpf::N,mocsár,batak
