,Concept_ID,uk,sv
0,Auge::N,око,öga
1,Ohr::N,вухо,öra
2,Nase::N,ніс,näsa
3,Mund::N,рот,mun
4,Zahn::N,зуб,tand
5,Zunge::N,язик,tunga
6,Lippe::N,губа,läpp
7,Wange::N,щока,kind
8,Gesicht::N,обличчя,syn
9,Gesicht::N,обличчя,ansikte
10,Stirn::N,лоб,panna
11,Haar::N,волосся,hår
12,Schnurrbart::N,вуса,mustasch
13,Bart::N,борода,skägg
14,Kinn::N,підборіддя,haka
15,Kiefer[Anatomie]::N,щелепа,käke
16,Kehle::N,горло,strupe
17,Hals::N,шия,hals
18,Genick::N,потилиця,nacke
19,Kopf::N,голова,huvud
20,Rücken::N,спина,rygg
21,Bauch::N,живіт,buk
22,Bauch::N,живіт,mage
23,Nabel::N,пупок,navel
24,Busen::N,груди,barm
25,Brust::N,груди,bröst
26,Schulter::N,плече,skuldra
27,Arm::N,рука,arm
28,Ellenbogen::N,лікоть,armbåge
29,Hand::N,рука,hand
30,Handfläche::N,долоня,handflata
31,Finger::N,палець,finger
32,Fingernagel::N,ніготь,fingernagel
33,Nagel[Anatomie]::N,ніготь,nagel
34,Zeh::N,палець на нозі,tå
35,Fuß::N,нога,fot
36,Ferse::N,п’ятка,häl
37,Knie::N,коліно,knä
38,Oberschenkel::N,стегно,lår
39,Bein::N,нога,ben
40,Körper::N,тіло,kropp
41,Haut::N,шкіра,hud
42,Haut::N,шкіра,skinn
43,Blut::N,кров,blod
44,Ader::N,вена,åder
45,Sehne::N,сухожилля,sena
46,Knochen::N,кістка,ben
47,Gehirn::N,мозок,hjärna
48,Herz::N,серце,hjärta
49,Magen::N,шлунок,mage
50,Leber::N,печінка,lever
51,Atem::N,дихання,anda
52,Atem::N,дихання,andedräkt
53,Hunger::N,голод,svält
54,Hunger::N,голод,hunger
55,Träne::N,сльоза,tår
56,Geschmack::N,смак,smak
57,Geruch::N,запах,lukt
58,Schlaf::N,сон,sömn
59,Schlaf::N,сплячка,sömn
60,Traum::N,сон,dröm
61,Himmel::N,небо,himmel
62,Sonne::N,сонце,sol
63,Mond::N,місяць,måne
