,Concept_ID,ru,da
0,Auge::N,глаз,øje
1,Ohr::N,ухо,øre
2,Nase::N,нос,næse
3,Mund::N,рот,mund
4,Zahn::N,зуб,tand
5,Zunge::N,язык,tunge
6,Lippe::N,губа,læbe
7,Wange::N,щека,kind
8,Gesicht::N,лицо,ansigt
9,Stirn::N,лоб,pande
10,Haar::N,волос,hår
11,Haar::N,волосы,hår
12,Schnurrbart::N,ус,overskæg
13,Schnurrbart::N,усы,overskæg
14,Bart::N,борода,skæg
15,Kinn::N,подбородок,hage
16,Kiefer[Anatomie]::N,челюсть,kæbe
17,Kehle::N,горло,strube
18,Hals::N,шея,hals
19,Genick::N,затылок,nakke
20,Kopf::N,голова,hoved
21,Rücken::N,спина,ryg
22,Bauch::N,живот,mave
23,Nabel::N,пупок,navle
24,Busen::N,женская грудь,barm
25,Brust::N,грудь,bryst
26,Schulter::N,плечо,skulder
27,Arm::N,рука,arm
28,Ellenbogen::N,локоть,albue
29,Hand::N,кисть,hånd
30,Handfläche::N,ладонь,håndflade
31,Finger::N,палец,finger
32,Fingernagel::N,ноготь,fingernegl
33,Nagel[Anatomie]::N,ноготь,negl
34,Zeh::N,палец,tå
35,Fuß::N,ступня,fod
36,Ferse::N,пята,hæl
37,Ferse::N,пятка,hæl
38,Knie::N,колено,knæ
39,Oberschenkel::N,бедро,lår
40,Bein::N,нога,ben
41,Körper::N,тело,krop
42,Körper::N,тело,legeme
43,Haut::N,кожа,hud
44,Blut::N,кровь,blod
45,Ader::N,вена,åre
46,Ader::N,сосуд,åre
47,Sehne::N,жила,sene
48,Sehne::N,тетива,sene
49,Sehne::N,сухожилие,sene
50,Knochen::N,кость,ben
51,Gehirn::N,мозг,hjerne
52,Herz::N,сердце,hjerte
53,Magen::N,желудок,mave
54,Leber::N,печень,lever
55,Atem::N,дух,ånde
56,Atem::N,дыхание,ånde
57,Hunger::N,голод,sult
58,Träne::N,слеза,tåre
59,Geschmack::N,вкус,smag
60,Geruch::N,запах,lugt
61,Schlaf::N,сон,søvn
62,Traum::N,сновидение,drøm
63,Himmel::N,небо,himmel
64,Sonne::N,солнце,sol
65,Mond::N,луна,måne
66,Stern::N,звезда,stjerne
67,Luft::N,воздух,luft
68,Wind::N,ветер,vind
69,Welle::N,волна,bølge
70,Wasser::N,вода,vand
71,Stein::N,камень,sten
72,Boden::N,почва,jord
73,Erde::N,земля,jord
74,Staub::N,пыль,støv
75,Rauch::N,дым,røg
76,Funke::N,искра,gnist
77,Feuer::N,огонь,ild
78,Licht::N,свет,lys
79,Schatten::N,тень,skygge
80,Wetter::N,погода,vejr
81,Nebel::N,туман,tåge
82,Wolke::N,облако,sky
83,Regen::N,дождь,regn
84,Schnee::N,снег,sne
85,Eis::N,лед,is
86,Frost::N,мороз,frost
87,Kälte::N,холод,kulde
88,Hitze::N,жара,hede
89,Raureif::N,иней,rimfrost
90,Regenbogen::N,радуга,regnbue
91,Donner::N,гром,torden
92,Strömung::N,течение,strømning
93,Tropfen::N,капля,dråbe
94,Schaum::N,пена,skum
95,Schmutz::N,грязь,snavs
96,See::N,озеро,sø
97,Sumpf::N,топь,sump
98,Moor::N,болото,mose
99,Wiese::N,луг,eng
100,Wald::N,лес,skov
101,Hügel::N,холм,høj
102,Hügel::N,холм,bakke
103,Anhöhe::N,возвышенность,høj
104,Anhöhe::N,возвышенность,bakke
105,Berg::N,гора,bjerg
106,Gipfel::N,вершина,top
107,Höhle::N,пещера,hule
108,Abhang::N,склон,skrænt
109,Abhang::N,склон,skråning
110,Quelle::N,источник,kilde
111,Bach::N,ручей,bæk
112,Fluss::N,река,flod
113,Ufer::N,берег,bred
114,Küste::N,побережье,kyst
115,Festland::N,суша,fastland
116,Meer::N,море,hav
117,Bucht::N,бухта,bugt
118,Insel::N,остров,ø
119,Blume::N,цветок,blomst
120,Gras::N,трава,græs
121,Wurzel::N,корень,rod
122,Baum::N,дерево,træ
123,Stamm::N,ствол,stamme
124,Rinde::N,кора,bark
125,Ast::N,сук,gren
126,Zweig::N,ветвь,kvist
127,Blatt::N,лист,blad
128,Birke::N,береза,birk
129,Kiefer[Baum]::N,сосна,fyrretræ
130,Weide[Baum]::N,ива,piletræ
131,Tanne::N,ель,gran
132,Horn::N,рог,horn
133,Feder::N,перо,fjer
134,Fell::N,шкура,skind
135,Flügel::N,крыло,vinge
136,Klaue::N,коготь,klov
137,Kralle::N,лапа,klo
138,Schwanz::N,хвост,hale
139,Ei::N,яйцо,æg
140,Nest::N,гнездо,rede
141,Bau::N,нора,bo
142,Tier::N,животное,dyr
143,Herde::N,стадо,flok
144,Kuh::N,корова,ko
145,Bulle::N,бык,tyr
146,Pferd::N,лошадь,hest
147,Schaf::N,овца,får
148,Schwein::N,свинья,gris
149,Hund::N,собака,hund
150,Katze::N,кошка,kat
151,Bär::N,медведь,bjørn
152,Eichhörnchen::N,белка,egern
153,Elch::N,лось,elg
154,Fuchs::N,лиса,ræv
155,Hase::N,заяц,hare
156,Maus::N,мышь,mus
157,Wolf::N,волк,ulv
158,Vogel::N,птица,fugl
159,Schwarm::N,стая,sværm
160,Huhn::N,курица,høne
161,Hahn::N,петух,hane
162,Gans::N,гусь,gås
163,Adler::N,орел,ørn
164,Ente::N,утка,and
165,Eule::N,сова,ugle
166,Kranich::N,журавль,trane
167,Krähe::N,ворона,krage
168,Kuckuck::N,кукушка,gøg
169,Schwan::N,лебедь,svane
170,Fisch::N,рыба,fisk
171,Barsch::N,окунь,aborre
172,Hecht::N,щука,gedde
173,Schlange[Tier]::N,змея,slange
174,Wurm::N,червяк,orm
175,Spinne::N,паук,edderkop
176,Ameise::N,муравей,myre
177,Laus::N,вошь,lus
178,Mücke::N,комар,myg
179,Fliege::N,муха,flue
180,Schmetterling::N,бабочка,sommerfugl
181,Beere::N,ягода,bær
182,Apfel::N,яблоко,æble
183,Pilz::N,гриб,svamp
184,Zwiebel::N,луковица,løg
185,Saat::N,семя,sæd
186,Korn::N,зерно,korn
187,Heu::N,сено,hø
188,Schale::N,шелуха,skræl
189,Grube::N,яма,grav
190,Falle::N,ловушка,fælde
191,Schlinge::N,силок,snare
192,Spur::N,след,spor
193,Asche::N,зола,aske
194,Asche::N,пепел,aske
195,Dreck::N,грязь,snavs
196,Eisen::N,железо,jern
197,Gold::N,золото,guld
198,Silber::N,серебро,sølv
199,Kohle::N,уголь,kul
200,Glas::N,стекло,glas
201,Lehm::N,глина,ler
202,Sand::N,песок,sand
203,Mensch::N,человек,mennesge
