,Concept_ID,de,de
0,Auge::N,Auge,Auge
1,Ohr::N,Ohr,Ohr
2,Nase::N,Nase,Nase
3,Mund::N,Mund,Mund
4,Zahn::N,Zahn,Zahn
5,Zunge::N,Zunge,Zunge
6,Lippe::N,Lippe,Lippe
7,Wange::N,Wange,Wange
8,Gesicht::N,Gesicht,Gesicht
9,Stirn::N,Stirn,Stirn
10,Haar::N,Haar,Haar
11,Schnurrbart::N,Schnurrbart,Schnurrbart
12,Bart::N,Bart,Bart
13,Kinn::N,Kinn,Kinn
14,Kiefer[Anatomie]::N,Kiefer,Kiefer
15,Kehle::N,Kehle,Kehle
16,Hals::N,Hals,Hals
17,Genick::N,Genick,Genick
18,Kopf::N,Kopf,Kopf
19,Rücken::N,Rücken,Rücken
20,Bauch::N,Bauch,Bauch
21,Nabel::N,Nabel,Nabel
22,Busen::N,Busen,Busen
23,Brust::N,Brust,Brust
24,Schulter::N,Schulter,Schulter
25,Arm::N,Arm,Arm
26,Ellenbogen::N,Ellenbogen,Ellenbogen
27,Hand::N,Hand,Hand
28,Handfläche::N,Handfläche,Handfläche
29,Finger::N,Finger,Finger
30,Fingernagel::N,Fingernagel,Fingernagel
31,Nagel[Anatomie]::N,Nagel,Nagel
32,Zeh::N,Zeh,Zeh
33,Fuß::N,Fuß,Fuß
34,Ferse::N,Ferse,Ferse
35,Knie::N,Knie,Knie
36,Oberschenkel::N,Oberschenkel,Oberschenkel
37,Bein::N,Bein,Bein
38,Körper::N,Körper,Körper
39,Haut::N,Haut,Haut
40,Blut::N,Blut,Blut
41,Ader::N,Ader,Ader
42,Sehne::N,Sehne,Sehne
43,Knochen::N,Knochen,Knochen
44,Gehirn::N,Gehirn,Gehirn
45,Herz::N,Herz,Herz
46,Magen::N,Magen,Magen
47,Leber::N,Leber,Leber
48,Atem::N,Atem,Atem
49,Hunger::N,Hunger,Hunger
50,Träne::N,Träne,Träne
51,Geschmack::N,Geschmack,Geschmack
52,Geruch::N,Geruch,Geruch
53,Schlaf::N,Schlaf,Schlaf
54,Traum::N,Traum,Traum
55,Himmel::N,Himmel,Himmel
56,Sonne::N,Sonne,Sonne
57,Mond::N,Mond,Mond
58,Stern::N,Stern,Stern
59,Luft::N,Luft,Luft
60,Wind::N,Wind,Wind
61,Welle::N,Welle,Welle
62,Wasser::N,Wasser,Wasser
63,Stein::N,Stein,Stein
64,Boden::N,Boden,Boden
65,Erde::N,Erde,Erde
66,Staub::N,Staub,Staub
67,Rauch::N,Rauch,Rauch
68,Funke::N,Funke,Funke
69,Feuer::N,Feuer,Feuer
70,Licht::N,Licht,Licht
71,Schatten::N,Schatten,Schatten
72,Wetter::N,Wetter,Wetter
73,Nebel::N,Nebel,Nebel
