,Concept_ID,no,sq
0,Auge::N,øye,sy
1,Ohr::N,øre,vesh
2,Nase::N,nese,hundë
3,Mund::N,munn,gojë
4,Zahn::N,tann,dhëmb
5,Zunge::N,tunge,gjuhë
6,Lippe::N,leppe,buzë
7,Wange::N,kinn,faqe
8,Wange::N,kinn,mollëz
9,Gesicht::N,fjes,fytyrë
10,Gesicht::N,ansikt,fytyrë
11,Stirn::N,panne,ballë
12,Haar::N,hår,flokë
13,Schnurrbart::N,bart,mustaqe
14,Bart::N,skjegg,mjekër
15,Kinn::N,hake,mjekër
16,Kiefer[Anatomie]::N,kjeve,nofull
17,Kehle::N,strupe,fyt
18,Kehle::N,strupe,grykë
19,Hals::N,hals,qafë
20,Genick::N,nakke,arrëz
21,Kopf::N,hode,kokë
22,Rücken::N,rygg,kurriz
23,Bauch::N,buk,bark
24,Bauch::N,mage,bark
25,Nabel::N,navle,kërthizë
26,Busen::N,barm,gji
27,Brust::N,bryst,gjoks
28,Brust::N,bryst,kraharor
29,Schulter::N,skulder,sup
30,Schulter::N,skulder,krah
31,Arm::N,arm,krah
32,Ellenbogen::N,albue,bërryl
33,Hand::N,hånd,dorë
34,Handfläche::N,håndflate,pëllëmbë
35,Finger::N,finger,gisht
36,Fingernagel::N,fingernegl,thua
37,Nagel[Anatomie]::N,negl,thua
38,Zeh::N,tå,gisht i këmbës
39,Fuß::N,fot,këmbë
40,Ferse::N,hæl,thembër
41,Knie::N,kne,gju
42,Oberschenkel::N,lår,kofshë
43,Bein::N,bein,këmbë
44,Körper::N,kropp,trup
45,Körper::N,legeme,trup
46,Haut::N,hud,lëkurë
47,Haut::N,skinn,lëkurë
48,Blut::N,blod,gjak
49,Ader::N,åre,venë
50,Sehne::N,sene,dell
51,Knochen::N,bein,asht
52,Knochen::N,bein,kockë
53,Knochen::N,knokkel,asht
54,Knochen::N,knokkel,kockë
55,Gehirn::N,hjerne,tru
56,Herz::N,hjerte,zemër
57,Magen::N,mage,stomak
58,Leber::N,lever,mëlçi
59,Atem::N,pust,frymë
60,Hunger::N,sult,uri
61,Träne::N,tåre,lot
62,Geschmack::N,smak,shije
63,Geruch::N,lukt,erë
64,Schlaf::N,søvn,gjumë
65,Traum::N,drøm,ëndërr
66,Himmel::N,himmel,qiell
67,Sonne::N,sol,diell
68,Mond::N,måne,hënë
69,Stern::N,stjerne,yll
70,Luft::N,luft,ajër
71,Wind::N,vind,erë
72,Welle::N,bølge,valë
73,Welle::N,bølge,dallgë
74,Wasser::N,vann,ujë
75,Stein::N,stein,gur
76,Boden::N,bakke,tokë
77,Boden::N,bakke,truall
78,Erde::N,jord,dhe
79,Erde::N,jord,baltë
80,Staub::N,støv,pluhur
81,Rauch::N,røyk,tym
82,Funke::N,gnist,xixë
83,Funke::N,gnist,shkëndijë
84,Feuer::N,ild,zjarr
85,Licht::N,lys,dritë
86,Schatten::N,skygge,hije
87,Wetter::N,vær,mot
88,Nebel::N,tåke,mjegull
89,Wolke::N,sky,re
90,Regen::N,regn,shi
91,Schnee::N,snø,borë
92,Eis::N,is,akull
93,Frost::N,frost,ngricë
94,Kälte::N,kulde,të ftohtë
95,Hitze::N,hete,vapë
96,Hitze::N,hete,nxehtësi
97,Raureif::N,rimfrost,cikmë
98,Regenbogen::N,regnbue,ylber
99,Donner::N,torden,gjëmim
100,Donner::N,torden,bubullimë
101,Strömung::N,strømning,rrymë
102,Tropfen::N,dråpe,pikë
103,Schaum::N,skum,shkumë
104,Schmutz::N,søl,baltë
105,Schmutz::N,skitt,baltë
106,See::N,sjø,liqen
107,Sumpf::N,sump,batak
108,Sumpf::N,myrlende,batak
109,Moor::N,myr,kënetë
110,Moor::N,myrhei,kënetë
111,Wiese::N,eng,livadh
112,Wald::N,skog,pyll
113,Hügel::N,haug,kodër
114,Hügel::N,bakke,kodër
115,Anhöhe::N,haug,bregore
116,Anhöhe::N,bakke,bregore
117,Berg::N,berg,mal
118,Berg::N,fjell,mal
119,Gipfel::N,topp,kulm
120,Höhle::N,hule,shpellë
121,Höhle::N,hule,zgafelle
122,Abhang::N,li,shpat
123,Abhang::N,li,tatëpjetë
124,Abhang::N,skråning,shpat
125,Abhang::N,skråning,tatëpjetë
126,Quelle::N,kilde,krua
127,Quelle::N,kilde,burim
128,Bach::N,bekk,virua
129,Fluss::N,elv,lumë
130,Ufer::N,bredd,breg
131,Küste::N,kyst,anëdet
132,Küste::N,kyst,bregdet
133,Festland::N,fastland,kontinent
134,Meer::N,hav,det
135,Bucht::N,bukt,gji deti
136,Insel::N,øy,ishull
137,Insel::N,øy,ujdhesë
138,Blume::N,blomst,lule
139,Gras::N,gress,bar
140,Wurzel::N,rot,rrënjë
141,Baum::N,tre,pemë
142,Stamm::N,stamme,trung
143,Rinde::N,bark,lëvore
144,Ast::N,gren,degë
145,Zweig::N,kvist,bisk
146,Blatt::N,blad,fletë
147,Blatt::N,blad,gjethe
148,Birke::N,bjørk,mështekën
149,Kiefer[Baum]::N,furu,pishë
150,Weide[Baum]::N,selje,shelg
151,Weide[Baum]::N,piletre,shelg
152,Tanne::N,gran,bredh
153,Horn::N,horn,bri
154,Feder::N,fjær,pupël
155,Fell::N,skinn,lëkurë
156,Flügel::N,vinge,krah
157,Flügel::N,vinge,fletë
158,Klaue::N,klauv,kthetër
159,Kralle::N,klo,thua
160,Kralle::N,klo,kthetër
161,Schwanz::N,hale,bisht
162,Ei::N,egg,vezë
163,Nest::N,rede,fole
164,Bau::N,hi,strofkë
165,Tier::N,dyr,kafshë
166,Herde::N,flokk,kope
167,Herde::N,flokk,grigjë
168,Kuh::N,ku,lopë
169,Bulle::N,tyr,dem
170,Pferd::N,hest,kalë
171,Schaf::N,får,dele
172,Schwein::N,gris,derr
173,Hund::N,hund,qen
174,Katze::N,katt,mace
175,Bär::N,bjørn,ari
176,Eichhörnchen::N,ekorn,ketër
177,Elch::N,elg,dre brilopatë
178,Fuchs::N,rev,dhelpër
179,Hase::N,hare,lepur
180,Maus::N,mus,mi
181,Wolf::N,ulv,ujk
182,Wolf::N,varg,ujk
183,Vogel::N,fugl,zog
184,Vogel::N,fugl,shpend
185,Schwarm::N,sverm,luzmë
186,Huhn::N,høne,pulë
187,Hahn::N,hane,gjel
188,Hahn::N,hane,këndes
189,Gans::N,gås,patë
190,Adler::N,ørn,shqiponjë
191,Ente::N,and,rosë
192,Eule::N,ugle,buf
193,Kranich::N,trane,lejlek
194,Kranich::N,trane,kurrillë
195,Krähe::N,kråke,sorrë
196,Kuckuck::N,gjøk,qyqe
197,Schwan::N,svane,mjellmë
198,Fisch::N,fisk,peshk
199,Barsch::N,abbor,purtekë
200,Hecht::N,gjedde,mlysh
201,Schlange[Tier]::N,orm,gjarpër
202,Schlange[Tier]::N,slange,gjarpër
203,Wurm::N,orm,krimb
204,Wurm::N,mark,krimb
205,Spinne::N,edderkopp,marimangë
206,Ameise::N,maur,thnegël
207,Ameise::N,maur,milingonë
208,Laus::N,lus,morr
209,Mücke::N,mygg,kunup
210,Mücke::N,mygg,mushkonjë
211,Fliege::N,flue,mizë
212,Schmetterling::N,sommerfugl,flutur
213,Beere::N,bær,frutë
214,Beere::N,bær,manaferrë
215,Apfel::N,eple,mollë
216,Pilz::N,sopp,kërpudhë
217,Zwiebel::N,løk,qepë
218,Saat::N,sæd,farë
219,Korn::N,korn,grurë
220,Korn::N,korn,kokërr
221,Heu::N,høy,sanë
222,Schale::N,skall,lëkurë
223,Grube::N,grop,gropë
224,Falle::N,felle,kurth
225,Falle::N,felle,grackë
226,Schlinge::N,snare,nyjë
227,Spur::N,spor,gjurmë
228,Asche::N,aske,hi
229,Dreck::N,møkk,baltë
230,Dreck::N,skitt,baltë
231,Eisen::N,jern,hekur
232,Gold::N,gull,ar
233,Gold::N,gull,flori
234,Silber::N,sølv,argjend
235,Kohle::N,kol,qymyr
236,Kohle::N,kull,qymyr
237,Glas::N,glass,qelq
238,Lehm::N,leire,argjilë
239,Sand::N,sand,rërë
240,Mensch::N,menneske,njeri
241,Mann::N,mann,burrë
242,Mann::N,mann,mashkull
243,Frau::N,kvinne,grua
244,Frau::N,kvinne,femër
245,Kind::N,barn,kalama
246,Junge::N,gutt,djalë
247,Mädchen::N,pike,gocë
248,Mädchen::N,pike,vajzë
249,Mädchen::N,jente,gocë
250,Mädchen::N,jente,vajzë
251,Familie::N,familie,familje
252,Großvater::N,bestefar,gjysh
253,Großmutter::N,bestemor,gjyshe
254,Eltern::N,foreldre,prindër
255,Vater::N,far,atë
256,Mutter::N,mor,nënë
257,Sohn::N,sønn,bir
258,Tochter::N,datter,bijë
259,Bruder::N,bror,vëlla
260,Schwester::N,søster,motër
261,Onkel::N,onkel,dajë
262,Onkel::N,onkel,xhaxha
263,Tante::N,tante,teze
264,Tante::N,tante,hallë
265,Ehemann::N,ektemann,burrë
266,Ehemann::N,ektemann,bashkëshort
267,Ehefrau::N,hustru,grua
268,Ehefrau::N,hustru,bashkëshorte
269,Freude::N,glede,gaz
270,Freude::N,glede,gëzim
271,Gelächter::N,latter,qeshje
272,Glück::N,lykke,lumturi
273,Kummer::N,sorg,brengë
274,Kummer::N,sorg,pikëllim
275,Wunsch::N,ønske,dëshirë
276,Lust::N,lyst,epsh
277,Lust::N,lyst,dashuri
278,Geist::N,ånd,frymë
279,Geist::N,ånd,shpirt
280,Gedanke::N,tanke,ide
281,Gedanke::N,tanke,mendim
282,Gedächtnis::N,minne,kujtesë
283,Gedächtnis::N,hukommelse,kujtesë
284,Verstand::N,forstand,mend
285,Sinn::N,mening,kuptim
286,Sinn::N,betydning,kuptim
287,Grund::N,grunn,arsye
288,Wahrheit::N,sannhet,vërtetë
289,Gespräch::N,samtale,bisedim
290,Märchen::N,eventyr,përrallë
291,Erzählung::N,fortelling,tregim
292,Nachricht::N,melding,lajm
293,Neuigkeit::N,nyhet,risi
294,Name::N,navn,emër
295,Rätsel::N,gåte,gjëzë
296,Rätsel::N,gåte,gjëegjëzë
297,Rede::N,tale,fjalim
298,Sprache::N,språk,gjuhë
299,Stimme::N,stemme,zë
300,Wort::N,ord,fjalë
301,Zeichen::N,tegn,shenjë
302,Ruf::N,rop,thirrmë
303,Lärm::N,bråk,zhurmë
304,Laut::N,lyd,tingull
305,Ton::N,tone,ton
306,Lied::N,vise,këngë
307,Ruhe::N,ro,qetësi
308,Leute::N,folk,botë
309,Leute::N,folk,njerëz
310,Volk::N,folk,popull
311,Arbeit::N,arbeid,punë
312,Gast::N,gjest,mik
313,Gast::N,gjest,mysafir
314,Geschenk::N,gave,dhuratë
315,Geschenk::N,gave,peshqesh
316,Spiel::N,lek,lojë
317,Spiel::N,spill,lojë
318,Gesellschaft::N,selskap,shoqëri
319,Hilfe::N,hjelp,ndihmë
320,Freund::N,venn,mik
321,Kamerad::N,kamerat,shok
322,Angelegenheit::N,sak,punë
323,Angelegenheit::N,anliggende,punë
324,Anzahl::N,antall,sasi
325,Art::N,art,lloj
326,Art::N,slag,lloj
327,Stück::N,stykke,copë
328,Teil::N,del,pjesë
329,Hälfte::N,halvdel,gjysmë
330,Kreis::N,ring,qark
331,Kreis::N,ring,rreth
332,Kreis::N,sirkel,qark
333,Kreis::N,sirkel,rreth
334,Kreuz::N,kors,kryq
335,Kreuz::N,kryss,kryq
336,Linie::N,linje,vijë
337,Strich::N,strek,vizë
338,Abstand::N,avstand,distancë
339,Entfernung::N,avstand,largim
340,Gegend::N,strøk,vise
341,Gegend::N,strøk,krahinë
342,Platz::N,plass,shesh
343,Ort::N,sted,vend
344,Seite::N,side,anë
345,Mitte::N,midte,mes
346,Gegenstand::N,gjenstand,send
347,Sache::N,sak,gjë
348,Sache::N,sak,send
349,Rand::N,rand,qoshe
350,Kante::N,kant,teh
351,Ecke::N,hjørne,qoshe
352,Spitze::N,spiss,majë
353,Ende::N,ende,skaj
354,Ende::N,ende,bisht
355,Loch::N,hull,vrimë
356,Winkel::N,vinkel,kënd
357,Muster::N,mønster,mostër
358,Größe::N,størrelse,madhësi
359,Länge::N,lengde,gjatësi
360,Höhe::N,høyde,lartësi
361,Gewicht::N,vekt,peshë
362,Menge::N,mengde,sasi
363,Haufen::N,haug,grumbull
364,Haufen::N,bunke,grumbull
365,Reihe::N,rekke,radhë
366,Reihe::N,rekke,rresht
367,Boot::N,båt,barkë
368,Boot::N,båt,lundër
369,Ruder::N,åre,rrem
370,Schlitten::N,slede,sajë
371,Schlitten::N,kjelke,sajë
372,Ski::N,ski,ski
373,Lagerfeuer::N,leirbål,flakadan
374,Lagerfeuer::N,leirbål,zjarr i madh
375,Last::N,bør,barrë
376,Last::N,last,barrë
377,Gang::N,gang,ecje
378,Schritt::N,steg,hap
379,Schritt::N,skritt,hap
380,Norden::N,nord,veri
381,Süden::N,sør,jug
382,Westen::N,vest,perëndim
383,Osten::N,øst,lindje
384,Holz::N,tre,dru
385,Brett::N,fjøl,dërrasë
386,Brett::N,brett,dërrasë
387,Platte::N,plate,pllakë
388,Stütze::N,støtte,shtyllë
389,Stütze::N,støtte,mbështetesë
390,Stange::N,stang,shufër
391,Stock::N,pinne,dajak
392,Stab::N,stav,shkop
393,Stab::N,kjepp,shkop
394,Rohr::N,rør,tub
395,Haus::N,hus,shtëpi
396,Heim::N,hjem,konak
397,Heim::N,hjem,shtëpi
398,Ofen::N,ovn,sobë
399,Ofen::N,ovn,stufë
400,Fußboden::N,gulv,dysheme
401,Tisch::N,bord,tryezë
402,Stuhl::N,stol,karrige
403,Wiege::N,vogge,djep
404,Bett::N,seng,shtrat
405,Regal::N,reol,raft
406,Regal::N,hylle,raft
407,Kiste::N,kasse,kuti
408,Fenster::N,vindu,dritare
409,Tür::N,dør,derë
410,Tor::N,port,portë
411,Zaun::N,gjerde,gardh
412,Dach::N,tak,çati
