,Concept_ID,zh,se
0,Auge::N,眼睛,tjelmie
1,Auge::N,眼睛,tjalmme
2,Auge::N,眼睛,čalbmi
3,Auge::N,眼睛,čalme
4,Auge::N,眼睛,čâ´lmm
5,Auge::N,眼睛,ча̄лльм
6,Ohr::N,耳朵,bieljie
7,Ohr::N,耳朵,biellje
8,Ohr::N,耳朵,beallji
9,Ohr::N,耳朵,pelji
10,Ohr::N,耳朵,pe´llj
11,Ohr::N,耳朵,пе̄лльй
12,Nase::N,鼻子,njuenie
13,Nase::N,鼻子,njunnje
14,Nase::N,鼻子,njunni
15,Nase::N,鼻子,njuṇe
16,Nase::N,鼻子,njuu´nn
17,Nase::N,鼻子,нюннҍ
18,Mund::N,嘴,njaelmie
19,Mund::N,嘴,njálmme
20,Mund::N,嘴,njálbmi
21,Mund::N,嘴,njälmi
22,Mund::N,嘴,njä´lmm
23,Mund::N,嘴,ня̄лльм
24,Zahn::N,牙齿,baenie
25,Zahn::N,牙齿,bádne
26,Zahn::N,牙齿,bátni
27,Zahn::N,牙齿,pääṇi
28,Zahn::N,牙齿,pää´nn
29,Zahn::N,牙齿,па̄ннҍ
30,Zunge::N,舌头,njoektjeme
31,Zunge::N,舌头,njuovtjav
32,Zunge::N,舌头,njuovčča
33,Zunge::N,舌头,njuovčâ
34,Zunge::N,舌头,njuhččâm
35,Zunge::N,舌头,нюхчем
36,Lippe::N,嘴唇,bangseme
37,Lippe::N,嘴唇,njálmmerabdda
38,Lippe::N,嘴唇,bavssa
39,Lippe::N,嘴唇,poovsâ
40,Lippe::N,嘴唇,põõus
41,Lippe::N,嘴唇,пэ̄кс
42,Wange::N,面颊,skiehrie
43,Wange::N,面颊,nierra
44,Wange::N,面颊,muohtu
45,Wange::N,面颊,nieṛâ
46,Wange::N,面颊,njiõrr
47,Wange::N,面颊,нӣрр
48,Gesicht::N,脸,ååredæjja
49,Gesicht::N,脸,muohto
50,Gesicht::N,脸,muođut
51,Gesicht::N,脸,ámadadju
52,Gesicht::N,脸,muáđuh
53,Gesicht::N,脸,muâđ
54,Gesicht::N,脸,ка̄ссв
55,Stirn::N,额,gaalloe
56,Stirn::N,额,gállo
57,Stirn::N,额,gállu
58,Stirn::N,额,kállu
59,Stirn::N,额,käll
60,Stirn::N,额,вуэххьц
61,Haar::N,头发,voepte
62,Haar::N,头发,vuoppta
63,Haar::N,头发,vuokta
64,Haar::N,头发,vuop'tâ
65,Haar::N,头发,vuõpt
66,Haar::N,头发,вӯппт
67,Schnurrbart::N,髭须,bijjie-skaavtjoe
68,Schnurrbart::N,髭须,njunjevuolskávttjá
69,Schnurrbart::N,髭须,seamu
70,Schnurrbart::N,髭须,siämu
71,Schnurrbart::N,髭须,ää´bben
72,Schnurrbart::N,髭须,о̄а̄бпан
73,Bart::N,胡子,skaavtja
74,Bart::N,胡子,skaavtjoe
75,Bart::N,胡子,skávttjá
76,Bart::N,胡子,seamu
