,Concept_ID,ka,da
0,Auge::N,თვალი,øje
1,Ohr::N,ყური,øre
2,Nase::N,ცხვირი,næse
3,Mund::N,პირი,mund
4,Zahn::N,კბილი,tand
5,Zunge::N,ენა,tunge
6,Lippe::N,ბაგე,læbe
7,Wange::N,ლოყა,kind
8,Gesicht::N,სახე,ansigt
9,Stirn::N,შუბლი,pande
10,Haar::N,თმა,hår
11,Schnurrbart::N,ულვაში,overskæg
12,Bart::N,წვერი,skæg
13,Kinn::N,ნიკაპი,hage
14,Kiefer[Anatomie]::N,ყბა,kæbe
15,Kehle::N,ყელი,strube
16,Hals::N,ყელი,hals
17,Hals::N,კისერი,hals
18,Genick::N,კეფა,nakke
19,Kopf::N,თავი,hoved
20,Rücken::N,ზურგი,ryg
21,Bauch::N,მუცელი,mave
22,Nabel::N,ჭიპი,navle
23,Busen::N,ძუძუ,barm
24,Brust::N,მკერდი,bryst
25,Schulter::N,მხარი,skulder
26,Schulter::N,მკლავი,skulder
27,Arm::N,ხელი,arm
28,Ellenbogen::N,იდაყვი,albue
29,Hand::N,ხელი,hånd
30,Handfläche::N,ნები,håndflade
31,Handfläche::N,ხელისგული,håndflade
32,Finger::N,თითი,finger
33,Fingernagel::N,ფრჩხილი,fingernegl
34,Nagel[Anatomie]::N,ფრჩხილი,negl
35,Zeh::N,ფეხის თითი,tå
36,Fuß::N,ტერფი,fod
37,Fuß::N,ფეხისგული,fod
38,Ferse::N,ქუსლი,hæl
39,Knie::N,მუხლი,knæ
40,Oberschenkel::N,ბარძაყი,lår
41,Bein::N,ფეხი,ben
42,Körper::N,ტანი,krop
43,Körper::N,ტანი,legeme
44,Körper::N,სხეული,krop
45,Körper::N,სხეული,legeme
46,Haut::N,კანი,hud
47,Blut::N,სისხლი,blod
48,Ader::N,ძარღვი,åre
49,Sehne::N,მყესი,sene
50,Knochen::N,ძვალი,ben
51,Gehirn::N,ტვინი,hjerne
52,Herz::N,გული,hjerte
53,Magen::N,კუჭი,mave
54,Leber::N,ღვიძლი,lever
55,Atem::N,სუნთქვა,ånde
56,Hunger::N,შიმშილი,sult
57,Träne::N,ცრემლი,tåre
58,Geschmack::N,გემო,smag
59,Geruch::N,სუნი,lugt
60,Schlaf::N,ძილი,søvn
61,Traum::N,სიზმარი,drøm
62,Himmel::N,ცა,himmel
63,Sonne::N,მზე,sol
64,Mond::N,მთვარე,måne
65,Stern::N,ვარსკვლავი,stjerne
66,Luft::N,ჰაერი,luft
67,Wind::N,ქარი,vind
68,Welle::N,ტალღა,bølge
69,Wasser::N,წყალი,vand
70,Stein::N,ქვა,sten
71,Boden::N,მიწა,jord
72,Erde::N,ნიადაგი,jord
73,Staub::N,მტვერი,støv
74,Rauch::N,ბოლი,røg
75,Rauch::N,კვამლი,røg
76,Funke::N,ნაკვესი,gnist
77,Feuer::N,ცეცხლი,ild
78,Licht::N,შუქი,lys
79,Licht::N,სინათლე,lys
80,Schatten::N,ლანდი,skygge
81,Schatten::N,ჩრდილი,skygge
82,Wetter::N,ამინდი,vejr
83,Nebel::N,ნისლი,tåge
84,Wolke::N,ღრუბელი,sky
85,Regen::N,წვიმა,regn
86,Schnee::N,თოვლი,sne
87,Eis::N,თოში,is
88,Eis::N,ყინული,is
89,Frost::N,ყინვა,frost
90,Kälte::N,სიცივე,kulde
91,Hitze::N,სიცხე,hede
92,Raureif::N,ჭირხლი,rimfrost
93,Raureif::N,თრთვილი,rimfrost
94,Regenbogen::N,ცისარტყელა,regnbue
95,Donner::N,ქუხილი,torden
96,Strömung::N,დინება,strømning
97,Tropfen::N,წვეთი,dråbe
98,Schaum::N,ქაფი,skum
99,Schaum::N,დორბლი,skum
100,Schmutz::N,ჭუჭყი,snavs
101,Schmutz::N,ტალახი,snavs
102,See::N,ტბა,sø
103,Sumpf::N,ჭაობი,sump
104,Moor::N,ტორფნარი,mose
105,Wiese::N,ველი,eng
106,Wiese::N,მდელო,eng
107,Wald::N,ტყე,skov
108,Hügel::N,ბორცვი,høj
109,Hügel::N,ბორცვი,bakke
110,Anhöhe::N,მაღლობი,høj
111,Anhöhe::N,მაღლობი,bakke
112,Berg::N,მთა,bjerg
113,Gipfel::N,მწვერვალი,top
114,Höhle::N,მღვიმე,hule
115,Höhle::N,გამოქვებული,hule
116,Abhang::N,ფერდობი,skrænt
117,Abhang::N,ფერდობი,skråning
118,Quelle::N,წყარო,kilde
119,Quelle::N,სათავე,kilde
120,Bach::N,რუ,bæk
121,Bach::N,ნაკადული,bæk
122,Fluss::N,მდინარე,flod
123,Ufer::N,კიდე,bred
124,Ufer::N,ნაპირი,bred
125,Küste::N,ნაპირი,kyst
126,Festland::N,ხმელეთი,fastland
127,Meer::N,ზღვა,hav
128,Bucht::N,ყურე,bugt
129,Insel::N,კუნძული,ø
130,Blume::N,ყვავილი,blomst
131,Gras::N,ბალახი,græs
132,Wurzel::N,ძირი,rod
133,Wurzel::N,ფესვი,rod
