,Concept_ID,pt,no
0,Auge::N,olho,øye
1,Ohr::N,orelha,øre
2,Nase::N,nariz,nese
3,Mund::N,boca,munn
4,Zahn::N,dente,tann
5,Zunge::N,língua,tunge
6,Lippe::N,lábio,leppe
7,Wange::N,face,kinn
8,Gesicht::N,cara,fjes
9,Gesicht::N,cara,ansikt
10,Gesicht::N,rosto,fjes
11,Gesicht::N,rosto,ansikt
12,Stirn::N,testa,panne
13,Haar::N,cabelo,hår
14,Schnurrbart::N,bigode,bart
15,Bart::N,barba,skjegg
16,Kinn::N,queixo,hake
17,Kiefer[Anatomie]::N,maxila,kjeve
18,Kiefer[Anatomie]::N,mandíbula,kjeve
19,Kehle::N,garganta,strupe
20,Hals::N,colo,hals
21,Hals::N,pescoço,hals
22,Genick::N,nuca,nakke
23,Kopf::N,cabeça,hode
24,Rücken::N,dorso,rygg
25,Rücken::N,costas,rygg
26,Bauch::N,ventre,buk
27,Bauch::N,ventre,mage
28,Bauch::N,barriga,buk
29,Bauch::N,barriga,mage
30,Nabel::N,umbigo,navle
31,Busen::N,seio,barm
32,Brust::N,peito,bryst
33,Schulter::N,ombro,skulder
34,Arm::N,braço,arm
35,Ellenbogen::N,cotovelo,albue
36,Hand::N,mão,hånd
37,Handfläche::N,palma,håndflate
38,Handfläche::N,palma da mão,håndflate
39,Finger::N,dedo,finger
40,Fingernagel::N,unha,fingernegl
41,Nagel[Anatomie]::N,unha,negl
42,Zeh::N,dedo do pé,tå
43,Fuß::N,pé,fot
44,Ferse::N,calcanhar,hæl
45,Knie::N,joelho,kne
46,Oberschenkel::N,coxa,lår
47,Bein::N,perna,bein
48,Körper::N,corpo,kropp
49,Körper::N,corpo,legeme
50,Haut::N,pele,hud
51,Haut::N,pele,skinn
52,Blut::N,sangue,blod
53,Ader::N,veia,åre
54,Sehne::N,tendão,sene
55,Knochen::N,osso,bein
56,Knochen::N,osso,knokkel
57,Gehirn::N,cérebro,hjerne
58,Herz::N,coração,hjerte
59,Magen::N,estômago,mage
60,Leber::N,fígado,lever
61,Atem::N,fôlego,pust
62,Hunger::N,fome,sult
63,Träne::N,lágrima,tåre
64,Geschmack::N,gosto,smak
65,Geruch::N,odor,lukt
66,Geruch::N,cheiro,lukt
67,Schlaf::N,sono,søvn
68,Traum::N,sonho,drøm
69,Himmel::N,céu,himmel
70,Sonne::N,sol,sol
71,Mond::N,lua,måne
72,Stern::N,estrela,stjerne
73,Luft::N,ar,luft
74,Wind::N,vento,vind
75,Welle::N,onda,bølge
76,Wasser::N,água,vann
77,Stein::N,pedra,stein
78,Boden::N,solo,bakke
79,Erde::N,terra,jord
80,Staub::N,pó,støv
81,Rauch::N,fumo,røyk
82,Funke::N,faísca,gnist
83,Funke::N,centelha,gnist
84,Feuer::N,fogo,ild
85,Licht::N,luz,lys
86,Schatten::N,sombra,skygge
87,Wetter::N,tempo,vær
88,Nebel::N,nevoeiro,tåke
89,Wolke::N,nuvem,sky
90,Regen::N,chuva,regn
91,Schnee::N,neve,snø
92,Eis::N,gelo,is
93,Frost::N,gelo,frost
94,Frost::N,geada,frost
95,Kälte::N,frio,kulde
96,Hitze::N,ardor,hete
97,Raureif::N,geada,rimfrost
98,Regenbogen::N,arco-iris,regnbue
99,Donner::N,trovão,torden
100,Strömung::N,corrente,strømning
101,Tropfen::N,gota,dråpe
102,Schaum::N,espuma,skum
103,Schmutz::N,sujidade,søl
104,Schmutz::N,sujidade,skitt
105,Schmutz::N,imundície,søl
106,Schmutz::N,imundície,skitt
107,See::N,lago,sjø
108,Sumpf::N,charco,sump
109,Sumpf::N,charco,myrlende
110,Sumpf::N,pântano,sump
111,Sumpf::N,pântano,myrlende
112,Moor::N,pântano,myr
113,Moor::N,pântano,myrhei
114,Wiese::N,prado,eng
115,Wald::N,bosque,skog
116,Wald::N,floresta,skog
117,Hügel::N,colina,haug
118,Hügel::N,colina,bakke
119,Anhöhe::N,alto,haug
120,Anhöhe::N,alto,bakke
121,Anhöhe::N,outeiro,haug
122,Anhöhe::N,outeiro,bakke
123,Berg::N,monte,berg
124,Berg::N,monte,fjell
125,Berg::N,montanha,berg
126,Berg::N,montanha,fjell
127,Gipfel::N,pico,topp
128,Höhle::N,caverna,hule
129,Abhang::N,encosta,li
130,Abhang::N,encosta,skråning
131,Quelle::N,fonte,kilde
132,Bach::N,regato,bekk
133,Bach::N,ribeiro,bekk
134,Fluss::N,rio,elv
135,Ufer::N,beira,bredd
136,Küste::N,costa,kyst
137,Festland::N,terra firme,fastland
138,Meer::N,mar,hav
139,Bucht::N,baía,bukt
140,Insel::N,ilha,øy
141,Blume::N,flor,blomst
142,Gras::N,erva,gress
143,Wurzel::N,raiz,rot
144,Baum::N,árvore,tre
145,Stamm::N,tronco,stamme
146,Rinde::N,casca,bark
147,Ast::N,ramo,gren
148,Zweig::N,galho,kvist
149,Blatt::N,folha,blad
150,Birke::N,bétula,bjørk
151,Kiefer[Baum]::N,pinheiro,furu
152,Weide[Baum]::N,salgueiro,selje
153,Weide[Baum]::N,salgueiro,piletre
154,Tanne::N,abeto,gran
155,Horn::N,corno,horn
156,Horn::N,chifre,horn
157,Feder::N,pena,fjær
158,Fell::N,pele,skinn
159,Flügel::N,asa,vinge
160,Klaue::N,pata,klauv
161,Kralle::N,unha,klo
162,Kralle::N,garra,klo
163,Schwanz::N,rabo,hale
164,Schwanz::N,cauda,hale
165,Ei::N,ovo,egg
166,Nest::N,ninho,rede
167,Bau::N,toca,hi
168,Bau::N,covil,hi
169,Tier::N,animal,dyr
170,Herde::N,rebanho,flokk
171,Kuh::N,vaca,ku
172,Bulle::N,touro,tyr
173,Pferd::N,cavalo,hest
174,Schaf::N,ovelha,får
175,Schwein::N,porco,gris
176,Hund::N,cão,hund
177,Katze::N,gata,katt
178,Bär::N,urso,bjørn
179,Eichhörnchen::N,esquilo,ekorn
180,Elch::N,alce,elg
181,Fuchs::N,raposa,rev
182,Hase::N,lebre,hare
183,Maus::N,rato,mus
184,Wolf::N,lobo,ulv
185,Wolf::N,lobo,varg
186,Vogel::N,ave,fugl
187,Vogel::N,pássaro,fugl
188,Schwarm::N,bando,sverm
189,Schwarm::N,enxame,sverm
190,Huhn::N,galinha,høne
191,Hahn::N,galo,hane
192,Gans::N,ganso,gås
193,Adler::N,águia,ørn
194,Ente::N,pata,and
195,Eule::N,mocho,ugle
196,Eule::N,coruja,ugle
197,Kranich::N,grou,trane
198,Krähe::N,gralha,kråke
199,Kuckuck::N,cuco,gjøk
200,Schwan::N,cisne,svane
201,Fisch::N,peixe,fisk
202,Barsch::N,perca,abbor
203,Hecht::N,lúcio,gjedde
204,Schlange[Tier]::N,serpente,orm
205,Schlange[Tier]::N,serpente,slange
206,Wurm::N,verme,orm
207,Wurm::N,verme,mark
208,Spinne::N,aranha,edderkopp
209,Ameise::N,formiga,maur
210,Laus::N,piolho,lus
211,Mücke::N,mosquito,mygg
212,Fliege::N,mosca,flue
213,Schmetterling::N,borboleta,sommerfugl
214,Beere::N,bago,bær
215,Apfel::N,maçã,eple
216,Pilz::N,fungo,sopp
217,Pilz::N,cogumelo,sopp
218,Zwiebel::N,cebola,løk
219,Saat::N,sementeira,sæd
220,Korn::N,grão,korn
221,Heu::N,feno,høy
222,Schale::N,casca,skall
223,Grube::N,cova,grop
224,Grube::N,fossa,grop
225,Falle::N,armadilha,felle
226,Schlinge::N,laço,snare
227,Spur::N,pista,spor
228,Spur::N,vestígio,spor
229,Asche::N,cinza,aske
230,Dreck::N,sujidade,møkk
231,Dreck::N,sujidade,skitt
232,Eisen::N,ferro,jern
233,Gold::N,ouro,gull
234,Silber::N,prata,sølv
235,Kohle::N,carvão,kol
236,Kohle::N,carvão,kull
237,Glas::N,vidro,glass
238,Lehm::N,barro,leire
239,Lehm::N,argila,leire
240,Sand::N,areia,sand
241,Mensch::N,homem,menneske
242,Mensch::N,pessoa,menneske
243,Mann::N,homem,mann
244,Frau::N,mulher,kvinne
