,Concept_ID,en,ka
0,Auge::N,eye,თვალი
1,Ohr::N,ear,ყური
2,Nase::N,nose,ცხვირი
3,Mund::N,mouth,პირი
4,Zahn::N,tooth,კბილი
5,Zunge::N,tongue,ენა
6,Lippe::N,lip,ბაგე
7,Wange::N,cheek,ლოყა
8,Gesicht::N,face,სახე
9,Stirn::N,forehead,შუბლი
10,Haar::N,hair,თმა
11,Schnurrbart::N,moustache,ულვაში
12,Bart::N,beard,წვერი
13,Kinn::N,chin,ნიკაპი
14,Kiefer[Anatomie]::N,jaw,ყბა
15,Kehle::N,throat,ყელი
16,Hals::N,neck,ყელი
17,Hals::N,neck,კისერი
18,Genick::N,nape,კეფა
19,Kopf::N,head,თავი
20,Rücken::N,back,ზურგი
21,Rücken::N,spine,ზურგი
22,Bauch::N,belly,მუცელი
23,Nabel::N,navel,ჭიპი
24,Busen::N,bosom,ძუძუ
25,Brust::N,chest,მკერდი
26,Brust::N,breast,მკერდი
27,Schulter::N,shoulder,მხარი
28,Schulter::N,shoulder,მკლავი
29,Arm::N,arm,ხელი
30,Ellenbogen::N,elbow,იდაყვი
31,Hand::N,hand,ხელი
32,Handfläche::N,palm,ნები
33,Handfläche::N,palm,ხელისგული
34,Finger::N,finger,თითი
35,Fingernagel::N,fingernail,ფრჩხილი
36,Nagel[Anatomie]::N,nail,ფრჩხილი
37,Zeh::N,toe,ფეხის თითი
38,Fuß::N,foot,ტერფი
39,Fuß::N,foot,ფეხისგული
40,Ferse::N,heel,ქუსლი
41,Knie::N,knee,მუხლი
42,Oberschenkel::N,thigh,ბარძაყი
43,Bein::N,leg,ფეხი
44,Körper::N,body,ტანი
45,Körper::N,body,სხეული
46,Haut::N,skin,კანი
47,Blut::N,blood,სისხლი
48,Ader::N,vein,ძარღვი
49,Sehne::N,sinew,მყესი
50,Knochen::N,bone,ძვალი
51,Gehirn::N,brain,ტვინი
52,Herz::N,heart,გული
53,Magen::N,stomach,კუჭი
54,Leber::N,liver,ღვიძლი
55,Atem::N,breath,სუნთქვა
56,Hunger::N,hunger,შიმშილი
57,Träne::N,tear,ცრემლი
58,Geschmack::N,flavour,გემო
59,Geschmack::N,flavor,გემო
60,Geruch::N,odour,სუნი
61,Geruch::N,odor,სუნი
62,Schlaf::N,sleep,ძილი
63,Traum::N,dream,სიზმარი
64,Himmel::N,sky,ცა
65,Sonne::N,sun,მზე
66,Mond::N,moon,მთვარე
67,Stern::N,star,ვარსკვლავი
68,Luft::N,air,ჰაერი
69,Wind::N,wind,ქარი
70,Welle::N,wave,ტალღა
71,Wasser::N,water,წყალი
72,Stein::N,stone,ქვა
73,Boden::N,soil,მიწა
74,Boden::N,ground,მიწა
75,Erde::N,earth,ნიადაგი
76,Staub::N,dust,მტვერი
77,Rauch::N,smoke,ბოლი
78,Rauch::N,smoke,კვამლი
79,Funke::N,spark,ნაკვესი
