,Concept_ID,lt,uk
0,Auge::N,akis,око
1,Ohr::N,ausis,вухо
2,Nase::N,nosis,ніс
3,Mund::N,burna,рот
4,Zahn::N,dantis,зуб
5,Zunge::N,liežuvis,язик
6,Lippe::N,lūpa,губа
7,Wange::N,žandas,щока
8,Wange::N,skruostas,щока
9,Gesicht::N,veidas,обличчя
10,Stirn::N,kakta,лоб
11,Haar::N,plaukai,волосся
12,Schnurrbart::N,ūsai,вуса
13,Bart::N,barzda,борода
14,Kinn::N,smakras,підборіддя
15,Kiefer[Anatomie]::N,žandikaulis,щелепа
16,Kehle::N,gerklė,горло
17,Hals::N,kaklas,шия
18,Genick::N,sprandas,потилиця
19,Kopf::N,galva,голова
20,Rücken::N,nugara,спина
21,Bauch::N,pilvas,живіт
22,Nabel::N,bamba,пупок
23,Busen::N,krūtinė,груди
24,Brust::N,krūtis,груди
25,Schulter::N,petys,плече
26,Arm::N,ranka,рука
27,Ellenbogen::N,alkūnė,лікоть
28,Hand::N,ranka,рука
29,Hand::N,plaštaka,рука
30,Handfläche::N,delnas,долоня
31,Handfläche::N,plaštaka,долоня
32,Finger::N,pirštas,палець
33,Fingernagel::N,nagas,ніготь
34,Nagel[Anatomie]::N,nagas,ніготь
35,Zeh::N,pirštas,палець на нозі
36,Fuß::N,pėda,нога
37,Ferse::N,kulnas,п’ятка
38,Knie::N,kelis,коліно
39,Oberschenkel::N,kulšis,стегно
40,Oberschenkel::N,šlaunis,стегно
41,Bein::N,koja,нога
42,Körper::N,kūnas,тіло
43,Haut::N,oda,шкіра
44,Blut::N,kraujas,кров
45,Ader::N,kraujagyslė,вена
46,Sehne::N,sausgyslė,сухожилля
47,Knochen::N,kaulas,кістка
48,Gehirn::N,smegenys,мозок
49,Herz::N,širdis,серце
50,Magen::N,skrandis,шлунок
51,Leber::N,kepenys,печінка
52,Atem::N,kvapas,дихання
53,Hunger::N,badas,голод
54,Hunger::N,alkis,голод
55,Träne::N,ašara,сльоза
56,Geschmack::N,skonis,смак
57,Geruch::N,kvapas,запах
58,Schlaf::N,miegas,сон
59,Schlaf::N,miegas,сплячка
60,Traum::N,sapnas,сон
61,Himmel::N,dangus,небо
62,Sonne::N,saulė,сонце
63,Mond::N,mėnulis,місяць
64,Stern::N,žvaigždė,зірка
65,Luft::N,oras,повітря
66,Wind::N,vėjas,вітер
67,Welle::N,banga,хвиля
68,Welle::N,vilnis,хвиля
69,Wasser::N,vanduo,вода
70,Stein::N,akmuo,камінь
71,Boden::N,žemė,ґрунт
72,Boden::N,dugnas,ґрунт
73,Erde::N,žemė,земля
74,Staub::N,dulkės,пил
75,Rauch::N,dūmai,дим
76,Funke::N,kibirkštis,іскра
77,Feuer::N,ugnis,вогонь
78,Licht::N,šviesa,світло
79,Schatten::N,paūksmė,тінь
80,Wetter::N,oras,погода
81,Nebel::N,migla,туман
82,Nebel::N,rūkas,туман
83,Wolke::N,debesis,хмара
84,Regen::N,lietus,дощ
85,Schnee::N,sniegas,сніг
86,Eis::N,ledas,лід
87,Frost::N,šalna,мороз
88,Kälte::N,šaltis,холод
89,Hitze::N,karštis,жар
90,Raureif::N,šerkšnas,іній
91,Regenbogen::N,vaivorykštė,райдуга
92,Donner::N,perkūnas,грім
93,Donner::N,griaustinis,грім
94,Strömung::N,tėkmė,струмина
95,Tropfen::N,lašas,крапля
96,Schaum::N,putos,піна
97,Schmutz::N,purvas,бруд
98,See::N,ežeras,озеро
99,Sumpf::N,klampynė,драговина
100,Sumpf::N,liūnas,драговина
101,Moor::N,pelkė,болото
102,Wiese::N,pieva,луг
103,Wiese::N,pieva,лука
104,Wald::N,miškas,ліс
105,Hügel::N,kalva,горб
106,Anhöhe::N,kauburys,височина
107,Berg::N,kalnas,гора
108,Gipfel::N,viršūnė,вершина
109,Höhle::N,ola,печера
110,Abhang::N,šlaitas,схил
111,Abhang::N,nuokalnė,схил
112,Quelle::N,versmė,джерело
113,Quelle::N,šaltinis,джерело
114,Bach::N,upelis,струмок
115,Fluss::N,upė,річка
116,Ufer::N,krantas,берег
117,Küste::N,pajūris,узбережжя
118,Festland::N,sausuma,суша
119,Meer::N,jūra,море
120,Bucht::N,įlanka,бухта
121,Bucht::N,įlanka,затока
122,Bucht::N,užutekis,бухта
123,Bucht::N,užutekis,затока
124,Insel::N,sala,острів
125,Blume::N,gėlė,квітка
126,Gras::N,žolė,трава
127,Wurzel::N,šaknis,корінь
128,Baum::N,medis,дерево
129,Stamm::N,kamienas,стовбур
130,Rinde::N,žievė,кора
131,Ast::N,šaka,гілка
132,Zweig::N,šakelė,галузь
133,Blatt::N,lapas,лист
134,Birke::N,beržas,береза
135,Kiefer[Baum]::N,pušis,сосна
136,Weide[Baum]::N,karklas,верба
137,Tanne::N,eglė,ялиця
138,Tanne::N,kėnis,ялиця
139,Horn::N,ragas,ріг
140,Feder::N,plunksna,перо
141,Fell::N,kailis,хутро
142,Flügel::N,sparnas,крило
143,Klaue::N,kanopa,кіготь
144,Kralle::N,nagas,лапа
145,Schwanz::N,uodega,хвіст
146,Ei::N,kiaušinis,яйце
147,Nest::N,gūžta,гніздо
148,Nest::N,lizdas,гніздо
149,Bau::N,ola,лігво
150,Tier::N,gyvūnas,тварина
151,Herde::N,banda,стадо
152,Herde::N,kaimenė,стадо
153,Kuh::N,karvė,корова
154,Bulle::N,bulius,бик
155,Bulle::N,bulius,бугай
156,Pferd::N,arklys,кінь
157,Schaf::N,avis,вівця
158,Schwein::N,kiaulė,свиня
159,Hund::N,šuo,собака
160,Katze::N,katė,кішка
161,Bär::N,lokys,ведмідь
162,Eichhörnchen::N,voveraitė,білка
163,Elch::N,briedis,лось
164,Fuchs::N,lapė,лисиця
165,Hase::N,kiškas,заєць
166,Maus::N,pelė,миша
167,Wolf::N,vilkas,вовк
168,Vogel::N,paukštis,птах
169,Schwarm::N,spiečius,зграя
170,Huhn::N,višta,курка
171,Hahn::N,gaidys,півень
172,Gans::N,žąsis,гуска
173,Adler::N,erelis,орел
174,Ente::N,antis,качка
175,Eule::N,pelėda,сова
176,Kranich::N,gervė,журавель
177,Krähe::N,varna,ворона
178,Kuckuck::N,gegužė,зозуля
179,Schwan::N,gulbė,лебідь
180,Fisch::N,žuvis,риба
181,Barsch::N,ešerys,окунь
182,Hecht::N,lydeka,щука
183,Schlange[Tier]::N,gyvatė,змія
184,Wurm::N,kirmėlė,черв’як
185,Spinne::N,voras,павук
186,Ameise::N,skruzdė,мурашка
187,Laus::N,utėlė,воша
188,Mücke::N,uodas,комар
189,Fliege::N,musė,муха
190,Schmetterling::N,drugys,метелик
191,Schmetterling::N,peteliškė,метелик
192,Beere::N,uoga,ягода
193,Apfel::N,obuolys,яблуко
194,Pilz::N,grybas,гриб
195,Zwiebel::N,svogūnas,цибуля
196,Saat::N,sėkla,сім’я
197,Korn::N,grūdai,зерно
198,Heu::N,šienas,сіно
199,Schale::N,žievelė,шкірка
200,Grube::N,duobė,яма
201,Falle::N,pinklės,пастка
202,Falle::N,žabangai,пастка
203,Schlinge::N,kilpa,петля
204,Spur::N,vėžė,слід
205,Spur::N,pėdos,слід
206,Spur::N,pėdsakas,слід
207,Asche::N,pelenai,зола
208,Asche::N,pelenai,попіл
209,Dreck::N,purvas,бруд
210,Eisen::N,geležis,залізо
211,Gold::N,auksas,золото
212,Silber::N,sidabras,срібло
213,Kohle::N,anglis,вугілля
214,Glas::N,stiklas,скло
215,Lehm::N,molis,глина
216,Sand::N,smėlis,пісок
217,Mensch::N,žmogus,людина
218,Mann::N,vyras,чоловік
219,Mann::N,vyriškis,чоловік
220,Frau::N,moteris,жінка
221,Kind::N,vaikas,дитина
222,Junge::N,vaikinas,хлопець
223,Junge::N,berniukas,хлопець
224,Mädchen::N,mergytė,дівчина
225,Mädchen::N,mergaitė,дівчина
226,Familie::N,šeima,сім’я
227,Familie::N,šeima,родина
228,Großvater::N,senelis,дідусь
229,Großmutter::N,senelė,бабуся
230,Eltern::N,tėvai,батьки
231,Vater::N,tėvas,батько
232,Mutter::N,motina,мати
233,Sohn::N,sūnus,син
234,Tochter::N,duktė,дочка
235,Bruder::N,brolis,брат
236,Schwester::N,sesuo,сестра
237,Onkel::N,dėdė,дядько
238,Tante::N,teta,тітка
239,Ehemann::N,vyras,чоловік
240,Ehefrau::N,žmona,жінка
241,Ehefrau::N,žmona,дружина
242,Freude::N,džiaugsmas,радощі
243,Gelächter::N,juokas,сміх
244,Glück::N,laimė,щастя
245,Kummer::N,vargas,горе
246,Kummer::N,rūpestis,горе
247,Wunsch::N,troškimas,бажання
248,Wunsch::N,pageidavimas,бажання
249,Lust::N,noras,бажання
250,Lust::N,geidulys,бажання
251,Geist::N,dvasia,дух
252,Gedanke::N,mintis,думка
253,Gedächtnis::N,atmintis,пам’ять
254,Verstand::N,protas,розум
255,Sinn::N,prasmė,зміст
256,Sinn::N,prasmė,значення
257,Grund::N,priežastis,причина
258,Wahrheit::N,tiesa,правда
259,Wahrheit::N,teisybė,правда
260,Gespräch::N,pokalbis,розмова
261,Märchen::N,pasaka,байка
262,Erzählung::N,apsakymas,повість
263,Erzählung::N,apsakymas,оповідання
264,Erzählung::N,pasakojimas,повість
265,Erzählung::N,pasakojimas,оповідання
266,Nachricht::N,žinia,повідомлення
267,Neuigkeit::N,naujiena,новина
268,Name::N,vardas,ім’я
269,Rätsel::N,mįslė,загадка
270,Rede::N,kalba,промова
271,Sprache::N,kalba,мова
272,Stimme::N,balsas,голос
273,Wort::N,žodis,слово
274,Zeichen::N,žymė,знак
275,Zeichen::N,ženklas,знак
276,Ruf::N,šauksmas,оклик
277,Lärm::N,triukšmas,шум
278,Laut::N,garsas,звук
279,Ton::N,tonas,тон
280,Ton::N,garsas,тон
281,Lied::N,daina,пісня
282,Lied::N,giesmė,пісня
283,Ruhe::N,ramybė,спокій
284,Ruhe::N,ramumas,спокій
285,Leute::N,žmonės,люди
286,Volk::N,tauta,народ
287,Arbeit::N,darbas,робота
288,Arbeit::N,triūsas,робота
289,Gast::N,svečias,гість
290,Geschenk::N,dovana,подарунок
291,Spiel::N,žaismas,гра
292,Spiel::N,žaidimas,гра
293,Gesellschaft::N,draugija,товариство
294,Gesellschaft::N,kompanija,товариство
295,Hilfe::N,pagalba,допомога
296,Freund::N,draugas,друг
297,Freund::N,draugas,приятель
298,Freund::N,bičiulis,друг
299,Freund::N,bičiulis,приятель
300,Kamerad::N,draugas,товариш
301,Angelegenheit::N,dalykas,справа
