,Concept_ID,uk,no
0,Auge::N,око,øye
1,Ohr::N,вухо,øre
2,Nase::N,ніс,nese
3,Mund::N,рот,munn
4,Zahn::N,зуб,tann
5,Zunge::N,язик,tunge
6,Lippe::N,губа,leppe
7,Wange::N,щока,kinn
8,Gesicht::N,обличчя,fjes
9,Gesicht::N,обличчя,ansikt
10,Stirn::N,лоб,panne
11,Haar::N,волосся,hår
12,Schnurrbart::N,вуса,bart
13,Bart::N,борода,skjegg
14,Kinn::N,підборіддя,hake
15,Kiefer[Anatomie]::N,щелепа,kjeve
16,Kehle::N,горло,strupe
17,Hals::N,шия,hals
18,Genick::N,потилиця,nakke
19,Kopf::N,голова,hode
20,Rücken::N,спина,rygg
21,Bauch::N,живіт,buk
22,Bauch::N,живіт,mage
23,Nabel::N,пупок,navle
24,Busen::N,груди,barm
25,Brust::N,груди,bryst
26,Schulter::N,плече,skulder
27,Arm::N,рука,arm
28,Ellenbogen::N,лікоть,albue
29,Hand::N,рука,hånd
30,Handfläche::N,долоня,håndflate
31,Finger::N,палець,finger
32,Fingernagel::N,ніготь,fingernegl
33,Nagel[Anatomie]::N,ніготь,negl
34,Zeh::N,палець на нозі,tå
35,Fuß::N,нога,fot
36,Ferse::N,п’ятка,hæl
37,Knie::N,коліно,kne
38,Oberschenkel::N,стегно,lår
39,Bein::N,нога,bein
40,Körper::N,тіло,kropp
41,Körper::N,тіло,legeme
42,Haut::N,шкіра,hud
43,Haut::N,шкіра,skinn
44,Blut::N,кров,blod
45,Ader::N,вена,åre
46,Sehne::N,сухожилля,sene
47,Knochen::N,кістка,bein
48,Knochen::N,кістка,knokkel
49,Gehirn::N,мозок,hjerne
50,Herz::N,серце,hjerte
51,Magen::N,шлунок,mage
52,Leber::N,печінка,lever
53,Atem::N,дихання,pust
54,Hunger::N,голод,sult
55,Träne::N,сльоза,tåre
56,Geschmack::N,смак,smak
57,Geruch::N,запах,lukt
58,Schlaf::N,сон,søvn
59,Schlaf::N,сплячка,søvn
60,Traum::N,сон,drøm
61,Himmel::N,небо,himmel
62,Sonne::N,сонце,sol
63,Mond::N,місяць,måne
64,Stern::N,зірка,stjerne
65,Luft::N,повітря,luft
66,Wind::N,вітер,vind
67,Welle::N,хвиля,bølge
68,Wasser::N,вода,vann
69,Stein::N,камінь,stein
70,Boden::N,ґрунт,bakke
71,Erde::N,земля,jord
72,Staub::N,пил,støv
73,Rauch::N,дим,røyk
74,Funke::N,іскра,gnist
75,Feuer::N,вогонь,ild
76,Licht::N,світло,lys
77,Schatten::N,тінь,skygge
78,Wetter::N,погода,vær
79,Nebel::N,туман,tåke
80,Wolke::N,хмара,sky
81,Regen::N,дощ,regn
82,Schnee::N,сніг,snø
83,Eis::N,лід,is
84,Frost::N,мороз,frost
85,Kälte::N,холод,kulde
86,Hitze::N,жар,hete
87,Raureif::N,іній,rimfrost
88,Regenbogen::N,райдуга,regnbue
89,Donner::N,грім,torden
90,Strömung::N,струмина,strømning
91,Tropfen::N,крапля,dråpe
92,Schaum::N,піна,skum
93,Schmutz::N,бруд,søl
94,Schmutz::N,бруд,skitt
95,See::N,озеро,sjø
96,Sumpf::N,драговина,sump
97,Sumpf::N,драговина,myrlende
98,Moor::N,болото,myr
99,Moor::N,болото,myrhei
100,Wiese::N,луг,eng
101,Wiese::N,лука,eng
102,Wald::N,ліс,skog
103,Hügel::N,горб,haug
104,Hügel::N,горб,bakke
105,Anhöhe::N,височина,haug
106,Anhöhe::N,височина,bakke
107,Berg::N,гора,berg
108,Berg::N,гора,fjell
109,Gipfel::N,вершина,topp
110,Höhle::N,печера,hule
111,Abhang::N,схил,li
112,Abhang::N,схил,skråning
113,Quelle::N,джерело,kilde
114,Bach::N,струмок,bekk
115,Fluss::N,річка,elv
116,Ufer::N,берег,bredd
117,Küste::N,узбережжя,kyst
118,Festland::N,суша,fastland
119,Meer::N,море,hav
120,Bucht::N,бухта,bukt
121,Bucht::N,затока,bukt
122,Insel::N,острів,øy
123,Blume::N,квітка,blomst
124,Gras::N,трава,gress
125,Wurzel::N,корінь,rot
126,Baum::N,дерево,tre
127,Stamm::N,стовбур,stamme
128,Rinde::N,кора,bark
129,Ast::N,гілка,gren
130,Zweig::N,галузь,kvist
131,Blatt::N,лист,blad
132,Birke::N,береза,bjørk
133,Kiefer[Baum]::N,сосна,furu
134,Weide[Baum]::N,верба,selje
135,Weide[Baum]::N,верба,piletre
136,Tanne::N,ялиця,gran
137,Horn::N,ріг,horn
138,Feder::N,перо,fjær
139,Fell::N,хутро,skinn
140,Flügel::N,крило,vinge
141,Klaue::N,кіготь,klauv
142,Kralle::N,лапа,klo
143,Schwanz::N,хвіст,hale
144,Ei::N,яйце,egg
145,Nest::N,гніздо,rede
146,Bau::N,лігво,hi
147,Tier::N,тварина,dyr
148,Herde::N,стадо,flokk
149,Kuh::N,корова,ku
150,Bulle::N,бик,tyr
151,Bulle::N,бугай,tyr
152,Pferd::N,кінь,hest
153,Schaf::N,вівця,får
154,Schwein::N,свиня,gris
155,Hund::N,собака,hund
156,Katze::N,кішка,katt
157,Bär::N,ведмідь,bjørn
158,Eichhörnchen::N,білка,ekorn
159,Elch::N,лось,elg
160,Fuchs::N,лисиця,rev
