,Concept_ID,myv,lv
0,Auge::N,сельме,син
1,Auge::N,сельме,acs
2,Ohr::N,пиле,пель
3,Ohr::N,пиле,auss
4,Nase::N,судо,ныр
5,Nase::N,судо,deguns
6,Mund::N,курго,вом
7,Mund::N,курго,mute
8,Zahn::N,пей,пинь
9,Zahn::N,пей,zobs
10,Zunge::N,кель,кыв
11,Zunge::N,кель,mēle
12,Lippe::N,турва,вом дор
13,Lippe::N,турва,lūpa
14,Wange::N,чамабока,бан
15,Wange::N,чамабока,vaigs
16,Wange::N,чамаумарь,бан
17,Wange::N,чамаумарь,vaigs
18,Gesicht::N,чама,чужӧм
19,Gesicht::N,чама,seja
20,Gesicht::N,чама,ģīmis
21,Stirn::N,коня,плеш
22,Stirn::N,коня,кымӧс
23,Stirn::N,коня,piere
24,Haar::N,черь,си
25,Haar::N,черь,юрси
26,Haar::N,черь,mats
27,Schnurrbart::N,ус,ус
28,Schnurrbart::N,ус,пыртсим
29,Schnurrbart::N,ус,ūsas
30,Schnurrbart::N,муюк,ус
31,Schnurrbart::N,муюк,пыртсим
32,Schnurrbart::N,муюк,ūsas
33,Bart::N,сакал,тош
34,Bart::N,сакал,bārda
35,Kinn::N,уло,тшӧка
36,Kinn::N,уло,zods
37,Kinn::N,уло,smakrs
38,Kiefer[Anatomie]::N,пейпакар,черлы
39,Kiefer[Anatomie]::N,пейпакар,алака лы
40,Kiefer[Anatomie]::N,пейпакар,вомкӧтш лы
41,Kiefer[Anatomie]::N,пейпакар,žoklis
42,Kiefer[Anatomie]::N,пейловажа,черлы
43,Kiefer[Anatomie]::N,пейловажа,алака лы
44,Kiefer[Anatomie]::N,пейловажа,вомкӧтш лы
45,Kiefer[Anatomie]::N,пейловажа,žoklis
46,Kehle::N,кирьгапарь,голя
47,Kehle::N,кирьгапарь,rīkle
48,Hals::N,кирьга,сьылі
49,Hals::N,кирьга,kakls
50,Genick::N,човонь,юрбӧр
51,Genick::N,човонь,балябӧж
52,Genick::N,човонь,sprands
53,Kopf::N,пря,юр
54,Kopf::N,пря,galva
55,Rücken::N,копорь,мыш
56,Rücken::N,копорь,mugura
57,Bauch::N,пеке,рушку
58,Bauch::N,пеке,vēders
59,Nabel::N,почо,гӧг
60,Nabel::N,почо,naba
61,Busen::N,поте,морӧс
62,Busen::N,поте,krūts
63,Brust::N,меште,морӧс
64,Brust::N,меште,krūts
65,Schulter::N,лавтов,пельпом
66,Schulter::N,лавтов,plecs
67,Arm::N,кедь,ки
68,Arm::N,кедь,roka
69,Arm::N,кедь,delms
70,Ellenbogen::N,кенерепакарь,гырддза
71,Ellenbogen::N,кенерепакарь,elkonis
72,Hand::N,кедь,ки
73,Hand::N,кедь,roka
74,Hand::N,кедь,plauksta
75,Handfläche::N,кедькуншка,ки пыдӧс
76,Handfläche::N,кедькуншка,delna
77,Handfläche::N,кедькуншка,plauksta
78,Handfläche::N,кедьлапушка,ки пыдӧс
79,Handfläche::N,кедьлапушка,delna
80,Handfläche::N,кедьлапушка,plauksta
81,Finger::N,сур,чунь
82,Finger::N,сур,pirksts
83,Fingernagel::N,кенже,гыж
84,Fingernagel::N,кенже,nags
85,Nagel[Anatomie]::N,кенже,гыж
86,Nagel[Anatomie]::N,кенже,nags
87,Zeh::N,пильге сур,кок чунь
88,Zeh::N,пильге сур,pirksts
89,Fuß::N,пильге,кок
90,Fuß::N,пильге,kāja
91,Ferse::N,кочкаря,кокбӧр
92,Ferse::N,кочкаря,papēdis
93,Knie::N,эле,пидзӧс
94,Knie::N,эле,celis
95,Knie::N,эзне,пидзӧс
96,Knie::N,эзне,celis
97,Knie::N,кумажа,пидзӧс
98,Knie::N,кумажа,celis
99,Oberschenkel::N,качо,лядьвей
100,Oberschenkel::N,качо,бек
101,Oberschenkel::N,качо,ciska
102,Oberschenkel::N,качо,augšstilbs
103,Bein::N,пильге,кок
104,Bein::N,пильге,kāja
105,Körper::N,рунго,туша
106,Körper::N,рунго,вывтыр
107,Körper::N,рунго,miesa
108,Körper::N,рунго,ķermenis
109,Haut::N,киське,ку
110,Haut::N,киське,āda
111,Blut::N,верь,вир
112,Blut::N,верь,asins
113,Ader::N,сан,сӧн
114,Ader::N,сан,asinsvads
115,Sehne::N,коське сан,вез
116,Sehne::N,коське сан,dzīsla
117,Knochen::N,пакарь,лы
118,Knochen::N,пакарь,kauls
119,Gehirn::N,удем,вем
120,Gehirn::N,удем,smadzenes
121,Herz::N,седей,сьӧлӧм
122,Herz::N,седей,sirds
123,Magen::N,пеке,кынӧм
124,Magen::N,пеке,kuņģis
125,Leber::N,максо,мус
126,Leber::N,максо,aknas
127,Atem::N,лексема,лов
128,Atem::N,лексема,elpa
129,Atem::N,оймень таргсема,лов
130,Atem::N,оймень таргсема,elpa
131,Hunger::N,вачочи,тшыг
132,Hunger::N,вачочи,bads
133,Hunger::N,вачочи,izsalkums
134,Träne::N,селведь,синва
135,Träne::N,селведь,asara
136,Geschmack::N,тансть,кӧр
137,Geschmack::N,тансть,чӧсмӧс
138,Geschmack::N,тансть,garša
139,Geruch::N,чине,зын
140,Geruch::N,чине,дук
141,Geruch::N,чине,smaka
142,Schlaf::N,удома,узьӧм
143,Schlaf::N,удома,miegs
144,Traum::N,он,вӧт
145,Traum::N,он,вӧтасьӧм
146,Traum::N,он,sapnis
147,Himmel::N,менель,енэж
148,Himmel::N,менель,debess
149,Sonne::N,чи,шонді
150,Sonne::N,чи,saule
151,Mond::N,ков,тӧлысь
152,Mond::N,ков,mēness
153,Stern::N,теште,кодзув
154,Stern::N,теште,zvaigzne
155,Luft::N,кошт,сынӧд
156,Luft::N,кошт,gaiss
157,Wind::N,варма,тӧв
