,Concept_ID,,da
0,Auge::N,,øje
1,Ohr::N,,øre
2,Nase::N,,næse
3,Mund::N,,mund
4,Zahn::N,,tand
5,Zunge::N,,tunge
6,Lippe::N,,læbe
7,Wange::N,,kind
8,Gesicht::N,,ansigt
9,Stirn::N,,pande
10,Haar::N,,hår
11,Schnurrbart::N,,overskæg
12,Bart::N,,skæg
13,Kinn::N,,hage
14,Kiefer[Anatomie]::N,,kæbe
15,Kehle::N,,strube
16,Hals::N,,hals
17,Genick::N,,nakke
18,Kopf::N,,hoved
19,Rücken::N,,ryg
20,Bauch::N,,mave
21,Nabel::N,,navle
22,Busen::N,,barm
23,Brust::N,,bryst
24,Schulter::N,,skulder
25,Arm::N,,arm
26,Ellenbogen::N,,albue
27,Hand::N,,hånd
28,Handfläche::N,,håndflade
29,Finger::N,,finger
30,Fingernagel::N,,fingernegl
31,Nagel[Anatomie]::N,,negl
32,Zeh::N,,tå
33,Fuß::N,,fod
34,Ferse::N,,hæl
35,Knie::N,,knæ
36,Oberschenkel::N,,lår
37,Bein::N,,ben
38,Körper::N,,krop
39,Körper::N,,legeme
40,Haut::N,,hud
41,Blut::N,,blod
42,Ader::N,,åre
43,Sehne::N,,sene
44,Knochen::N,,ben
45,Gehirn::N,,hjerne
46,Herz::N,,hjerte
47,Magen::N,,mave
48,Leber::N,,lever
49,Atem::N,,ånde
50,Hunger::N,,sult
51,Träne::N,,tåre
52,Geschmack::N,,smag
53,Geruch::N,,lugt
54,Schlaf::N,,søvn
55,Traum::N,,drøm
56,Himmel::N,,himmel
57,Sonne::N,,sol
58,Mond::N,,måne
59,Stern::N,,stjerne
60,Luft::N,,luft
61,Wind::N,,vind
62,Welle::N,,bølge
63,Wasser::N,,vand
64,Stein::N,,sten
65,Boden::N,,jord
66,Erde::N,,jord
67,Staub::N,,støv
68,Rauch::N,,røg
69,Funke::N,,gnist
70,Feuer::N,,ild
71,Licht::N,,lys
72,Schatten::N,,skygge
73,Wetter::N,,vejr
74,Nebel::N,,tåge
75,Wolke::N,,sky
76,Regen::N,,regn
77,Schnee::N,,sne
78,Eis::N,,is
79,Frost::N,,frost
