,Concept_ID,se,hy
0,Auge::N,tjelmie,աչք
1,Auge::N,tjalmme,աչք
2,Auge::N,čalbmi,աչք
3,Auge::N,čalme,աչք
4,Auge::N,čâ´lmm,աչք
5,Auge::N,ча̄лльм,աչք
6,Ohr::N,bieljie,ականջ
7,Ohr::N,biellje,ականջ
8,Ohr::N,beallji,ականջ
9,Ohr::N,pelji,ականջ
10,Ohr::N,pe´llj,ականջ
11,Ohr::N,пе̄лльй,ականջ
12,Nase::N,njuenie,քիթ
13,Nase::N,njunnje,քիթ
14,Nase::N,njunni,քիթ
15,Nase::N,njuṇe,քիթ
16,Nase::N,njuu´nn,քիթ
17,Nase::N,нюннҍ,քիթ
18,Mund::N,njaelmie,բերան
19,Mund::N,njálmme,բերան
20,Mund::N,njálbmi,բերան
21,Mund::N,njälmi,բերան
22,Mund::N,njä´lmm,բերան
23,Mund::N,ня̄лльм,բերան
24,Zahn::N,baenie,ատամ
25,Zahn::N,bádne,ատամ
26,Zahn::N,bátni,ատամ
27,Zahn::N,pääṇi,ատամ
28,Zahn::N,pää´nn,ատամ
29,Zahn::N,па̄ннҍ,ատամ
30,Zunge::N,njoektjeme,լեզու
31,Zunge::N,njuovtjav,լեզու
32,Zunge::N,njuovčča,լեզու
33,Zunge::N,njuovčâ,լեզու
34,Zunge::N,njuhččâm,լեզու
35,Zunge::N,нюхчем,լեզու
36,Lippe::N,bangseme,շրթունք
37,Lippe::N,njálmmerabdda,շրթունք
38,Lippe::N,bavssa,շրթունք
39,Lippe::N,poovsâ,շրթունք
40,Lippe::N,põõus,շրթունք
41,Lippe::N,пэ̄кс,շրթունք
42,Wange::N,skiehrie,այտ
43,Wange::N,skiehrie,թուշ
44,Wange::N,nierra,այտ
45,Wange::N,nierra,թուշ
46,Wange::N,muohtu,այտ
47,Wange::N,muohtu,թուշ
48,Wange::N,nieṛâ,այտ
49,Wange::N,nieṛâ,թուշ
50,Wange::N,njiõrr,այտ
51,Wange::N,njiõrr,թուշ
52,Wange::N,нӣрр,այտ
53,Wange::N,нӣрр,թուշ
54,Gesicht::N,ååredæjja,դեմք
55,Gesicht::N,muohto,դեմք
56,Gesicht::N,muođut,դեմք
57,Gesicht::N,ámadadju,դեմք
58,Gesicht::N,muáđuh,դեմք
59,Gesicht::N,muâđ,դեմք
60,Gesicht::N,ка̄ссв,դեմք
61,Stirn::N,gaalloe,ճակատ
62,Stirn::N,gállo,ճակատ
63,Stirn::N,gállu,ճակատ
64,Stirn::N,kállu,ճակատ
65,Stirn::N,käll,ճակատ
66,Stirn::N,вуэххьц,ճակատ
67,Haar::N,voepte,մազ
68,Haar::N,vuoppta,մազ
69,Haar::N,vuokta,մազ
70,Haar::N,vuop'tâ,մազ
71,Haar::N,vuõpt,մազ
72,Haar::N,вӯппт,մազ
73,Schnurrbart::N,bijjie-skaavtjoe,բեղ
74,Schnurrbart::N,njunjevuolskávttjá,բեղ
75,Schnurrbart::N,seamu,բեղ
76,Schnurrbart::N,siämu,բեղ
77,Schnurrbart::N,ää´bben,բեղ
78,Schnurrbart::N,о̄а̄бпан,բեղ
79,Bart::N,skaavtja,մորուք
80,Bart::N,skaavtjoe,մորուք
81,Bart::N,skávttjá,մորուք
82,Bart::N,seamu,մորուք
83,Bart::N,siämu,մորուք
84,Bart::N,seäm,մորուք
85,Bart::N,ся̄м,մորուք
86,Kinn::N,gaejpie,կզակ
87,Kinn::N,gájbbe,կզակ
88,Kinn::N,gáibi,կզակ
89,Kinn::N,käibi,կզակ
90,Kinn::N,käi´bb,կզակ
91,Kinn::N,ка̄ййп,կզակ
92,Kiefer[Anatomie]::N,gaejpie,ծնոտ
93,Kiefer[Anatomie]::N,oalol,ծնոտ
94,Kiefer[Anatomie]::N,oaloldákte,ծնոտ
95,Kiefer[Anatomie]::N,gáibi,ծնոտ
96,Kiefer[Anatomie]::N,uá'lultähti,ծնոտ
