,Concept_ID,fi,vep
0,Auge::N,silmä,sil'm
1,Ohr::N,korva,korv
2,Nase::N,nenä,nena
3,Mund::N,suu,su
4,Zahn::N,hammas,pi
5,Zahn::N,hammas,hambaz
6,Zunge::N,kieli,kel'
7,Lippe::N,huuli,hul'
8,Wange::N,poski,modpolišk
9,Gesicht::N,naama,mod
10,Gesicht::N,kasvot,mod
11,Stirn::N,otsa,oc
12,Haar::N,hius,tuk
13,Haar::N,hius,hibuz
14,Haar::N,tukka,tuk
15,Haar::N,tukka,hibuz
16,Schnurrbart::N,viikset,habinod
17,Bart::N,parta,bard
18,Kinn::N,leuka,löug
19,Kiefer[Anatomie]::N,leukaluu,hambazlu
20,Kehle::N,kurkku,kurk
21,Hals::N,kaula,kagl
22,Genick::N,niska,tagarai
23,Kopf::N,pää,pä
24,Rücken::N,selkä,sel'g
25,Bauch::N,maha,vac
26,Bauch::N,maha,koht
27,Bauch::N,vatsa,vac
28,Bauch::N,vatsa,koht
29,Nabel::N,napa,naba
30,Busen::N,rinta,niža
31,Brust::N,rinta,rind
32,Schulter::N,olka,oug
33,Schulter::N,hartia,oug
34,Schulter::N,olkapää,oug
35,Arm::N,käsivarsi,käzi
36,Ellenbogen::N,kyynärpää,künambruz
37,Hand::N,käsi,käzi
38,Hand::N,käsi,käzitera
39,Handfläche::N,kämmen,kämen
40,Finger::N,sormi,sor'm
41,Fingernagel::N,kynsi,künz'
42,Nagel[Anatomie]::N,kynsi,künz'
43,Zeh::N,varvas,barbaz
44,Fuß::N,jalka,jaug
45,Ferse::N,kantapää,kand
46,Knie::N,polvi,komb
47,Knie::N,polvi,pol'v
48,Oberschenkel::N,reisi,riiže
49,Bein::N,jalka,jaug
50,Körper::N,keho,hibj
51,Körper::N,ruumis,hibj
52,Haut::N,iho,nahk
53,Blut::N,veri,čak
54,Blut::N,veri,veri
55,Ader::N,suoni,son'
56,Sehne::N,jänne,jände
57,Knochen::N,luu,lu
58,Gehirn::N,aivot,aivod
59,Herz::N,sydän,südäin
60,Magen::N,maha,südäikoht
61,Magen::N,vatsa,südäikoht
62,Leber::N,maksa,maks
63,Atem::N,henki,hengaiduz
64,Atem::N,hengitys,hengaiduz
65,Hunger::N,nälkä,näl'g
66,Träne::N,kyynel,kündal'
67,Geschmack::N,maku,magu
68,Geruch::N,haju,haju
69,Schlaf::N,uni,uni
70,Traum::N,uni,unikuva
71,Himmel::N,taivas,taivaz
72,Sonne::N,aurinko,päiväine
73,Mond::N,kuu,kudmaine
74,Stern::N,tähti,tähtaz
75,Luft::N,ilma,il'm
76,Wind::N,tuuli,döl
77,Wind::N,tuuli,tullei
78,Welle::N,aalto,ald
79,Welle::N,aalto,laineh
80,Wasser::N,vesi,vezi
81,Stein::N,kivi,kivi
82,Boden::N,maa,ma
83,Boden::N,maa,pohj
84,Boden::N,maaperä,ma
85,Boden::N,maaperä,pohj
86,Erde::N,maa,ma
87,Staub::N,pöly,pölü
88,Rauch::N,savu,savu
89,Funke::N,kipinä,kibin
90,Feuer::N,tuli,lämoi
91,Licht::N,valo,vauktuz
92,Schatten::N,varjo,pil'vez
93,Schatten::N,varjo,kuvahaine
94,Wetter::N,sää,sä
95,Nebel::N,sumu,sumeg
96,Wolke::N,pilvi,pil'v
97,Regen::N,sade,vihm
98,Schnee::N,lumi,lumi
99,Eis::N,jää,jä
100,Frost::N,halla,hala
101,Frost::N,halla,pakaine
102,Frost::N,pakkanen,hala
103,Frost::N,pakkanen,pakaine
104,Kälte::N,vilu,vilu
105,Kälte::N,kylmyys,vilu
106,Hitze::N,helle,räk
107,Hitze::N,kuumuus,räk
108,Raureif::N,huurre,hüde
109,Regenbogen::N,sateenkaari,jumalanbembel'
110,Donner::N,jyrinä,juru
111,Donner::N,jyrinä,jumalanjuru
112,Strömung::N,virtaus,joksmuz
113,Tropfen::N,tippa,tilkuine
114,Tropfen::N,pisara,tilkuine
115,Schaum::N,vaahto,vaht
116,Schmutz::N,loka,redu
117,Schmutz::N,loka,pačak
118,See::N,järvi,järv
119,Sumpf::N,suo,so
120,Moor::N,räme,so
121,Wiese::N,niitty,nit
122,Wald::N,metsä,mec
123,Hügel::N,mäki,kukaz
124,Hügel::N,kumpu,kukaz
125,Hügel::N,kukkula,kukaz
126,Anhöhe::N,mäki,kukaz
127,Anhöhe::N,kumpare,kukaz
128,Berg::N,mäki,mägi
129,Berg::N,vuori,mägi
130,Gipfel::N,laki,ladv
131,Gipfel::N,huippu,ladv
132,Höhle::N,luola,mägionduz
133,Abhang::N,rinne,paute
134,Quelle::N,lähde,lähte
135,Bach::N,puro,oja
136,Fluss::N,joki,jogi
137,Ufer::N,ranta,rand
138,Küste::N,rannikko,randišt
139,Festland::N,manner,kuivma
140,Meer::N,meri,meri
141,Bucht::N,lahti,laht
142,Insel::N,saari,sar'
143,Blume::N,kukka,änik
144,Gras::N,ruoho,hein
145,Wurzel::N,juuri,jur'
146,Baum::N,puu,pu
147,Stamm::N,runko,tüvi
148,Rinde::N,kuori,kor'
149,Rinde::N,parkki,kor'
150,Ast::N,oksa,oks
151,Zweig::N,haara,oks
152,Zweig::N,haara,barb
153,Blatt::N,lehti,lehtez
154,Birke::N,koivu,koiv
155,Kiefer[Baum]::N,mänty,pedai
156,Kiefer[Baum]::N,petäjä,pedai
157,Weide[Baum]::N,paju,raid
158,Tanne::N,kuusi,kuz'
159,Horn::N,sarvi,sar'v
160,Feder::N,sulka,höuneh
161,Feder::N,höyhen,höuneh
162,Fell::N,talja,nahk
163,Flügel::N,siipi,suug
164,Klaue::N,kynsi,künz'
165,Kralle::N,kynsi,künz'
166,Schwanz::N,häntä,händ
167,Schwanz::N,pyrstö,händ
168,Ei::N,muna,muna
169,Nest::N,pesä,peza
170,Bau::N,pesä,uru
171,Tier::N,eläin,živat
172,Herde::N,lauma,kogo
173,Kuh::N,lehmä,lehm
174,Bulle::N,sonni,härg
175,Pferd::N,hevonen,hebo
176,Schaf::N,lammas,lambaz
177,Schwein::N,sika,siga
178,Hund::N,koira,koir
179,Katze::N,kissa,kaži
180,Bär::N,karhu,kondi
181,Eichhörnchen::N,orava,orav
182,Elch::N,hirvi,hirb'
183,Fuchs::N,kettu,reboi
184,Hase::N,jänis,jäniš
185,Maus::N,hiiri,hir'
186,Wolf::N,susi,händikaz
187,Vogel::N,lintu,lind
188,Schwarm::N,parvi,parveh
189,Huhn::N,kana,kana
190,Hahn::N,kukko,kukoi
191,Gans::N,hanhi,hanh'
192,Adler::N,kotka,orl
193,Ente::N,ankka,sorz
194,Eule::N,pöllö,hir'pulo
195,Kranich::N,kurki,kurg
196,Krähe::N,varis,variš
197,Kuckuck::N,käki,kägi
198,Schwan::N,joutsen,joucen
199,Fisch::N,kala,kala
200,Barsch::N,ahven,ahven
201,Hecht::N,hauki,haug'
202,Schlange[Tier]::N,käärme,kü
203,Schlange[Tier]::N,käärme,mado
204,Wurm::N,mato,mado
205,Spinne::N,hämähäkki,hämähouk
206,Ameise::N,muurahainen,murahaine
207,Laus::N,täi,täi
208,Mücke::N,sääski,säs'k
