,Concept_ID,no,fr
0,Auge::N,øye,œil
1,Ohr::N,øre,oreille
2,Nase::N,nese,nez
3,Mund::N,munn,bouche
4,Zahn::N,tann,dent
5,Zunge::N,tunge,langue
6,Lippe::N,leppe,lèvre
7,Wange::N,kinn,joue
8,Gesicht::N,fjes,face
9,Gesicht::N,fjes,visage
10,Gesicht::N,ansikt,face
11,Gesicht::N,ansikt,visage
12,Stirn::N,panne,front
13,Haar::N,hår,cheveu
14,Schnurrbart::N,bart,moustache
15,Bart::N,skjegg,barbe
16,Kinn::N,hake,menton
17,Kiefer[Anatomie]::N,kjeve,mâchoire
18,Kehle::N,strupe,gorge
19,Hals::N,hals,cou
20,Genick::N,nakke,nuque
21,Kopf::N,hode,tête
22,Rücken::N,rygg,dos
23,Bauch::N,buk,ventre
24,Bauch::N,mage,ventre
25,Nabel::N,navle,nombril
26,Busen::N,barm,sein
27,Brust::N,bryst,poitrine
28,Schulter::N,skulder,épaule
29,Arm::N,arm,bras
30,Ellenbogen::N,albue,coude
31,Hand::N,hånd,main
32,Handfläche::N,håndflate,paume
33,Finger::N,finger,doigt
34,Fingernagel::N,fingernegl,ongle
35,Nagel[Anatomie]::N,negl,ongle
36,Zeh::N,tå,orteil
37,Zeh::N,tå,doigt de pied
38,Fuß::N,fot,pied
39,Ferse::N,hæl,talon
40,Knie::N,kne,genou
41,Oberschenkel::N,lår,cuisse
42,Bein::N,bein,jambe
43,Körper::N,kropp,corps
44,Körper::N,legeme,corps
45,Haut::N,hud,peau
46,Haut::N,skinn,peau
47,Blut::N,blod,sang
48,Ader::N,åre,veine
49,Sehne::N,sene,tendon
50,Knochen::N,bein,os
51,Knochen::N,knokkel,os
52,Gehirn::N,hjerne,cerveau
53,Herz::N,hjerte,cœur
54,Magen::N,mage,estomac
55,Leber::N,lever,foie
56,Atem::N,pust,haleine
57,Hunger::N,sult,faim
58,Träne::N,tåre,larme
59,Geschmack::N,smak,goût
60,Geschmack::N,smak,saveur
61,Geruch::N,lukt,odeur
62,Schlaf::N,søvn,sommeil
63,Traum::N,drøm,songe
64,Himmel::N,himmel,ciel
65,Sonne::N,sol,soleil
66,Mond::N,måne,lune
67,Stern::N,stjerne,étoile
68,Luft::N,luft,air
69,Wind::N,vind,vent
70,Welle::N,bølge,vague
71,Wasser::N,vann,eau
72,Stein::N,stein,pierre
73,Boden::N,bakke,sol
