,Concept_ID,da,ka
0,Auge::N,øje,თვალი
1,Ohr::N,øre,ყური
2,Nase::N,næse,ცხვირი
3,Mund::N,mund,პირი
4,Zahn::N,tand,კბილი
5,Zunge::N,tunge,ენა
6,Lippe::N,læbe,ბაგე
7,Wange::N,kind,ლოყა
8,Gesicht::N,ansigt,სახე
9,Stirn::N,pande,შუბლი
10,Haar::N,hår,თმა
11,Schnurrbart::N,overskæg,ულვაში
12,Bart::N,skæg,წვერი
13,Kinn::N,hage,ნიკაპი
14,Kiefer[Anatomie]::N,kæbe,ყბა
15,Kehle::N,strube,ყელი
16,Hals::N,hals,ყელი
17,Hals::N,hals,კისერი
18,Genick::N,nakke,კეფა
19,Kopf::N,hoved,თავი
20,Rücken::N,ryg,ზურგი
21,Bauch::N,mave,მუცელი
22,Nabel::N,navle,ჭიპი
23,Busen::N,barm,ძუძუ
24,Brust::N,bryst,მკერდი
25,Schulter::N,skulder,მხარი
26,Schulter::N,skulder,მკლავი
27,Arm::N,arm,ხელი
28,Ellenbogen::N,albue,იდაყვი
29,Hand::N,hånd,ხელი
30,Handfläche::N,håndflade,ნები
31,Handfläche::N,håndflade,ხელისგული
32,Finger::N,finger,თითი
33,Fingernagel::N,fingernegl,ფრჩხილი
34,Nagel[Anatomie]::N,negl,ფრჩხილი
35,Zeh::N,tå,ფეხის თითი
36,Fuß::N,fod,ტერფი
37,Fuß::N,fod,ფეხისგული
38,Ferse::N,hæl,ქუსლი
39,Knie::N,knæ,მუხლი
40,Oberschenkel::N,lår,ბარძაყი
41,Bein::N,ben,ფეხი
42,Körper::N,krop,ტანი
43,Körper::N,krop,სხეული
44,Körper::N,legeme,ტანი
45,Körper::N,legeme,სხეული
46,Haut::N,hud,კანი
47,Blut::N,blod,სისხლი
48,Ader::N,åre,ძარღვი
49,Sehne::N,sene,მყესი
50,Knochen::N,ben,ძვალი
51,Gehirn::N,hjerne,ტვინი
52,Herz::N,hjerte,გული
53,Magen::N,mave,კუჭი
54,Leber::N,lever,ღვიძლი
55,Atem::N,ånde,სუნთქვა
56,Hunger::N,sult,შიმშილი
57,Träne::N,tåre,ცრემლი
58,Geschmack::N,smag,გემო
59,Geruch::N,lugt,სუნი
60,Schlaf::N,søvn,ძილი
61,Traum::N,drøm,სიზმარი
62,Himmel::N,himmel,ცა
63,Sonne::N,sol,მზე
64,Mond::N,måne,მთვარე
65,Stern::N,stjerne,ვარსკვლავი
66,Luft::N,luft,ჰაერი
67,Wind::N,vind,ქარი
68,Welle::N,bølge,ტალღა
69,Wasser::N,vand,წყალი
70,Stein::N,sten,ქვა
71,Boden::N,jord,მიწა
72,Erde::N,jord,ნიადაგი
73,Staub::N,støv,მტვერი
74,Rauch::N,røg,ბოლი
75,Rauch::N,røg,კვამლი
76,Funke::N,gnist,ნაკვესი
77,Feuer::N,ild,ცეცხლი
78,Licht::N,lys,შუქი
79,Licht::N,lys,სინათლე
80,Schatten::N,skygge,ლანდი
81,Schatten::N,skygge,ჩრდილი
82,Wetter::N,vejr,ამინდი
83,Nebel::N,tåge,ნისლი
84,Wolke::N,sky,ღრუბელი
85,Regen::N,regn,წვიმა
86,Schnee::N,sne,თოვლი
87,Eis::N,is,თოში
88,Eis::N,is,ყინული
89,Frost::N,frost,ყინვა
90,Kälte::N,kulde,სიცივე
91,Hitze::N,hede,სიცხე
92,Raureif::N,rimfrost,ჭირხლი
93,Raureif::N,rimfrost,თრთვილი
94,Regenbogen::N,regnbue,ცისარტყელა
95,Donner::N,torden,ქუხილი
96,Strömung::N,strømning,დინება
97,Tropfen::N,dråbe,წვეთი
98,Schaum::N,skum,ქაფი
99,Schaum::N,skum,დორბლი
100,Schmutz::N,snavs,ჭუჭყი
101,Schmutz::N,snavs,ტალახი
102,See::N,sø,ტბა
103,Sumpf::N,sump,ჭაობი
104,Moor::N,mose,ტორფნარი
105,Wiese::N,eng,ველი
106,Wiese::N,eng,მდელო
107,Wald::N,skov,ტყე
108,Hügel::N,høj,ბორცვი
109,Hügel::N,bakke,ბორცვი
110,Anhöhe::N,høj,მაღლობი
111,Anhöhe::N,bakke,მაღლობი
112,Berg::N,bjerg,მთა
113,Gipfel::N,top,მწვერვალი
114,Höhle::N,hule,მღვიმე
115,Höhle::N,hule,გამოქვებული
116,Abhang::N,skrænt,ფერდობი
117,Abhang::N,skråning,ფერდობი
118,Quelle::N,kilde,წყარო
119,Quelle::N,kilde,სათავე
120,Bach::N,bæk,რუ
121,Bach::N,bæk,ნაკადული
122,Fluss::N,flod,მდინარე
123,Ufer::N,bred,კიდე
124,Ufer::N,bred,ნაპირი
125,Küste::N,kyst,ნაპირი
126,Festland::N,fastland,ხმელეთი
127,Meer::N,hav,ზღვა
128,Bucht::N,bugt,ყურე
129,Insel::N,ø,კუნძული
130,Blume::N,blomst,ყვავილი
131,Gras::N,græs,ბალახი
132,Wurzel::N,rod,ძირი
133,Wurzel::N,rod,ფესვი
134,Baum::N,træ,ხე
135,Stamm::N,stamme,ტანი
136,Rinde::N,bark,ქერქი
137,Ast::N,gren,ტოტი
138,Zweig::N,kvist,შტო
139,Blatt::N,blad,ფოთოლი
140,Birke::N,birk,არყი
141,Kiefer[Baum]::N,fyrretræ,ფიჭვი
142,Weide[Baum]::N,piletræ,ტირიფი
143,Tanne::N,gran,ნაძვი
144,Horn::N,horn,რქა
145,Feder::N,fjer,ფრთა
146,Fell::N,skind,ტყავი
147,Flügel::N,vinge,ფრთა
148,Klaue::N,klov,კლანჭი
149,Kralle::N,klo,ტორი
150,Schwanz::N,hale,კუდი
151,Ei::N,æg,კვერცხი
152,Nest::N,rede,ბუდე
153,Bau::N,bo,სორო
154,Tier::N,dyr,ნადირი
155,Tier::N,dyr,ცხოველი
156,Herde::N,flok,ფარა
157,Kuh::N,ko,ფური
158,Kuh::N,ko,ძროხა
159,Bulle::N,tyr,ხარი
160,Pferd::N,hest,რაში
161,Pferd::N,hest,ცხენი
162,Schaf::N,får,ცხვარი
163,Schwein::N,gris,ღორი
164,Hund::N,hund,ძაღლი
165,Katze::N,kat,კატა
166,Bär::N,bjørn,დათვი
167,Eichhörnchen::N,egern,ციყვი
168,Elch::N,elg,ცხენ-ირემი
169,Fuchs::N,ræv,მელა
170,Hase::N,hare,კურდღელი
171,Maus::N,mus,თაგვი
172,Wolf::N,ulv,მგელი
173,Vogel::N,fugl,ჩიტი
174,Vogel::N,fugl,ფრინველი
175,Schwarm::N,sværm,გუნდი
176,Huhn::N,høne,დედალი
177,Hahn::N,hane,მამალი
178,Gans::N,gås,ბატი
179,Adler::N,ørn,არწივი
180,Ente::N,and,იხვი
181,Eule::N,ugle,ბუ
182,Kranich::N,trane,წერო
183,Krähe::N,krage,ყვავი
184,Kuckuck::N,gøg,გუგული
185,Schwan::N,svane,გედი
186,Fisch::N,fisk,თევზი
187,Barsch::N,aborre,ქორჭილა
188,Hecht::N,gedde,ქარიყლაპია
189,Schlange[Tier]::N,slange,გველი
190,Wurm::N,orm,ჭია
191,Spinne::N,edderkop,ობობა
192,Ameise::N,myre,ჭიანჭველა
193,Laus::N,lus,ტილი
194,Laus::N,lus,მკბენარი
195,Mücke::N,myg,კოღო
196,Fliege::N,flue,ბუზი
197,Schmetterling::N,sommerfugl,პეპელა
198,Beere::N,bær,კენკრა
199,Apfel::N,æble,ვაშლი
200,Pilz::N,svamp,სოკო
201,Zwiebel::N,løg,ხახვი
202,Saat::N,sæd,თესლი
203,Korn::N,korn,მარცვალი
204,Heu::N,hø,თივა
205,Schale::N,skræl,ჩენჩო
206,Grube::N,grav,ორმო
207,Falle::N,fælde,ხაფანგი
208,Schlinge::N,snare,მახე
209,Spur::N,spor,კვალი
210,Asche::N,aske,ფერფლი
211,Dreck::N,snavs,ტალახი
212,Dreck::N,snavs,სიბინძურე
213,Eisen::N,jern,რკინა
214,Gold::N,guld,ოქრო
215,Silber::N,sølv,ვერცხლი
216,Kohle::N,kul,ნახშირი
217,Glas::N,glas,მინა
218,Lehm::N,ler,თიხა
219,Sand::N,sand,ქვიშა
220,Mensch::N,mennesge,ადამიანი
221,Mann::N,mand,კაცი
222,Frau::N,kvinde,ქალი
223,Kind::N,barn,ბავშვი
224,Junge::N,dreng,ვაჟი
225,Mädchen::N,pige,გოგო
226,Familie::N,familie,ოჯახი
227,Großvater::N,bedstefar,პაპა
228,Großvater::N,bedstefar,ბაბუა
229,Großmutter::N,bedstemor,ბებია
230,Großmutter::N,bedstemor,დიდედა
231,Eltern::N,forældre,მშობლები
232,Vater::N,far,მამა
233,Mutter::N,mor,დედა
234,Sohn::N,søn,ვაჟიშვილი
235,Tochter::N,datter,ქალიშვილი
236,Bruder::N,bror,ძმა
237,Schwester::N,søster,და
238,Onkel::N,onkel,ბიძა
239,Tante::N,tante,დეიდა
240,Tante::N,tante,მამიდა
241,Ehemann::N,ægtemand,ქმარი
242,Ehefrau::N,hustru,ცოლი
243,Freude::N,glæde,სიხარული
244,Gelächter::N,latter,სიცილი
245,Glück::N,lykke,ბედნიერება
246,Kummer::N,sorg,მწუხარება
247,Wunsch::N,ønske,წადილი
248,Wunsch::N,ønske,სურვილი
249,Lust::N,lyst,წადილი
250,Geist::N,ånd,სული
251,Gedanke::N,tanke,ფიქრი
252,Gedächtnis::N,hukommelse,მეხსიერება
253,Verstand::N,forstand,ჭკუა
254,Verstand::N,forstand,გონება
255,Sinn::N,mening,მნიშვნელობა
256,Sinn::N,betydning,მნიშვნელობა
257,Grund::N,grund,მიზეზი
258,Wahrheit::N,sandhed,სიმართლე
259,Wahrheit::N,sandhed,ჭეშმარიტება
260,Gespräch::N,samtale,ბაასი
261,Gespräch::N,samtale,საუბარი
262,Märchen::N,eventyr,არაკი
263,Märchen::N,eventyr,ზღაპარი
264,Erzählung::N,fortælling,თქმულება
265,Nachricht::N,efterretning,ცნობა
266,Nachricht::N,efterretning,ამბავი
267,Neuigkeit::N,nyhed,სიახლე
268,Name::N,navn,სახელი
269,Rätsel::N,gåde,გამოცანა
270,Rede::N,tale,სიტყვა
271,Sprache::N,sprog,ენა
272,Stimme::N,stemme,ხმა
273,Wort::N,ord,სიტყვა
274,Zeichen::N,tegn,ნიშანი
275,Ruf::N,råb,ძახილი
276,Lärm::N,larm,ხმაური
277,Laut::N,lyd,ხმა
278,Laut::N,lyd,ბგერა
279,Ton::N,tone,ტონი
280,Lied::N,sang,სიმღერა
281,Ruhe::N,ro,სიწყნარე
282,Ruhe::N,hvile,სიწყნარე
283,Leute::N,folk,ადამიანები
284,Leute::N,mennesker,ადამიანები
285,Volk::N,folk,ერი
286,Volk::N,folk,ხალხი
287,Arbeit::N,arbejde,მუშაობა
288,Gast::N,gæst,სტუმარი
289,Geschenk::N,gave,საჩუქარი
290,Spiel::N,leg,თამაში
291,Gesellschaft::N,selskab,საზოგადოება
292,Hilfe::N,hjælp,შველა
293,Hilfe::N,hjælp,დახმარება
294,Freund::N,ven,მეგობარი
295,Kamerad::N,kammerat,ამხანაგი
296,Angelegenheit::N,sag,საქმე
297,Angelegenheit::N,anliggende,საქმე
298,Anzahl::N,antal,ოდენობა
299,Art::N,art,სახეობა
300,Stück::N,stykke,ნატეხი
301,Teil::N,del,წილი
302,Hälfte::N,halvdel,ნახევარი
303,Kreis::N,cirkel,წრე
304,Kreuz::N,kors,ჯვარი
305,Kreuz::N,kryds,ჯვარი
306,Linie::N,linie,ხაზი
307,Strich::N,streg,შტრიხი
308,Abstand::N,afstand,მანძილი
309,Entfernung::N,afstand,სიშორე
310,Gegend::N,egn,არე
311,Gegend::N,egn,მხარე
312,Platz::N,plads,ფართობი
313,Ort::N,sted,ადგილი
314,Seite::N,side,მხარე
315,Mitte::N,midte,შუა
316,Gegenstand::N,genstand,საგანი
317,Sache::N,sag,ნივთი
318,Rand::N,rand,კიდე
319,Kante::N,kant,ნაწიბული
320,Ecke::N,hjørne,კუთხე
321,Spitze::N,spids,წვეტი
322,Ende::N,ende,ბოლო
323,Loch::N,hul,ხვრელი
324,Winkel::N,vinkel,კუთხე
325,Muster::N,mønster,მოხატულობა
326,Größe::N,størrelse,ზომა
327,Größe::N,størrelse,სიდიდე
328,Länge::N,længde,სიგრძე
329,Höhe::N,højde,სიმაღლე
330,Gewicht::N,vægt,წონა
331,Menge::N,mængde,რაოდენობა
332,Haufen::N,bunke,გროვა
333,Reihe::N,række,რიგი
334,Reihe::N,række,წყება
335,Boot::N,båd,გემი
336,Ruder::N,åre,ხოფი
337,Ruder::N,åre,ნიჩაბი
338,Schlitten::N,kælk,მარხილი
339,Schlitten::N,slæde,მარხილი
340,Ski::N,ski,თხილამური
341,Lagerfeuer::N,lejrbål,კოცონი
342,Last::N,last,ტვირთი
343,Last::N,byrde,ტვირთი
344,Gang::N,gang,სვლა
345,Schritt::N,skridt,ბიჯი
346,Norden::N,nord,ჩრდილოეთი
347,Süden::N,syd,სამხრეთი
348,Westen::N,vest,დასავლეთი
349,Osten::N,øst,აღმოსავლეთი
350,Holz::N,træ,ხე
351,Brett::N,bræt,დაფა
352,Brett::N,bræt,ფიცარი
353,Platte::N,plade,თლილი ქვა
354,Stütze::N,støtte,საყრდენი
355,Stange::N,stang,ჭოკი
356,Stock::N,stok,კეტი
357,Stab::N,stav,ლატანი
358,Rohr::N,rør,მილაკი
359,Haus::N,hus,სახლი
360,Heim::N,hjem,ოჯახის კერა
361,Ofen::N,ovn,ღუმელი
362,Fußboden::N,gulv,იატაკი
363,Tisch::N,bord,სუფრა
364,Tisch::N,bord,მაგიდა
365,Stuhl::N,stol,სკამი
366,Wiege::N,vugge,აკვანი
367,Bett::N,seng,საწოლი
368,Bett::N,seng,სარეცელი
369,Regal::N,reol,თაროები
370,Kiste::N,kasse,ყუთი
371,Kiste::N,kasse,სკივრი
372,Fenster::N,vindue,ფანჯარა
373,Fenster::N,vindue,სარკმელი
374,Tür::N,dør,ბჭე
375,Tür::N,dør,კარი
376,Tor::N,port,ჭიშკარი
377,Zaun::N,stakit,ღობე
378,Zaun::N,stakit,გალავანი
379,Dach::N,tag,სახურავი
380,Leiter::N,stige,კიბე
381,Besen::N,kost,ცოცხი
382,Spaten::N,spade,ნიჩაბი
383,Schaufel::N,skovl,ბარი
384,Gabel::N,gaffel,ჩანგალი
385,Löffel::N,ske,კოვზი
386,Messer::N,kniv,დანა
387,Nagel::N,søm,ლურსმანი
388,Netz::N,net,ბადე
389,Haken::N,krog,კავი
390,Haken::N,krog,კაუჭი
391,Griff::N,tag,ტარი
392,Griff::N,håndtag,ტარი
