,Concept_ID,lv,he
0,Auge::N,син,עין
1,Auge::N,acs,עין
2,Ohr::N,пель,אזן
3,Ohr::N,auss,אזן
4,Nase::N,ныр,אף
5,Nase::N,ныр,חטם
6,Nase::N,deguns,אף
7,Nase::N,deguns,חטם
8,Mund::N,вом,פה
9,Mund::N,mute,פה
10,Zahn::N,пинь,שן
11,Zahn::N,zobs,שן
12,Zunge::N,кыв,לשון
13,Zunge::N,mēle,לשון
14,Lippe::N,вом дор,שפה
15,Lippe::N,lūpa,שפה
16,Wange::N,бан,לחי
17,Wange::N,vaigs,לחי
18,Gesicht::N,чужӧм,פנים
19,Gesicht::N,seja,פנים
20,Gesicht::N,ģīmis,פנים
21,Stirn::N,плеш,מצח
22,Stirn::N,кымӧс,מצח
23,Stirn::N,piere,מצח
24,Haar::N,си,שערה
25,Haar::N,юрси,שערה
26,Haar::N,mats,שערה
27,Schnurrbart::N,ус,שפם
28,Schnurrbart::N,пыртсим,שפם
29,Schnurrbart::N,ūsas,שפם
30,Bart::N,тош,זקן
31,Bart::N,bārda,זקן
32,Kinn::N,тшӧка,סנטר
33,Kinn::N,zods,סנטר
34,Kinn::N,smakrs,סנטר
35,Kiefer[Anatomie]::N,черлы,לסת
36,Kiefer[Anatomie]::N,алака лы,לסת
37,Kiefer[Anatomie]::N,вомкӧтш лы,לסת
38,Kiefer[Anatomie]::N,žoklis,לסת
39,Kehle::N,голя,גרון
40,Kehle::N,rīkle,גרון
41,Hals::N,сьылі,צואר
42,Hals::N,kakls,צואר
43,Genick::N,юрбӧр,ערף
44,Genick::N,балябӧж,ערף
45,Genick::N,sprands,ערף
46,Kopf::N,юр,ראש
47,Kopf::N,galva,ראש
48,Rücken::N,мыш,גב
49,Rücken::N,mugura,גב
50,Bauch::N,рушку,בטן
51,Bauch::N,vēders,בטן
52,Nabel::N,гӧг,טבור
53,Nabel::N,naba,טבור
54,Busen::N,морӧс,שד
55,Busen::N,krūts,שד
56,Brust::N,морӧс,חזה
57,Brust::N,krūts,חזה
58,Schulter::N,пельпом,כתף
59,Schulter::N,plecs,כתף
60,Arm::N,ки,זרוע
61,Arm::N,roka,זרוע
62,Arm::N,delms,זרוע
63,Ellenbogen::N,гырддза,מרפק
64,Ellenbogen::N,elkonis,מרפק
65,Hand::N,ки,יד
66,Hand::N,roka,יד
67,Hand::N,plauksta,יד
68,Handfläche::N,ки пыдӧс,כף יד
69,Handfläche::N,delna,כף יד
70,Handfläche::N,plauksta,כף יד
71,Finger::N,чунь,אצבע
72,Finger::N,pirksts,אצבע
73,Fingernagel::N,гыж,צפרן
74,Fingernagel::N,nags,צפרן
75,Nagel[Anatomie]::N,гыж,צפרן
76,Nagel[Anatomie]::N,nags,צפרן
77,Zeh::N,кок чунь,אצבע
78,Zeh::N,pirksts,אצבע
79,Fuß::N,кок,רגל
80,Fuß::N,kāja,רגל
81,Ferse::N,кокбӧр,עקב
82,Ferse::N,papēdis,עקב
83,Knie::N,пидзӧс,ברך
84,Knie::N,celis,ברך
85,Oberschenkel::N,лядьвей,ירך
86,Oberschenkel::N,бек,ירך
87,Oberschenkel::N,ciska,ירך
88,Oberschenkel::N,augšstilbs,ירך
89,Bein::N,кок,רגל
90,Bein::N,kāja,רגל
91,Körper::N,туша,גוף
92,Körper::N,вывтыр,גוף
93,Körper::N,miesa,גוף
94,Körper::N,ķermenis,גוף
95,Haut::N,ку,עור
96,Haut::N,āda,עור
97,Blut::N,вир,דם
98,Blut::N,asins,דם
99,Ader::N,сӧн,וריד
100,Ader::N,asinsvads,וריד
101,Sehne::N,вез,גיד
102,Sehne::N,dzīsla,גיד
103,Knochen::N,лы,עצם
104,Knochen::N,kauls,עצם
105,Gehirn::N,вем,מוח
106,Gehirn::N,smadzenes,מוח
107,Herz::N,сьӧлӧм,לב
108,Herz::N,sirds,לב
109,Magen::N,кынӧм,קבה
110,Magen::N,kuņģis,קבה
111,Leber::N,мус,כבד
112,Leber::N,aknas,כבד
113,Atem::N,лов,נשימה
114,Atem::N,elpa,נשימה
115,Hunger::N,тшыг,רעב
116,Hunger::N,bads,רעב
117,Hunger::N,izsalkums,רעב
118,Träne::N,синва,דמעה
119,Träne::N,asara,דמעה
120,Geschmack::N,кӧр,טעם
121,Geschmack::N,чӧсмӧс,טעם
122,Geschmack::N,garša,טעם
123,Geruch::N,зын,ריח
124,Geruch::N,дук,ריח
125,Geruch::N,smaka,ריח
126,Schlaf::N,узьӧм,שנה
127,Schlaf::N,miegs,שנה
128,Traum::N,вӧт,חלום
129,Traum::N,вӧтасьӧм,חלום
130,Traum::N,sapnis,חלום
131,Himmel::N,енэж,שמים
132,Himmel::N,debess,שמים
133,Sonne::N,шонді,שמש
134,Sonne::N,saule,שמש
135,Mond::N,тӧлысь,ירח
136,Mond::N,mēness,ירח
137,Stern::N,кодзув,כוכב
138,Stern::N,zvaigzne,כוכב
139,Luft::N,сынӧд,אויר
140,Luft::N,gaiss,אויר
141,Wind::N,тӧв,רוח
142,Wind::N,vējš,רוח
143,Welle::N,гы,גל
144,Welle::N,vilnis,גל
145,Wasser::N,ва,מים
146,Wasser::N,ūdens,מים
147,Stein::N,из,אבן
148,Stein::N,akmens,אבן
149,Boden::N,му,קרקע
150,Boden::N,augsne,קרקע
151,Erde::N,му,אדמה
152,Erde::N,му-ва,אדמה
153,Erde::N,zeme,אדמה
154,Staub::N,бус,אבק
155,Staub::N,putekļi,אבק
156,Rauch::N,тшын,עשן
157,Rauch::N,dūmi,עשן
158,Funke::N,кинь,ניצוץ
159,Funke::N,би кинь,ניצוץ
160,Funke::N,dzirkstele,ניצוץ
161,Feuer::N,би,אש
162,Feuer::N,uguns,אש
163,Licht::N,югӧр,אור
164,Licht::N,gaisma,אור
165,Schatten::N,вуджӧр,צל
166,Schatten::N,ēna,צל
167,Wetter::N,поводдя,מזג אויר
168,Wetter::N,laiks,מזג אויר
169,Nebel::N,ру,ערפל
170,Nebel::N,онь,ערפל
171,Nebel::N,migla,ערפל
172,Wolke::N,кымӧр,ענן
173,Wolke::N,mākonis,ענן
174,Regen::N,зэр,גשם
175,Regen::N,lietus,גשם
176,Schnee::N,лым,שלג
177,Schnee::N,sniegs,שלג
178,Eis::N,йи,קרח
179,Eis::N,ledus,קרח
180,Frost::N,кӧдзыд,צנה
181,Frost::N,sals,צנה
182,Kälte::N,кӧдзыд,קר
183,Kälte::N,saltums,קר
184,Kälte::N,aukstums,קר
185,Hitze::N,пӧсь,חם
186,Hitze::N,гожӧд,חם
187,Hitze::N,karstums,חם
188,Raureif::N,пуж,כפור
189,Raureif::N,гыӧр,כפור
190,Raureif::N,sarma,כפור
191,Regenbogen::N,ӧшкамӧшка,קשת
192,Regenbogen::N,varavīksne,קשת
193,Donner::N,гым,רעם
194,Donner::N,pērkons,רעם
195,Strömung::N,ва ныр,זרימה
196,Strömung::N,визувтӧм,זרימה
197,Strömung::N,straume,זרימה
198,Strömung::N,strāvojums,זרימה
199,Tropfen::N,войт,טפה
200,Tropfen::N,lāse,טפה
201,Schaum::N,быг,קצף
202,Schaum::N,быгзьӧм,קצף
203,Schaum::N,putas,קצף
204,Schmutz::N,няйт,לכלוך
205,Schmutz::N,dubļi,לכלוך
206,See::N,ты,אגם
207,See::N,ezers,אגם
208,Sumpf::N,гыбад,בצה
209,Sumpf::N,кад,בצה
210,Sumpf::N,dumbrājs,בצה
211,Sumpf::N,staignājs,בצה
212,Moor::N,нюр,בצה
213,Moor::N,purvs,בצה
214,Moor::N,muklājs,בצה
215,Wiese::N,видз,מרעה
216,Wiese::N,pļava,מרעה
217,Wald::N,вӧр,יער
218,Wald::N,mežs,יער
219,Hügel::N,дзиб,תל
220,Hügel::N,мыльк,תל
221,Hügel::N,нӧрыс,תל
222,Hügel::N,paugurs,תל
223,Anhöhe::N,мыльк,מעלה
224,Anhöhe::N,нӧрыс,מעלה
225,Anhöhe::N,paugurs,מעלה
226,Berg::N,чой,הר
227,Berg::N,керӧс,הר
228,Berg::N,kalns,הר
229,Gipfel::N,чук,פסגה
230,Gipfel::N,virsotne,פסגה
231,Höhle::N,рудӧг,מערה
232,Höhle::N,ala,מערה
233,Abhang::N,ньывк,מדרון
234,Abhang::N,ньывк,שפוע
235,Abhang::N,бокша,מדרון
236,Abhang::N,бокша,שפוע
237,Abhang::N,nogāze,מדרון
238,Abhang::N,nogāze,שפוע
239,Quelle::N,ӧшмӧс,מעין
240,Quelle::N,avots,מעין
241,Bach::N,шор,נחל
242,Bach::N,urga,נחל
243,Bach::N,strauts,נחל
244,Fluss::N,ю,נהר
245,Fluss::N,upe,נהר
246,Ufer::N,вадор,גדה
247,Ufer::N,krasts,גדה
248,Küste::N,вадор,חוף
249,Küste::N,piekraste,חוף
250,Festland::N,му,יבשה
251,Festland::N,sauszeme,יבשה
252,Meer::N,саридз,ים
253,Meer::N,jūra,ים
254,Bucht::N,куръя,מפרץ
255,Bucht::N,līcis,מפרץ
256,Insel::N,ді,אי
257,Insel::N,sala,אי
258,Blume::N,дзоридз,פרח
259,Blume::N,puķe,פרח
260,Blume::N,zieds,פרח
261,Gras::N,турун,דשא
262,Gras::N,zāle,דשא
263,Wurzel::N,вуж,שרש
264,Wurzel::N,sakne,שרש
265,Baum::N,пу,עץ
266,Baum::N,koks,עץ
267,Stamm::N,пучер,גזע
268,Stamm::N,stumbrs,גזע
269,Rinde::N,кырсь,קלפת עץ
270,Rinde::N,miza,קלפת עץ
271,Ast::N,ув,ענף
272,Ast::N,zars,ענף
273,Zweig::N,вож,ענף
274,Zweig::N,nozare,ענף
275,Blatt::N,кор,עלה
276,Blatt::N,lapa,עלה
277,Birke::N,кыдз,שדר
278,Birke::N,bērzs,שדר
279,Kiefer[Baum]::N,пожӧм,ארן
280,Kiefer[Baum]::N,priede,ארן
281,Weide[Baum]::N,бадь,ערבה
282,Weide[Baum]::N,kārkls,ערבה
283,Tanne::N,коз,אשוח
284,Tanne::N,egle,אשוח
285,Horn::N,сюр,קרן
286,Horn::N,rags,קרן
287,Feder::N,гӧн,נוצה
288,Feder::N,тывборд,נוצה
289,Feder::N,spalva,נוצה
290,Fell::N,ку,פרוה
291,Fell::N,āda,פרוה
292,Flügel::N,борд,כנף
293,Flügel::N,spārns,כנף
294,Klaue::N,гыж,טלף
295,Klaue::N,nags,טלף
296,Kralle::N,гыж,טפר
297,Kralle::N,nags,טפר
298,Schwanz::N,бӧж,זנב
299,Schwanz::N,ļipa,זנב
300,Ei::N,кольк,ביצה
301,Ei::N,ola,ביצה
302,Nest::N,поз,קן
303,Nest::N,ligzda,קן
304,Bau::N,горс,מחלה
305,Bau::N,пырмӧс,מחלה
306,Bau::N,гу,מחלה
307,Bau::N,ala,מחלה
308,Tier::N,пемӧс,חיה
309,Tier::N,dzīvnieks,חיה
310,Herde::N,стада,עדר
311,Herde::N,кельӧб,עדר
312,Herde::N,ganāmpulks,עדר
313,Kuh::N,мӧс,פרה
314,Kuh::N,govs,פרה
315,Bulle::N,ӧш,פר
316,Bulle::N,bullis,פר
317,Pferd::N,вӧв,סוס
318,Pferd::N,zirgs,סוס
319,Schaf::N,ыж,כבשה
320,Schaf::N,aita,כבשה
321,Schwein::N,порсь,חזיר
322,Schwein::N,cūka,חזיר
323,Hund::N,пон,כלב
324,Hund::N,suns,כלב
325,Katze::N,кань,חתול
326,Katze::N,kaķis,חתול
327,Bär::N,ош,דב
328,Bär::N,lācis,דב
329,Eichhörnchen::N,ур,סנאי
330,Eichhörnchen::N,vāvere,סנאי
331,Elch::N,йӧра,דישון
332,Elch::N,alnis,דישון
333,Fuchs::N,руч,שועל
334,Fuchs::N,lapsa,שועל
335,Hase::N,кӧч,ארנב
336,Hase::N,zaķis,ארנב
337,Maus::N,шыр,עכבר
338,Maus::N,pele,עכבר
339,Wolf::N,кӧин,זאב
340,Wolf::N,vilks,זאב
341,Vogel::N,кай,צפור
342,Vogel::N,лэбач,צפור
343,Vogel::N,putns,צפור
344,Schwarm::N,чукӧр,נחיל
345,Schwarm::N,чукӧр,להקה
346,Schwarm::N,spiets,נחיל
347,Schwarm::N,spiets,להקה
348,Huhn::N,курӧг,תרנגלת
349,Huhn::N,vista,תרנגלת
350,Hahn::N,петук,תרנגול
351,Hahn::N,gailis,תרנגול
352,Gans::N,дзодзӧг,אוז
353,Gans::N,zoss,אוז
354,Adler::N,кутш,עיט
355,Adler::N,ērglis,עיט
356,Ente::N,утка,ברוז
357,Ente::N,pīle,ברוז
358,Eule::N,сюзь,ינשוף
359,Eule::N,pūce,ינשוף
360,Kranich::N,тури,עגור
361,Kranich::N,тури,כרוכיה
362,Kranich::N,dzērve,עגור
363,Kranich::N,dzērve,כרוכיה
364,Krähe::N,рака,עורב
365,Krähe::N,vārna,עורב
366,Kuckuck::N,кӧк,קוקיה
367,Kuckuck::N,dzeguze,קוקיה
368,Schwan::N,юсь,ברבור
369,Schwan::N,gulbis,ברבור
370,Fisch::N,чери,דג
371,Fisch::N,zivs,דג
372,Barsch::N,ёкыш,אוקונוס
373,Barsch::N,asaris,אוקונוס
374,Hecht::N,сир,זאב הים
375,Hecht::N,līdaka,זאב הים
376,Schlange[Tier]::N,кый,נחש
377,Schlange[Tier]::N,čūska,נחש
378,Wurm::N,номыр,תולעת
379,Wurm::N,tārps,תולעת
380,Spinne::N,черань,עכביש
381,Spinne::N,zirneklis,עכביש
382,Ameise::N,кодзувкот,נמלה
383,Ameise::N,skudra,נמלה
384,Laus::N,той,כנה
385,Laus::N,uts,כנה
386,Mücke::N,ном,יתוש
387,Mücke::N,ods,יתוש
388,Fliege::N,гут,זבוב
389,Fliege::N,muša,זבוב
390,Schmetterling::N,бобув,פרפר
391,Schmetterling::N,tauriņš,פרפר
392,Beere::N,тусь,ענבה
393,Beere::N,вотӧс,ענבה
394,Beere::N,oga,ענבה
395,Apfel::N,яблӧг,תפוח
396,Apfel::N,ābols,תפוח
397,Pilz::N,тшак,פטריה
398,Pilz::N,sēne,פטריה
399,Zwiebel::N,луккок,בצל
400,Zwiebel::N,йӧнгыль,בצל
401,Zwiebel::N,sīpols,בצל
402,Saat::N,тусь,זרעים
403,Saat::N,кӧйдыс,זרעים
404,Saat::N,sēkla,זרעים
405,Korn::N,тусь,גרעין
406,Korn::N,grauds,גרעין
407,Heu::N,турун,חציר
408,Heu::N,siens,חציר
409,Schale::N,кор,קלפה
410,Schale::N,čaula,קלפה
411,Schale::N,čaumala,קלפה
412,Grube::N,гу,בור
413,Grube::N,гу,שוחה
414,Grube::N,bedre,בור
415,Grube::N,bedre,שוחה
416,Falle::N,лэч,מלכדת
417,Falle::N,slazds,מלכדת
418,Falle::N,lamatas,מלכדת
419,Schlinge::N,лэч,לולאה
420,Schlinge::N,cilpa,לולאה
421,Spur::N,туй,עקבה
422,Spur::N,pēda,עקבה
423,Asche::N,пӧм,אפר
424,Asche::N,pelni,אפר
425,Dreck::N,няйт,זהמה
426,Dreck::N,dubļi,זהמה
427,Eisen::N,кӧрт,ברזל
428,Eisen::N,dzelzs,ברזל
429,Gold::N,зарни,זהב
430,Gold::N,zelts,זהב
431,Silber::N,эзысь,כסף
432,Silber::N,sudrabs,כסף
433,Kohle::N,шом,פחם
434,Kohle::N,ogle,פחם
435,Glas::N,стеклӧ,זכוכית
436,Glas::N,stikls,זכוכית
437,Lehm::N,сёй,חרסית
438,Lehm::N,māls,חרסית
439,Sand::N,лыа,חול
440,Sand::N,smiltis,חול
441,Mensch::N,морт,אדם
442,Mensch::N,cilvēks,אדם
443,Mann::N,аймӧрт,איש
444,Mann::N,аймӧрт,גבר
445,Mann::N,мужичӧй,איש
446,Mann::N,мужичӧй,גבר
447,Mann::N,vīrietis,איש
448,Mann::N,vīrietis,גבר
449,Frau::N,ань,אשה
450,Frau::N,ань,גברת
451,Frau::N,нывбаба,אשה
452,Frau::N,нывбаба,גברת
453,Frau::N,sieviete,אשה
454,Frau::N,sieviete,גברת
455,Kind::N,кага,ילד
456,Kind::N,bērns,ילד
457,Junge::N,пи,ילד
458,Junge::N,zēns,ילד
459,Junge::N,puika,ילד
460,Junge::N,puisis,ילד
461,Mädchen::N,ныв,נערה
462,Mädchen::N,meiča,נערה
463,Mädchen::N,skuķis,נערה
464,Mädchen::N,meitene,נערה
465,Familie::N,семья,משפחה
466,Familie::N,ģimene,משפחה
467,Großvater::N,пӧль,סבא
468,Großvater::N,vecaistēvs,סבא
469,Großmutter::N,баб,סבתא
470,Großmutter::N,vecāmāte,סבתא
471,Eltern::N,ай-мам,הורים
472,Eltern::N,бать-мам,הורים
473,Eltern::N,vecāki,הורים
474,Vater::N,бать,אב
475,Vater::N,ай,אב
476,Vater::N,tēvs,אב
477,Mutter::N,мам,אם
478,Mutter::N,māte,אם
479,Sohn::N,пи,בן
480,Sohn::N,dēls,בן
481,Tochter::N,ныв,בת
482,Tochter::N,meita,בת
483,Bruder::N,вок,אח
484,Bruder::N,brālis,אח
485,Schwester::N,чой,אחות
486,Schwester::N,māsa,אחות
487,Onkel::N,дядь,דוד
488,Onkel::N,tēvocis,דוד
489,Tante::N,тьӧт,דודה
490,Tante::N,tante,דודה
491,Ehemann::N,верӧс,איש
492,Ehemann::N,верӧс,בעל
493,Ehemann::N,vīrs,איש
494,Ehemann::N,vīrs,בעל
495,Ehefrau::N,гӧтыр,אשה
496,Ehefrau::N,sieva,אשה
497,Freude::N,радлун,שמחה
498,Freude::N,prieks,שמחה
499,Gelächter::N,серам,צחוק
500,Gelächter::N,smiekli,צחוק
501,Glück::N,шуд,אשר
502,Glück::N,laime,אשר
503,Kummer::N,шог,יגון
504,Kummer::N,шог,עגמה
505,Kummer::N,bēdas,יגון
506,Kummer::N,bēdas,עגמה
507,Kummer::N,raizes,יגון
508,Kummer::N,raizes,עגמה
509,Wunsch::N,кӧсйӧм,אחול
510,Wunsch::N,кӧсйӧм,משאלה
511,Wunsch::N,vēlme,אחול
512,Wunsch::N,vēlme,משאלה
513,Wunsch::N,vēlējums,אחול
514,Wunsch::N,vēlējums,משאלה
515,Lust::N,кыскӧм,חשק
516,Lust::N,кыскӧм,תשוקה
517,Lust::N,радейтӧм,חשק
518,Lust::N,радейтӧм,תשוקה
519,Lust::N,kāre,חשק
520,Lust::N,kāre,תשוקה
521,Geist::N,лов,רוח
522,Geist::N,gars,רוח
523,Gedanke::N,мӧвп,מחשבה
524,Gedanke::N,doma,מחשבה
525,Gedächtnis::N,паметь,זכרון
526,Gedächtnis::N,atmiņa,זכרון
527,Verstand::N,вежӧр,שכל
528,Verstand::N,prāts,שכל
529,Sinn::N,мог,מובן
530,Sinn::N,мог,משמעות
531,Sinn::N,вежӧртас,מובן
532,Sinn::N,вежӧртас,משמעות
533,Sinn::N,nozīme,מובן
534,Sinn::N,nozīme,משמעות
535,Grund::N,помка,סבה
536,Grund::N,pamats,סבה
537,Grund::N,iemesls,סבה
538,Wahrheit::N,збыль,אמת
539,Wahrheit::N,збыльтор,אמת
540,Wahrheit::N,taisnība,אמת
541,Wahrheit::N,patiesība,אמת
542,Gespräch::N,сёрни,דיון
543,Gespräch::N,saruna,דיון
544,Märchen::N,мойд,אגדה
545,Märchen::N,pasaka,אגדה
546,Erzählung::N,висьт,ספור
547,Erzählung::N,stāsts,ספור
548,Erzählung::N,nostāsts,ספור
549,Nachricht::N,юӧртӧм,ידיעה
550,Nachricht::N,ziņa,ידיעה
551,Neuigkeit::N,выльтор,חדשה
552,Neuigkeit::N,jaunums,חדשה
553,Name::N,ним,שם
554,Name::N,vārds,שם
555,Rätsel::N,нӧдкыв,תעלומה
556,Rätsel::N,mīkla,תעלומה
557,Rede::N,сёрни,נאום
558,Rede::N,runa,נאום
559,Sprache::N,кыв,לשון
560,Sprache::N,valoda,לשון
561,Stimme::N,гӧлӧс,קול
562,Stimme::N,вом шы,קול
563,Stimme::N,balss,קול
564,Wort::N,кыв,מלה
565,Wort::N,vārds,מלה
566,Zeichen::N,пас,סימן
567,Zeichen::N,zīme,סימן
568,Ruf::N,чукӧстчӧм,קריאה
569,Ruf::N,корӧм,קריאה
570,Ruf::N,sauciens,קריאה
571,Lärm::N,шы,רעש
572,Lärm::N,зык,רעש
573,Lärm::N,зычитӧм,רעש
574,Lärm::N,troksnis,רעש
575,Laut::N,шы,הגה
576,Laut::N,skaņa,הגה
577,Ton::N,шы,צליל
578,Ton::N,tonis,צליל
579,Lied::N,сьылан,שיר
580,Lied::N,сьыланкыв,שיר
581,Lied::N,dziesma,שיר
582,Ruhe::N,чӧв,שלוה
583,Ruhe::N,miers,שלוה
584,Leute::N,йӧз,אנשים
585,Leute::N,войтыр,אנשים
586,Leute::N,ļaudis,אנשים
587,Leute::N,cilvēki,אנשים
588,Volk::N,йӧз,עם
589,Volk::N,войтыр,עם
590,Volk::N,tauta,עם
591,Arbeit::N,удж,עבודה
592,Arbeit::N,darbs,עבודה
593,Gast::N,гӧсть,אורח
594,Gast::N,viešņa,אורח
