,Concept_ID,lv,mdf
0,Auge::N,син,сельме
1,Auge::N,acs,сельме
2,Ohr::N,пель,пиле
3,Ohr::N,auss,пиле
4,Nase::N,ныр,шалхка
5,Nase::N,deguns,шалхка
6,Mund::N,вом,курга
7,Mund::N,mute,курга
8,Zahn::N,пинь,пей
9,Zahn::N,zobs,пей
10,Zunge::N,кыв,кяль
11,Zunge::N,mēle,кяль
12,Lippe::N,вом дор,търва́
13,Lippe::N,lūpa,търва́
14,Wange::N,бан,щёка
15,Wange::N,vaigs,щёка
16,Gesicht::N,чужӧм,шама
17,Gesicht::N,seja,шама
18,Gesicht::N,ģīmis,шама
19,Stirn::N,плеш,коня
20,Stirn::N,кымӧс,коня
21,Stirn::N,piere,коня
22,Haar::N,си,шя́ярь
23,Haar::N,юрси,шя́ярь
24,Haar::N,mats,шя́ярь
25,Schnurrbart::N,ус,уса́
26,Schnurrbart::N,пыртсим,уса́
27,Schnurrbart::N,ūsas,уса́
28,Bart::N,тош,сакал
29,Bart::N,bārda,сакал
30,Kinn::N,тшӧка,ула
31,Kinn::N,zods,ула
32,Kinn::N,smakrs,ула
33,Kiefer[Anatomie]::N,черлы,саласка
34,Kiefer[Anatomie]::N,алака лы,саласка
35,Kiefer[Anatomie]::N,вомкӧтш лы,саласка
36,Kiefer[Anatomie]::N,žoklis,саласка
37,Kehle::N,голя,кълдома
38,Kehle::N,голя,кърга́парь
39,Kehle::N,rīkle,кълдома
40,Kehle::N,rīkle,кърга́парь
41,Hals::N,сьылі,сялдаз
42,Hals::N,kakls,сялдаз
43,Genick::N,юрбӧр,шовонь
44,Genick::N,балябӧж,шовонь
45,Genick::N,sprands,шовонь
46,Kopf::N,юр,пря
47,Kopf::N,galva,пря
48,Rücken::N,мыш,копорь
49,Rücken::N,mugura,копорь
50,Bauch::N,рушку,пеке
51,Bauch::N,vēders,пеке
52,Nabel::N,гӧг,по́кон
53,Nabel::N,naba,по́кон
54,Busen::N,морӧс,потя
55,Busen::N,krūts,потя
56,Brust::N,морӧс,мяште
57,Brust::N,krūts,мяште
58,Schulter::N,пельпом,лафту
59,Schulter::N,plecs,лафту
60,Arm::N,ки,кядь
61,Arm::N,roka,кядь
62,Arm::N,delms,кядь
63,Ellenbogen::N,гырддза,кенерьба́карь
64,Ellenbogen::N,elkonis,кенерьба́карь
65,Hand::N,ки,кядь
66,Hand::N,roka,кядь
67,Hand::N,plauksta,кядь
68,Handfläche::N,ки пыдӧс,кядьлапш
69,Handfläche::N,delna,кядьлапш
70,Handfläche::N,plauksta,кядьлапш
71,Finger::N,чунь,сур
72,Finger::N,pirksts,сур
73,Fingernagel::N,гыж,кенже
74,Fingernagel::N,nags,кенже
75,Nagel[Anatomie]::N,гыж,кенже
76,Nagel[Anatomie]::N,nags,кенже
77,Zeh::N,кок чунь,пильгосу́р
78,Zeh::N,pirksts,пильгосу́р
79,Fuß::N,кок,пильге
80,Fuß::N,кок,пильгелапа
81,Fuß::N,kāja,пильге
82,Fuß::N,kāja,пильгелапа
83,Ferse::N,кокбӧр,кочкяря
84,Ferse::N,papēdis,кочкяря
85,Knie::N,пидзӧс,эль
86,Knie::N,пидзӧс,пълма́нжа
87,Knie::N,celis,эль
88,Knie::N,celis,пълма́нжа
89,Oberschenkel::N,лядьвей,пильгепукша
90,Oberschenkel::N,бек,пильгепукша
91,Oberschenkel::N,ciska,пильгепукша
92,Oberschenkel::N,augšstilbs,пильгепукша
93,Bein::N,кок,пильге
94,Bein::N,kāja,пильге
95,Körper::N,туша,ро́нга
96,Körper::N,туша,по́нда
97,Körper::N,вывтыр,ро́нга
98,Körper::N,вывтыр,по́нда
99,Körper::N,miesa,ро́нга
100,Körper::N,miesa,по́нда
101,Körper::N,ķermenis,ро́нга
102,Körper::N,ķermenis,по́нда
103,Haut::N,ку,киське
104,Haut::N,āda,киське
105,Blut::N,вир,вер
106,Blut::N,asins,вер
107,Ader::N,сӧн,сан
108,Ader::N,сӧн,верза́н
109,Ader::N,asinsvads,сан
110,Ader::N,asinsvads,верза́н
111,Sehne::N,вез,коське сан
