,Concept_ID,ka,nl
0,Auge::N,თვალი,oog
1,Ohr::N,ყური,oor
2,Nase::N,ცხვირი,neus
3,Mund::N,პირი,mond
4,Zahn::N,კბილი,tand
5,Zunge::N,ენა,tong
6,Lippe::N,ბაგე,lip
7,Wange::N,ლოყა,wang
8,Gesicht::N,სახე,gelaat
9,Gesicht::N,სახე,gezicht
10,Stirn::N,შუბლი,voorhoofd
11,Haar::N,თმა,haar
12,Schnurrbart::N,ულვაში,snor
13,Bart::N,წვერი,baard
14,Kinn::N,ნიკაპი,kin
15,Kiefer[Anatomie]::N,ყბა,kaak
16,Kehle::N,ყელი,keel
17,Kehle::N,ყელი,strot
18,Hals::N,ყელი,hals
19,Hals::N,კისერი,hals
20,Genick::N,კეფა,nek
21,Kopf::N,თავი,hoofd
22,Rücken::N,ზურგი,rug
23,Bauch::N,მუცელი,buik
24,Nabel::N,ჭიპი,navel
25,Busen::N,ძუძუ,boezem
26,Brust::N,მკერდი,borst
27,Schulter::N,მხარი,schouder
28,Schulter::N,მკლავი,schouder
29,Arm::N,ხელი,arm
30,Ellenbogen::N,იდაყვი,elleboog
31,Hand::N,ხელი,hand
32,Handfläche::N,ნები,handpalm
33,Handfläche::N,ხელისგული,handpalm
34,Finger::N,თითი,vinger
35,Fingernagel::N,ფრჩხილი,nagel
36,Nagel[Anatomie]::N,ფრჩხილი,nagel
37,Zeh::N,ფეხის თითი,teen
38,Fuß::N,ტერფი,voet
39,Fuß::N,ფეხისგული,voet
40,Ferse::N,ქუსლი,hak
41,Ferse::N,ქუსლი,hiel
42,Knie::N,მუხლი,knie
43,Oberschenkel::N,ბარძაყი,dij
44,Bein::N,ფეხი,been
45,Körper::N,ტანი,lichaam
46,Körper::N,სხეული,lichaam
47,Haut::N,კანი,huid
48,Blut::N,სისხლი,bloed
49,Ader::N,ძარღვი,ader
50,Sehne::N,მყესი,pees
51,Knochen::N,ძვალი,bot
52,Knochen::N,ძვალი,been
53,Knochen::N,ძვალი,knook
54,Gehirn::N,ტვინი,hersenen
55,Herz::N,გული,hart
56,Magen::N,კუჭი,maag
57,Leber::N,ღვიძლი,lever
58,Atem::N,სუნთქვა,adem
59,Hunger::N,შიმშილი,honger
60,Träne::N,ცრემლი,traan
61,Geschmack::N,გემო,smaak
62,Geruch::N,სუნი,geur
63,Schlaf::N,ძილი,slaap
64,Traum::N,სიზმარი,droom
65,Himmel::N,ცა,hemel
66,Sonne::N,მზე,zon
67,Mond::N,მთვარე,maan
68,Stern::N,ვარსკვლავი,ster
69,Luft::N,ჰაერი,lucht
70,Wind::N,ქარი,wind
71,Welle::N,ტალღა,golf
72,Wasser::N,წყალი,water
73,Stein::N,ქვა,steen
74,Boden::N,მიწა,grond
75,Erde::N,ნიადაგი,aarde
76,Staub::N,მტვერი,stof
77,Rauch::N,ბოლი,rook
78,Rauch::N,კვამლი,rook
79,Funke::N,ნაკვესი,vonk
80,Feuer::N,ცეცხლი,vuur
81,Licht::N,შუქი,licht
82,Licht::N,სინათლე,licht
83,Schatten::N,ლანდი,schaduw
84,Schatten::N,ჩრდილი,schaduw
85,Wetter::N,ამინდი,weer
86,Nebel::N,ნისლი,mist
87,Nebel::N,ნისლი,nevel
88,Wolke::N,ღრუბელი,wolk
89,Regen::N,წვიმა,regen
90,Schnee::N,თოვლი,sneeuw
91,Eis::N,თოში,ijs
92,Eis::N,ყინული,ijs
93,Frost::N,ყინვა,vorst
94,Kälte::N,სიცივე,kou
95,Kälte::N,სიცივე,koude
96,Hitze::N,სიცხე,hitte
97,Raureif::N,ჭირხლი,rijp
98,Raureif::N,თრთვილი,rijp
99,Regenbogen::N,ცისარტყელა,regenboog
100,Donner::N,ქუხილი,donder
101,Strömung::N,დინება,stroming
102,Tropfen::N,წვეთი,druppel
103,Schaum::N,ქაფი,schuim
104,Schaum::N,დორბლი,schuim
