,Concept_ID,pt,lv
0,Auge::N,olho,син
1,Auge::N,olho,acs
2,Ohr::N,orelha,пель
3,Ohr::N,orelha,auss
4,Nase::N,nariz,ныр
5,Nase::N,nariz,deguns
6,Mund::N,boca,вом
7,Mund::N,boca,mute
8,Zahn::N,dente,пинь
9,Zahn::N,dente,zobs
10,Zunge::N,língua,кыв
11,Zunge::N,língua,mēle
12,Lippe::N,lábio,вом дор
13,Lippe::N,lábio,lūpa
14,Wange::N,face,бан
15,Wange::N,face,vaigs
16,Gesicht::N,cara,чужӧм
17,Gesicht::N,cara,seja
18,Gesicht::N,cara,ģīmis
19,Gesicht::N,rosto,чужӧм
20,Gesicht::N,rosto,seja
21,Gesicht::N,rosto,ģīmis
22,Stirn::N,testa,плеш
23,Stirn::N,testa,кымӧс
24,Stirn::N,testa,piere
25,Haar::N,cabelo,си
26,Haar::N,cabelo,юрси
27,Haar::N,cabelo,mats
28,Schnurrbart::N,bigode,ус
29,Schnurrbart::N,bigode,пыртсим
30,Schnurrbart::N,bigode,ūsas
31,Bart::N,barba,тош
32,Bart::N,barba,bārda
33,Kinn::N,queixo,тшӧка
34,Kinn::N,queixo,zods
35,Kinn::N,queixo,smakrs
36,Kiefer[Anatomie]::N,maxila,черлы
37,Kiefer[Anatomie]::N,maxila,алака лы
38,Kiefer[Anatomie]::N,maxila,вомкӧтш лы
39,Kiefer[Anatomie]::N,maxila,žoklis
40,Kiefer[Anatomie]::N,mandíbula,черлы
41,Kiefer[Anatomie]::N,mandíbula,алака лы
42,Kiefer[Anatomie]::N,mandíbula,вомкӧтш лы
43,Kiefer[Anatomie]::N,mandíbula,žoklis
44,Kehle::N,garganta,голя
45,Kehle::N,garganta,rīkle
46,Hals::N,colo,сьылі
47,Hals::N,colo,kakls
48,Hals::N,pescoço,сьылі
49,Hals::N,pescoço,kakls
50,Genick::N,nuca,юрбӧр
51,Genick::N,nuca,балябӧж
52,Genick::N,nuca,sprands
53,Kopf::N,cabeça,юр
54,Kopf::N,cabeça,galva
55,Rücken::N,dorso,мыш
56,Rücken::N,dorso,mugura
57,Rücken::N,costas,мыш
58,Rücken::N,costas,mugura
59,Bauch::N,ventre,рушку
60,Bauch::N,ventre,vēders
61,Bauch::N,barriga,рушку
62,Bauch::N,barriga,vēders
63,Nabel::N,umbigo,гӧг
64,Nabel::N,umbigo,naba
65,Busen::N,seio,морӧс
66,Busen::N,seio,krūts
67,Brust::N,peito,морӧс
68,Brust::N,peito,krūts
69,Schulter::N,ombro,пельпом
70,Schulter::N,ombro,plecs
71,Arm::N,braço,ки
72,Arm::N,braço,roka
73,Arm::N,braço,delms
74,Ellenbogen::N,cotovelo,гырддза
75,Ellenbogen::N,cotovelo,elkonis
76,Hand::N,mão,ки
77,Hand::N,mão,roka
78,Hand::N,mão,plauksta
79,Handfläche::N,palma,ки пыдӧс
80,Handfläche::N,palma,delna
81,Handfläche::N,palma,plauksta
82,Handfläche::N,palma da mão,ки пыдӧс
83,Handfläche::N,palma da mão,delna
84,Handfläche::N,palma da mão,plauksta
85,Finger::N,dedo,чунь
86,Finger::N,dedo,pirksts
87,Fingernagel::N,unha,гыж
88,Fingernagel::N,unha,nags
89,Nagel[Anatomie]::N,unha,гыж
90,Nagel[Anatomie]::N,unha,nags
91,Zeh::N,dedo do pé,кок чунь
92,Zeh::N,dedo do pé,pirksts
93,Fuß::N,pé,кок
94,Fuß::N,pé,kāja
95,Ferse::N,calcanhar,кокбӧр
96,Ferse::N,calcanhar,papēdis
97,Knie::N,joelho,пидзӧс
98,Knie::N,joelho,celis
99,Oberschenkel::N,coxa,лядьвей
100,Oberschenkel::N,coxa,бек
101,Oberschenkel::N,coxa,ciska
102,Oberschenkel::N,coxa,augšstilbs
103,Bein::N,perna,кок
104,Bein::N,perna,kāja
105,Körper::N,corpo,туша
106,Körper::N,corpo,вывтыр
107,Körper::N,corpo,miesa
108,Körper::N,corpo,ķermenis
109,Haut::N,pele,ку
110,Haut::N,pele,āda
111,Blut::N,sangue,вир
112,Blut::N,sangue,asins
113,Ader::N,veia,сӧн
114,Ader::N,veia,asinsvads
115,Sehne::N,tendão,вез
116,Sehne::N,tendão,dzīsla
117,Knochen::N,osso,лы
118,Knochen::N,osso,kauls
119,Gehirn::N,cérebro,вем
120,Gehirn::N,cérebro,smadzenes
121,Herz::N,coração,сьӧлӧм
122,Herz::N,coração,sirds
123,Magen::N,estômago,кынӧм
124,Magen::N,estômago,kuņģis
125,Leber::N,fígado,мус
126,Leber::N,fígado,aknas
127,Atem::N,fôlego,лов
128,Atem::N,fôlego,elpa
129,Hunger::N,fome,тшыг
130,Hunger::N,fome,bads
131,Hunger::N,fome,izsalkums
132,Träne::N,lágrima,синва
133,Träne::N,lágrima,asara
134,Geschmack::N,gosto,кӧр
135,Geschmack::N,gosto,чӧсмӧс
136,Geschmack::N,gosto,garša
137,Geruch::N,odor,зын
138,Geruch::N,odor,дук
139,Geruch::N,odor,smaka
140,Geruch::N,cheiro,зын
141,Geruch::N,cheiro,дук
142,Geruch::N,cheiro,smaka
143,Schlaf::N,sono,узьӧм
144,Schlaf::N,sono,miegs
145,Traum::N,sonho,вӧт
146,Traum::N,sonho,вӧтасьӧм
147,Traum::N,sonho,sapnis
148,Himmel::N,céu,енэж
149,Himmel::N,céu,debess
150,Sonne::N,sol,шонді
151,Sonne::N,sol,saule
152,Mond::N,lua,тӧлысь
153,Mond::N,lua,mēness
154,Stern::N,estrela,кодзув
155,Stern::N,estrela,zvaigzne
156,Luft::N,ar,сынӧд
157,Luft::N,ar,gaiss
158,Wind::N,vento,тӧв
159,Wind::N,vento,vējš
160,Welle::N,onda,гы
161,Welle::N,onda,vilnis
162,Wasser::N,água,ва
163,Wasser::N,água,ūdens
164,Stein::N,pedra,из
165,Stein::N,pedra,akmens
166,Boden::N,solo,му
167,Boden::N,solo,augsne
168,Erde::N,terra,му
169,Erde::N,terra,му-ва
170,Erde::N,terra,zeme
171,Staub::N,pó,бус
172,Staub::N,pó,putekļi
173,Rauch::N,fumo,тшын
174,Rauch::N,fumo,dūmi
175,Funke::N,faísca,кинь
176,Funke::N,faísca,би кинь
177,Funke::N,faísca,dzirkstele
178,Funke::N,centelha,кинь
179,Funke::N,centelha,би кинь
180,Funke::N,centelha,dzirkstele
181,Feuer::N,fogo,би
182,Feuer::N,fogo,uguns
183,Licht::N,luz,югӧр
184,Licht::N,luz,gaisma
185,Schatten::N,sombra,вуджӧр
186,Schatten::N,sombra,ēna
