,Concept_ID,is,fi
0,Auge::N,auga,silmä
1,Ohr::N,eyra,korva
2,Nase::N,nef,nenä
3,Mund::N,munnur,suu
4,Zahn::N,tönn,hammas
5,Zunge::N,tunga,kieli
6,Lippe::N,vör,huuli
7,Wange::N,kinn,poski
8,Wange::N,vangi,poski
9,Gesicht::N,andlit,naama
10,Gesicht::N,andlit,kasvot
11,Stirn::N,enni,otsa
12,Haar::N,hár,hius
13,Haar::N,hár,tukka
14,Schnurrbart::N,yfirskegg,viikset
15,Bart::N,skegg,parta
16,Kinn::N,haka,leuka
17,Kiefer[Anatomie]::N,kjálki,leukaluu
18,Kiefer[Anatomie]::N,skoltur,leukaluu
19,Kehle::N,kverk,kurkku
20,Hals::N,háls,kaula
21,Genick::N,hnakki,niska
22,Kopf::N,höfuð,pää
23,Rücken::N,hryggur,selkä
24,Bauch::N,kviður,maha
25,Bauch::N,kviður,vatsa
26,Nabel::N,nafli,napa
27,Busen::N,barmur,rinta
28,Brust::N,brjóst,rinta
29,Schulter::N,öxl,olka
30,Schulter::N,öxl,hartia
31,Schulter::N,öxl,olkapää
32,Arm::N,armur,käsivarsi
33,Ellenbogen::N,olnbogi,kyynärpää
34,Hand::N,hönd,käsi
35,Handfläche::N,lófi,kämmen
36,Finger::N,fingur,sormi
37,Fingernagel::N,fingurnögl,kynsi
38,Nagel[Anatomie]::N,nögl,kynsi
39,Zeh::N,tá,varvas
40,Fuß::N,fótur,jalka
41,Ferse::N,hæll,kantapää
42,Knie::N,kné,polvi
43,Oberschenkel::N,læri,reisi
44,Bein::N,fótleggur,jalka
45,Körper::N,búkur,keho
46,Körper::N,búkur,ruumis
47,Körper::N,líkami,keho
48,Körper::N,líkami,ruumis
49,Haut::N,húð,iho
50,Haut::N,skinn,iho
51,Blut::N,blóð,veri
52,Ader::N,æð,suoni
53,Sehne::N,sin,jänne
54,Knochen::N,bein,luu
55,Gehirn::N,heili,aivot
56,Herz::N,hjarta,sydän
57,Magen::N,magi,maha
58,Magen::N,magi,vatsa
59,Leber::N,lifur,maksa
60,Atem::N,andi,henki
61,Atem::N,andi,hengitys
62,Atem::N,andardráttur,henki
