,Concept_ID,nl,ka
0,Auge::N,oog,თვალი
1,Ohr::N,oor,ყური
2,Nase::N,neus,ცხვირი
3,Mund::N,mond,პირი
4,Zahn::N,tand,კბილი
5,Zunge::N,tong,ენა
6,Lippe::N,lip,ბაგე
7,Wange::N,wang,ლოყა
8,Gesicht::N,gelaat,სახე
9,Gesicht::N,gezicht,სახე
10,Stirn::N,voorhoofd,შუბლი
11,Haar::N,haar,თმა
12,Schnurrbart::N,snor,ულვაში
13,Bart::N,baard,წვერი
14,Kinn::N,kin,ნიკაპი
15,Kiefer[Anatomie]::N,kaak,ყბა
16,Kehle::N,keel,ყელი
17,Kehle::N,strot,ყელი
18,Hals::N,hals,ყელი
19,Hals::N,hals,კისერი
20,Genick::N,nek,კეფა
21,Kopf::N,hoofd,თავი
22,Rücken::N,rug,ზურგი
23,Bauch::N,buik,მუცელი
24,Nabel::N,navel,ჭიპი
25,Busen::N,boezem,ძუძუ
26,Brust::N,borst,მკერდი
27,Schulter::N,schouder,მხარი
28,Schulter::N,schouder,მკლავი
29,Arm::N,arm,ხელი
30,Ellenbogen::N,elleboog,იდაყვი
31,Hand::N,hand,ხელი
32,Handfläche::N,handpalm,ნები
33,Handfläche::N,handpalm,ხელისგული
34,Finger::N,vinger,თითი
35,Fingernagel::N,nagel,ფრჩხილი
36,Nagel[Anatomie]::N,nagel,ფრჩხილი
37,Zeh::N,teen,ფეხის თითი
38,Fuß::N,voet,ტერფი
39,Fuß::N,voet,ფეხისგული
40,Ferse::N,hak,ქუსლი
41,Ferse::N,hiel,ქუსლი
42,Knie::N,knie,მუხლი
43,Oberschenkel::N,dij,ბარძაყი
44,Bein::N,been,ფეხი
45,Körper::N,lichaam,ტანი
46,Körper::N,lichaam,სხეული
47,Haut::N,huid,კანი
48,Blut::N,bloed,სისხლი
49,Ader::N,ader,ძარღვი
50,Sehne::N,pees,მყესი
51,Knochen::N,bot,ძვალი
52,Knochen::N,been,ძვალი
53,Knochen::N,knook,ძვალი
54,Gehirn::N,hersenen,ტვინი
55,Herz::N,hart,გული
56,Magen::N,maag,კუჭი
57,Leber::N,lever,ღვიძლი
58,Atem::N,adem,სუნთქვა
59,Hunger::N,honger,შიმშილი
60,Träne::N,traan,ცრემლი
61,Geschmack::N,smaak,გემო
62,Geruch::N,geur,სუნი
63,Schlaf::N,slaap,ძილი
64,Traum::N,droom,სიზმარი
65,Himmel::N,hemel,ცა
66,Sonne::N,zon,მზე
67,Mond::N,maan,მთვარე
68,Stern::N,ster,ვარსკვლავი
69,Luft::N,lucht,ჰაერი
70,Wind::N,wind,ქარი
71,Welle::N,golf,ტალღა
72,Wasser::N,water,წყალი
73,Stein::N,steen,ქვა
74,Boden::N,grond,მიწა
75,Erde::N,aarde,ნიადაგი
76,Staub::N,stof,მტვერი
77,Rauch::N,rook,ბოლი
78,Rauch::N,rook,კვამლი
79,Funke::N,vonk,ნაკვესი
80,Feuer::N,vuur,ცეცხლი
81,Licht::N,licht,შუქი
82,Licht::N,licht,სინათლე
83,Schatten::N,schaduw,ლანდი
84,Schatten::N,schaduw,ჩრდილი
85,Wetter::N,weer,ამინდი
