,Concept_ID,no,uk
0,Auge::N,øye,око
1,Ohr::N,øre,вухо
2,Nase::N,nese,ніс
3,Mund::N,munn,рот
4,Zahn::N,tann,зуб
5,Zunge::N,tunge,язик
6,Lippe::N,leppe,губа
7,Wange::N,kinn,щока
8,Gesicht::N,fjes,обличчя
9,Gesicht::N,ansikt,обличчя
10,Stirn::N,panne,лоб
11,Haar::N,hår,волосся
12,Schnurrbart::N,bart,вуса
13,Bart::N,skjegg,борода
14,Kinn::N,hake,підборіддя
15,Kiefer[Anatomie]::N,kjeve,щелепа
16,Kehle::N,strupe,горло
17,Hals::N,hals,шия
18,Genick::N,nakke,потилиця
19,Kopf::N,hode,голова
20,Rücken::N,rygg,спина
21,Bauch::N,buk,живіт
22,Bauch::N,mage,живіт
23,Nabel::N,navle,пупок
24,Busen::N,barm,груди
25,Brust::N,bryst,груди
26,Schulter::N,skulder,плече
27,Arm::N,arm,рука
28,Ellenbogen::N,albue,лікоть
29,Hand::N,hånd,рука
30,Handfläche::N,håndflate,долоня
31,Finger::N,finger,палець
32,Fingernagel::N,fingernegl,ніготь
33,Nagel[Anatomie]::N,negl,ніготь
34,Zeh::N,tå,палець на нозі
35,Fuß::N,fot,нога
36,Ferse::N,hæl,п’ятка
37,Knie::N,kne,коліно
38,Oberschenkel::N,lår,стегно
39,Bein::N,bein,нога
40,Körper::N,kropp,тіло
41,Körper::N,legeme,тіло
42,Haut::N,hud,шкіра
43,Haut::N,skinn,шкіра
44,Blut::N,blod,кров
45,Ader::N,åre,вена
46,Sehne::N,sene,сухожилля
47,Knochen::N,bein,кістка
48,Knochen::N,knokkel,кістка
49,Gehirn::N,hjerne,мозок
50,Herz::N,hjerte,серце
51,Magen::N,mage,шлунок
52,Leber::N,lever,печінка
53,Atem::N,pust,дихання
54,Hunger::N,sult,голод
55,Träne::N,tåre,сльоза
56,Geschmack::N,smak,смак
57,Geruch::N,lukt,запах
58,Schlaf::N,søvn,сон
59,Schlaf::N,søvn,сплячка
60,Traum::N,drøm,сон
61,Himmel::N,himmel,небо
62,Sonne::N,sol,сонце
63,Mond::N,måne,місяць
64,Stern::N,stjerne,зірка
65,Luft::N,luft,повітря
66,Wind::N,vind,вітер
67,Welle::N,bølge,хвиля
68,Wasser::N,vann,вода
69,Stein::N,stein,камінь
70,Boden::N,bakke,ґрунт
71,Erde::N,jord,земля
72,Staub::N,støv,пил
73,Rauch::N,røyk,дим
74,Funke::N,gnist,іскра
75,Feuer::N,ild,вогонь
76,Licht::N,lys,світло
77,Schatten::N,skygge,тінь
78,Wetter::N,vær,погода
79,Nebel::N,tåke,туман
80,Wolke::N,sky,хмара
81,Regen::N,regn,дощ
82,Schnee::N,snø,сніг
83,Eis::N,is,лід
84,Frost::N,frost,мороз
85,Kälte::N,kulde,холод
86,Hitze::N,hete,жар
87,Raureif::N,rimfrost,іній
88,Regenbogen::N,regnbue,райдуга
89,Donner::N,torden,грім
90,Strömung::N,strømning,струмина
91,Tropfen::N,dråpe,крапля
92,Schaum::N,skum,піна
93,Schmutz::N,søl,бруд
94,Schmutz::N,skitt,бруд
95,See::N,sjø,озеро
96,Sumpf::N,sump,драговина
97,Sumpf::N,myrlende,драговина
98,Moor::N,myr,болото
99,Moor::N,myrhei,болото
100,Wiese::N,eng,луг
101,Wiese::N,eng,лука
102,Wald::N,skog,ліс
103,Hügel::N,haug,горб
104,Hügel::N,bakke,горб
105,Anhöhe::N,haug,височина
106,Anhöhe::N,bakke,височина
107,Berg::N,berg,гора
108,Berg::N,fjell,гора
109,Gipfel::N,topp,вершина
110,Höhle::N,hule,печера
111,Abhang::N,li,схил
112,Abhang::N,skråning,схил
113,Quelle::N,kilde,джерело
114,Bach::N,bekk,струмок
115,Fluss::N,elv,річка
116,Ufer::N,bredd,берег
117,Küste::N,kyst,узбережжя
118,Festland::N,fastland,суша
119,Meer::N,hav,море
120,Bucht::N,bukt,бухта
121,Bucht::N,bukt,затока
122,Insel::N,øy,острів
123,Blume::N,blomst,квітка
124,Gras::N,gress,трава
125,Wurzel::N,rot,корінь
126,Baum::N,tre,дерево
127,Stamm::N,stamme,стовбур
128,Rinde::N,bark,кора
129,Ast::N,gren,гілка
130,Zweig::N,kvist,галузь
131,Blatt::N,blad,лист
132,Birke::N,bjørk,береза
133,Kiefer[Baum]::N,furu,сосна
134,Weide[Baum]::N,selje,верба
135,Weide[Baum]::N,piletre,верба
136,Tanne::N,gran,ялиця
137,Horn::N,horn,ріг
138,Feder::N,fjær,перо
139,Fell::N,skinn,хутро
140,Flügel::N,vinge,крило
141,Klaue::N,klauv,кіготь
142,Kralle::N,klo,лапа
143,Schwanz::N,hale,хвіст
144,Ei::N,egg,яйце
145,Nest::N,rede,гніздо
146,Bau::N,hi,лігво
147,Tier::N,dyr,тварина
148,Herde::N,flokk,стадо
149,Kuh::N,ku,корова
150,Bulle::N,tyr,бик
151,Bulle::N,tyr,бугай
152,Pferd::N,hest,кінь
153,Schaf::N,får,вівця
154,Schwein::N,gris,свиня
155,Hund::N,hund,собака
156,Katze::N,katt,кішка
157,Bär::N,bjørn,ведмідь
158,Eichhörnchen::N,ekorn,білка
159,Elch::N,elg,лось
160,Fuchs::N,rev,лисиця
161,Hase::N,hare,заєць
162,Maus::N,mus,миша
163,Wolf::N,ulv,вовк
164,Wolf::N,varg,вовк
165,Vogel::N,fugl,птах
166,Schwarm::N,sverm,зграя
167,Huhn::N,høne,курка
168,Hahn::N,hane,півень
169,Gans::N,gås,гуска
170,Adler::N,ørn,орел
171,Ente::N,and,качка
172,Eule::N,ugle,сова
173,Kranich::N,trane,журавель
174,Krähe::N,kråke,ворона
175,Kuckuck::N,gjøk,зозуля
176,Schwan::N,svane,лебідь
177,Fisch::N,fisk,риба
178,Barsch::N,abbor,окунь
179,Hecht::N,gjedde,щука
180,Schlange[Tier]::N,orm,змія
181,Schlange[Tier]::N,slange,змія
182,Wurm::N,orm,черв’як
183,Wurm::N,mark,черв’як
184,Spinne::N,edderkopp,павук
185,Ameise::N,maur,мурашка
186,Laus::N,lus,воша
187,Mücke::N,mygg,комар
188,Fliege::N,flue,муха
189,Schmetterling::N,sommerfugl,метелик
190,Beere::N,bær,ягода
191,Apfel::N,eple,яблуко
192,Pilz::N,sopp,гриб
193,Zwiebel::N,løk,цибуля
194,Saat::N,sæd,сім’я
195,Korn::N,korn,зерно
196,Heu::N,høy,сіно
197,Schale::N,skall,шкірка
198,Grube::N,grop,яма
199,Falle::N,felle,пастка
