,Concept_ID,uk,en
0,Auge::N,око,eye
1,Ohr::N,вухо,ear
2,Nase::N,ніс,nose
3,Mund::N,рот,mouth
4,Zahn::N,зуб,tooth
5,Zunge::N,язик,tongue
6,Lippe::N,губа,lip
7,Wange::N,щока,cheek
8,Gesicht::N,обличчя,face
9,Stirn::N,лоб,forehead
10,Haar::N,волосся,hair
11,Schnurrbart::N,вуса,moustache
12,Bart::N,борода,beard
13,Kinn::N,підборіддя,chin
14,Kiefer[Anatomie]::N,щелепа,jaw
15,Kehle::N,горло,throat
16,Hals::N,шия,neck
17,Genick::N,потилиця,nape
18,Kopf::N,голова,head
19,Rücken::N,спина,back
20,Rücken::N,спина,spine
21,Bauch::N,живіт,belly
22,Nabel::N,пупок,navel
23,Busen::N,груди,bosom
24,Brust::N,груди,chest
25,Brust::N,груди,breast
26,Schulter::N,плече,shoulder
27,Arm::N,рука,arm
28,Ellenbogen::N,лікоть,elbow
29,Hand::N,рука,hand
30,Handfläche::N,долоня,palm
31,Finger::N,палець,finger
32,Fingernagel::N,ніготь,fingernail
33,Nagel[Anatomie]::N,ніготь,nail
34,Zeh::N,палець на нозі,toe
35,Fuß::N,нога,foot
36,Ferse::N,п’ятка,heel
37,Knie::N,коліно,knee
38,Oberschenkel::N,стегно,thigh
39,Bein::N,нога,leg
40,Körper::N,тіло,body
41,Haut::N,шкіра,skin
42,Blut::N,кров,blood
43,Ader::N,вена,vein
44,Sehne::N,сухожилля,sinew
45,Knochen::N,кістка,bone
46,Gehirn::N,мозок,brain
47,Herz::N,серце,heart
48,Magen::N,шлунок,stomach
49,Leber::N,печінка,liver
50,Atem::N,дихання,breath
51,Hunger::N,голод,hunger
52,Träne::N,сльоза,tear
53,Geschmack::N,смак,flavour
54,Geschmack::N,смак,flavor
55,Geruch::N,запах,odour
56,Geruch::N,запах,odor
57,Schlaf::N,сон,sleep
58,Schlaf::N,сплячка,sleep
59,Traum::N,сон,dream
60,Himmel::N,небо,sky
61,Sonne::N,сонце,sun
62,Mond::N,місяць,moon
63,Stern::N,зірка,star
64,Luft::N,повітря,air
65,Wind::N,вітер,wind
66,Welle::N,хвиля,wave
67,Wasser::N,вода,water
68,Stein::N,камінь,stone
69,Boden::N,ґрунт,soil
70,Boden::N,ґрунт,ground
71,Erde::N,земля,earth
72,Staub::N,пил,dust
73,Rauch::N,дим,smoke
74,Funke::N,іскра,spark
75,Feuer::N,вогонь,fire
76,Licht::N,світло,light
77,Schatten::N,тінь,shadow
78,Wetter::N,погода,weather
79,Nebel::N,туман,fog
80,Wolke::N,хмара,cloud
81,Regen::N,дощ,rain
82,Schnee::N,сніг,snow
83,Eis::N,лід,ice
84,Frost::N,мороз,frost
85,Kälte::N,холод,chill
86,Hitze::N,жар,heat
87,Raureif::N,іній,hoarfrost
