,Concept_ID,se,el
0,Auge::N,tjelmie,μάτι
1,Auge::N,tjelmie,οφθαλμός
2,Auge::N,tjalmme,μάτι
3,Auge::N,tjalmme,οφθαλμός
4,Auge::N,čalbmi,μάτι
5,Auge::N,čalbmi,οφθαλμός
6,Auge::N,čalme,μάτι
7,Auge::N,čalme,οφθαλμός
8,Auge::N,čâ´lmm,μάτι
9,Auge::N,čâ´lmm,οφθαλμός
10,Auge::N,ча̄лльм,μάτι
11,Auge::N,ча̄лльм,οφθαλμός
12,Ohr::N,bieljie,αυτί
13,Ohr::N,biellje,αυτί
14,Ohr::N,beallji,αυτί
15,Ohr::N,pelji,αυτί
16,Ohr::N,pe´llj,αυτί
17,Ohr::N,пе̄лльй,αυτί
18,Nase::N,njuenie,μύτη
19,Nase::N,njunnje,μύτη
20,Nase::N,njunni,μύτη
21,Nase::N,njuṇe,μύτη
22,Nase::N,njuu´nn,μύτη
23,Nase::N,нюннҍ,μύτη
24,Mund::N,njaelmie,στόμα
25,Mund::N,njálmme,στόμα
26,Mund::N,njálbmi,στόμα
27,Mund::N,njälmi,στόμα
28,Mund::N,njä´lmm,στόμα
29,Mund::N,ня̄лльм,στόμα
30,Zahn::N,baenie,δόντι
31,Zahn::N,bádne,δόντι
32,Zahn::N,bátni,δόντι
33,Zahn::N,pääṇi,δόντι
34,Zahn::N,pää´nn,δόντι
35,Zahn::N,па̄ннҍ,δόντι
36,Zunge::N,njoektjeme,γλώσσα
37,Zunge::N,njuovtjav,γλώσσα
38,Zunge::N,njuovčča,γλώσσα
39,Zunge::N,njuovčâ,γλώσσα
40,Zunge::N,njuhččâm,γλώσσα
41,Zunge::N,нюхчем,γλώσσα
42,Lippe::N,bangseme,χείλος
43,Lippe::N,njálmmerabdda,χείλος
44,Lippe::N,bavssa,χείλος
45,Lippe::N,poovsâ,χείλος
46,Lippe::N,põõus,χείλος
47,Lippe::N,пэ̄кс,χείλος
48,Wange::N,skiehrie,παρειά
49,Wange::N,skiehrie,μάγουλο
50,Wange::N,nierra,παρειά
51,Wange::N,nierra,μάγουλο
52,Wange::N,muohtu,παρειά
53,Wange::N,muohtu,μάγουλο
54,Wange::N,nieṛâ,παρειά
55,Wange::N,nieṛâ,μάγουλο
56,Wange::N,njiõrr,παρειά
57,Wange::N,njiõrr,μάγουλο
58,Wange::N,нӣрр,παρειά
59,Wange::N,нӣрр,μάγουλο
60,Gesicht::N,ååredæjja,πρόσωπο
61,Gesicht::N,muohto,πρόσωπο
62,Gesicht::N,muođut,πρόσωπο
63,Gesicht::N,ámadadju,πρόσωπο
64,Gesicht::N,muáđuh,πρόσωπο
65,Gesicht::N,muâđ,πρόσωπο
66,Gesicht::N,ка̄ссв,πρόσωπο
67,Stirn::N,gaalloe,μέτωπο
68,Stirn::N,gállo,μέτωπο
69,Stirn::N,gállu,μέτωπο
70,Stirn::N,kállu,μέτωπο
71,Stirn::N,käll,μέτωπο
72,Stirn::N,вуэххьц,μέτωπο
73,Haar::N,voepte,μαλλιά
74,Haar::N,vuoppta,μαλλιά
75,Haar::N,vuokta,μαλλιά
76,Haar::N,vuop'tâ,μαλλιά
77,Haar::N,vuõpt,μαλλιά
78,Haar::N,вӯппт,μαλλιά
79,Schnurrbart::N,bijjie-skaavtjoe,μουστάκι
80,Schnurrbart::N,njunjevuolskávttjá,μουστάκι
81,Schnurrbart::N,seamu,μουστάκι
82,Schnurrbart::N,siämu,μουστάκι
83,Schnurrbart::N,ää´bben,μουστάκι
84,Schnurrbart::N,о̄а̄бпан,μουστάκι
85,Bart::N,skaavtja,γένια
86,Bart::N,skaavtjoe,γένια
87,Bart::N,skávttjá,γένια
88,Bart::N,seamu,γένια
89,Bart::N,siämu,γένια
90,Bart::N,seäm,γένια
91,Bart::N,ся̄м,γένια
92,Kinn::N,gaejpie,πιγούνι
93,Kinn::N,gájbbe,πιγούνι
94,Kinn::N,gáibi,πιγούνι
95,Kinn::N,käibi,πιγούνι
96,Kinn::N,käi´bb,πιγούνι
97,Kinn::N,ка̄ййп,πιγούνι
98,Kiefer[Anatomie]::N,gaejpie,σαγόνι
99,Kiefer[Anatomie]::N,oalol,σαγόνι
100,Kiefer[Anatomie]::N,oaloldákte,σαγόνι
101,Kiefer[Anatomie]::N,gáibi,σαγόνι
102,Kiefer[Anatomie]::N,uá'lultähti,σαγόνι
103,Kiefer[Anatomie]::N,vuâl'lõš,σαγόνι
104,Kiefer[Anatomie]::N,вуаллнешш,σαγόνι
105,Kehle::N,gealoe,λαρύγγι
106,Kehle::N,tjåttå,λαρύγγι
107,Kehle::N,njiello,λαρύγγι
108,Kehle::N,čotta,λαρύγγι
109,Kehle::N,čuudâ,λαρύγγι
110,Kehle::N,čoodd,λαρύγγι
111,Kehle::N,чонт,λαρύγγι
112,Kehle::N,кэ̄ҏс,λαρύγγι
113,Hals::N,tjeapohke,λαιμός
114,Hals::N,tjiebet,λαιμός
115,Hals::N,čeabet,λαιμός
116,Hals::N,čiäppát,λαιμός
117,Hals::N,čeäppat,λαιμός
118,Hals::N,ча̄пэх,λαιμός
119,Genick::N,tjovrese,σβέρκος
120,Genick::N,nisske,σβέρκος
121,Genick::N,niehkki,σβέρκος
122,Genick::N,niski,σβέρκος
123,Genick::N,niek'ki,σβέρκος
124,Genick::N,nji´šǩǩmaadd,σβέρκος
125,Genick::N,нышшькмоант,σβέρκος
126,Kopf::N,åejjie,κεφάλι
127,Kopf::N,oajvve,κεφάλι
128,Kopf::N,oaivi,κεφάλι
129,Kopf::N,uái'vi,κεφάλι
130,Kopf::N,vuei´vv,κεφάλι
131,Kopf::N,вуэййв,κεφάλι
132,Rücken::N,rudtje,ράχη
133,Rücken::N,hárddo,ράχη
134,Rücken::N,tjavelk,ράχη
135,Rücken::N,sealgi,ράχη
136,Rücken::N,selgi,ράχη
137,Rücken::N,čielgi,ράχη
138,Rücken::N,seä´lǧǧ,ράχη
139,Rücken::N,се̄лльк,ράχη
140,Bauch::N,tjåejjie,κοιλιά
141,Bauch::N,tjoajvve,κοιλιά
142,Bauch::N,čoavji,κοιλιά
143,Bauch::N,čuáv'ji,κοιλιά
144,Bauch::N,čåu´jj,κοιλιά
145,Bauch::N,чо̄ввьй,κοιλιά
146,Nabel::N,naepie,αφαλός
147,Nabel::N,náhpe,αφαλός
148,Nabel::N,náhpi,αφαλός
149,Nabel::N,nääpi,αφαλός
150,Nabel::N,nää´pp,αφαλός
151,Nabel::N,на̄бпь,αφαλός
152,Busen::N,boenge,στήθος
153,Busen::N,bållå,στήθος
154,Busen::N,čižži,στήθος
155,Busen::N,njamma,στήθος
156,Busen::N,njižže,στήθος
157,Busen::N,nje´ǯǯ,στήθος
158,Busen::N,раннҍт,στήθος
159,Brust::N,mïelke,στήθος
160,Brust::N,radde,στήθος
161,Brust::N,mielgga,στήθος
162,Brust::N,raddi,στήθος
163,Brust::N,radde,στήθος
164,Brust::N,râ´dd,στήθος
165,Brust::N,раннҍт,στήθος
166,Schulter::N,åelkie,ώμος
167,Schulter::N,oalgge,ώμος
168,Schulter::N,hárdu,ώμος
169,Schulter::N,ärdee,ώμος
170,Schulter::N,uál'gi,ώμος
171,Schulter::N,a´rddi,ώμος
172,Schulter::N,vuä´lǧǧ,ώμος
173,Schulter::N,вуэллык,ώμος
174,Arm::N,gïete,χέρι
175,Arm::N,gïete,μπράτςο
176,Arm::N,giehta,χέρι
177,Arm::N,giehta,μπράτςο
178,Arm::N,giehta,χέρι
179,Arm::N,giehta,μπράτςο
180,Arm::N,kietâ,χέρι
181,Arm::N,kietâ,μπράτςο
182,Arm::N,kie'tâkaaṿâ,χέρι
183,Arm::N,kie'tâkaaṿâ,μπράτςο
184,Arm::N,ǩiõtt,χέρι
185,Arm::N,ǩiõtt,μπράτςο
186,Arm::N,кӣдт,χέρι
187,Arm::N,кӣдт,μπράτςο
188,Ellenbogen::N,gernjere,αγκώνας
189,Ellenbogen::N,garŋŋel,αγκώνας
190,Ellenbogen::N,gargŋil,αγκώνας
191,Ellenbogen::N,käŋŋir,αγκώνας
192,Ellenbogen::N,kõõnjâr,αγκώνας
193,Ellenbogen::N,карьнэль,αγκώνας
194,Hand::N,gïete,χέρι
195,Hand::N,giehta,χέρι
196,Hand::N,giehta,χέρι
197,Hand::N,kietâ,χέρι
198,Hand::N,ǩiõtt,χέρι
199,Hand::N,кӣдт,χέρι
200,Handfläche::N,gïeten-låapoe,παλάμη
201,Handfläche::N,giehtavuodo,παλάμη
202,Handfläche::N,tjårmmåvuodo,παλάμη
203,Handfläche::N,giehtaloahpu,παλάμη
204,Handfläche::N,kiämád,παλάμη
205,Handfläche::N,kuámmir,παλάμη
206,Handfläche::N,kuä´m'mer,παλάμη
207,Handfläche::N,ǩiõttǩeä´m'men,παλάμη
208,Handfläche::N,ко̄а̄ллдэгк,παλάμη
209,Handfläche::N,кӣдткоалдэгк,παλάμη
210,Finger::N,soerme,δάχτυλο
211,Finger::N,tjuvdde,δάχτυλο
212,Finger::N,suorbma,δάχτυλο
213,Finger::N,čuvde,δάχτυλο
214,Finger::N,suor'mâ,δάχτυλο
215,Finger::N,suõrmm,δάχτυλο
216,Finger::N,це̄ххп,δάχτυλο
217,Fingernagel::N,gadtse,νύχι
218,Fingernagel::N,guehpere,νύχι
219,Fingernagel::N,gadtsa,νύχι
220,Fingernagel::N,gazza,νύχι
221,Fingernagel::N,kozzâ,νύχι
222,Fingernagel::N,kõʒʒ,νύχι
223,Fingernagel::N,кэ̄ннц,νύχι
224,Nagel[Anatomie]::N,gadtse,νύχι
225,Nagel[Anatomie]::N,guehpere,νύχι
226,Nagel[Anatomie]::N,gadtsa,νύχι
227,Nagel[Anatomie]::N,gazza,νύχι
228,Nagel[Anatomie]::N,kozzâ,νύχι
229,Nagel[Anatomie]::N,kõʒʒ,νύχι
230,Nagel[Anatomie]::N,кэ̄ннц,νύχι
231,Zeh::N,tjiehtjere,δάχτυλο του ποδιού
232,Zeh::N,juolggetjuvdde,δάχτυλο του ποδιού
233,Zeh::N,juolgesuorbma,δάχτυλο του ποδιού
234,Zeh::N,jyel'gisuor'mâ,δάχτυλο του ποδιού
235,Zeh::N,jue´lǧǧsuõrmm,δάχτυλο του ποδιού
236,Zeh::N,ю̄лльк-це̄һп,δάχτυλο του ποδιού
237,Fuß::N,juelkie,πόδι
238,Fuß::N,juolgge,πόδι
239,Fuß::N,juolgi,πόδι
240,Fuß::N,jyel'gi,πόδι
241,Fuß::N,jue´lǧǧ,πόδι
242,Fuß::N,ла̄бпь,πόδι
243,Ferse::N,båetskie,φτέρνα
244,Ferse::N,boasske,φτέρνα
245,Ferse::N,šušmi,φτέρνα
246,Ferse::N,šušme,φτέρνα
247,Ferse::N,jue´lǧǧkädd,φτέρνα
248,Ferse::N,ка̄ннт,φτέρνα
249,Knie::N,boelve,γόνατο
250,Knie::N,buolvva,γόνατο
251,Knie::N,čibbi,γόνατο
252,Knie::N,veaŋki,γόνατο
253,Knie::N,iidâ,γόνατο
254,Knie::N,puõlvv,γόνατο
255,Knie::N,пуллв,γόνατο
256,Oberschenkel::N,ruaksja,μηρός
257,Oberschenkel::N,tjibbe,μηρός
258,Oberschenkel::N,gassaváhkká,μηρός
259,Oberschenkel::N,badjeváhkáa,μηρός
260,Oberschenkel::N,čuár'bpeeḷi,μηρός
261,Oberschenkel::N,če´bb,μηρός
262,Oberschenkel::N,чуаррбе̄лль,μηρός
263,Bein::N,juelkie,πόδι
264,Bein::N,juolgge,πόδι
265,Bein::N,juolgi,πόδι
266,Bein::N,jyel'gi,πόδι
267,Bein::N,jue´lǧǧ,πόδι
268,Bein::N,ю̄лльк,πόδι
269,Körper::N,kråahpe,σώμα
270,Körper::N,kråahpe,κορμί
271,Körper::N,rumáj,σώμα
272,Körper::N,rumáj,κορμί
273,Körper::N,rumaš,σώμα
274,Körper::N,rumaš,κορμί
275,Körper::N,ruumâš,σώμα
276,Körper::N,ruumâš,κορμί
277,Körper::N,rå´pp,σώμα
278,Körper::N,rå´pp,κορμί
279,Körper::N,лышшьк,σώμα
