,Concept_ID,nl,fr
0,Auge::N,oog,œil
1,Ohr::N,oor,oreille
2,Nase::N,neus,nez
3,Mund::N,mond,bouche
4,Zahn::N,tand,dent
5,Zunge::N,tong,langue
6,Lippe::N,lip,lèvre
7,Wange::N,wang,joue
8,Gesicht::N,gelaat,face
9,Gesicht::N,gelaat,visage
10,Gesicht::N,gezicht,face
11,Gesicht::N,gezicht,visage
12,Stirn::N,voorhoofd,front
13,Haar::N,haar,cheveu
14,Schnurrbart::N,snor,moustache
15,Bart::N,baard,barbe
16,Kinn::N,kin,menton
17,Kiefer[Anatomie]::N,kaak,mâchoire
18,Kehle::N,keel,gorge
19,Kehle::N,strot,gorge
20,Hals::N,hals,cou
21,Genick::N,nek,nuque
22,Kopf::N,hoofd,tête
23,Rücken::N,rug,dos
24,Bauch::N,buik,ventre
25,Nabel::N,navel,nombril
26,Busen::N,boezem,sein
27,Brust::N,borst,poitrine
28,Schulter::N,schouder,épaule
29,Arm::N,arm,bras
30,Ellenbogen::N,elleboog,coude
31,Hand::N,hand,main
32,Handfläche::N,handpalm,paume
33,Finger::N,vinger,doigt
34,Fingernagel::N,nagel,ongle
35,Nagel[Anatomie]::N,nagel,ongle
36,Zeh::N,teen,orteil
37,Zeh::N,teen,doigt de pied
38,Fuß::N,voet,pied
39,Ferse::N,hak,talon
40,Ferse::N,hiel,talon
41,Knie::N,knie,genou
42,Oberschenkel::N,dij,cuisse
43,Bein::N,been,jambe
44,Körper::N,lichaam,corps
45,Haut::N,huid,peau
46,Blut::N,bloed,sang
47,Ader::N,ader,veine
48,Sehne::N,pees,tendon
49,Knochen::N,bot,os
50,Knochen::N,been,os
51,Knochen::N,knook,os
52,Gehirn::N,hersenen,cerveau
53,Herz::N,hart,cœur
54,Magen::N,maag,estomac
55,Leber::N,lever,foie
56,Atem::N,adem,haleine
57,Hunger::N,honger,faim
58,Träne::N,traan,larme
59,Geschmack::N,smaak,goût
60,Geschmack::N,smaak,saveur
61,Geruch::N,geur,odeur
62,Schlaf::N,slaap,sommeil
63,Traum::N,droom,songe
64,Himmel::N,hemel,ciel
65,Sonne::N,zon,soleil
66,Mond::N,maan,lune
67,Stern::N,ster,étoile
68,Luft::N,lucht,air
69,Wind::N,wind,vent
70,Welle::N,golf,vague
71,Wasser::N,water,eau
72,Stein::N,steen,pierre
73,Boden::N,grond,sol
74,Boden::N,grond,terrain
75,Erde::N,aarde,terre
76,Staub::N,stof,poussière
77,Rauch::N,rook,fumée
78,Funke::N,vonk,étincelle
79,Feuer::N,vuur,feu
80,Licht::N,licht,lumière
81,Schatten::N,schaduw,ombre
82,Wetter::N,weer,temps
83,Nebel::N,mist,brume
84,Nebel::N,mist,brouillard
85,Nebel::N,nevel,brume
