,Concept_ID,ru,nl
0,Auge::N,глаз,oog
1,Ohr::N,ухо,oor
2,Nase::N,нос,neus
3,Mund::N,рот,mond
4,Zahn::N,зуб,tand
5,Zunge::N,язык,tong
6,Lippe::N,губа,lip
7,Wange::N,щека,wang
8,Gesicht::N,лицо,gelaat
9,Gesicht::N,лицо,gezicht
10,Stirn::N,лоб,voorhoofd
11,Haar::N,волос,haar
12,Haar::N,волосы,haar
13,Schnurrbart::N,ус,snor
14,Schnurrbart::N,усы,snor
15,Bart::N,борода,baard
16,Kinn::N,подбородок,kin
17,Kiefer[Anatomie]::N,челюсть,kaak
18,Kehle::N,горло,keel
19,Kehle::N,горло,strot
20,Hals::N,шея,hals
21,Genick::N,затылок,nek
22,Kopf::N,голова,hoofd
23,Rücken::N,спина,rug
24,Bauch::N,живот,buik
25,Nabel::N,пупок,navel
26,Busen::N,женская грудь,boezem
27,Brust::N,грудь,borst
28,Schulter::N,плечо,schouder
29,Arm::N,рука,arm
30,Ellenbogen::N,локоть,elleboog
31,Hand::N,кисть,hand
32,Handfläche::N,ладонь,handpalm
33,Finger::N,палец,vinger
34,Fingernagel::N,ноготь,nagel
35,Nagel[Anatomie]::N,ноготь,nagel
36,Zeh::N,палец,teen
37,Fuß::N,ступня,voet
38,Ferse::N,пята,hak
39,Ferse::N,пята,hiel
40,Ferse::N,пятка,hak
41,Ferse::N,пятка,hiel
42,Knie::N,колено,knie
43,Oberschenkel::N,бедро,dij
44,Bein::N,нога,been
45,Körper::N,тело,lichaam
46,Haut::N,кожа,huid
47,Blut::N,кровь,bloed
48,Ader::N,вена,ader
49,Ader::N,сосуд,ader
50,Sehne::N,жила,pees
51,Sehne::N,тетива,pees
52,Sehne::N,сухожилие,pees
53,Knochen::N,кость,bot
54,Knochen::N,кость,been
55,Knochen::N,кость,knook
56,Gehirn::N,мозг,hersenen
57,Herz::N,сердце,hart
58,Magen::N,желудок,maag
59,Leber::N,печень,lever
60,Atem::N,дух,adem
61,Atem::N,дыхание,adem
62,Hunger::N,голод,honger
63,Träne::N,слеза,traan
64,Geschmack::N,вкус,smaak
65,Geruch::N,запах,geur
66,Schlaf::N,сон,slaap
67,Traum::N,сновидение,droom
68,Himmel::N,небо,hemel
69,Sonne::N,солнце,zon
70,Mond::N,луна,maan
71,Stern::N,звезда,ster
72,Luft::N,воздух,lucht
73,Wind::N,ветер,wind
74,Welle::N,волна,golf
75,Wasser::N,вода,water
76,Stein::N,камень,steen
77,Boden::N,почва,grond
78,Erde::N,земля,aarde
79,Staub::N,пыль,stof
80,Rauch::N,дым,rook
81,Funke::N,искра,vonk
82,Feuer::N,огонь,vuur
83,Licht::N,свет,licht
84,Schatten::N,тень,schaduw
85,Wetter::N,погода,weer
86,Nebel::N,туман,mist
87,Nebel::N,туман,nevel
88,Wolke::N,облако,wolk
89,Regen::N,дождь,regen
90,Schnee::N,снег,sneeuw
91,Eis::N,лед,ijs
92,Frost::N,мороз,vorst
93,Kälte::N,холод,kou
94,Kälte::N,холод,koude
95,Hitze::N,жара,hitte
96,Raureif::N,иней,rijp
97,Regenbogen::N,радуга,regenboog
98,Donner::N,гром,donder
99,Strömung::N,течение,stroming
100,Tropfen::N,капля,druppel
101,Schaum::N,пена,schuim
102,Schmutz::N,грязь,vuil
103,See::N,озеро,meer
104,Sumpf::N,топь,moeras
105,Moor::N,болото,veen
106,Wiese::N,луг,wei
107,Wiese::N,луг,weide
108,Wald::N,лес,bos
109,Hügel::N,холм,heuvel
110,Anhöhe::N,возвышенность,hoogte
111,Berg::N,гора,berg
112,Gipfel::N,вершина,top
113,Höhle::N,пещера,hol
114,Abhang::N,склон,helling
115,Quelle::N,источник,bron
116,Bach::N,ручей,beek
117,Fluss::N,река,stroom
118,Ufer::N,берег,wal
119,Ufer::N,берег,oever
120,Küste::N,побережье,kust
121,Festland::N,суша,vasteland
122,Meer::N,море,zee
123,Bucht::N,бухта,baai
124,Bucht::N,бухта,inham
125,Insel::N,остров,eiland
126,Blume::N,цветок,bloem
127,Gras::N,трава,gras
128,Wurzel::N,корень,wortel
129,Baum::N,дерево,boom
130,Stamm::N,ствол,stam
131,Rinde::N,кора,schors
132,Ast::N,сук,tak
133,Zweig::N,ветвь,twijg
134,Blatt::N,лист,blad
135,Birke::N,береза,berk
136,Kiefer[Baum]::N,сосна,den
137,Weide[Baum]::N,ива,wilg
138,Tanne::N,ель,spar
139,Horn::N,рог,hoorn
140,Feder::N,перо,veer
141,Feder::N,перо,pluim
142,Fell::N,шкура,vel
143,Flügel::N,крыло,vleugel
144,Klaue::N,коготь,klauw
145,Kralle::N,лапа,klauw
146,Schwanz::N,хвост,staart
147,Ei::N,яйцо,ei
148,Nest::N,гнездо,nest
149,Bau::N,нора,hol
150,Tier::N,животное,dier
151,Herde::N,стадо,kudde
152,Kuh::N,корова,koe
153,Bulle::N,бык,stier
154,Pferd::N,лошадь,paard
155,Schaf::N,овца,schaap
156,Schwein::N,свинья,varken
157,Hund::N,собака,hond
158,Katze::N,кошка,kat
159,Bär::N,медведь,beer
160,Eichhörnchen::N,белка,eekhoorntje
161,Elch::N,лось,eland
162,Fuchs::N,лиса,vos
163,Hase::N,заяц,haas
164,Maus::N,мышь,muis
165,Wolf::N,волк,wolf
166,Vogel::N,птица,vogel
167,Schwarm::N,стая,zwerm
168,Huhn::N,курица,kip
169,Huhn::N,курица,hoen
170,Hahn::N,петух,haan
171,Gans::N,гусь,gans
172,Adler::N,орел,arend
173,Ente::N,утка,eend
174,Eule::N,сова,uil
175,Kranich::N,журавль,kraanvogel
176,Krähe::N,ворона,kraai
177,Kuckuck::N,кукушка,koekoek
178,Schwan::N,лебедь,zwaan
179,Fisch::N,рыба,vis
180,Barsch::N,окунь,baars
181,Hecht::N,щука,snoek
182,Schlange[Tier]::N,змея,slang
183,Wurm::N,червяк,worm
184,Spinne::N,паук,spin
185,Ameise::N,муравей,mier
186,Laus::N,вошь,luis
187,Mücke::N,комар,mug
188,Fliege::N,муха,vlieg
189,Schmetterling::N,бабочка,vlinder
190,Beere::N,ягода,bes
191,Apfel::N,яблоко,appel
192,Pilz::N,гриб,paddestoel
193,Zwiebel::N,луковица,ui
194,Saat::N,семя,zaad
195,Korn::N,зерно,graan
196,Korn::N,зерно,korrel
197,Heu::N,сено,hooi
198,Schale::N,шелуха,schil
199,Grube::N,яма,kuil
200,Falle::N,ловушка,val
201,Schlinge::N,силок,strop
202,Spur::N,след,spoor
203,Asche::N,зола,as
204,Asche::N,пепел,as
205,Dreck::N,грязь,drek
206,Eisen::N,железо,ijzer
207,Gold::N,золото,goud
208,Silber::N,серебро,zilver
209,Kohle::N,уголь,kool
210,Glas::N,стекло,glas
211,Lehm::N,глина,klei
212,Sand::N,песок,zand
213,Mensch::N,человек,mens
214,Mann::N,мужчина,man
215,Frau::N,женщина,vrouw
216,Kind::N,ребенок,kind
217,Junge::N,мальчик,jongen
218,Mädchen::N,девочка,meisje
219,Familie::N,семья,gezin
220,Familie::N,семья,familie
221,Großvater::N,дедушка,grootvader
222,Großmutter::N,бабушка,grootmoeder
223,Eltern::N,родители,ouders
224,Vater::N,отец,vader
225,Mutter::N,мать,moeder
226,Sohn::N,сын,zoon
227,Tochter::N,дочь,dochter
228,Bruder::N,брат,broer
229,Bruder::N,брат,broeder
230,Schwester::N,сестра,zus
231,Schwester::N,сестра,zuster
232,Onkel::N,дядя,oom
233,Tante::N,тетя,tante
234,Ehemann::N,муж,echtgenoot
235,Ehefrau::N,жена,echtgenote
236,Freude::N,радость,vreugde
237,Gelächter::N,смех,gelach
238,Glück::N,счастье,geluk
239,Kummer::N,горе,verdriet
240,Wunsch::N,желание,wens
241,Wunsch::N,желание,verlangen
242,Lust::N,влечение,zin
243,Lust::N,влечение,lust
244,Geist::N,дух,geest
245,Gedanke::N,мысль,gedachte
246,Gedächtnis::N,память,geheugen
247,Verstand::N,ум,verstand
248,Sinn::N,смысл,betekenis
249,Grund::N,повод,reden
250,Wahrheit::N,правда,waarheid
251,Gespräch::N,беседа,gesprek
252,Märchen::N,сказка,sprookje
253,Erzählung::N,рассказ,verhaal
254,Nachricht::N,сообщение,tijding
255,Neuigkeit::N,новость,nieuws
256,Neuigkeit::N,новость,nieuwtje
257,Name::N,имя,naam
258,Rätsel::N,загадка,raadsel
259,Rede::N,речь,rede
260,Sprache::N,язык,taal
261,Stimme::N,голос,stem
262,Wort::N,слово,woord
263,Zeichen::N,знак,teken
264,Ruf::N,зов,roep
265,Lärm::N,шум,lawaai
266,Laut::N,звук,klank
267,Laut::N,звук,geluid
268,Ton::N,звучание,toon
269,Ton::N,звучание,klank
270,Lied::N,песня,lied
271,Ruhe::N,покой,rust
272,Ruhe::N,покой,stilte
273,Leute::N,люди,lui
274,Leute::N,люди,mensen
275,Volk::N,народ,volk
276,Arbeit::N,работа,werk
277,Arbeit::N,работа,arbeid
278,Gast::N,гость,gast
279,Geschenk::N,подарок,cadeau
280,Geschenk::N,подарок,geschenk
281,Spiel::N,игра,spel
282,Gesellschaft::N,общество,gezelschap
283,Hilfe::N,помощь,hulp
284,Freund::N,друг,vriend
285,Kamerad::N,приятель,maat
286,Kamerad::N,приятель,metgezel
287,Angelegenheit::N,дело,zaak
288,Angelegenheit::N,дело,aangelegenheid
289,Anzahl::N,количество,tal
290,Anzahl::N,количество,aantal
291,Art::N,вид,slag
292,Art::N,вид,soort
293,Stück::N,кусок,stuk
294,Teil::N,часть,deel
295,Hälfte::N,половина,helft
296,Kreis::N,круг,kring
297,Kreis::N,круг,cirkel
298,Kreuz::N,крест,kruis
299,Linie::N,линия,lijn
300,Strich::N,черта,haal
301,Strich::N,черта,streep
302,Abstand::N,промежуток,afstand
303,Entfernung::N,расстояние,afstand
304,Gegend::N,местность,streek
305,Platz::N,пространство,ruimte
306,Ort::N,место,oord
307,Ort::N,место,plaats
308,Seite::N,сторона,zij
309,Seite::N,сторона,kant
310,Seite::N,сторона,zijde
311,Mitte::N,середина,midden
312,Gegenstand::N,предмет,voorwerp
313,Sache::N,вещь,zaak
314,Rand::N,край,rand
315,Rand::N,край,boord
316,Kante::N,ребро,kant
317,Ecke::N,угол,hoek
318,Spitze::N,кончик,punt
319,Spitze::N,кончик,spits
320,Ende::N,конец,einde
321,Ende::N,конец,uiteinde
322,Loch::N,дыра,gat
323,Winkel::N,угол,hoek
324,Muster::N,узор,dessin
325,Muster::N,узор,patroon
326,Größe::N,размер,grootte
327,Länge::N,длина,lengte
328,Höhe::N,высота,hoogte
329,Gewicht::N,вес,gewicht
330,Menge::N,количество,hoeveelheid
331,Haufen::N,куча,hoop
332,Reihe::N,ряд,rij
333,Reihe::N,ряд,reeks
334,Boot::N,лодка,boot
335,Ruder::N,весло,roeiriem
336,Schlitten::N,сани,slee
337,Schlitten::N,сани,slede
338,Ski::N,лыжа,ski
339,Lagerfeuer::N,костер,kampvuur
340,Last::N,тяжесть,last
341,Last::N,тяжесть,vracht
342,Gang::N,ход,wandeling
343,Schritt::N,шаг,stap
344,Schritt::N,шаг,schrede
345,Norden::N,север,noorden
346,Süden::N,юг,zuiden
347,Westen::N,запад,westen
348,Osten::N,восток,oosten
349,Holz::N,древесина,hout
350,Brett::N,доска,plank
351,Platte::N,плита,plaat
352,Stütze::N,подпорка,stut
353,Stütze::N,подпорка,steun
354,Stange::N,жердь,stang
355,Stock::N,палка,stok
356,Stab::N,шест,staf
357,Rohr::N,труба,pijp
358,Haus::N,дом,huis
359,Heim::N,дом,tehuis
