,Concept_ID,lv,it
0,Auge::N,син,occhio
1,Auge::N,acs,occhio
2,Ohr::N,пель,orecchio
3,Ohr::N,auss,orecchio
4,Nase::N,ныр,naso
5,Nase::N,deguns,naso
6,Mund::N,вом,bocca
7,Mund::N,mute,bocca
8,Zahn::N,пинь,dente
9,Zahn::N,zobs,dente
10,Zunge::N,кыв,lingua
11,Zunge::N,mēle,lingua
12,Lippe::N,вом дор,labbro
13,Lippe::N,lūpa,labbro
14,Wange::N,бан,guancia
15,Wange::N,vaigs,guancia
16,Gesicht::N,чужӧм,viso
17,Gesicht::N,чужӧм,faccia
18,Gesicht::N,seja,viso
19,Gesicht::N,seja,faccia
20,Gesicht::N,ģīmis,viso
21,Gesicht::N,ģīmis,faccia
22,Stirn::N,плеш,fronte
23,Stirn::N,кымӧс,fronte
24,Stirn::N,piere,fronte
25,Haar::N,си,capello
26,Haar::N,юрси,capello
27,Haar::N,mats,capello
28,Schnurrbart::N,ус,baffi
29,Schnurrbart::N,ус,mustacchi
30,Schnurrbart::N,пыртсим,baffi
31,Schnurrbart::N,пыртсим,mustacchi
32,Schnurrbart::N,ūsas,baffi
33,Schnurrbart::N,ūsas,mustacchi
34,Bart::N,тош,barba
35,Bart::N,bārda,barba
36,Kinn::N,тшӧка,mento
37,Kinn::N,zods,mento
38,Kinn::N,smakrs,mento
39,Kiefer[Anatomie]::N,черлы,mascella
40,Kiefer[Anatomie]::N,алака лы,mascella
41,Kiefer[Anatomie]::N,вомкӧтш лы,mascella
42,Kiefer[Anatomie]::N,žoklis,mascella
43,Kehle::N,голя,gola
44,Kehle::N,rīkle,gola
45,Hals::N,сьылі,collo
46,Hals::N,kakls,collo
47,Genick::N,юрбӧр,nuca
48,Genick::N,балябӧж,nuca
49,Genick::N,sprands,nuca
50,Kopf::N,юр,capo
51,Kopf::N,юр,testa
52,Kopf::N,galva,capo
53,Kopf::N,galva,testa
54,Rücken::N,мыш,dorso
55,Rücken::N,мыш,schiena
56,Rücken::N,mugura,dorso
57,Rücken::N,mugura,schiena
58,Bauch::N,рушку,ventre
59,Bauch::N,vēders,ventre
60,Nabel::N,гӧг,ombelico
61,Nabel::N,naba,ombelico
62,Busen::N,морӧс,seno
63,Busen::N,krūts,seno
64,Brust::N,морӧс,petto
65,Brust::N,krūts,petto
66,Schulter::N,пельпом,spalla
67,Schulter::N,plecs,spalla
68,Arm::N,ки,braccio
69,Arm::N,roka,braccio
70,Arm::N,delms,braccio
71,Ellenbogen::N,гырддза,gomito
72,Ellenbogen::N,elkonis,gomito
73,Hand::N,ки,mano
74,Hand::N,roka,mano
75,Hand::N,plauksta,mano
76,Handfläche::N,ки пыдӧс,palma
77,Handfläche::N,delna,palma
78,Handfläche::N,plauksta,palma
79,Finger::N,чунь,dito
80,Finger::N,pirksts,dito
81,Fingernagel::N,гыж,unghia
82,Fingernagel::N,nags,unghia
83,Nagel[Anatomie]::N,гыж,unghia
84,Nagel[Anatomie]::N,nags,unghia
85,Zeh::N,кок чунь,dito del piede
86,Zeh::N,pirksts,dito del piede
87,Fuß::N,кок,piede
88,Fuß::N,kāja,piede
89,Ferse::N,кокбӧр,tallone
90,Ferse::N,кокбӧр,calcagno
91,Ferse::N,papēdis,tallone
92,Ferse::N,papēdis,calcagno
93,Knie::N,пидзӧс,ginocchio
94,Knie::N,celis,ginocchio
95,Oberschenkel::N,лядьвей,fèmore
96,Oberschenkel::N,бек,fèmore
97,Oberschenkel::N,ciska,fèmore
98,Oberschenkel::N,augšstilbs,fèmore
99,Bein::N,кок,gamba
100,Bein::N,kāja,gamba
101,Körper::N,туша,corpo
102,Körper::N,вывтыр,corpo
103,Körper::N,miesa,corpo
104,Körper::N,ķermenis,corpo
105,Haut::N,ку,pelle
106,Haut::N,āda,pelle
107,Blut::N,вир,sangue
108,Blut::N,asins,sangue
109,Ader::N,сӧн,vena
110,Ader::N,asinsvads,vena
111,Sehne::N,вез,tèndine
112,Sehne::N,dzīsla,tèndine
