,Concept_ID,mdf,sv
0,Auge::N,сельме,öga
1,Ohr::N,пиле,öra
2,Nase::N,шалхка,näsa
3,Mund::N,курга,mun
4,Zahn::N,пей,tand
5,Zunge::N,кяль,tunga
6,Lippe::N,търва́,läpp
7,Wange::N,щёка,kind
8,Gesicht::N,шама,syn
9,Gesicht::N,шама,ansikte
10,Stirn::N,коня,panna
11,Haar::N,шя́ярь,hår
12,Schnurrbart::N,уса́,mustasch
13,Bart::N,сакал,skägg
14,Kinn::N,ула,haka
15,Kiefer[Anatomie]::N,саласка,käke
16,Kehle::N,кълдома,strupe
17,Kehle::N,кърга́парь,strupe
18,Hals::N,сялдаз,hals
19,Genick::N,шовонь,nacke
20,Kopf::N,пря,huvud
21,Rücken::N,копорь,rygg
22,Bauch::N,пеке,buk
23,Bauch::N,пеке,mage
24,Nabel::N,по́кон,navel
25,Busen::N,потя,barm
26,Brust::N,мяште,bröst
27,Schulter::N,лафту,skuldra
28,Arm::N,кядь,arm
29,Ellenbogen::N,кенерьба́карь,armbåge
30,Hand::N,кядь,hand
31,Handfläche::N,кядьлапш,handflata
32,Finger::N,сур,finger
33,Fingernagel::N,кенже,fingernagel
34,Nagel[Anatomie]::N,кенже,nagel
35,Zeh::N,пильгосу́р,tå
36,Fuß::N,пильге,fot
37,Fuß::N,пильгелапа,fot
38,Ferse::N,кочкяря,häl
39,Knie::N,эль,knä
40,Knie::N,пълма́нжа,knä
41,Oberschenkel::N,пильгепукша,lår
42,Bein::N,пильге,ben
43,Körper::N,ро́нга,kropp
44,Körper::N,по́нда,kropp
45,Haut::N,киське,hud
46,Haut::N,киське,skinn
47,Blut::N,вер,blod
48,Ader::N,сан,åder
49,Ader::N,верза́н,åder
50,Sehne::N,коське сан,sena
51,Knochen::N,пакарь,ben
52,Gehirn::N,уй,hjärna
53,Herz::N,седи,hjärta
54,Magen::N,коткърдазь,mage
55,Leber::N,макса,lever
56,Atem::N,лекома,anda
57,Atem::N,лекома,andedräkt
58,Atem::N,ваймонь тарксема,anda
59,Atem::N,ваймонь тарксема,andedräkt
60,Hunger::N,вачеши,svält
61,Hunger::N,вачеши,hunger
62,Träne::N,сельмове́дь,tår
63,Geschmack::N,таньф,smak
64,Geruch::N,шине,lukt
65,Schlaf::N,удома́,sömn
66,Traum::N,он,dröm
67,Himmel::N,менель,himmel
68,Sonne::N,ши,sol
69,Mond::N,ков,måne
70,Stern::N,тяште,stjärna
71,Luft::N,кожф,luft
72,Wind::N,варма,vind
73,Welle::N,тавла,våg
74,Welle::N,тавла,bölja
75,Wasser::N,ведь,vatten
76,Stein::N,кев,sten
77,Boden::N,мода,mark
78,Boden::N,потмакс,mark
79,Erde::N,мода,jord
80,Erde::N,мастор,jord
81,Staub::N,пуль,damm
82,Rauch::N,качам,rök
83,Funke::N,ця́тка,gnista
84,Feuer::N,тол,eld
85,Licht::N,ва́лда,ljus
86,Schatten::N,цильф,skugga
87,Wetter::N,уша,väder
88,Nebel::N,тума́н,dimma
89,Nebel::N,тума́н,töcken
90,Wolke::N,ковол,sky
91,Wolke::N,ковол,moln
92,Regen::N,пизем,regn
93,Schnee::N,лов,snö
94,Eis::N,эй,is
95,Frost::N,ке́льме,frost
96,Kälte::N,якшама,köld
97,Hitze::N,пси,hetta
98,Raureif::N,леш,rimfrost
99,Regenbogen::N,а́тямъёнга,regnbåge
100,Donner::N,атям,åska
101,Donner::N,атям,dunder
102,Strömung::N,шудема́,strömning
103,Tropfen::N,путькс,dropper
104,Tropfen::N,пътняфкс,dropper
105,Schaum::N,шов,skum
106,Schmutz::N,ърда́з,lort
107,Schmutz::N,ърда́з,smuts
108,See::N,эрьхке,sjö
109,Sumpf::N,шяй,träsk
110,Moor::N,шяй,myr
111,Moor::N,шяй,mosse
112,Wiese::N,луга,äng
113,Wald::N,вирь,skog
114,Hügel::N,губо́р,höjd
115,Hügel::N,губо́р,kulle
116,Hügel::N,пандоня,höjd
117,Hügel::N,пандоня,kulle
118,Anhöhe::N,губо́р,höjd
119,Anhöhe::N,губо́р,backe
120,Berg::N,панда,berg
121,Berg::N,панда,fjäll
122,Gipfel::N,пря,topp
123,Höhle::N,у́нда,håla
124,Höhle::N,у́нда,grotta
125,Abhang::N,па́нда ша́ма,slänt
126,Abhang::N,па́нда ша́ма,sluttning
127,Quelle::N,эшиня,källa
128,Bach::N,шудерькс,bäck
129,Fluss::N,ляй,älv
130,Fluss::N,ляй,flod
131,Ufer::N,търва́,strand
132,Küste::N,ляйтърва́,kust
133,Festland::N,мода,fastland
134,Meer::N,моря,hav
135,Bucht::N,ведьуське,vik
136,Bucht::N,ведьуське,bukt
137,Insel::N,цёнга,ö
138,Blume::N,панчф,blomma
139,Blume::N,панчф,blomster
140,Gras::N,тише,gräs
141,Wurzel::N,юр,rot
142,Wurzel::N,ункс,rot
143,Baum::N,шуфта,träd
144,Stamm::N,ро́нга,stam
145,Rinde::N,кер,bark
146,Ast::N,морга,gren
147,Zweig::N,тарад,kvist
148,Blatt::N,лопа,löv
149,Blatt::N,лопа,blad
150,Birke::N,ке́лу,björk
151,Kiefer[Baum]::N,пиче,tall
152,Weide[Baum]::N,каль,pil
153,Weide[Baum]::N,каль,vide
154,Tanne::N,куз,gran
155,Horn::N,сюра,horn
156,Feder::N,толга,fjäder
157,Fell::N,кедь,fäll
158,Fell::N,кедь,skinn
159,Flügel::N,паця,vinge
160,Klaue::N,кенже,klöv
161,Kralle::N,кенже,klo
162,Schwanz::N,пула,svans
163,Schwanz::N,пула,stjärt
164,Ei::N,ал,ägg
165,Nest::N,пиза,rede
166,Nest::N,пиза,näste
167,Bau::N,пиза,bo
168,Tier::N,жува́та,djur
169,Herde::N,нал,flock
170,Herde::N,стада,flock
171,Kuh::N,скал,ko
172,Kuh::N,тракс,ko
173,Bulle::N,бука,tjur
174,Pferd::N,лишме,häst
175,Schaf::N,уча́,får
176,Schwein::N,тува,svin
177,Hund::N,пине,hund
178,Katze::N,катоня,katt
179,Katze::N,аваката,katt
180,Bär::N,офта,björn
181,Eichhörnchen::N,ур,ekorre
182,Elch::N,ся́рда,älg
183,Fuchs::N,келазь,räv
184,Hase::N,ну́мол,hare
185,Maus::N,шеер,mus
186,Wolf::N,върьгаз,varg
187,Vogel::N,нармонь,fågel
188,Schwarm::N,ко́вол,svärm
189,Schwarm::N,ме́швеле,svärm
190,Huhn::N,сараз,höns
191,Hahn::N,а́тякш,tupp
192,Gans::N,маци,gås
193,Adler::N,куцькан,örn
194,Ente::N,яксярга,anka
195,Eule::N,ко́рож,uggla
196,Kranich::N,ка́рга,trana
197,Krähe::N,ва́рси,kråka
198,Kuckuck::N,ку́ку,gök
199,Schwan::N,ло́ксти,svan
200,Fisch::N,кал,fisk
201,Barsch::N,о́кунь,abborre
202,Hecht::N,щу́ка,gädda
203,Schlange[Tier]::N,куй,orm
204,Wurm::N,сукс,mask
205,Spinne::N,унжа́,spindel
206,Ameise::N,панжам,myra
207,Laus::N,си,lus
208,Mücke::N,ся́ське,mygga
209,Fliege::N,кару,fluga
210,Schmetterling::N,ме́лав,fjäril
211,Beere::N,и́мож,bär
