,Concept_ID,ro,lv
0,Auge::N,ochi,син
1,Auge::N,ochi,acs
2,Ohr::N,ureche,пель
3,Ohr::N,ureche,auss
4,Nase::N,nas,ныр
5,Nase::N,nas,deguns
6,Mund::N,gură,вом
7,Mund::N,gură,mute
8,Zahn::N,dinte,пинь
9,Zahn::N,dinte,zobs
10,Zunge::N,limbă,кыв
11,Zunge::N,limbă,mēle
12,Lippe::N,buză,вом дор
13,Lippe::N,buză,lūpa
14,Wange::N,bucă,бан
15,Wange::N,bucă,vaigs
16,Wange::N,obraz,бан
17,Wange::N,obraz,vaigs
18,Gesicht::N,față,чужӧм
19,Gesicht::N,față,seja
20,Gesicht::N,față,ģīmis
21,Gesicht::N,figură,чужӧм
22,Gesicht::N,figură,seja
23,Gesicht::N,figură,ģīmis
24,Stirn::N,frunte,плеш
25,Stirn::N,frunte,кымӧс
26,Stirn::N,frunte,piere
27,Haar::N,păr,си
28,Haar::N,păr,юрси
29,Haar::N,păr,mats
30,Schnurrbart::N,mustață,ус
31,Schnurrbart::N,mustață,пыртсим
32,Schnurrbart::N,mustață,ūsas
33,Bart::N,barbă,тош
34,Bart::N,barbă,bārda
35,Kinn::N,bărbie,тшӧка
36,Kinn::N,bărbie,zods
37,Kinn::N,bărbie,smakrs
38,Kiefer[Anatomie]::N,falcă,черлы
39,Kiefer[Anatomie]::N,falcă,алака лы
40,Kiefer[Anatomie]::N,falcă,вомкӧтш лы
41,Kiefer[Anatomie]::N,falcă,žoklis
42,Kehle::N,beregată,голя
43,Kehle::N,beregată,rīkle
44,Hals::N,gât,сьылі
45,Hals::N,gât,kakls
46,Genick::N,ceafă,юрбӧр
47,Genick::N,ceafă,балябӧж
48,Genick::N,ceafă,sprands
49,Kopf::N,cap,юр
50,Kopf::N,cap,galva
51,Rücken::N,dos,мыш
52,Rücken::N,dos,mugura
53,Rücken::N,spate,мыш
54,Rücken::N,spate,mugura
55,Rücken::N,spinare,мыш
56,Rücken::N,spinare,mugura
57,Bauch::N,burtă,рушку
58,Bauch::N,burtă,vēders
59,Bauch::N,pântece,рушку
60,Bauch::N,pântece,vēders
61,Nabel::N,buric,гӧг
62,Nabel::N,buric,naba
63,Busen::N,sân,морӧс
64,Busen::N,sân,krūts
65,Brust::N,piept,морӧс
66,Brust::N,piept,krūts
67,Schulter::N,umăr,пельпом
68,Schulter::N,umăr,plecs
69,Schulter::N,spate,пельпом
70,Schulter::N,spate,plecs
71,Arm::N,braț,ки
72,Arm::N,braț,roka
73,Arm::N,braț,delms
74,Ellenbogen::N,cot,гырддза
75,Ellenbogen::N,cot,elkonis
76,Hand::N,mână,ки
77,Hand::N,mână,roka
78,Hand::N,mână,plauksta
79,Handfläche::N,palmă,ки пыдӧс
80,Handfläche::N,palmă,delna
81,Handfläche::N,palmă,plauksta
82,Finger::N,deget,чунь
83,Finger::N,deget,pirksts
84,Fingernagel::N,unghie,гыж
85,Fingernagel::N,unghie,nags
86,Nagel[Anatomie]::N,unghie,гыж
87,Nagel[Anatomie]::N,unghie,nags
88,Zeh::N,deget de la picior,кок чунь
89,Zeh::N,deget de la picior,pirksts
90,Fuß::N,picior,кок
91,Fuß::N,picior,kāja
92,Ferse::N,călcâi,кокбӧр
93,Ferse::N,călcâi,papēdis
94,Knie::N,genunchi,пидзӧс
95,Knie::N,genunchi,celis
96,Oberschenkel::N,coapsă,лядьвей
97,Oberschenkel::N,coapsă,бек
98,Oberschenkel::N,coapsă,ciska
99,Oberschenkel::N,coapsă,augšstilbs
100,Bein::N,picior,кок
101,Bein::N,picior,kāja
102,Körper::N,corp,туша
103,Körper::N,corp,вывтыр
104,Körper::N,corp,miesa
105,Körper::N,corp,ķermenis
106,Haut::N,piele,ку
107,Haut::N,piele,āda
108,Blut::N,sânge,вир
109,Blut::N,sânge,asins
110,Ader::N,vână,сӧн
111,Ader::N,vână,asinsvads
112,Ader::N,arteră,сӧн
113,Ader::N,arteră,asinsvads
114,Sehne::N,tendon,вез
115,Sehne::N,tendon,dzīsla
116,Knochen::N,os,лы
117,Knochen::N,os,kauls
118,Gehirn::N,creier,вем
119,Gehirn::N,creier,smadzenes
120,Herz::N,inimă,сьӧлӧм
121,Herz::N,inimă,sirds
122,Magen::N,stomac,кынӧм
123,Magen::N,stomac,kuņģis
124,Leber::N,ficat,мус
125,Leber::N,ficat,aknas
126,Atem::N,răsuflare,лов
127,Atem::N,răsuflare,elpa
128,Atem::N,respirație,лов
129,Atem::N,respirație,elpa
130,Hunger::N,foame,тшыг
131,Hunger::N,foame,bads
132,Hunger::N,foame,izsalkums
133,Träne::N,lacrimă,синва
134,Träne::N,lacrimă,asara
135,Geschmack::N,gust,кӧр
136,Geschmack::N,gust,чӧсмӧс
137,Geschmack::N,gust,garša
138,Geruch::N,miros,зын
139,Geruch::N,miros,дук
140,Geruch::N,miros,smaka
141,Schlaf::N,somn,узьӧм
142,Schlaf::N,somn,miegs
143,Traum::N,vis,вӧт
144,Traum::N,vis,вӧтасьӧм
145,Traum::N,vis,sapnis
146,Himmel::N,cer,енэж
147,Himmel::N,cer,debess
148,Sonne::N,soare,шонді
149,Sonne::N,soare,saule
150,Mond::N,lună,тӧлысь
151,Mond::N,lună,mēness
152,Stern::N,stea,кодзув
153,Stern::N,stea,zvaigzne
154,Luft::N,aer,сынӧд
155,Luft::N,aer,gaiss
156,Wind::N,vânt,тӧв
157,Wind::N,vânt,vējš
158,Welle::N,val,гы
159,Welle::N,val,vilnis
160,Welle::N,undă,гы
161,Welle::N,undă,vilnis
162,Wasser::N,apă,ва
163,Wasser::N,apă,ūdens
164,Stein::N,piatră,из
165,Stein::N,piatră,akmens
166,Boden::N,sol,му
167,Boden::N,sol,augsne
168,Boden::N,pământ,му
169,Boden::N,pământ,augsne
170,Erde::N,pământ,му
171,Erde::N,pământ,му-ва
172,Erde::N,pământ,zeme
173,Staub::N,praf,бус
174,Staub::N,praf,putekļi
175,Rauch::N,fum,тшын
176,Rauch::N,fum,dūmi
177,Funke::N,scânteie,кинь
178,Funke::N,scânteie,би кинь
179,Funke::N,scânteie,dzirkstele
180,Feuer::N,foc,би
181,Feuer::N,foc,uguns
182,Licht::N,lumină,югӧр
183,Licht::N,lumină,gaisma
184,Schatten::N,umbră,вуджӧр
185,Schatten::N,umbră,ēna
186,Wetter::N,timp,поводдя
187,Wetter::N,timp,laiks
188,Wetter::N,vreme,поводдя
189,Wetter::N,vreme,laiks
190,Nebel::N,ceață,ру
191,Nebel::N,ceață,онь
192,Nebel::N,ceață,migla
193,Nebel::N,negură,ру
194,Nebel::N,negură,онь
195,Nebel::N,negură,migla
196,Wolke::N,nor,кымӧр
197,Wolke::N,nor,mākonis
198,Regen::N,ploaie,зэр
199,Regen::N,ploaie,lietus
200,Schnee::N,zăpadă,лым
201,Schnee::N,zăpadă,sniegs
202,Eis::N,gheață,йи
203,Eis::N,gheață,ledus
204,Frost::N,ger,кӧдзыд
205,Frost::N,ger,sals
206,Kälte::N,frig,кӧдзыд
207,Kälte::N,frig,saltums
208,Kälte::N,frig,aukstums
209,Hitze::N,arșiță,пӧсь
210,Hitze::N,arșiță,гожӧд
211,Hitze::N,arșiță,karstums
212,Hitze::N,căldură,пӧсь
213,Hitze::N,căldură,гожӧд
214,Hitze::N,căldură,karstums
215,Raureif::N,chiciură,пуж
216,Raureif::N,chiciură,гыӧр
217,Raureif::N,chiciură,sarma
218,Regenbogen::N,curcubeu,ӧшкамӧшка
219,Regenbogen::N,curcubeu,varavīksne
220,Donner::N,tunet,гым
221,Donner::N,tunet,pērkons
222,Strömung::N,curent,ва ныр
223,Strömung::N,curent,визувтӧм
224,Strömung::N,curent,straume
225,Strömung::N,curent,strāvojums
226,Tropfen::N,picătură,войт
227,Tropfen::N,picătură,lāse
228,Schaum::N,spumă,быг
229,Schaum::N,spumă,быгзьӧм
230,Schaum::N,spumă,putas
231,Schmutz::N,murdărie,няйт
232,Schmutz::N,murdărie,dubļi
233,See::N,lac,ты
234,See::N,lac,ezers
235,Sumpf::N,mlaștină,гыбад
236,Sumpf::N,mlaștină,кад
237,Sumpf::N,mlaștină,dumbrājs
238,Sumpf::N,mlaștină,staignājs
239,Moor::N,bărăgan,нюр
240,Moor::N,bărăgan,purvs
241,Moor::N,bărăgan,muklājs
242,Wiese::N,fânaț,видз
243,Wiese::N,fânaț,pļava
244,Wiese::N,livadă,видз
245,Wiese::N,livadă,pļava
246,Wald::N,codru,вӧр
247,Wald::N,codru,mežs
248,Wald::N,pădure,вӧр
249,Wald::N,pădure,mežs
250,Hügel::N,deal,дзиб
251,Hügel::N,deal,мыльк
252,Hügel::N,deal,нӧрыс
253,Hügel::N,deal,paugurs
254,Hügel::N,movilă,дзиб
255,Hügel::N,movilă,мыльк
256,Hügel::N,movilă,нӧрыс
257,Hügel::N,movilă,paugurs
258,Anhöhe::N,deal,мыльк
259,Anhöhe::N,deal,нӧрыс
260,Anhöhe::N,deal,paugurs
261,Anhöhe::N,ridicătură,мыльк
262,Anhöhe::N,ridicătură,нӧрыс
263,Anhöhe::N,ridicătură,paugurs
264,Berg::N,munte,чой
265,Berg::N,munte,керӧс
266,Berg::N,munte,kalns
267,Gipfel::N,pisc,чук
268,Gipfel::N,pisc,virsotne
269,Höhle::N,peșteră,рудӧг
270,Höhle::N,peșteră,ala
271,Abhang::N,pantă,ньывк
272,Abhang::N,pantă,бокша
273,Abhang::N,pantă,nogāze
274,Abhang::N,versant,ньывк
275,Abhang::N,versant,бокша
276,Abhang::N,versant,nogāze
277,Quelle::N,izvor,ӧшмӧс
278,Quelle::N,izvor,avots
279,Bach::N,gârlă,шор
280,Bach::N,gârlă,urga
281,Bach::N,gârlă,strauts
282,Fluss::N,râu,ю
283,Fluss::N,râu,upe
284,Fluss::N,fluviu,ю
285,Fluss::N,fluviu,upe
286,Ufer::N,mal,вадор
287,Ufer::N,mal,krasts
288,Ufer::N,țărm,вадор
289,Ufer::N,țărm,krasts
290,Küste::N,coastă,вадор
291,Küste::N,coastă,piekraste
292,Festland::N,uscat,му
293,Festland::N,uscat,sauszeme
294,Meer::N,mare,саридз
295,Meer::N,mare,jūra
296,Bucht::N,golf,куръя
297,Bucht::N,golf,līcis
298,Insel::N,insulă,ді
299,Insel::N,insulă,sala
300,Blume::N,floare,дзоридз
301,Blume::N,floare,puķe
302,Blume::N,floare,zieds
303,Gras::N,iarbă,турун
304,Gras::N,iarbă,zāle
305,Wurzel::N,rădăcină,вуж
306,Wurzel::N,rădăcină,sakne
307,Baum::N,copac,пу
308,Baum::N,copac,koks
309,Baum::N,arbore,пу
310,Baum::N,arbore,koks
311,Stamm::N,tulpină,пучер
312,Stamm::N,tulpină,stumbrs
313,Rinde::N,scoarță,кырсь
314,Rinde::N,scoarță,miza
315,Ast::N,cracă,ув
316,Ast::N,cracă,zars
317,Ast::N,creangă,ув
318,Ast::N,creangă,zars
319,Zweig::N,ramură,вож
320,Zweig::N,ramură,nozare
321,Zweig::N,creangă,вож
322,Zweig::N,creangă,nozare
323,Blatt::N,frunză,кор
324,Blatt::N,frunză,lapa
325,Birke::N,mesteacăn,кыдз
326,Birke::N,mesteacăn,bērzs
327,Kiefer[Baum]::N,pin,пожӧм
328,Kiefer[Baum]::N,pin,priede
329,Weide[Baum]::N,salcie,бадь
330,Weide[Baum]::N,salcie,kārkls
331,Weide[Baum]::N,răchită,бадь
332,Weide[Baum]::N,răchită,kārkls
333,Tanne::N,brad,коз
334,Tanne::N,brad,egle
335,Horn::N,corn,сюр
336,Horn::N,corn,rags
337,Feder::N,pană,гӧн
338,Feder::N,pană,тывборд
339,Feder::N,pană,spalva
340,Fell::N,piele,ку
341,Fell::N,piele,āda
342,Flügel::N,aripă,борд
343,Flügel::N,aripă,spārns
344,Klaue::N,gheară,гыж
345,Klaue::N,gheară,nags
346,Kralle::N,labă,гыж
347,Kralle::N,labă,nags
348,Kralle::N,gheară,гыж
349,Kralle::N,gheară,nags
350,Schwanz::N,coadă,бӧж
351,Schwanz::N,coadă,ļipa
352,Ei::N,ou,кольк
353,Ei::N,ou,ola
354,Nest::N,cuib,поз
355,Nest::N,cuib,ligzda
356,Bau::N,bârlog,горс
357,Bau::N,bârlog,пырмӧс
358,Bau::N,bârlog,гу
359,Bau::N,bârlog,ala
360,Bau::N,vizuină,горс
