,Concept_ID,da,de
0,Auge::N,øje,Auge
1,Ohr::N,øre,Ohr
2,Nase::N,næse,Nase
3,Mund::N,mund,Mund
4,Zahn::N,tand,Zahn
5,Zunge::N,tunge,Zunge
6,Lippe::N,læbe,Lippe
7,Wange::N,kind,Wange
8,Gesicht::N,ansigt,Gesicht
9,Stirn::N,pande,Stirn
10,Haar::N,hår,Haar
11,Schnurrbart::N,overskæg,Schnurrbart
12,Bart::N,skæg,Bart
13,Kinn::N,hage,Kinn
14,Kiefer[Anatomie]::N,kæbe,Kiefer
15,Kehle::N,strube,Kehle
16,Hals::N,hals,Hals
17,Genick::N,nakke,Genick
18,Kopf::N,hoved,Kopf
19,Rücken::N,ryg,Rücken
20,Bauch::N,mave,Bauch
21,Nabel::N,navle,Nabel
22,Busen::N,barm,Busen
23,Brust::N,bryst,Brust
24,Schulter::N,skulder,Schulter
25,Arm::N,arm,Arm
26,Ellenbogen::N,albue,Ellenbogen
27,Hand::N,hånd,Hand
28,Handfläche::N,håndflade,Handfläche
29,Finger::N,finger,Finger
30,Fingernagel::N,fingernegl,Fingernagel
31,Nagel[Anatomie]::N,negl,Nagel
32,Zeh::N,tå,Zeh
33,Fuß::N,fod,Fuß
34,Ferse::N,hæl,Ferse
35,Knie::N,knæ,Knie
36,Oberschenkel::N,lår,Oberschenkel
37,Bein::N,ben,Bein
38,Körper::N,krop,Körper
39,Körper::N,legeme,Körper
40,Haut::N,hud,Haut
41,Blut::N,blod,Blut
42,Ader::N,åre,Ader
43,Sehne::N,sene,Sehne
44,Knochen::N,ben,Knochen
45,Gehirn::N,hjerne,Gehirn
46,Herz::N,hjerte,Herz
47,Magen::N,mave,Magen
48,Leber::N,lever,Leber
49,Atem::N,ånde,Atem
50,Hunger::N,sult,Hunger
51,Träne::N,tåre,Träne
52,Geschmack::N,smag,Geschmack
53,Geruch::N,lugt,Geruch
54,Schlaf::N,søvn,Schlaf
55,Traum::N,drøm,Traum
56,Himmel::N,himmel,Himmel
57,Sonne::N,sol,Sonne
58,Mond::N,måne,Mond
59,Stern::N,stjerne,Stern
60,Luft::N,luft,Luft
61,Wind::N,vind,Wind
62,Welle::N,bølge,Welle
63,Wasser::N,vand,Wasser
64,Stein::N,sten,Stein
65,Boden::N,jord,Boden
66,Erde::N,jord,Erde
67,Staub::N,støv,Staub
68,Rauch::N,røg,Rauch
69,Funke::N,gnist,Funke
70,Feuer::N,ild,Feuer
71,Licht::N,lys,Licht
72,Schatten::N,skygge,Schatten
73,Wetter::N,vejr,Wetter
74,Nebel::N,tåge,Nebel
75,Wolke::N,sky,Wolke
76,Regen::N,regn,Regen
77,Schnee::N,sne,Schnee
78,Eis::N,is,Eis
79,Frost::N,frost,Frost
80,Kälte::N,kulde,Kälte
81,Hitze::N,hede,Hitze
82,Raureif::N,rimfrost,Raureif
83,Regenbogen::N,regnbue,Regenbogen
84,Donner::N,torden,Donner
85,Strömung::N,strømning,Strömung
86,Tropfen::N,dråbe,Tropfen
87,Schaum::N,skum,Schaum
88,Schmutz::N,snavs,Schmutz
89,See::N,sø,See
90,Sumpf::N,sump,Sumpf
91,Moor::N,mose,Moor
92,Wiese::N,eng,Wiese
93,Wald::N,skov,Wald
94,Hügel::N,høj,Hügel
95,Hügel::N,bakke,Hügel
96,Anhöhe::N,høj,Anhöhe
97,Anhöhe::N,bakke,Anhöhe
98,Berg::N,bjerg,Berg
99,Gipfel::N,top,Gipfel
100,Höhle::N,hule,Höhle
101,Abhang::N,skrænt,Abhang
102,Abhang::N,skråning,Abhang
103,Quelle::N,kilde,Quelle
104,Bach::N,bæk,Bach
105,Fluss::N,flod,Fluss
106,Ufer::N,bred,Ufer
107,Küste::N,kyst,Küste
108,Festland::N,fastland,Festland
109,Meer::N,hav,Meer
110,Bucht::N,bugt,Bucht
111,Insel::N,ø,Insel
112,Blume::N,blomst,Blume
113,Gras::N,græs,Gras
114,Wurzel::N,rod,Wurzel
115,Baum::N,træ,Baum
116,Stamm::N,stamme,Stamm
117,Rinde::N,bark,Rinde
118,Ast::N,gren,Ast
119,Zweig::N,kvist,Zweig
120,Blatt::N,blad,Blatt
121,Birke::N,birk,Birke
122,Kiefer[Baum]::N,fyrretræ,Kiefer
123,Weide[Baum]::N,piletræ,Weide
124,Tanne::N,gran,Tanne
125,Horn::N,horn,Horn
126,Feder::N,fjer,Feder
127,Fell::N,skind,Fell
128,Flügel::N,vinge,Flügel
129,Klaue::N,klov,Klaue
130,Kralle::N,klo,Kralle
131,Schwanz::N,hale,Schwanz
132,Ei::N,æg,Ei
133,Nest::N,rede,Nest
134,Bau::N,bo,Bau
135,Tier::N,dyr,Tier
136,Herde::N,flok,Herde
137,Kuh::N,ko,Kuh
138,Bulle::N,tyr,Bulle
139,Pferd::N,hest,Pferd
140,Schaf::N,får,Schaf
141,Schwein::N,gris,Schwein
142,Hund::N,hund,Hund
143,Katze::N,kat,Katze
144,Bär::N,bjørn,Bär
145,Eichhörnchen::N,egern,Eichhörnchen
146,Elch::N,elg,Elch
147,Fuchs::N,ræv,Fuchs
148,Hase::N,hare,Hase
149,Maus::N,mus,Maus
150,Wolf::N,ulv,Wolf
151,Vogel::N,fugl,Vogel
152,Schwarm::N,sværm,Schwarm
153,Huhn::N,høne,Huhn
154,Hahn::N,hane,Hahn
155,Gans::N,gås,Gans
156,Adler::N,ørn,Adler
157,Ente::N,and,Ente
158,Eule::N,ugle,Eule
