,Concept_ID,zh,lv
0,Auge::N,眼睛,син
1,Auge::N,眼睛,acs
2,Ohr::N,耳朵,пель
3,Ohr::N,耳朵,auss
4,Nase::N,鼻子,ныр
5,Nase::N,鼻子,deguns
6,Mund::N,嘴,вом
7,Mund::N,嘴,mute
8,Zahn::N,牙齿,пинь
9,Zahn::N,牙齿,zobs
10,Zunge::N,舌头,кыв
11,Zunge::N,舌头,mēle
12,Lippe::N,嘴唇,вом дор
13,Lippe::N,嘴唇,lūpa
14,Wange::N,面颊,бан
15,Wange::N,面颊,vaigs
16,Gesicht::N,脸,чужӧм
17,Gesicht::N,脸,seja
18,Gesicht::N,脸,ģīmis
19,Stirn::N,额,плеш
20,Stirn::N,额,кымӧс
21,Stirn::N,额,piere
22,Haar::N,头发,си
23,Haar::N,头发,юрси
24,Haar::N,头发,mats
25,Schnurrbart::N,髭须,ус
26,Schnurrbart::N,髭须,пыртсим
27,Schnurrbart::N,髭须,ūsas
28,Bart::N,胡子,тош
29,Bart::N,胡子,bārda
30,Kinn::N,下巴,тшӧка
31,Kinn::N,下巴,zods
32,Kinn::N,下巴,smakrs
33,Kiefer[Anatomie]::N,颌,черлы
34,Kiefer[Anatomie]::N,颌,алака лы
35,Kiefer[Anatomie]::N,颌,вомкӧтш лы
36,Kiefer[Anatomie]::N,颌,žoklis
37,Kehle::N,嗓子,голя
38,Kehle::N,嗓子,rīkle
39,Hals::N,颈,сьылі
40,Hals::N,颈,kakls
41,Genick::N,后颈,юрбӧр
42,Genick::N,后颈,балябӧж
43,Genick::N,后颈,sprands
44,Kopf::N,头,юр
45,Kopf::N,头,galva
46,Rücken::N,背,мыш
47,Rücken::N,背,mugura
48,Bauch::N,肚子,рушку
49,Bauch::N,肚子,vēders
50,Nabel::N,肚脐,гӧг
51,Nabel::N,肚脐,naba
52,Busen::N,胸脯,морӧс
53,Busen::N,胸脯,krūts
54,Brust::N,胸,морӧс
55,Brust::N,胸,krūts
56,Schulter::N,肩膀,пельпом
57,Schulter::N,肩膀,plecs
58,Arm::N,臂膀,ки
59,Arm::N,臂膀,roka
60,Arm::N,臂膀,delms
61,Ellenbogen::N,肘,гырддза
62,Ellenbogen::N,肘,elkonis
63,Hand::N,手,ки
64,Hand::N,手,roka
65,Hand::N,手,plauksta
66,Handfläche::N,手掌,ки пыдӧс
67,Handfläche::N,手掌,delna
68,Handfläche::N,手掌,plauksta
69,Finger::N,手指,чунь
70,Finger::N,手指,pirksts
71,Fingernagel::N,指甲,гыж
72,Fingernagel::N,指甲,nags
