,Concept_ID,fa,mhr
0,Auge::N,چشم,шинча́
1,Ohr::N,گوش,пы́лыш
2,Nase::N,بینی,нер
3,Mund::N,دهان,умша́
4,Zahn::N,دندان,пӱй
5,Zunge::N,زبان,йы́лме
6,Lippe::N,لب,тӱ́рвӧ
7,Wange::N,لپ,шӱ́ргӧ
8,Gesicht::N,رو,чури́й
9,Gesicht::N,چهره,чури́й
10,Stirn::N,پیشانی,саҥга́
11,Haar::N,مو,ӱп
12,Schnurrbart::N,سبیل,ӧ́рыш
13,Bart::N,ریش,понда́ш
14,Kinn::N,چانه,оҥыла́ш
15,Kiefer[Anatomie]::N,فک,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,فک,пӱйората́
17,Kiefer[Anatomie]::N,آرواره,пӱйдӱ́ҥ
18,Kiefer[Anatomie]::N,آرواره,пӱйората́
19,Kehle::N,حلق,лога́р
20,Hals::N,گردن,шӱй
21,Genick::N,پشت گردن,шӱйло́дыш
22,Kopf::N,سر,вуй
23,Kopf::N,کله,вуй
24,Rücken::N,پشت,туп
25,Bauch::N,شکم,мӱ́шкыр
26,Nabel::N,ناف,кы́лымде
27,Busen::N,پستان,чы́зе
28,Brust::N,سینه,оҥ
29,Schulter::N,دوش,ва́че
30,Schulter::N,شانه,ва́че
31,Arm::N,بازو,кид
32,Ellenbogen::N,آرنج,кынерву́й
33,Hand::N,دست,кид
34,Hand::N,دست,копа́
35,Handfläche::N,کف دست,со́во
36,Finger::N,انگشت,парня́
37,Fingernagel::N,ناخن دست,кидкӱ́ч
38,Fingernagel::N,ناخن دست,парнягӱ́ч
39,Nagel[Anatomie]::N,ناخن,кӱч
40,Zeh::N,انگشت پا,йолварня́
41,Fuß::N,پا,йол
42,Fuß::N,پا,йолкопа́
43,Ferse::N,پاشنه,тага́н
44,Knie::N,زانو,пулву́й
45,Oberschenkel::N,ران,э́рде
46,Bein::N,پا,йол
47,Bein::N,لنگ,йол
48,Körper::N,تن,кап
49,Körper::N,بدن,кап
50,Haut::N,پوست,кова́ште
51,Blut::N,خون,вӱр
52,Ader::N,رگ,шӧн
53,Sehne::N,زردپی,шӧн
54,Sehne::N,زردپی,кӱсе́н
55,Knochen::N,استخوان,лу
56,Gehirn::N,مخ,вем
