,Concept_ID,sk,es
0,Auge::N,oko,ojo
1,Ohr::N,ucho,oreja
2,Nase::N,nos,nariz
3,Mund::N,ústa,boca
4,Zahn::N,zub,diente
5,Zunge::N,jazyk,lengua
6,Lippe::N,pera,labio
7,Wange::N,líce,mejilla
8,Gesicht::N,tvár,cara
9,Gesicht::N,obličaj,cara
10,Stirn::N,čelo,frente
11,Haar::N,vlas,cabello
12,Schnurrbart::N,fúzy,bigote
13,Bart::N,brada,barba
14,Kinn::N,brada,barbilla
15,Kiefer[Anatomie]::N,čeľusť,mandíbula
16,Kehle::N,hrdlo,garganta
17,Hals::N,krk,cuello
18,Genick::N,väzy,nuca
19,Genick::N,väzy,cerviz
20,Kopf::N,hlava,cabeza
21,Rücken::N,chrbát,espalda
22,Bauch::N,brucho,vientre
23,Nabel::N,pupok,ombligo
24,Busen::N,prsia,pecho
25,Brust::N,hruď,pecho
26,Schulter::N,plece,hombro
27,Arm::N,rameno,brazo
28,Ellenbogen::N,lakeť,codo
29,Hand::N,ruka,mano
30,Handfläche::N,dlaň,palma
31,Finger::N,prst,dedo
32,Fingernagel::N,necht,uña
33,Nagel[Anatomie]::N,necht,uña
34,Zeh::N,prst na nohe,dedo del pie
35,Fuß::N,noha,pie
36,Ferse::N,päta,talón
37,Knie::N,koleno,rodilla
38,Oberschenkel::N,stehno,muslo
39,Bein::N,noha,pierna
40,Körper::N,telo,cuerpo
41,Haut::N,koža,piel
42,Blut::N,krv,sangre
43,Ader::N,žila,vena
44,Sehne::N,šľacha,tendón
45,Knochen::N,kosť,hueso
46,Gehirn::N,mozog,cerebro
47,Gehirn::N,mozog,encéfalo
48,Herz::N,srdce,corazón
49,Magen::N,žalúdok,estómago
50,Leber::N,pečeň,hígado
51,Atem::N,dych,aliento
52,Hunger::N,hlad,hambre
53,Träne::N,slza,lágrima
54,Geschmack::N,chuť,gusto
55,Geruch::N,pach,olor
56,Schlaf::N,spánok,sueño
57,Traum::N,sen,sueño
58,Traum::N,sen,ensueño
59,Himmel::N,nebo,cielo
60,Sonne::N,slnko,sol
61,Mond::N,mesiac,luna
62,Stern::N,hviezda,estrella
63,Luft::N,vzduch,aire
64,Wind::N,vietor,viento
65,Welle::N,vlna,ola
66,Welle::N,vlna,onda
67,Wasser::N,voda,agua
68,Stein::N,kameň,piedra
69,Boden::N,zem,suelo
70,Boden::N,pôda,suelo
71,Erde::N,zem,tierra
72,Staub::N,prach,polvo
73,Rauch::N,dym,humo
74,Funke::N,iskra,chispa
75,Feuer::N,oheň,fuego
76,Licht::N,svetlo,luz
77,Schatten::N,tieň,sombra
78,Wetter::N,počasie,tiempo
79,Nebel::N,hmla,niebla
80,Wolke::N,oblak,nube
81,Wolke::N,mračno,nube
82,Regen::N,dážď,lluvia
83,Schnee::N,sneh,nieve
84,Eis::N,ľad,hielo
85,Frost::N,mráz,helada
86,Kälte::N,zima,frío
87,Kälte::N,chlad,frío
88,Hitze::N,horúčava,calor
89,Raureif::N,srieň,escarcha
90,Raureif::N,inovať,escarcha
91,Regenbogen::N,dúha,arco iris
92,Donner::N,hrom,trueno
93,Strömung::N,prúdenie,corriente
94,Tropfen::N,kvapka,gota
95,Schaum::N,pena,espuma
96,Schmutz::N,špina,suciedad
97,Schmutz::N,nečistota,suciedad
98,See::N,jazero,lago
99,Sumpf::N,bahno,pantano
100,Moor::N,močiar,turbera
101,Wiese::N,lúka,prado
102,Wiese::N,lúka,pradera
103,Wald::N,les,bosque
104,Wald::N,hora,bosque
105,Hügel::N,vŕšok,colina
106,Anhöhe::N,výšina,cerro
107,Anhöhe::N,vyvýšenina,cerro
108,Berg::N,hora,monte
109,Berg::N,hora,montaña
110,Gipfel::N,vrchol,cima
111,Gipfel::N,vrchol,cumbre
112,Höhle::N,jaskyňa,cueva
113,Höhle::N,jaskyňa,caverna
114,Abhang::N,úbočie,cuesta
115,Abhang::N,úbočie,declive
116,Quelle::N,prameň,fuente
117,Quelle::N,prameň,manantial
118,Bach::N,potok,arroyo
119,Fluss::N,rieka,río
120,Ufer::N,breh,orilla
121,Küste::N,pobrežie,costa
122,Festland::N,pevnina,tierra firme
123,Meer::N,more,mar
124,Bucht::N,záliv,cala
125,Bucht::N,záliv,bahía
126,Bucht::N,zátoka,cala
127,Bucht::N,zátoka,bahía
128,Insel::N,ostrov,isla
129,Blume::N,kvet,flor
130,Blume::N,kvetina,flor
131,Gras::N,tráva,hierba
132,Wurzel::N,koreň,raíz
