,Concept_ID,hi,kv
0,Auge::N,आँख,син
1,Auge::N,चक्षु,син
2,Ohr::N,कान,пель
3,Ohr::N,कर्ण,пель
4,Nase::N,नाक,ныр
5,Nase::N,नासा,ныр
6,Mund::N,मुख,ӧм
7,Mund::N,मुँह,ӧм
8,Zahn::N,दंत,пинь
9,Zahn::N,दाँत,пинь
10,Zunge::N,जीभ,кыв
11,Zunge::N,ज़बान,кыв
12,Zunge::N,जिह्वा,кыв
13,Lippe::N,ओंठ,тырп
14,Lippe::N,होंठ,тырп
15,Wange::N,गाल,рожабан
16,Wange::N,कपोल,рожабан
17,Gesicht::N,मुँह,бан
18,Gesicht::N,चेहरा,бан
19,Stirn::N,माथा,кымӧс
20,Stirn::N,मस्तक,кымӧс
21,Haar::N,बाल,юрси
22,Schnurrbart::N,मूँछें,уссэз
23,Bart::N,दाढ़ी,тош
24,Kinn::N,चिबुक,тшӧка
25,Kiefer[Anatomie]::N,जबड़ा,ан
26,Kehle::N,गला,юан
27,Hals::N,गला,юан
28,Hals::N,गरदन,юан
29,Genick::N,गरदन,юр бӧр
30,Genick::N,ग्रीवा,юр бӧр
31,Kopf::N,सिर,юр
32,Kopf::N,शीर्ष,юр
33,Rücken::N,पीठ,мышк
34,Bauch::N,उदर,кынӧм
35,Nabel::N,नाभि,гӧг
36,Nabel::N,ढोंढी,гӧг
37,Busen::N,कुच,морос
38,Busen::N,स्तन,морос
39,Brust::N,वक्ष,морос
40,Schulter::N,कंधा,пельпон
41,Schulter::N,स्कंध,пельпон
42,Arm::N,बाँह,ки
43,Arm::N,बाज़ू,ки
44,Ellenbogen::N,कुहनी,гырдзза
45,Hand::N,हाथ,кикар
46,Hand::N,हस्त,кикар
47,Handfläche::N,हथेली,ки пыдӧс
48,Finger::N,उँगली,чунь
49,Finger::N,अँगुली,чунь
50,Fingernagel::N,नख,гыж
51,Fingernagel::N,नाख़ून,гыж
52,Nagel[Anatomie]::N,नख,гыж
53,Nagel[Anatomie]::N,नाख़ून,гыж
54,Zeh::N,उँगली,чунь
55,Zeh::N,पाँव की उँगली,чунь
56,Fuß::N,चरण,кокпыдӧс
57,Fuß::N,पाँव,кокпыдӧс
58,Ferse::N,एड़ी,кокдзир
59,Knie::N,जानु,пидзӧс
60,Knie::N,घुटना,пидзӧс
61,Oberschenkel::N,उरु,лядьбей
62,Bein::N,टाँग,кок
63,Körper::N,तन,вывтыр
