,Concept_ID,fi,tr
0,Auge::N,silmä,göz
1,Ohr::N,korva,kulak
2,Nase::N,nenä,burun
3,Mund::N,suu,ağız
4,Zahn::N,hammas,diş
5,Zunge::N,kieli,dil
6,Lippe::N,huuli,dudak
7,Wange::N,poski,yanak
8,Gesicht::N,naama,yüz
9,Gesicht::N,kasvot,yüz
10,Stirn::N,otsa,alın
11,Haar::N,hius,saç
12,Haar::N,tukka,saç
13,Schnurrbart::N,viikset,bıyık
14,Bart::N,parta,sakal
15,Kinn::N,leuka,çene
16,Kiefer[Anatomie]::N,leukaluu,çene
17,Kehle::N,kurkku,boğaz
18,Hals::N,kaula,boyun
19,Hals::N,kaula,gerdan
20,Genick::N,niska,ense
21,Kopf::N,pää,baş
22,Kopf::N,pää,kafa
23,Rücken::N,selkä,arka
24,Bauch::N,maha,karın
25,Bauch::N,vatsa,karın
26,Nabel::N,napa,göbek
27,Busen::N,rinta,koyun
28,Brust::N,rinta,göğüs
29,Schulter::N,olka,omuz
30,Schulter::N,hartia,omuz
31,Schulter::N,olkapää,omuz
32,Arm::N,käsivarsi,kol
33,Ellenbogen::N,kyynärpää,dirsek
34,Hand::N,käsi,el
35,Handfläche::N,kämmen,avuç
36,Handfläche::N,kämmen,el ayası
37,Finger::N,sormi,parmak
38,Fingernagel::N,kynsi,el tırnağı
39,Nagel[Anatomie]::N,kynsi,tırnak
40,Zeh::N,varvas,ayak parmağı
41,Fuß::N,jalka,ayak
42,Ferse::N,kantapää,topuk
43,Knie::N,polvi,diz
44,Oberschenkel::N,reisi,uyluk
45,Bein::N,jalka,bacak
46,Körper::N,keho,vücut
47,Körper::N,ruumis,vücut
48,Haut::N,iho,cilt
49,Blut::N,veri,kan
50,Ader::N,suoni,damar
51,Sehne::N,jänne,kiriş
52,Knochen::N,luu,kemik
53,Gehirn::N,aivot,beyin
54,Herz::N,sydän,kalp
55,Herz::N,sydän,yürek
56,Magen::N,maha,mide
57,Magen::N,vatsa,mide
58,Leber::N,maksa,karaciğer
59,Atem::N,henki,nefes
60,Atem::N,hengitys,nefes
61,Hunger::N,nälkä,açlık
62,Träne::N,kyynel,gözyaşı
63,Geschmack::N,maku,tat
64,Geschmack::N,maku,lezzet
65,Geruch::N,haju,koku
66,Schlaf::N,uni,uyku
67,Traum::N,uni,düş
68,Traum::N,uni,rüya
69,Himmel::N,taivas,gök
70,Sonne::N,aurinko,güneş
71,Mond::N,kuu,ay
72,Stern::N,tähti,yıldız
73,Luft::N,ilma,hava
74,Wind::N,tuuli,yel
75,Wind::N,tuuli,rüzgâr
76,Welle::N,aalto,dalga
77,Wasser::N,vesi,su
78,Stein::N,kivi,taş
79,Boden::N,maa,yer
80,Boden::N,maa,zemin
81,Boden::N,maaperä,yer
82,Boden::N,maaperä,zemin
83,Erde::N,maa,toprak
84,Staub::N,pöly,toz
85,Rauch::N,savu,duman
86,Funke::N,kipinä,kıvılcım
87,Feuer::N,tuli,ateş
88,Licht::N,valo,ışık
89,Schatten::N,varjo,gölge
90,Wetter::N,sää,hava
91,Nebel::N,sumu,pus
92,Wolke::N,pilvi,bulut
93,Regen::N,sade,yağmur
94,Schnee::N,lumi,kar
95,Eis::N,jää,buz
96,Frost::N,halla,don
97,Frost::N,pakkanen,don
98,Kälte::N,vilu,soğukluk
99,Kälte::N,kylmyys,soğukluk
100,Hitze::N,helle,sıcaklık
101,Hitze::N,kuumuus,sıcaklık
102,Raureif::N,huurre,kırç
103,Regenbogen::N,sateenkaari,gökkuşağı
104,Donner::N,jyrinä,gök gürlemesi
105,Strömung::N,virtaus,akıntı
106,Strömung::N,virtaus,cereyan
107,Tropfen::N,tippa,damla
