,Concept_ID,da,ru
0,Auge::N,øje,глаз
1,Ohr::N,øre,ухо
2,Nase::N,næse,нос
3,Mund::N,mund,рот
4,Zahn::N,tand,зуб
5,Zunge::N,tunge,язык
6,Lippe::N,læbe,губа
7,Wange::N,kind,щека
8,Gesicht::N,ansigt,лицо
9,Stirn::N,pande,лоб
10,Haar::N,hår,волос
11,Haar::N,hår,волосы
12,Schnurrbart::N,overskæg,ус
13,Schnurrbart::N,overskæg,усы
14,Bart::N,skæg,борода
15,Kinn::N,hage,подбородок
16,Kiefer[Anatomie]::N,kæbe,челюсть
17,Kehle::N,strube,горло
18,Hals::N,hals,шея
19,Genick::N,nakke,затылок
20,Kopf::N,hoved,голова
21,Rücken::N,ryg,спина
22,Bauch::N,mave,живот
23,Nabel::N,navle,пупок
24,Busen::N,barm,женская грудь
25,Brust::N,bryst,грудь
26,Schulter::N,skulder,плечо
27,Arm::N,arm,рука
28,Ellenbogen::N,albue,локоть
29,Hand::N,hånd,кисть
30,Handfläche::N,håndflade,ладонь
31,Finger::N,finger,палец
32,Fingernagel::N,fingernegl,ноготь
33,Nagel[Anatomie]::N,negl,ноготь
34,Zeh::N,tå,палец
35,Fuß::N,fod,ступня
36,Ferse::N,hæl,пята
37,Ferse::N,hæl,пятка
38,Knie::N,knæ,колено
39,Oberschenkel::N,lår,бедро
40,Bein::N,ben,нога
41,Körper::N,krop,тело
42,Körper::N,legeme,тело
43,Haut::N,hud,кожа
44,Blut::N,blod,кровь
45,Ader::N,åre,вена
46,Ader::N,åre,сосуд
47,Sehne::N,sene,жила
48,Sehne::N,sene,тетива
49,Sehne::N,sene,сухожилие
50,Knochen::N,ben,кость
51,Gehirn::N,hjerne,мозг
52,Herz::N,hjerte,сердце
53,Magen::N,mave,желудок
54,Leber::N,lever,печень
55,Atem::N,ånde,дух
56,Atem::N,ånde,дыхание
57,Hunger::N,sult,голод
58,Träne::N,tåre,слеза
59,Geschmack::N,smag,вкус
60,Geruch::N,lugt,запах
61,Schlaf::N,søvn,сон
62,Traum::N,drøm,сновидение
63,Himmel::N,himmel,небо
64,Sonne::N,sol,солнце
65,Mond::N,måne,луна
66,Stern::N,stjerne,звезда
67,Luft::N,luft,воздух
68,Wind::N,vind,ветер
69,Welle::N,bølge,волна
70,Wasser::N,vand,вода
71,Stein::N,sten,камень
72,Boden::N,jord,почва
73,Erde::N,jord,земля
74,Staub::N,støv,пыль
75,Rauch::N,røg,дым
76,Funke::N,gnist,искра
77,Feuer::N,ild,огонь
